States,2019,2019_lower, 2019_upper
Arusha CC,<500 ,<100 , <500
Arusha DC,<100 ,<100 , <200
Babati DC,<100 ,<100 , <500
Babati TC,<100 ,<100 , <500
Bagamoyo DC,<1000 ,<500 , <1000
Bahi DC,<100 ,<100 , <200
Bariadi DC,<100 ,<100 , <200
Bariadi TC,<100 ,<100 , <500
Biharamulo DC,<100 ,<100 , <500
Buchosa DC,<200 ,<100 , <500
Buhigwe DC,<200 ,<100 , <500
Bukoba DC,<100 ,<100 , <500
Bukoba MC,<200 ,<100 , <1000
Bukombe DC,<100 ,<100 , <500
Bumbuli DC,<100 ,<100 , <500
Bunda DC,<200 ,<100 , <500
Bunda TC,<100 ,<100 , <100
Busega DC,<200 ,<100 , <500
Busokelo DC,<100 ,<100 , <100
Butiama DC,<200 ,<100 , <500
Chake Chake,<1000 ,<500 , <1000
Chalinze DC,<100 ,<100 , <500
Chamwino DC,<200 ,<100 , <500
Chato DC,<100 ,<100 , <100
Chemba DC,<200 ,<100 , <500
Chunya DC,<100 ,<100 , <200
Dodoma MC,<500 ,<100 , <1000
Gairo DC,<100 ,<100 , <100
Geita DC,<100 ,<100 , <500
Geita TC,<100 ,<100 , <500
Hai DC,<100 ,<100 , <500
Hanang DC,<200 ,<100 , <500
Handeni DC,<200 ,<100 , <500
Handeni TC,<200 ,<100 , <500
Ifakara TC,<100 ,<100 , <200
Igunga DC,<100 ,<100 , <200
Ikungi DC,<500 ,<100 , <1000
Ilala MC,<1000 ,<100 , 2400
Ileje DC,<100 ,<100 , <500
Ilemela MC,<100 ,<100 , <500
Iramba DC,<100 ,<100 , <500
Iringa DC,<500 ,<100 , 1000
Iringa MC,<100 ,<100 , <100
Itigi DC,<1000 ,<500 , 1200
Itilima DC,<200 ,<200 , <500
Kahama TC,<100 ,<100 , <200
Kakonko DC,<100 ,<100 , <100
Kalambo DC,<100 ,<100 , <200
Kaliua DC,<200 ,<100 , <500
Karagwe DC,<100 ,<100 , <500
Karatu DC,<100 ,<100 , <500
Kaskazini A,<100 ,<100 , <100
Kaskazini B,<100 ,<100 , <100
Kasulu DC,<100 ,<100 , <100
Kasulu TC,<100 ,<100 , <500
Kati,<100 ,<100 , <100
Kibaha DC,<100 ,<100 , <100
Kibaha TC,<100 ,<100 , <100
Kibiti DC,<100 ,<100 , <100
Kibondo DC,<100 ,<100 , <200
Kigamboni MC,<100 ,<100 , <100
