States,2019,2019_lower, 2019_upper
Arusha CC,<100 ,<100 , <100
Arusha DC,<100 ,<100 , <100
Babati DC,<100 ,<100 , <100
Babati TC,<100 ,<100 , <100
Bagamoyo DC,<100 ,<100 , <100
Bahi DC,<100 ,<100 , <100
Bariadi DC,<100 ,<100 , <100
Bariadi TC,<100 ,<100 , <100
Biharamulo DC,<100 ,<100 , <100
Buchosa DC,<100 ,<100 , <100
Buhigwe DC,<100 ,<100 , <100
Bukoba DC,<100 ,<100 , <100
Bukoba MC,<100 ,<100 , <100
Bukombe DC,<100 ,<100 , <100
Bumbuli DC,<100 ,<100 , <100
Bunda DC,<100 ,<100 , <100
Bunda TC,<100 ,<100 , <100
Busega DC,<100 ,<100 , <100
Busokelo DC,<100 ,<100 , <100
Butiama DC,<100 ,<100 , <100
Chake Chake,<100 ,<100 , <100
Chalinze DC,<100 ,<100 , <100
Chamwino DC,<100 ,<100 , <100
Chato DC,<100 ,<100 , <100
Chemba DC,<100 ,<100 , <100
Chunya DC,<100 ,<100 , <100
Dodoma MC,<100 ,<100 , <100
Gairo DC,<100 ,<100 , <100
Geita DC,<100 ,<100 , <100
Geita TC,<100 ,<100 , <100
Hai DC,<100 ,<100 , <100
Hanang DC,<100 ,<100 , <100
Handeni DC,<100 ,<100 , <100
Handeni TC,<100 ,<100 , <100
Ifakara TC,<100 ,<100 , <100
Igunga DC,<100 ,<100 , <100
Ikungi DC,<100 ,<100 , <100
Ilala MC,<100 ,<100 , <200
Ileje DC,<100 ,<100 , <100
Ilemela MC,<100 ,<100 , <100
Iramba DC,<100 ,<100 , <100
Iringa DC,<100 ,<100 , <200
Iringa MC,<100 ,<100 , <100
Itigi DC,<100 ,<100 , <200
Itilima DC,<100 ,<100 , <100
Kahama TC,<100 ,<100 , <100
Kakonko DC,<100 ,<100 , <100
Kalambo DC,<100 ,<100 , <100
Kaliua DC,<100 ,<100 , <100
Karagwe DC,<100 ,<100 , <100
Karatu DC,<100 ,<100 , <100
Kaskazini A,<100 ,<100 , <100
Kaskazini B,<100 ,<100 , <100
Kasulu DC,<100 ,<100 , <100
Kasulu TC,<100 ,<100 , <100
Kati,<100 ,<100 , <100
Kibaha DC,<100 ,<100 , <100
Kibaha TC,<100 ,<100 , <100
Kibiti DC,<100 ,<100 , <100
Kibondo DC,<100 ,<100 , <100
Kigamboni MC,<100 ,<100 , <100
Kigoma DC,<100 ,<100 , <100
Kigoma Ujiji MC,<100 ,<100 , <100
Kilindi DC,<100 ,<100 , <100
Kilolo DC,<100 ,<100 , <100
Kilombero DC,<100 ,<100 , <200
Kilosa DC,<100 ,<100 , <100
Kilwa DC,<100 ,<100 , <100
Kinondoni MC,<100 ,<100 , <100
Kisarawe DC,<100 ,<100 , <100
Kishapu DC,<100 ,<100 , <100
Kiteto DC,<100 ,<100 , <100
Kondoa DC,<100 ,<100 , <100
Kondoa TC,<100 ,<100 , <100
Kongwa DC,<100 ,<100 , <100
Korogwe DC,<100 ,<100 , <100
Korogwe TC,<100 ,<100 , <100
Kusini,<100 ,<100 , <100
Kwimba DC,<500 ,<200 , <1000
Kyela DC,<100 ,<100 , <100
Kyerwa DC,<100 ,<100 , <100
Lindi DC,<100 ,<100 , <100
Lindi MC,<100 ,<100 , <100
Liwale DC,<100 ,<100 , <100
Longido DC,<100 ,<100 , <100
Ludewa DC,<100 ,<100 , <100
Lushoto DC,<100 ,<100 , <100
Madaba DC,<100 ,<100 , <100
Mafia DC,<100 ,<100 , <100
Mafinga TC,<100 ,<100 , <100
Magharibi A,<100 ,<100 , <100
Magharibi B,<100 ,<100 , <100
Magu DC,<100 ,<100 , <100
Makambako TC,<100 ,<100 , <100
Makete DC,<100 ,<100 , <100
Malinyi DC,<100 ,<100 , <100
Manyoni DC,<100 ,<100 , <100
Masasi DC,<100 ,<100 , <100
Masasi TC,<100 ,<100 , <100
Maswa DC,<100 ,<100 , <100
Mbarali DC,<100 ,<100 , <100
Mbeya CC,<100 ,<100 , <100
Mbeya DC,<100 ,<100 , <100
Mbinga DC,<100 ,<100 , <100
