States,2019,2019_lower, 2019_upper
Arusha CC,9600 ,6500 , 14 000
Arusha DC,4700 ,2000 , 9800
Babati DC,3900 ,1300 , 8500
Babati TC,2500 ,1100 , 4700
Bagamoyo DC,13 000 ,11 000 , 16 000
Bahi DC,2900 ,1300 , 5800
Bariadi DC,2200 ,<1000 , 4700
Bariadi TC,1800 ,<1000 , 4800
Biharamulo DC,4000 ,1600 , 9500
Buchosa DC,17 000 ,11 000 , 26 000
Buhigwe DC,5000 ,1900 , 10 000
Bukoba DC,5300 ,2100 , 11 000
Bukoba MC,8500 ,4100 , 17 000
Bukombe DC,4500 ,2200 , 10 000
Bumbuli DC,3000 ,1500 , 5700
Bunda DC,4600 ,1700 , 9900
Bunda TC,3000 ,2000 , 4400
Busega DC,8500 ,5300 , 14 000
Busokelo DC,1900 ,1100 , 3100
Butiama DC,7100 ,5200 , 9600
Chake Chake,13 000 ,11 000 , 14 000
Chalinze DC,5200 ,3700 , 8200
Chamwino DC,3100 ,1100 , 7400
Chato DC,32 000 ,30 000 , 33 000
Chemba DC,4000 ,2800 , 5500
Chunya DC,2200 ,1400 , 4600
Dodoma MC,8400 ,3200 , 19 000
Gairo DC,4500 ,2200 , 7900
Geita DC,8200 ,4900 , 14 000
Geita TC,9100 ,4000 , 18 000
Hai DC,4300 ,2900 , 6500
Hanang DC,9000 ,7200 , 11 000
Handeni DC,7100 ,4100 , 12 000
Handeni TC,4800 ,2100 , 9300
Ifakara TC,2600 ,1600 , 5200
Igunga DC,3300 ,1800 , 5500
Ikungi DC,6800 ,3700 , 12 000
Ilala MC,21 000 ,11 000 , 44 000
Ileje DC,4000 ,2300 , 7700
Ilemela MC,4500 ,1800 , 9600
Iramba DC,4000 ,2000 , 7100
Iringa DC,12 000 ,7200 , 21 000
Iringa MC,6300 ,5000 , 8100
Itigi DC,15 000 ,9300 , 21 000
Itilima DC,8100 ,7300 , 9400
Kahama TC,9600 ,7500 , 13 000
Kakonko DC,2300 ,1400 , 3700
Kalambo DC,2500 ,1400 , 5100
Kaliua DC,5100 ,3000 , 8200
Karagwe DC,6600 ,2900 , 13 000
Karatu DC,4200 ,2100 , 7800
Kaskazini A,4300 ,3500 , 5800
Kaskazini B,1900 ,1700 , 2200
Kasulu DC,3400 ,2000 , 5400
Kasulu TC,4000 ,2200 , 7100
Kati,<1000 ,<500 , 1300
Kibaha DC,3400 ,2600 , 4300
Kibaha TC,4700 ,3800 , 5900
Kibiti DC,2300 ,1500 , 3300
Kibondo DC,1600 ,<500 , 4900
Kigamboni MC,8300 ,6100 , 11 000
Kigoma DC,1200 ,<500 , 3100
Kigoma Ujiji MC,5000 ,3400 , 7200
Kilindi DC,8500 ,5700 , 12 000
Kilolo DC,9800 ,8600 , 11 000
Kilombero DC,23 000 ,17 000 , 29 000
Kilosa DC,8300 ,5100 , 13 000
Kilwa DC,3000 ,1600 , 5000
Kinondoni MC,24 000 ,18 000 , 30 000
Kisarawe DC,7400 ,5800 , 9300
Kishapu DC,4800 ,2600 , 8500
Kiteto DC,2300 ,<1000 , 5500
Kondoa DC,4500 ,2700 , 7700
Kondoa TC,8700 ,7200 , 11 000
Kongwa DC,10 000 ,6500 , 15 000
Korogwe DC,8300 ,6400 , 10 000
Korogwe TC,6400 ,3100 , 12 000
Kusini,4900 ,4700 , 5200
Kwimba DC,40 000 ,27 000 , 58 000
Kyela DC,10 000 ,7200 , 14 000
Kyerwa DC,15 000 ,12 000 , 20 000
Lindi DC,4400 ,2500 , 7200
Lindi MC,2200 ,1300 , 3300
Liwale DC,5400 ,2300 , 9600
Longido DC,7400 ,5900 , 9200
Ludewa DC,5100 ,1900 , 11 000
Lushoto DC,7400 ,1700 , 20 000
Madaba DC,1400 ,<1000 , 2300
Mafia DC,2000 ,1200 , 2900
Mafinga TC,3700 ,2200 , 6800
Magharibi A,2900 ,2600 , 3300
Magharibi B,3400 ,2800 , 4000
Magu DC,7800 ,4000 , 14 000
Makambako TC,16 000 ,15 000 , 18 000
Makete DC,1800 ,<1000 , 3100
Malinyi DC,9300 ,8300 , 10 000
Manyoni DC,6600 ,2900 , 15 000
Masasi DC,5000 ,3700 , 6800
Masasi TC,8100 ,3900 , 15 000
Maswa DC,12 000 ,6900 , 20 000
Mbarali DC,9400 ,5000 , 19 000
Mbeya CC,20 000 ,14 000 , 28 000
Mbeya DC,7800 ,4300 , 13 000
Mbinga DC,5400 ,3500 , 7700
Mbinga TC,5100 ,3300 , 8300
Mbogwe DC,16 000 ,14 000 , 18 000
Mbozi DC,7300 ,5500 , 9700
Mbulu DC,1500 ,<1000 , 3200
Mbulu TC,2300 ,<1000 , 5500
Meatu DC,4700 ,2000 , 9000
Meru DC,19 000 ,14 000 , 27 000
Micheweni,3600 ,2900 , 4500
Missenyi DC,3100 ,1600 , 5400
Misungwi DC,3100 ,1400 , 6200
