States,2019,2019_lower, 2019_upper
Arusha CC,1900 ,1200 , 2800
Arusha DC,<1000 ,<500 , 1900
Babati DC,<1000 ,<500 , 1900
Babati TC,<1000 ,<500 , 1200
Bagamoyo DC,3100 ,2500 , 3900
Bahi DC,<500 ,<200 , 1100
Bariadi DC,<1000 ,<200 , 1200
Bariadi TC,<500 ,<200 , 1300
Biharamulo DC,<1000 ,<500 , 2400
Buchosa DC,2800 ,1500 , 5400
Buhigwe DC,1300 ,<500 , 2700
Bukoba DC,<1000 ,<500 , 2300
Bukoba MC,1900 ,<1000 , 4700
Bukombe DC,<1000 ,<500 , 2800
Bumbuli DC,<1000 ,<500 , 1300
Bunda DC,1000 ,<500 , 2500
Bunda TC,<1000 ,<500 , <1000
Busega DC,1900 ,1200 , 3000
Busokelo DC,<500 ,<200 , <1000
Butiama DC,1700 ,1100 , 2400
Chake Chake,3800 ,3200 , 4400
Chalinze DC,<1000 ,<500 , 1700
Chamwino DC,<1000 ,<200 , 1800
Chato DC,6100 ,5300 , 7000
Chemba DC,<1000 ,<1000 , 1300
Chunya DC,<500 ,<200 , 1000
Dodoma MC,1900 ,<1000 , 4700
Gairo DC,<1000 ,<500 , 1600
Geita DC,1600 ,<1000 , 3100
Geita TC,1900 ,<1000 , 4200
Hai DC,<1000 ,<1000 , 1600
Hanang DC,2000 ,1600 , 2600
Handeni DC,1500 ,<1000 , 2500
Handeni TC,1100 ,<500 , 2500
Ifakara TC,<500 ,<200 , 1200
Igunga DC,<1000 ,<500 , 1100
Ikungi DC,1600 ,<1000 , 2700
Ilala MC,3000 ,1200 , 7700
Ileje DC,<1000 ,<500 , 1900
Ilemela MC,<1000 ,<500 , 2000
Iramba DC,<1000 ,<500 , 1600
Iringa DC,2500 ,1200 , 5100
Iringa MC,1200 ,<1000 , 1700
Itigi DC,4200 ,2500 , 6400
Itilima DC,2200 ,1900 , 2600
Kahama TC,1600 ,1100 , 2400
Kakonko DC,<500 ,<200 , <1000
Kalambo DC,<500 ,<500 , 1200
Kaliua DC,1100 ,<1000 , 2100
Karagwe DC,1200 ,<500 , 2700
Karatu DC,<1000 ,<500 , 1600
Kaskazini A,<1000 ,<1000 , 1300
Kaskazini B,<500 ,<500 , <500
Kasulu DC,<1000 ,<500 , <1000
Kasulu TC,<1000 ,<500 , 1900
Kati,<200 ,<100 , <500
Kibaha DC,<1000 ,<500 , <1000
Kibaha TC,<1000 ,<1000 , 1100
Kibiti DC,<500 ,<500 , <1000
Kibondo DC,<500 ,<100 , 1200
Kigamboni MC,<1000 ,<1000 , 1200
Kigoma DC,<500 ,<100 , <1000
Kigoma Ujiji MC,1000 ,<1000 , 1500
Kilindi DC,1700 ,<1000 , 2900
Kilolo DC,1300 ,1100 , 1600
Kilombero DC,4400 ,3100 , 6100
Kilosa DC,1200 ,<1000 , 1700
Kilwa DC,<1000 ,<500 , 1200
Kinondoni MC,3100 ,2300 , 4000
Kisarawe DC,1500 ,1100 , 2000
Kishapu DC,<1000 ,<500 , 1900
Kiteto DC,<500 ,<200 , 1100
Kondoa DC,<1000 ,<500 , 1800
Kondoa TC,2500 ,1900 , 3200
Kongwa DC,2100 ,1200 , 3400
Korogwe DC,1400 ,1000 , 1800
Korogwe TC,1600 ,<1000 , 3500
Kusini,1200 ,1100 , 1400
Kwimba DC,12 000 ,7700 , 18 000
Kyela DC,2000 ,1300 , 2900
Kyerwa DC,3900 ,2500 , 5900
Lindi DC,<1000 ,<500 , 1400
Lindi MC,<500 ,<500 , <1000
Liwale DC,1200 ,<500 , 2300
Longido DC,1400 ,1100 , 1900
Ludewa DC,1200 ,<500 , 2900
Lushoto DC,1600 ,<500 , 5100
Madaba DC,<500 ,<200 , <500
Mafia DC,<500 ,<200 , <500
Mafinga TC,<1000 ,<500 , 1800
Magharibi A,<500 ,<500 , <500
Magharibi B,<1000 ,<500 , <1000
Magu DC,1600 ,<1000 , 3500
Makambako TC,4600 ,4000 , 5300
Makete DC,<500 ,<200 , <1000
Malinyi DC,2000 ,1700 , 2400
Manyoni DC,1500 ,<500 , 4200
Masasi DC,<1000 ,<1000 , <1000
Masasi TC,1700 ,<1000 , 3900
Maswa DC,2600 ,1200 , 5300
Mbarali DC,1700 ,<1000 , 4400
Mbeya CC,4700 ,3000 , 7000
Mbeya DC,1400 ,<1000 , 2700
Mbinga DC,1100 ,<1000 , 1800
Mbinga TC,1000 ,<1000 , 2000
Mbogwe DC,4600 ,3800 , 5400
Mbozi DC,1400 ,<1000 , 2100
Mbulu DC,<500 ,<200 , <1000
Mbulu TC,<1000 ,<200 , 1300
Meatu DC,1000 ,<500 , 2200
Meru DC,3500 ,2200 , 6400
Micheweni,<1000 ,<1000 , 1300
Missenyi DC,<1000 ,<500 , 1100
Misungwi DC,<1000 ,<500 , 1400
Mjini,1300 ,<1000 , 2000
Mkalama DC,<500 ,<100 , 1100
Mkinga DC,<1000 ,<500 , 1300
Mkoani,<500 ,<100 , <1000
Mkuranga DC,<500 ,<200 , <1000
Mlele DC,<1000 ,<1000 , 1200
Momba DC,2100 ,1600 , 2700
Monduli DC,<500 ,<500 , <1000
Morogoro DC,1400 ,<500 , 3500
Morogoro MC,1200 ,<500 , 3500
Moshi DC,2000 ,1500 , 2700
Moshi MC,1900 ,1100 , 3700
Mpanda DC,1600 ,1400 , 1900
Mpanda TC,1300 ,1100 , 1400
Mpimbwe DC,<500 ,<200 , <1000
Mpwapwa DC,1300 ,<1000 , 3300
Msalala DC,2100 ,1300 , 3400
Mtwara DC,<1000 ,<1000 , 1100
Mtwara Mikindani MC,2300 ,1600 , 3200
Mufindi DC,2100 ,1400 , 3000
Muheza DC,<500 ,<200 , <500
Muleba DC,1400 ,<1000 , 2700
Musoma DC,<100 ,<100 , <200
Musoma MC,1400 ,<1000 , 2200
Mvomero DC,1100 ,<500 , 2500
