States,2019,2019_lower, 2019_upper
Arusha CC,5200 ,3500 , 7500
Arusha DC,2800 ,<1000 , 6700
Babati DC,1400 ,<500 , 3200
Babati TC,1600 ,<1000 , 3000
Bagamoyo DC,8800 ,7700 , 10 000
Bahi DC,1700 ,<1000 , 3300
Bariadi DC,1400 ,<500 , 3300
Bariadi TC,1100 ,<500 , 3300
Biharamulo DC,2200 ,<1000 , 4600
Buchosa DC,13 000 ,9200 , 17 000
Buhigwe DC,2500 ,<1000 , 5700
Bukoba DC,3700 ,1300 , 8200
Bukoba MC,5200 ,1500 , 12 000
Bukombe DC,2400 ,<1000 , 6400
Bumbuli DC,1900 ,<1000 , 3500
Bunda DC,3200 ,1300 , 6300
Bunda TC,1600 ,<1000 , 2900
Busega DC,4600 ,2000 , 10 000
Busokelo DC,1400 ,<1000 , 2500
Butiama DC,3600 ,2100 , 5800
Chake Chake,9000 ,8200 , 10 000
Chalinze DC,2900 ,1600 , 5100
Chamwino DC,1800 ,<1000 , 4800
Chato DC,31 000 ,29 000 , 32 000
Chemba DC,1300 ,<1000 , 1800
Chunya DC,1100 ,<500 , 2600
Dodoma MC,5600 ,2100 , 12 000
Gairo DC,2100 ,1200 , 3400
Geita DC,5100 ,2700 , 8600
Geita TC,4900 ,1800 , 10 000
Hai DC,1900 ,<1000 , 3600
Hanang DC,4000 ,2600 , 6500
Handeni DC,4400 ,2300 , 7700
Handeni TC,3100 ,1500 , 5800
Ifakara TC,1300 ,<500 , 3300
Igunga DC,2100 ,1100 , 3900
Ikungi DC,3800 ,1900 , 7000
Ilala MC,15 000 ,9100 , 25 000
Ileje DC,2400 ,<1000 , 5000
Ilemela MC,2800 ,1000 , 6300
Iramba DC,2300 ,1000 , 4600
Iringa DC,7100 ,3700 , 12 000
Iringa MC,4200 ,2900 , 5900
Itigi DC,9100 ,5300 , 14 000
Itilima DC,3700 ,2800 , 5200
Kahama TC,7600 ,6100 , 9500
Kakonko DC,1700 ,<1000 , 2700
Kalambo DC,2000 ,1200 , 3300
Kaliua DC,2800 ,1500 , 4800
Karagwe DC,4500 ,2200 , 8100
Karatu DC,1900 ,<1000 , 4300
Kaskazini A,1200 ,<1000 , 2500
Kaskazini B,<500 ,<500 , <500
Kasulu DC,2600 ,1400 , 4200
Kasulu TC,2400 ,1100 , 4700
Kati,<500 ,<100 , <1000
Kibaha DC,1900 ,1300 , 2700
Kibaha TC,2000 ,1300 , 3000
Kibiti DC,1800 ,1100 , 2600
Kibondo DC,1100 ,<500 , 3100
Kigamboni MC,6900 ,4800 , 9400
Kigoma DC,<1000 ,<200 , 2000
Kigoma Ujiji MC,3000 ,1700 , 5100
Kilindi DC,4800 ,2800 , 7800
Kilolo DC,8800 ,7600 , 10 000
Kilombero DC,16 000 ,13 000 , 19 000
Kilosa DC,6100 ,3300 , 10 000
Kilwa DC,2000 ,1100 , 3400
Kinondoni MC,15 000 ,11 000 , 21 000
Kisarawe DC,4800 ,4000 , 5700
Kishapu DC,3200 ,1700 , 5800
Kiteto DC,1100 ,<500 , 2800
Kondoa DC,2800 ,1500 , 5000
Kondoa TC,5500 ,4500 , 6700
Kongwa DC,5600 ,3400 , 8900
Korogwe DC,5700 ,4000 , 7700
Korogwe TC,3700 ,1300 , 7800
Kusini,<1000 ,<1000 , 1300
Kwimba DC,26 000 ,17 000 , 36 000
Kyela DC,6400 ,4100 , 9300
Kyerwa DC,5200 ,2600 , 9100
