States,2019,2019_lower, 2019_upper
Arusha CC,6000 ,4000 , 8900
Arusha DC,3400 ,1500 , 7400
Babati DC,1800 ,<1000 , 4000
Babati TC,2100 ,<1000 , 3800
Bagamoyo DC,10 000 ,9200 , 12 000
Bahi DC,2300 ,1100 , 4300
Bariadi DC,1800 ,<1000 , 3700
Bariadi TC,1400 ,<1000 , 2800
Biharamulo DC,2900 ,1300 , 5900
Buchosa DC,16 000 ,12 000 , 22 000
Buhigwe DC,3100 ,1200 , 6500
Bukoba DC,4800 ,2000 , 9800
Bukoba MC,6000 ,2800 , 12 000
Bukombe DC,3000 ,1700 , 5600
Bumbuli DC,2600 ,1400 , 4500
Bunda DC,4000 ,1700 , 8000
Bunda TC,2100 ,1300 , 3300
Busega DC,6100 ,3700 , 10 000
Busokelo DC,2100 ,1200 , 3500
Butiama DC,4800 ,3800 , 6300
Chake Chake,11 000 ,10 000 , 13 000
Chalinze DC,3800 ,2800 , 5600
Chamwino DC,2300 ,<1000 , 5200
Chato DC,38 000 ,36 000 , 40 000
Chemba DC,1800 ,1200 , 2500
Chunya DC,1400 ,<1000 , 2300
Dodoma MC,6800 ,2600 , 14 000
Gairo DC,2800 ,1300 , 5200
Geita DC,6500 ,4000 , 10 000
Geita TC,6000 ,2500 , 12 000
Hai DC,2600 ,1700 , 4100
Hanang DC,5300 ,4100 , 6900
Handeni DC,5500 ,3100 , 8900
Handeni TC,3900 ,1900 , 7200
Ifakara TC,1700 ,<1000 , 3300
Igunga DC,2700 ,1500 , 4300
Ikungi DC,4900 ,2400 , 8800
Ilala MC,18 000 ,11 000 , 29 000
Ileje DC,3300 ,2000 , 5600
Ilemela MC,3400 ,1400 , 6600
Iramba DC,2900 ,1400 , 5400
Iringa DC,9200 ,6000 , 14 000
Iringa MC,5100 ,3900 , 6800
Itigi DC,11 000 ,6800 , 16 000
Itilima DC,5100 ,4400 , 5900
Kahama TC,9100 ,7400 , 11 000
Kakonko DC,2200 ,1400 , 3300
Kalambo DC,2400 ,1500 , 3800
Kaliua DC,3500 ,2300 , 5100
Karagwe DC,5800 ,2700 , 10 000
Karatu DC,2500 ,1200 , 4600
Kaskazini A,1900 ,1600 , 2400
Kaskazini B,<1000 ,<1000 , <1000
Kasulu DC,3400 ,2000 , 5200
Kasulu TC,3000 ,1800 , 4800
Kati,<500 ,<200 , <1000
Kibaha DC,2400 ,1700 , 3200
Kibaha TC,2500 ,2000 , 3200
