States,2019,2019_lower, 2019_upper
Arusha CC,<1000 ,<500 , 1400
Arusha DC,<500 ,<500 , <1000
Babati DC,<1000 ,<500 , 1600
Babati TC,<200 ,<100 , <500
Bagamoyo DC,<1000 ,<1000 , <1000
Bahi DC,<500 ,<200 , <1000
Bariadi DC,<500 ,<100 , <500
Bariadi TC,<200 ,<200 , <500
Biharamulo DC,<500 ,<200 , 1200
Buchosa DC,<1000 ,<500 , 1700
Buhigwe DC,<1000 ,<500 , 1400
Bukoba DC,<500 ,<200 , <1000
Bukoba MC,<1000 ,<500 , <1000
Bukombe DC,<500 ,<500 , <1000
Bumbuli DC,<500 ,<500 , <1000
Bunda DC,<500 ,<200 , <1000
Bunda TC,<500 ,<500 , <1000
Busega DC,<1000 ,<1000 , 1200
Busokelo DC,<200 ,<100 , <500
Butiama DC,<1000 ,<1000 , 1100
Chake Chake,<1000 ,<1000 , 1000
Chalinze DC,<1000 ,<1000 , <1000
Chamwino DC,<500 ,<200 , <1000
Chato DC,<500 ,<200 , <500
Chemba DC,<1000 ,<1000 , 1200
Chunya DC,<500 ,<500 , <500
Dodoma MC,<1000 ,<500 , 1300
Gairo DC,<1000 ,<500 , 1200
Geita DC,<1000 ,<500 , 1300
Geita TC,<1000 ,<500 , 1400
Hai DC,<1000 ,<1000 , 1200
Hanang DC,1300 ,1100 , 1600
Handeni DC,<1000 ,<500 , 1200
Handeni TC,<500 ,<200 , <1000
Ifakara TC,<500 ,<500 , <1000
Igunga DC,<500 ,<200 , <500
Ikungi DC,<1000 ,<500 , 1300
Ilala MC,1100 ,<500 , 2600
Ileje DC,<1000 ,<500 , <1000
Ilemela MC,<500 ,<200 , <1000
Iramba DC,<500 ,<500 , <1000
Iringa DC,1300 ,<1000 , 1900
Iringa MC,<500 ,<500 , <1000
Itigi DC,1000 ,<1000 , 1400
Itilima DC,1100 ,1000 , 1300
Kahama TC,<500 ,<500 , <1000
Kakonko DC,<200 ,<100 , <500
Kalambo DC,<200 ,<100 , <500
Kaliua DC,<500 ,<500 , <1000
Karagwe DC,<1000 ,<200 , 1100
Karatu DC,<1000 ,<500 , 1100
Kaskazini A,1100 ,1000 , 1300
Kaskazini B,<1000 ,<500 , <1000
Kasulu DC,<500 ,<200 , <500
Kasulu TC,<500 ,<500 , <1000
Kati,<100 ,<100 , <200
Kibaha DC,<500 ,<500 , <1000
Kibaha TC,<1000 ,<1000 , <1000
Kibiti DC,<200 ,<200 , <500
Kibondo DC,<200 ,<100 , <500
Kigamboni MC,<500 ,<500 , <1000
Kigoma DC,<200 ,<100 , <500
Kigoma Ujiji MC,<500 ,<500 , <1000
Kilindi DC,<1000 ,<1000 , 1300
Kilolo DC,<500 ,<500 , <500
Kilombero DC,1500 ,1000 , 2300
Kilosa DC,<1000 ,<500 , 1100
Kilwa DC,<500 ,<200 , <500
Kinondoni MC,1600 ,1100 , 2300
Kisarawe DC,<1000 ,<500 , <1000
Kishapu DC,<500 ,<200 , <1000
Kiteto DC,<500 ,<200 , <1000
Kondoa DC,<1000 ,<500 , <1000
Kondoa TC,<1000 ,<1000 , 1100
Kongwa DC,1000 ,<1000 , 1500
Korogwe DC,<1000 ,<1000 , 1200
Korogwe TC,<1000 ,<500 , 1100
Kusini,<1000 ,<1000 , 1000
Kwimba DC,2500 ,1600 , 3600
Kyela DC,<1000 ,<1000 , 1200
Kyerwa DC,2300 ,2000 , 2700
Lindi DC,<1000 ,<500 , 1200
Lindi MC,<500 ,<200 , <500
Liwale DC,<1000 ,<500 , <1000
Longido DC,<1000 ,<500 , <1000
Ludewa DC,<500 ,<200 , <1000
Lushoto DC,1100 ,<500 , 2700
Madaba DC,<200 ,<100 , <500
Mafia DC,<200 ,<100 , <200
Mafinga TC,<500 ,<200 , <500
Magharibi A,<1000 ,<1000 , <1000
Magharibi B,<500 ,<500 , <500
Magu DC,<1000 ,<500 , 1300
Makambako TC,<1000 ,<1000 , 1000
Makete DC,<200 ,<100 , <500
Malinyi DC,<1000 ,<1000 , 1100
Manyoni DC,<1000 ,<500 , 1300
Masasi DC,<1000 ,<500 , <1000
Masasi TC,<1000 ,<500 , 1300
Maswa DC,<1000 ,<500 , 1200
Mbarali DC,1000 ,<1000 , 1900
Mbeya CC,<1000 ,<1000 , 1400
Mbeya DC,<500 ,<200 , <1000
Mbinga DC,<1000 ,<500 , <1000
Mbinga TC,<1000 ,<500 , <1000
Mbogwe DC,1800 ,1700 , 2000
Mbozi DC,<1000 ,<1000 , 1100
Mbulu DC,<500 ,<100 , <500
Mbulu TC,<500 ,<100 , <1000
Meatu DC,<1000 ,<500 , <1000
Meru DC,3900 ,3400 , 4500
Micheweni,<1000 ,<500 , <1000
Missenyi DC,<500 ,<200 , <1000
Misungwi DC,<500 ,<500 , <1000
Mjini,<1000 ,<500 , <1000
Mkalama DC,<200 ,<100 , <1000
Mkinga DC,<500 ,<500 , <1000
Mkoani,<200 ,<200 , <500
Mkuranga DC,<200 ,<100 , <500
Mlele DC,<500 ,<500 , <500
Momba DC,1200 ,1100 , 1300
Monduli DC,<500 ,<200 , <1000
Morogoro DC,1000 ,<500 , 2200
Morogoro MC,<1000 ,<200 , 1400
Moshi DC,1800 ,1500 , 2300
Moshi MC,<500 ,<200 , 1100
Mpanda DC,<500 ,<500 , <500
Mpanda TC,<1000 ,<1000 , <1000
Mpimbwe DC,<200 ,<100 , <200
Mpwapwa DC,<1000 ,<500 , 1100
Msalala DC,<1000 ,<1000 , 1100
Mtwara DC,1300 ,1100 , 1700
Mtwara Mikindani MC,<1000 ,<500 , <1000
Mufindi DC,<1000 ,<1000 , 1000
Muheza DC,<1000 ,<500 , <1000
Muleba DC,<1000 ,<500 , 1200
Musoma DC,<100 ,<100 , <100
Musoma MC,<500 ,<500 , <1000
Mvomero DC,<500 ,<500 , <1000
Mwanga DC,1400 ,1100 , 1800
Nachingwea DC,<500 ,<100 , <1000
Namtumbo DC,1000 ,<1000 , 1200
Nanyamba TC,1400 ,1200 , 1700
Nanyumbu DC,<1000 ,<500 , 1000
