States,2019,2019_lower, 2019_upper
Arusha CC,<1000 ,<500 , <1000
Arusha DC,<500 ,<200 , <1000
Babati DC,<500 ,<200 , <1000
Babati TC,<200 ,<100 , <500
Bagamoyo DC,<1000 ,<1000 , 1200
Bahi DC,<200 ,<100 , <500
Bariadi DC,<200 ,<100 , <500
Bariadi TC,<200 ,<100 , <500
Biharamulo DC,<500 ,<100 , <1000
Buchosa DC,<1000 ,<200 , 1600
Buhigwe DC,<500 ,<200 , <1000
Bukoba DC,<500 ,<100 , <1000
Bukoba MC,<1000 ,<500 , 1400
Bukombe DC,<500 ,<200 , <1000
Bumbuli DC,<200 ,<100 , <500
Bunda DC,<500 ,<100 , <1000
Bunda TC,<500 ,<200 , <500
Busega DC,<1000 ,<500 , <1000
Busokelo DC,<100 ,<100 , <200
Butiama DC,<1000 ,<500 , <1000
Chake Chake,1100 ,<1000 , 1400
Chalinze DC,<500 ,<200 , <1000
Chamwino DC,<500 ,<100 , <1000
Chato DC,<200 ,<100 , <200
Chemba DC,<500 ,<500 , <1000
Chunya DC,<200 ,<100 , <500
Dodoma MC,<1000 ,<200 , 1500
Gairo DC,<500 ,<200 , <1000
Geita DC,<1000 ,<500 , 1100
Geita TC,<1000 ,<500 , 1500
Hai DC,<500 ,<500 , <1000
Hanang DC,<1000 ,<1000 , 1000
Handeni DC,<500 ,<500 , <1000
Handeni TC,<500 ,<200 , <1000
Ifakara TC,<200 ,<100 , <500
Igunga DC,<200 ,<100 , <500
Ikungi DC,<1000 ,<500 , 1000
Ilala MC,<1000 ,<200 , 2200
Ileje DC,<500 ,<200 , <1000
Ilemela MC,<500 ,<100 , <1000
Iramba DC,<500 ,<200 , <1000
Iringa DC,<1000 ,<500 , 1800
Iringa MC,<500 ,<500 , <500
Itigi DC,1400 ,<1000 , 2200
Itilima DC,<1000 ,<1000 , <1000
Kahama TC,<500 ,<200 , <1000
Kakonko DC,<100 ,<100 , <500
Kalambo DC,<100 ,<100 , <500
Kaliua DC,<500 ,<200 , <1000
Karagwe DC,<500 ,<100 , <1000
Karatu DC,<500 ,<200 , <1000
Kaskazini A,<500 ,<500 , <1000
Kaskazini B,<200 ,<200 , <500
Kasulu DC,<200 ,<100 , <500
Kasulu TC,<500 ,<200 , <1000
Kati,<100 ,<100 , <100
Kibaha DC,<500 ,<200 , <500
Kibaha TC,<500 ,<500 , <500
Kibiti DC,<100 ,<100 , <200
Kibondo DC,<200 ,<100 , <500
Kigamboni MC,<200 ,<200 , <200
Kigoma DC,<100 ,<100 , <500
Kigoma Ujiji MC,<500 ,<500 , <1000
Kilindi DC,<1000 ,<500 , 1000
Kilolo DC,<200 ,<200 , <200
Kilombero DC,1300 ,<1000 , 1900
Kilosa DC,<500 ,<200 , <500
Kilwa DC,<200 ,<100 , <500
Kinondoni MC,<1000 ,<1000 , 1100
Kisarawe DC,<500 ,<500 , <1000
Kishapu DC,<500 ,<200 , <1000
Kiteto DC,<200 ,<100 , <500
Kondoa DC,<500 ,<200 , <1000
Kondoa TC,<1000 ,<1000 , 1100
Kongwa DC,<1000 ,<500 , 1200
Korogwe DC,<500 ,<500 , <1000
Korogwe TC,<1000 ,<500 , 1200
Kusini,<1000 ,<1000 , <1000
Kwimba DC,4000 ,2500 , 6200
Kyela DC,<1000 ,<500 , <1000
Kyerwa DC,1700 ,1200 , 2400
Lindi DC,<500 ,<200 , <1000
Lindi MC,<200 ,<100 , <500
Liwale DC,<500 ,<200 , <1000
Longido DC,<500 ,<500 , <1000
Ludewa DC,<500 ,<200 , <1000
Lushoto DC,<1000 ,<200 , 1700
Madaba DC,<100 ,<100 , <200
Mafia DC,<100 ,<100 , <100
Mafinga TC,<500 ,<100 , <1000
Magharibi A,<200 ,<200 , <500
Magharibi B,<500 ,<200 , <500
Magu DC,<500 ,<200 , 1200
Makambako TC,1500 ,1400 , 1700
Makete DC,<100 ,<100 , <500
Malinyi DC,<1000 ,<1000 , <1000
Manyoni DC,<500 ,<200 , 1400
Masasi DC,<200 ,<200 , <500
Masasi TC,<1000 ,<500 , 1300
Maswa DC,<1000 ,<500 , 1600
Mbarali DC,<1000 ,<200 , 1500
Mbeya CC,1300 ,<1000 , 2000
Mbeya DC,<500 ,<200 , <1000
Mbinga DC,<500 ,<500 , <1000
Mbinga TC,<500 ,<200 , <1000
Mbogwe DC,1900 ,1600 , 2200
Mbozi DC,<1000 ,<500 , <1000
Mbulu DC,<200 ,<100 , <500
Mbulu TC,<500 ,<100 , <1000
Meatu DC,<500 ,<200 , <1000
Meru DC,1700 ,1200 , 2700
Micheweni,<500 ,<500 , <500
Missenyi DC,<200 ,<100 , <500
Misungwi DC,<500 ,<100 , <1000
Mjini,<500 ,<500 , <1000
Mkalama DC,<200 ,<100 , <500
Mkinga DC,<500 ,<200 , <500
Mkoani,<100 ,<100 , <500
Mkuranga DC,<100 ,<100 , <500
Mlele DC,<500 ,<500 , <500
Momba DC,<1000 ,<1000 , 1000
Monduli DC,<200 ,<100 , <500
Morogoro DC,<500 ,<200 , 1300
Morogoro MC,<500 ,<100 , 1100
Moshi DC,<1000 ,<1000 , <1000
Moshi MC,<500 ,<100 , <1000
Mpanda DC,<200 ,<200 , <500
Mpanda TC,<500 ,<500 , <500
Mpimbwe DC,<100 ,<100 , <200
Mpwapwa DC,<500 ,<200 , 1100
Msalala DC,<1000 ,<500 , 1100
Mtwara DC,<500 ,<500 , <1000
Mtwara Mikindani MC,<1000 ,<500 , 1000
Mufindi DC,<1000 ,<500 , <1000
Muheza DC,<200 ,<100 , <500
Muleba DC,<500 ,<200 , <1000
Musoma DC,<100 ,<100 , <100
Musoma MC,<500 ,<500 , <1000
Mvomero DC,<500 ,<200 , <1000
Mwanga DC,<1000 ,<500 , <1000
Nachingwea DC,<200 ,<100 , <1000
Namtumbo DC,<500 ,<500 , <500
Nanyamba TC,<1000 ,<1000 , <1000
Nanyumbu DC,<500 ,<200 , <1000
Newala DC,<500 ,<200 , <1000
Newala TC,<500 ,<100 , <1000
Ngara DC,<200 ,<100 , <500
Ngorongoro DC,<1000 ,<500 , <1000
Njombe DC,<200 ,<100 , <1000
Njombe TC,<200 ,<100 , <500
Nkasi DC,<1000 ,<500 , <1000
Nsimbo DC,<100 ,<100 , <100
Nyamagana MC,<500 ,<100 , <1000
Nyang'hwale DC,<500 ,<500 , <500
Nyasa DC,<500 ,<500 , <1000
Nzega DC,<1000 ,<500 , <1000
Nzega TC,<500 ,<200 , <1000
Pangani DC,<1000 ,<1000 , <1000
Rombo DC,<200 ,<200 , <500
Rorya DC,<500 ,<100 , <1000
Ruangwa DC,<500 ,<200 , <1000
Rufiji DC,<1000 ,<500 , 1800
Rungwe DC,1100 ,<1000 , 1800
Same DC,<500 ,<200 , <1000
Sengerema DC,<200 ,<100 , <500
Serengeti DC,<500 ,<200 , <500
Shinyanga DC,<100 ,<100 , <100
Shinyanga MC,<500 ,<500 , <1000
Siha DC,<500 ,<200 , 1000
Sikonge DC,<200 ,<100 , <500
Simanjiro DC,<500 ,<500 , <500
Singida DC,<500 ,<500 , <1000
Singida MC,<1000 ,<500 , 1200
Songea DC,<1000 ,<500 , <1000
Songea MC,<1000 ,<1000 , 1100
Songwe DC,<500 ,<200 , <1000
Sumbawanga DC,<500 ,<500 , <1000
Sumbawanga MC,<500 ,<100 , <1000
Tabora MC,<500 ,<500 , <1000
Tandahimba DC,<500 ,<200 , <1000
Tanga CC,<1000 ,<500 , 1300
Tarime DC,<100 ,<100 , <500
Tarime TC,<100 ,<100 , <200
Temeke MC,<1000 ,<500 , 1600
Tunduma TC,<200 ,<100 , <500
Tunduru DC,<500 ,<200 , <1000
Ubungo MC,<500 ,<500 , <1000
Ukerewe DC,<500 ,<100 , <1000
Ulanga DC,<500 ,<200 , <1000
Urambo DC,<200 ,<100 , <1000
Ushetu DC,<1000 ,<500 , 1200
Uvinza DC,<500 ,<100 , <1000
Uyui DC,<500 ,<100 , <1000
Wanging'ombe DC,<1000 ,<1000 , 1100
Wete,<200 ,<200 , <500
National,64 000 ,31 000,91 000
