States,2019,2019_lower, 2019_upper
Abim,2.4 ,1.9 , 3.1
Adjumani,2.9 ,1.9 , 4.1
Agago,6.2 ,4.5 , 8.2
Alebtong,6.1 ,5.0 , 7.3
Amolatar,6.6 ,5.5 , 7.8
Amudat,0.8 ,0.6 , 1.0
Amuria,4.0 ,3.1 , 5.1
Amuru,4.5 ,3.1 , 6.5
Apac,7.2 ,5.8 , 8.8
Arua,2.9 ,2.3 , 3.5
Budaka,2.5 ,1.8 , 3.2
Bududa,1.7 ,1.4 , 2.1
Bugiri,2.0 ,1.4 , 2.7
Bugweri,2.4 ,1.8 , 3.1
Buhweju,3.8 ,2.7 , 5.0
Buikwe,7.8 ,6.0 , 9.9
Bukedea,2.4 ,2.0 , 2.9
Bukomansimbi,7.0 ,5.6 , 8.6
Bukwo,1.5 ,1.2 , 1.9
Bulambuli,2.2 ,1.7 , 2.8
Buliisa,3.3 ,2.2 , 4.6
Bundibugyo,2.5 ,1.7 , 3.5
Bunyangabu,7.1 ,5.6 , 8.8
Bushenyi,6.5 ,4.8 , 8.6
Busia,5.0 ,4.2 , 5.9
Butaleja,1.8 ,1.2 , 2.6
Butambala,8.1 ,5.5 , 11.5
Butebo,1.5 ,1.0 , 2.2
Buvuma,5.5 ,4.5 , 6.6
Buyende,2.2 ,1.4 , 3.0
Dokolo,7.1 ,5.7 , 8.8
Gomba,6.1 ,4.7 , 7.6
Gulu,14.3 ,11.2 , 17.9
Hoima,7.0 ,6.0 , 8.1
Ibanda,6.7 ,4.6 , 9.1
Iganga,3.0 ,2.1 , 4.1
Isingiro,4.8 ,3.7 , 6.1
Jinja,5.2 ,3.9 , 6.6
Kaabong,1.3 ,0.9 , 1.7
Kabale,6.0 ,5.4 , 6.6
Kabarole,14.2 ,11.5 , 17.1
Kaberamaido,4.3 ,3.5 , 5.2
Kagadi,5.5 ,4.1 , 7.2
Kakumiro,3.3 ,2.1 , 4.7
Kalaki,3.2 ,2.1 , 4.5
Kalangala,18.0 ,15.4 , 20.8
Kaliro,2.3 ,1.7 , 3.1
Kalungu,10.6 ,7.7 , 14.4
Kampala,8.2 ,7.2 , 9.2
Kamuli,3.8 ,2.7 , 5.1
Kamwenge,3.8 ,2.5 , 5.5
Kanungu,7.4 ,6.4 , 8.6
Kapchorwa,2.2 ,1.5 , 2.9
Kapelebyong,3.4 ,2.4 , 4.8
Karenga,0.6 ,0.4 , 0.8
Kasese,2.6 ,1.8 , 3.5
Kassanda,5.7 ,4.7 , 7.0
Katakwi,6.5 ,5.4 , 7.9
Kayunga,7.0 ,5.2 , 9.0
Kazo,4.4 ,3.6 , 5.3
Kibaale,4.2 ,3.3 , 5.2
Kiboga,6.5 ,4.6 , 9.0
Kibuku,1.7 ,1.4 , 2.0
Kikuube,4.0 ,2.8 , 5.3
Kiruhura,6.3 ,4.7 , 8.4
Kiryandongo,4.1 ,2.8 , 5.7
Kisoro,2.3 ,1.7 , 2.9
Kitagwenda,5.6 ,4.3 , 6.9
Kitgum,6.3 ,4.5 , 8.5
Koboko,2.2 ,1.9 , 2.7
Kole,6.5 ,5.0 , 8.2
Kotido,1.2 ,0.8 , 1.6
Kumi,2.9 ,2.1 , 3.8
Kwania,6.8 ,5.2 , 8.8
Kween,1.4 ,1.0 , 1.8
Kyankwanzi,4.9 ,3.8 , 6.2
Kyegegwa,4.7 ,3.5 , 6.0
Kyenjojo,7.4 ,6.2 , 8.7
Kyotera,11.0 ,8.7 , 13.5
Lamwo,7.6 ,5.3 , 10.7
Lira,7.4 ,5.5 , 9.8
Luuka,2.7 ,2.1 , 3.5
Luwero,7.9 ,6.7 , 9.2
Lwengo,8.7 ,7.0 , 10.7
Lyantonde,9.8 ,6.7 , 13.4
Madi Okollo,2.5 ,1.7 , 3.5
Manafwa,2.5 ,1.9 , 3.1
Maracha,1.3 ,0.9 , 2.0
Masaka,11.5 ,9.2 , 14.2
Masindi,5.7 ,4.0 , 7.8
Mayuge,4.2 ,3.4 , 5.1
Mbale,4.2 ,3.5 , 5.1
Mbarara,15.2 ,12.9 , 17.8
Mitooma,5.6 ,4.5 , 6.8
Mityana,6.7 ,4.7 , 8.7
Moroto,2.0 ,1.6 , 2.4
Moyo,2.5 ,2.0 , 3.2
Mpigi,9.3 ,7.8 , 11.0
Mubende,6.1 ,4.8 , 7.7
Mukono,6.7 ,5.7 , 7.7
Nabilatuk,0.2 ,0.2 , 0.3
Nakapiripirit,1.4 ,1.2 , 1.7
Nakaseke,7.2 ,5.7 , 9.0
Nakasongola,5.3 ,4.0 , 6.7
Namayingo,6.5 ,5.5 , 7.7
Namisindwa,1.8 ,1.5 , 2.3
Namutumba,2.0 ,1.7 , 2.4
Napak,1.3 ,0.9 , 1.7
Nebbi,3.8 ,2.7 , 5.2
Ngora,2.7 ,1.9 , 4.0
Ntoroko,4.9 ,3.6 , 6.2
Ntungamo,5.6 ,4.6 , 6.7
Nwoya,4.5 ,3.5 , 5.7
Obongi,2.0 ,1.2 , 3.1
Omoro,7.1 ,5.2 , 9.4
Otuke,5.9 ,4.1 , 8.4
Oyam,7.0 ,5.4 , 9.1
Pader,8.6 ,5.8 , 11.9
Pakwach,4.6 ,3.5 , 6.0
Pallisa,1.8 ,1.4 , 2.1
Rakai,6.0 ,4.7 , 7.6
Rubanda,2.1 ,1.3 , 3.3
Rubirizi,8.8 ,6.1 , 12.1
Rukiga,4.9 ,3.5 , 6.8
Rukungiri,6.3 ,4.7 , 8.3
Rwampara,4.8 ,3.8 , 5.9
Serere,2.7 ,2.0 , 3.6
Sheema,8.4 ,6.0 , 11.2
Sironko,2.9 ,2.4 , 3.5
Soroti,5.1 ,4.0 , 6.3
Ssembabule,5.3 ,3.8 , 7.5
Tororo,5.8 ,4.9 , 6.9
Wakiso,8.3 ,7.5 , 9.2
Yumbe,1.2 ,0.9 , 1.6
Zombo,4.0 ,2.8 , 5.4
National,5.8 ,5.4,6.2
