States,2019,2019_lower, 2019_upper
Abim,3.1 ,2.5 , 3.8
Adjumani,3.3 ,2.2 , 4.6
Agago,7.3 ,5.2 , 9.7
Alebtong,7.7 ,6.4 , 9.1
Amolatar,7.0 ,6.0 , 8.3
Amudat,1.0 ,0.7 , 1.2
Amuria,4.8 ,3.7 , 6.0
Amuru,5.4 ,3.7 , 7.8
Apac,8.6 ,6.9 , 10.5
Arua,3.4 ,2.7 , 4.1
Budaka,3.1 ,2.3 , 4.1
Bududa,2.4 ,2.0 , 2.9
Bugiri,2.7 ,2.0 , 3.5
Bugweri,3.1 ,2.3 , 4.0
Buhweju,4.2 ,3.1 , 5.5
Buikwe,10.1 ,7.8 , 12.9
Bukedea,2.8 ,2.3 , 3.4
Bukomansimbi,8.8 ,7.1 , 10.8
Bukwo,1.9 ,1.5 , 2.4
Bulambuli,2.9 ,2.3 , 3.6
Buliisa,4.3 ,2.9 , 5.9
Bundibugyo,3.2 ,2.3 , 4.5
Bunyangabu,8.6 ,7.0 , 10.6
Bushenyi,7.5 ,5.5 , 10.1
Busia,6.1 ,5.2 , 7.1
Butaleja,2.4 ,1.6 , 3.4
Butambala,10.3 ,7.0 , 14.6
Butebo,1.9 ,1.2 , 2.9
Buvuma,6.5 ,5.4 , 7.6
Buyende,2.6 ,1.7 , 3.7
Dokolo,8.3 ,6.7 , 10.4
Gomba,7.9 ,6.0 , 9.9
Gulu,17.4 ,13.8 , 21.6
Hoima,9.0 ,7.7 , 10.3
Ibanda,8.1 ,5.7 , 10.6
Iganga,3.9 ,2.8 , 5.1
Isingiro,5.9 ,4.7 , 7.4
Jinja,6.5 ,5.0 , 8.4
Kaabong,1.4 ,1.0 , 1.8
Kabale,7.0 ,6.4 , 7.7
Kabarole,17.8 ,14.4 , 21.5
Kaberamaido,5.3 ,4.4 , 6.4
Kagadi,6.7 ,5.1 , 8.8
Kakumiro,4.2 ,2.7 , 5.9
Kalaki,4.0 ,2.6 , 5.5
Kalangala,22.8 ,19.7 , 26.1
Kaliro,2.8 ,2.0 , 3.8
Kalungu,13.2 ,9.6 , 17.8
Kampala,11.0 ,9.8 , 12.2
Kamuli,4.8 ,3.5 , 6.5
Kamwenge,4.5 ,3.0 , 6.6
Kanungu,8.7 ,7.6 , 9.9
Kapchorwa,2.8 ,2.0 , 3.9
Kapelebyong,4.1 ,2.9 , 5.8
Karenga,0.7 ,0.5 , 1.0
Kasese,3.4 ,2.4 , 4.4
Kassanda,7.9 ,6.4 , 9.5
Katakwi,8.0 ,6.6 , 9.6
Kayunga,8.7 ,6.6 , 11.2
Kazo,5.4 ,4.4 , 6.5
Kibaale,5.1 ,4.0 , 6.4
Kiboga,8.8 ,6.2 , 12.3
Kibuku,2.1 ,1.7 , 2.5
Kikuube,5.0 ,3.5 , 6.7
Kiruhura,7.8 ,5.8 , 10.1
Kiryandongo,5.3 ,3.7 , 7.3
Kisoro,2.6 ,2.0 , 3.2
Kitagwenda,6.6 ,5.2 , 8.3
Kitgum,7.9 ,5.8 , 10.5
Koboko,2.7 ,2.3 , 3.3
Kole,7.8 ,6.1 , 9.8
Kotido,1.2 ,0.9 , 1.7
Kumi,3.4 ,2.5 , 4.5
Kwania,8.0 ,6.1 , 10.3
Kween,1.8 ,1.3 , 2.4
Kyankwanzi,6.6 ,5.1 , 8.4
Kyegegwa,6.0 ,4.5 , 7.6
Kyenjojo,9.2 ,7.7 , 10.9
Kyotera,12.6 ,9.9 , 15.6
Lamwo,8.7 ,5.9 , 12.3
Lira,9.3 ,7.0 , 12.1
Luuka,3.2 ,2.5 , 4.2
Luwero,9.7 ,8.3 , 11.3
Lwengo,10.6 ,8.6 , 13.0
Lyantonde,12.1 ,8.2 , 16.7
Madi Okollo,2.9 ,2.0 , 4.1
Manafwa,3.3 ,2.6 , 4.1
Maracha,1.5 ,1.0 , 2.2
Masaka,14.7 ,12.0 , 17.8
Masindi,7.3 ,5.1 , 10.2
Mayuge,5.0 ,4.0 , 6.0
Mbale,5.6 ,4.7 , 6.7
Mbarara,14.8 ,12.1 , 17.7
Mitooma,6.3 ,5.1 , 7.6
Mityana,8.8 ,6.4 , 11.5
Moroto,1.8 ,1.5 , 2.1
Moyo,3.2 ,2.5 , 4.1
Mpigi,12.1 ,10.3 , 14.2
Mubende,7.7 ,6.1 , 9.5
Mukono,8.5 ,7.3 , 9.8
Nabilatuk,0.3 ,0.2 , 0.4
Nakapiripirit,1.1 ,0.9 , 1.3
Nakaseke,10.6 ,8.4 , 13.0
Nakasongola,6.2 ,4.8 , 8.0
Namayingo,7.5 ,6.5 , 8.7
Namisindwa,2.5 ,2.1 , 3.1
Namutumba,2.6 ,2.1 , 3.0
Napak,1.4 ,1.1 , 1.9
Nebbi,4.7 ,3.4 , 6.4
Ngora,3.2 ,2.2 , 4.7
Ntoroko,6.5 ,4.9 , 8.3
Ntungamo,6.8 ,5.6 , 8.1
Nwoya,5.5 ,4.3 , 7.0
Obongi,2.5 ,1.5 , 3.9
Omoro,8.8 ,6.5 , 11.5
Otuke,7.2 ,4.9 , 10.3
Oyam,8.4 ,6.5 , 10.8
Pader,10.2 ,7.0 , 14.2
Pakwach,5.6 ,4.2 , 7.3
Pallisa,2.2 ,1.9 , 2.7
Rakai,7.7 ,6.1 , 9.6
Rubanda,2.4 ,1.5 , 3.7
Rubirizi,10.2 ,7.2 , 14.1
Rukiga,5.7 ,3.9 , 7.9
Rukungiri,7.4 ,5.5 , 9.7
Rwampara,5.9 ,4.8 , 7.1
Serere,3.1 ,2.3 , 4.2
Sheema,10.3 ,7.7 , 13.2
Sironko,4.1 ,3.4 , 4.9
Soroti,6.2 ,4.9 , 7.7
Ssembabule,6.9 ,5.0 , 9.6
Tororo,6.9 ,5.7 , 8.2
Wakiso,9.7 ,8.6 , 10.7
Yumbe,1.4 ,1.1 , 1.9
Zombo,4.7 ,3.3 , 6.4
National,7.1 ,6.6,7.7
