States,2019,2019_lower, 2019_upper
Abim,1.7 ,1.3 , 2.3
Adjumani,2.4 ,1.5 , 3.5
Agago,5.1 ,3.6 , 6.7
Alebtong,4.5 ,3.6 , 5.6
Amolatar,6.1 ,5.1 , 7.3
Amudat,0.6 ,0.4 , 0.8
Amuria,3.2 ,2.5 , 4.1
Amuru,3.6 ,2.4 , 5.2
Apac,5.8 ,4.5 , 7.2
Arua,2.3 ,1.9 , 2.8
Budaka,1.8 ,1.3 , 2.3
Bududa,1.1 ,0.9 , 1.5
Bugiri,1.3 ,0.8 , 1.8
Bugweri,1.5 ,1.1 , 2.1
Buhweju,3.3 ,2.3 , 4.5
Buikwe,5.4 ,4.1 , 6.9
Bukedea,1.9 ,1.5 , 2.3
Bukomansimbi,5.1 ,3.9 , 6.5
Bukwo,1.1 ,0.8 , 1.4
Bulambuli,1.4 ,1.0 , 1.9
Buliisa,2.4 ,1.6 , 3.3
Bundibugyo,1.6 ,1.0 , 2.4
Bunyangabu,5.5 ,4.3 , 7.0
Bushenyi,5.4 ,4.0 , 7.2
Busia,3.8 ,3.1 , 4.7
Butaleja,1.2 ,0.7 , 1.7
Butambala,5.8 ,3.8 , 8.5
Butebo,1.1 ,0.7 , 1.7
Buvuma,4.8 ,3.8 , 5.9
Buyende,1.7 ,1.1 , 2.3
Dokolo,5.8 ,4.5 , 7.3
Gomba,4.6 ,3.5 , 5.8
Gulu,11.1 ,8.5 , 14.1
Hoima,5.1 ,4.2 , 6.1
Ibanda,5.2 ,3.3 , 7.6
Iganga,2.0 ,1.3 , 2.8
Isingiro,3.6 ,2.6 , 4.9
Jinja,3.7 ,2.8 , 4.8
Kaabong,1.1 ,0.7 , 1.7
Kabale,4.8 ,4.2 , 5.6
Kabarole,10.8 ,8.7 , 12.9
Kaberamaido,3.2 ,2.5 , 4.1
Kagadi,4.2 ,3.0 , 5.7
Kakumiro,2.5 ,1.6 , 3.5
Kalaki,2.4 ,1.6 , 3.4
Kalangala,14.9 ,12.4 , 17.6
Kaliro,1.8 ,1.3 , 2.5
Kalungu,7.9 ,5.6 , 10.8
Kampala,5.0 ,4.1 , 6.0
Kamuli,2.7 ,1.9 , 3.7
Kamwenge,3.0 ,2.0 , 4.4
Kanungu,6.1 ,5.1 , 7.2
Kapchorwa,1.5 ,1.0 , 2.0
Kapelebyong,2.7 ,1.9 , 3.7
Karenga,0.4 ,0.3 , 0.6
Kasese,1.7 ,1.2 , 2.5
Kassanda,3.8 ,3.0 , 4.8
Katakwi,5.1 ,4.1 , 6.3
Kayunga,5.1 ,3.7 , 6.9
Kazo,3.4 ,2.7 , 4.2
Kibaale,3.3 ,2.5 , 4.3
Kiboga,4.5 ,3.1 , 6.3
Kibuku,1.2 ,1.0 , 1.6
Kikuube,3.0 ,2.1 , 4.0
Kiruhura,5.1 ,3.7 , 7.0
Kiryandongo,3.0 ,1.9 , 4.3
Kisoro,1.8 ,1.3 , 2.4
Kitagwenda,4.4 ,3.4 , 5.6
Kitgum,4.6 ,3.1 , 6.5
Koboko,1.7 ,1.4 , 2.1
Kole,5.0 ,3.8 , 6.5
Kotido,1.1 ,0.8 , 1.5
Kumi,2.4 ,1.8 , 3.2
Kwania,5.6 ,4.2 , 7.3
Kween,0.9 ,0.6 , 1.3
Kyankwanzi,3.5 ,2.6 , 4.5
Kyegegwa,3.4 ,2.5 , 4.5
Kyenjojo,5.6 ,4.6 , 6.8
Kyotera,9.4 ,7.5 , 11.3
Lamwo,6.5 ,4.4 , 9.0
Lira,5.4 ,3.8 , 7.5
Luuka,2.1 ,1.5 , 2.8
Luwero,6.2 ,5.2 , 7.4
Lwengo,6.6 ,5.1 , 8.3
Lyantonde,7.6 ,5.3 , 10.4
Madi Okollo,2.0 ,1.3 , 2.8
Manafwa,1.6 ,1.2 , 2.1
Maracha,1.1 ,0.7 , 1.6
Masaka,8.2 ,6.2 , 10.4
Masindi,4.2 ,2.9 , 5.9
Mayuge,3.2 ,2.5 , 4.1
Mbale,2.7 ,2.1 , 3.3
Mbarara,15.7 ,13.4 , 18.0
Mitooma,4.7 ,3.7 , 5.9
Mityana,4.7 ,3.2 , 6.3
Moroto,2.2 ,1.8 , 2.7
Moyo,1.8 ,1.3 , 2.4
Mpigi,6.7 ,5.4 , 8.1
Mubende,4.6 ,3.5 , 5.9
Mukono,4.7 ,3.8 , 5.7
Nabilatuk,0.2 ,0.1 , 0.3
Nakapiripirit,1.7 ,1.4 , 2.0
Nakaseke,4.8 ,3.7 , 6.2
Nakasongola,4.5 ,3.4 , 5.7
Namayingo,5.5 ,4.5 , 6.8
Namisindwa,1.1 ,0.8 , 1.4
Namutumba,1.4 ,1.2 , 1.8
Napak,1.1 ,0.7 , 1.6
Nebbi,2.8 ,1.9 , 3.9
Ngora,2.2 ,1.5 , 3.2
Ntoroko,3.3 ,2.4 , 4.4
Ntungamo,4.2 ,3.4 , 5.2
Nwoya,3.5 ,2.6 , 4.5
Obongi,1.5 ,0.9 , 2.4
Omoro,5.4 ,3.9 , 7.2
Otuke,4.5 ,3.1 , 6.4
Oyam,5.6 ,4.3 , 7.4
Pader,6.8 ,4.6 , 9.4
Pakwach,3.5 ,2.6 , 4.7
Pallisa,1.3 ,1.0 , 1.6
Rakai,4.2 ,3.2 , 5.5
