States,2019,2019_lower, 2019_upper
Abim,1.2 ,1.0 , 1.6
Adjumani,1.3 ,0.9 , 2.0
Agago,3.0 ,2.1 , 4.1
Alebtong,3.2 ,2.6 , 4.0
Amolatar,3.2 ,2.6 , 3.9
Amudat,0.4 ,0.3 , 0.5
Amuria,2.0 ,1.5 , 2.6
Amuru,2.3 ,1.5 , 3.2
Apac,3.6 ,2.7 , 4.5
Arua,1.3 ,1.1 , 1.7
Budaka,1.3 ,0.9 , 1.7
Bududa,0.9 ,0.7 , 1.2
Bugiri,1.0 ,0.7 , 1.4
Bugweri,1.2 ,0.9 , 1.6
Buhweju,1.7 ,1.3 , 2.3
Buikwe,4.0 ,3.0 , 5.3
Bukedea,1.1 ,0.9 , 1.4
Bukomansimbi,3.6 ,2.8 , 4.6
Bukwo,0.7 ,0.6 , 1.0
Bulambuli,1.1 ,0.9 , 1.5
Buliisa,1.6 ,1.1 , 2.3
Bundibugyo,1.2 ,0.8 , 1.7
Bunyangabu,3.5 ,2.7 , 4.5
Bushenyi,3.0 ,2.1 , 4.1
Busia,2.5 ,2.1 , 3.1
Butaleja,0.9 ,0.6 , 1.3
Butambala,4.4 ,2.9 , 6.5
Butebo,0.8 ,0.5 , 1.2
Buvuma,2.4 ,1.9 , 2.9
Buyende,1.1 ,0.7 , 1.5
Dokolo,3.5 ,2.7 , 4.5
Gomba,3.2 ,2.4 , 4.1
Gulu,7.2 ,5.4 , 9.3
Hoima,3.4 ,2.8 , 4.2
Ibanda,3.1 ,2.1 , 4.3
Iganga,1.5 ,1.1 , 2.1
Isingiro,2.2 ,1.7 , 2.9
Jinja,2.5 ,1.9 , 3.3
Kaabong,0.6 ,0.4 , 0.8
Kabale,2.7 ,2.3 , 3.1
Kabarole,7.1 ,5.5 , 8.9
Kaberamaido,2.2 ,1.7 , 2.7
Kagadi,2.6 ,1.9 , 3.6
Kakumiro,1.6 ,1.0 , 2.3
Kalaki,1.5 ,1.0 , 2.2
Kalangala,7.6 ,6.3 , 9.2
Kaliro,1.2 ,0.8 , 1.6
Kalungu,5.6 ,3.9 , 7.9
Kampala,3.8 ,3.3 , 4.4
Kamuli,1.9 ,1.4 , 2.6
Kamwenge,1.7 ,1.1 , 2.6
Kanungu,3.4 ,2.9 , 4.1
Kapchorwa,1.1 ,0.7 , 1.5
Kapelebyong,1.7 ,1.2 , 2.4
Karenga,0.3 ,0.2 , 0.4
Kasese,1.3 ,0.9 , 1.8
Kassanda,3.0 ,2.4 , 3.8
Katakwi,3.3 ,2.6 , 4.1
Kayunga,3.7 ,2.7 , 5.0
Kazo,2.1 ,1.6 , 2.6
Kibaale,2.0 ,1.5 , 2.6
Kiboga,3.5 ,2.3 , 4.9
Kibuku,0.8 ,0.7 , 1.0
Kikuube,1.9 ,1.3 , 2.6
Kiruhura,3.0 ,2.1 , 4.0
Kiryandongo,2.1 ,1.4 , 3.0
Kisoro,1.0 ,0.8 , 1.4
Kitagwenda,2.6 ,1.9 , 3.2
Kitgum,3.2 ,2.2 , 4.4
Koboko,1.1 ,0.9 , 1.3
Kole,3.3 ,2.5 , 4.3
Kotido,0.5 ,0.4 , 0.7
Kumi,1.4 ,1.0 , 1.9
Kwania,3.4 ,2.6 , 4.6
Kween,0.7 ,0.5 , 1.0
Kyankwanzi,2.5 ,1.9 , 3.3
Kyegegwa,2.3 ,1.6 , 3.0
Kyenjojo,3.6 ,2.9 , 4.4
Kyotera,5.4 ,4.1 , 6.9
Lamwo,3.7 ,2.4 , 5.4
Lira,3.7 ,2.7 , 5.0
Luuka,1.4 ,1.0 , 1.8
Luwero,4.0 ,3.3 , 4.9
Lwengo,4.4 ,3.4 , 5.6
Lyantonde,5.0 ,3.3 , 7.2
Madi Okollo,1.2 ,0.8 , 1.6
Manafwa,1.3 ,1.0 , 1.6
Maracha,0.6 ,0.4 , 0.9
Masaka,5.8 ,4.5 , 7.4
Masindi,2.8 ,1.9 , 3.9
Mayuge,2.1 ,1.6 , 2.6
Mbale,2.1 ,1.7 , 2.6
Mbarara,6.5 ,5.2 , 8.0
Mitooma,2.6 ,2.0 , 3.2
Mityana,3.5 ,2.4 , 4.7
Moroto,0.8 ,0.6 , 1.0
Moyo,1.2 ,0.9 , 1.6
Mpigi,4.8 ,3.9 , 6.0
Mubende,3.0 ,2.3 , 3.9
Mukono,3.3 ,2.7 , 4.0
Nabilatuk,0.1 ,<0.1 , 0.2
Nakapiripirit,0.6 ,0.5 , 0.7
Nakaseke,3.9 ,3.0 , 5.0
Nakasongola,2.7 ,2.0 , 3.5
Namayingo,3.2 ,2.6 , 3.9
Namisindwa,0.9 ,0.7 , 1.2
Namutumba,1.0 ,0.8 , 1.3
Napak,0.6 ,0.4 , 0.8
Nebbi,1.8 ,1.3 , 2.5
Ngora,1.3 ,0.9 , 2.0
Ntoroko,2.5 ,1.8 , 3.2
Ntungamo,2.6 ,2.1 , 3.3
Nwoya,2.2 ,1.7 , 2.9
Obongi,1.0 ,0.6 , 1.5
Omoro,3.7 ,2.6 , 5.0
Otuke,2.8 ,1.9 , 4.2
Oyam,3.4 ,2.6 , 4.5
Pader,4.3 ,2.8 , 6.1
Pakwach,2.2 ,1.6 , 2.9
Pallisa,0.9 ,0.7 , 1.1
Rakai,2.9 ,2.2 , 3.8
Rubanda,0.9 ,0.6 , 1.5
Rubirizi,4.1 ,2.7 , 5.8
Rukiga,2.2 ,1.5 , 3.2
Rukungiri,2.9 ,2.1 , 4.0
Rwampara,2.3 ,1.7 , 2.8
Serere,1.3 ,0.9 , 1.8
Sheema,4.0 ,2.9 , 5.3
Sironko,1.6 ,1.2 , 1.9
Soroti,2.5 ,1.9 , 3.2
Ssembabule,2.7 ,1.8 , 3.8
Tororo,2.8 ,2.3 , 3.4
Wakiso,3.7 ,3.2 , 4.2
Yumbe,0.6 ,0.4 , 0.8
Zombo,1.9 ,1.3 , 2.6
National,2.8 ,1.5,4.0
