States,2019,2019_lower, 2019_upper
Abim,1.32 ,0.94 , <0.01
Adjumani,1.49 ,0.95 , <0.01
Agago,3.02 ,2.04 , <0.01
Alebtong,3.12 ,2.31 , <0.01
Amolatar,3.29 ,2.50 , <0.01
Amudat,0.44 ,0.29 , <0.01
Amuria,1.82 ,1.34 , <0.01
Amuru,2.33 ,1.54 , <0.01
Apac,3.78 ,2.79 , <0.01
Arua,1.40 ,1.06 , <0.01
Budaka,1.29 ,0.89 , <0.01
Bududa,0.91 ,0.66 , <0.01
Bugiri,1.01 ,0.67 , <0.01
Bugweri,1.20 ,0.82 , <0.01
Buhweju,1.94 ,1.31 , <0.01
Buikwe,3.79 ,2.82 , <0.01
Bukedea,1.09 ,0.83 , <0.01
Bukomansimbi,3.01 ,2.22 , <0.01
Bukwo,0.91 ,0.60 , <0.01
Bulambuli,1.28 ,0.84 , <0.01
Buliisa,1.65 ,1.06 , <0.01
Bundibugyo,1.25 ,0.80 , <0.01
Bunyangabu,3.32 ,2.43 , <0.01
Bushenyi,2.92 ,2.06 , <0.01
Busia,2.65 ,1.95 , <0.01
Butaleja,0.94 ,0.59 , <0.01
Butambala,3.99 ,2.53 , <0.01
Butebo,0.82 ,0.50 , <0.01
Buvuma,2.77 ,1.98 , <0.01
Buyende,1.12 ,0.72 , <0.01
Dokolo,3.74 ,2.74 , <0.01
Gomba,2.93 ,2.12 , <0.01
Gulu,6.75 ,5.03 , <0.01
Hoima,3.51 ,2.68 , <0.01
Ibanda,3.02 ,1.99 , <0.01
Iganga,1.57 ,1.05 , <0.01
Isingiro,2.16 ,1.53 , <0.01
Jinja,2.55 ,1.88 , <0.01
Kaabong,0.73 ,0.48 , <0.01
Kabale,2.63 ,2.11 , <0.01
Kabarole,6.25 ,4.83 , <0.01
Kaberamaido,1.97 ,1.49 , <0.01
Kagadi,2.59 ,1.83 , <0.01
Kakumiro,1.62 ,1.01 , <0.01
Kalaki,1.43 ,0.92 , <0.01
Kalangala,7.14 ,5.45 , <0.01
Kaliro,1.27 ,0.86 , <0.01
Kalungu,4.52 ,3.20 , <0.01
Kampala,3.71 ,3.20 , <0.01
Kamuli,1.88 ,1.28 , <0.01
Kamwenge,1.78 ,1.13 , <0.01
Kanungu,3.28 ,2.56 , <0.01
Kapchorwa,1.23 ,0.80 , <0.01
Kapelebyong,1.61 ,1.06 , <0.01
Karenga,0.28 ,0.18 , <0.01
Kasese,1.25 ,0.85 , <0.01
Kassanda,2.85 ,2.13 , <0.01
Katakwi,2.86 ,2.21 , <0.01
Kayunga,3.62 ,2.56 , <0.01
Kazo,2.13 ,1.55 , <0.01
Kibaale,2.10 ,1.50 , <0.01
Kiboga,3.23 ,2.16 , <0.01
Kibuku,0.90 ,0.64 , <0.01
Kikuube,1.98 ,1.32 , <0.01
Kiruhura,2.96 ,2.08 , <0.01
Kiryandongo,2.16 ,1.38 , <0.01
Kisoro,1.10 ,0.78 , <0.01
Kitagwenda,2.53 ,1.84 , <0.01
Kitgum,2.86 ,1.97 , <0.01
Koboko,1.11 ,0.84 , <0.01
Kole,3.36 ,2.37 , <0.01
Kotido,0.57 ,0.37 , <0.01
Kumi,1.36 ,0.95 , <0.01
Kwania,3.77 ,2.67 , <0.01
Kween,0.93 ,0.59 , <0.01
Kyankwanzi,2.56 ,1.80 , <0.01
Kyegegwa,2.29 ,1.60 , <0.01
Kyenjojo,3.56 ,2.78 , <0.01
Kyotera,4.94 ,3.69 , <0.01
Lamwo,3.36 ,2.24 , <0.01
Lira,3.89 ,2.74 , <0.01
Luuka,1.57 ,1.07 , <0.01
Luwero,3.83 ,2.98 , <0.01
Lwengo,3.97 ,2.94 , <0.01
Lyantonde,4.55 ,3.02 , <0.01
Madi Okollo,1.30 ,0.86 , <0.01
Manafwa,1.38 ,0.96 , <0.01
Maracha,0.65 ,0.41 , <0.01
Masaka,5.02 ,3.83 , <0.01
Masindi,2.97 ,1.96 , <0.01
Mayuge,2.24 ,1.65 , <0.01
Mbale,2.08 ,1.61 , <0.01
Mbarara,7.01 ,5.53 , <0.01
Mitooma,2.56 ,1.93 , <0.01
Mityana,3.23 ,2.19 , <0.01
Moroto,0.94 ,0.70 , <0.01
Moyo,1.24 ,0.85 , <0.01
Mpigi,4.42 ,3.45 , <0.01
Mubende,3.13 ,2.26 , <0.01
Mukono,3.38 ,2.65 , <0.01
Nabilatuk,0.15 ,0.09 , <0.01
Nakapiripirit,0.72 ,0.53 , <0.01
Nakaseke,3.47 ,2.52 , <0.01
Nakasongola,2.81 ,1.96 , <0.01
Namayingo,3.43 ,2.50 , <0.01
Namisindwa,1.02 ,0.72 , <0.01
Namutumba,0.99 ,0.73 , <0.01
Napak,0.65 ,0.44 , <0.01
Nebbi,1.85 ,1.25 , <0.01
Ngora,1.29 ,0.85 , <0.01
Ntoroko,2.34 ,1.59 , <0.01
Ntungamo,2.54 ,1.92 , <0.01
Nwoya,2.18 ,1.57 , <0.01
Obongi,0.98 ,0.56 , <0.01
Omoro,3.49 ,2.41 , <0.01
Otuke,2.55 ,1.67 , <0.01
Oyam,3.62 ,2.66 , <0.01
Pader,3.93 ,2.60 , <0.01
Pakwach,2.19 ,1.57 , <0.01
Pallisa,0.89 ,0.65 , <0.01
Rakai,2.45 ,1.79 , <0.01
Rubanda,0.94 ,0.56 , <0.01
Rubirizi,3.79 ,2.54 , <0.01
Rukiga,2.15 ,1.43 , <0.01
Rukungiri,2.81 ,1.99 , <0.01
Rwampara,2.28 ,1.60 , <0.01
Serere,1.21 ,0.86 , <0.01
Sheema,3.71 ,2.57 , <0.01
Sironko,1.59 ,1.11 , <0.01
Soroti,2.24 ,1.74 , <0.01
Ssembabule,2.48 ,1.68 , <0.01
Tororo,2.85 ,2.23 , <0.01
Wakiso,3.66 ,3.15 , <0.01
Yumbe,0.59 ,0.41 , <0.01
Zombo,1.83 ,1.24 , <0.01
National,3.03 ,2.39,4.03
