States,2019,2019_lower, 2019_upper
Abim,1.53 ,1.09 , <0.01
Adjumani,1.76 ,1.12 , <0.01
Agago,3.56 ,2.41 , <0.01
Alebtong,3.66 ,2.72 , <0.01
Amolatar,3.87 ,2.95 , <0.01
Amudat,0.51 ,0.34 , <0.01
Amuria,2.14 ,1.57 , <0.01
Amuru,2.76 ,1.83 , <0.01
Apac,4.39 ,3.25 , <0.01
Arua,1.65 ,1.25 , <0.01
Budaka,1.53 ,1.05 , <0.01
Bududa,1.06 ,0.78 , <0.01
Bugiri,1.21 ,0.80 , <0.01
Bugweri,1.43 ,0.98 , <0.01
Buhweju,2.29 ,1.55 , <0.01
Buikwe,4.41 ,3.29 , <0.01
Bukedea,1.30 ,0.99 , <0.01
Bukomansimbi,3.62 ,2.68 , <0.01
Bukwo,1.07 ,0.70 , <0.01
Bulambuli,1.52 ,1.00 , <0.01
Buliisa,1.93 ,1.24 , <0.01
Bundibugyo,1.45 ,0.93 , <0.01
Bunyangabu,3.89 ,2.85 , <0.01
Bushenyi,3.41 ,2.42 , <0.01
Busia,3.10 ,2.28 , <0.01
Butaleja,1.11 ,0.69 , <0.01
Butambala,4.69 ,3.00 , <0.01
Butebo,0.98 ,0.59 , <0.01
Buvuma,3.34 ,2.39 , <0.01
Buyende,1.32 ,0.85 , <0.01
Dokolo,4.34 ,3.19 , <0.01
Gomba,3.50 ,2.55 , <0.01
Gulu,7.70 ,5.79 , 0.01
Hoima,4.06 ,3.12 , <0.01
Ibanda,3.57 ,2.36 , <0.01
Iganga,1.85 ,1.24 , <0.01
Isingiro,2.58 ,1.83 , <0.01
Jinja,2.95 ,2.19 , <0.01
Kaabong,0.85 ,0.56 , <0.01
Kabale,3.11 ,2.50 , <0.01
Kabarole,7.16 ,5.57 , <0.01
Kaberamaido,2.31 ,1.75 , <0.01
Kagadi,3.03 ,2.14 , <0.01
Kakumiro,1.90 ,1.18 , <0.01
Kalaki,1.67 ,1.07 , <0.01
Kalangala,8.45 ,6.49 , 0.01
Kaliro,1.50 ,1.01 , <0.01
Kalungu,5.35 ,3.81 , <0.01
Kampala,4.19 ,3.62 , <0.01
Kamuli,2.22 ,1.52 , <0.01
Kamwenge,2.11 ,1.35 , <0.01
Kanungu,3.88 ,3.03 , <0.01
Kapchorwa,1.44 ,0.95 , <0.01
Kapelebyong,1.89 ,1.26 , <0.01
Karenga,0.33 ,0.21 , <0.01
Kasese,1.47 ,1.00 , <0.01
Kassanda,3.35 ,2.51 , <0.01
Katakwi,3.36 ,2.60 , <0.01
Kayunga,4.29 ,3.04 , <0.01
Kazo,2.54 ,1.85 , <0.01
Kibaale,2.45 ,1.76 , <0.01
Kiboga,3.79 ,2.55 , <0.01
Kibuku,1.07 ,0.76 , <0.01
Kikuube,2.32 ,1.55 , <0.01
Kiruhura,3.51 ,2.47 , <0.01
Kiryandongo,2.53 ,1.63 , <0.01
Kisoro,1.30 ,0.92 , <0.01
Kitagwenda,3.03 ,2.20 , <0.01
Kitgum,3.36 ,2.32 , <0.01
Koboko,1.30 ,0.98 , <0.01
Kole,3.89 ,2.76 , <0.01
Kotido,0.67 ,0.44 , <0.01
Kumi,1.62 ,1.13 , <0.01
Kwania,4.37 ,3.11 , <0.01
Kween,1.10 ,0.70 , <0.01
Kyankwanzi,2.99 ,2.11 , <0.01
Kyegegwa,2.68 ,1.88 , <0.01
Kyenjojo,4.13 ,3.23 , <0.01
Kyotera,5.83 ,4.37 , <0.01
Lamwo,3.98 ,2.67 , <0.01
Lira,4.46 ,3.16 , <0.01
Luuka,1.87 ,1.28 , <0.01
Luwero,4.48 ,3.49 , <0.01
Lwengo,4.75 ,3.53 , <0.01
Lyantonde,5.33 ,3.55 , <0.01
Madi Okollo,1.55 ,1.04 , <0.01
Manafwa,1.63 ,1.14 , <0.01
Maracha,0.78 ,0.49 , <0.01
Masaka,5.82 ,4.45 , <0.01
Masindi,3.46 ,2.30 , <0.01
Mayuge,2.65 ,1.96 , <0.01
Mbale,2.44 ,1.89 , <0.01
Mbarara,8.12 ,6.43 , <0.01
Mitooma,3.04 ,2.29 , <0.01
Mityana,3.81 ,2.59 , <0.01
Moroto,1.11 ,0.82 , <0.01
Moyo,1.47 ,1.01 , <0.01
Mpigi,5.19 ,4.06 , <0.01
Mubende,3.67 ,2.66 , <0.01
Mukono,3.95 ,3.10 , <0.01
Nabilatuk,0.17 ,0.10 , <0.01
Nakapiripirit,0.83 ,0.61 , <0.01
Nakaseke,4.08 ,2.97 , <0.01
Nakasongola,3.31 ,2.31 , <0.01
Namayingo,4.05 ,2.96 , <0.01
Namisindwa,1.21 ,0.86 , <0.01
Namutumba,1.18 ,0.87 , <0.01
Napak,0.77 ,0.52 , <0.01
Nebbi,2.18 ,1.47 , <0.01
Ngora,1.52 ,1.00 , <0.01
Ntoroko,2.73 ,1.86 , <0.01
Ntungamo,3.02 ,2.29 , <0.01
Nwoya,2.57 ,1.85 , <0.01
Obongi,1.16 ,0.67 , <0.01
Omoro,4.12 ,2.86 , <0.01
Otuke,2.97 ,1.96 , <0.01
Oyam,4.22 ,3.11 , <0.01
Pader,4.63 ,3.08 , <0.01
Pakwach,2.57 ,1.85 , <0.01
Pallisa,1.05 ,0.77 , <0.01
Rakai,2.94 ,2.16 , <0.01
Rubanda,1.12 ,0.67 , <0.01
Rubirizi,4.50 ,3.04 , <0.01
Rukiga,2.58 ,1.71 , <0.01
Rukungiri,3.33 ,2.37 , <0.01
Rwampara,2.70 ,1.91 , <0.01
Serere,1.43 ,1.02 , <0.01
Sheema,4.39 ,3.06 , <0.01
Sironko,1.89 ,1.32 , <0.01
Soroti,2.61 ,2.03 , <0.01
Ssembabule,2.96 ,2.01 , <0.01
Tororo,3.35 ,2.63 , <0.01
Wakiso,4.15 ,3.58 , <0.01
Yumbe,0.69 ,0.48 , <0.01
Zombo,2.18 ,1.48 , <0.01
National,3.52 ,2.22,5.01
