States,2019,2019_lower, 2019_upper
Abim,1700 ,1300 , 2100
Adjumani,2900 ,1900 , 4200
Agago,6600 ,4700 , 8600
Alebtong,7500 ,6100 , 8900
Amolatar,5400 ,4500 , 6400
Amudat,<500 ,<500 , <1000
Amuria,4000 ,3100 , 5100
Amuru,4400 ,3000 , 6300
Apac,7400 ,6000 , 9100
Arua,10 000 ,8100 , 12 000
Budaka,2700 ,2000 , 3500
Bududa,2100 ,1700 , 2600
Bugiri,4200 ,3000 , 5600
Bugweri,2000 ,1500 , 2600
Buhweju,2400 ,1700 , 3200
Buikwe,18 000 ,14 000 , 23 000
Bukedea,2700 ,2200 , 3200
Bukomansimbi,4700 ,3800 , 5900
Bukwo,<1000 ,<1000 , <1000
Bulambuli,2300 ,1800 , 3000
Buliisa,2300 ,1600 , 3200
Bundibugyo,3000 ,2100 , 4300
Bunyangabu,6500 ,5100 , 8100
Bushenyi,8000 ,6000 , 11 000
Busia,9000 ,7500 , 11 000
Butaleja,2300 ,1600 , 3300
Butambala,3800 ,2600 , 5400
Butebo,<1000 ,<1000 , 1200
Buvuma,3700 ,3100 , 4500
Buyende,3700 ,2400 , 5200
Dokolo,6700 ,5300 , 8300
Gomba,4800 ,3700 , 6000
Gulu,23 000 ,18 000 , 29 000
Hoima,13 000 ,11 000 , 15 000
Ibanda,8800 ,6000 , 12 000
Iganga,5700 ,4100 , 7900
Isingiro,13 000 ,9700 , 16 000
Jinja,13 000 ,10 000 , 17 000
Kaabong,<1000 ,<1000 , 1100
Kabale,7300 ,6600 , 8200
Kabarole,24 000 ,19 000 , 29 000
Kaberamaido,2600 ,2100 , 3100
Kagadi,10 000 ,7700 , 14 000
Kakumiro,6800 ,4400 , 9700
Kalaki,1800 ,1200 , 2600
Kalangala,8000 ,6900 , 9200
Kaliro,2900 ,2100 , 3900
Kalungu,9200 ,6700 , 12 000
Kampala,87 000 ,77 000 , 98 000
Kamuli,9500 ,6800 , 13 000
Kamwenge,5600 ,3700 , 8100
Kanungu,9500 ,8200 , 11 000
Kapchorwa,1200 ,<1000 , 1700
Kapelebyong,1500 ,1100 , 2100
Karenga,<200 ,<200 , <500
Kasese,9800 ,6900 , 13 000
Kassanda,8200 ,6600 , 10 000
Katakwi,5800 ,4700 , 7000
Kayunga,13 000 ,9400 , 16 000
Kazo,4400 ,3600 , 5300
Kibaale,3600 ,2800 , 4500
Kiboga,5400 ,3800 , 7400
Kibuku,1800 ,1400 , 2100
Kikuube,6400 ,4600 , 8600
Kiruhura,5900 ,4400 , 7700
Kiryandongo,6100 ,4200 , 8500
Kisoro,3200 ,2500 , 4100
Kitagwenda,4300 ,3400 , 5400
Kitgum,6700 ,4800 , 9100
Koboko,2700 ,2300 , 3300
Kole,8000 ,6200 , 10 000
Kotido,1100 ,<1000 , 1600
Kumi,3700 ,2700 , 4900
Kwania,6500 ,5000 , 8400
Kween,<1000 ,<500 , <1000
Kyankwanzi,6300 ,4900 , 8100
Kyegegwa,9000 ,6800 , 12 000
Kyenjojo,17 000 ,14 000 , 20 000
Kyotera,14 000 ,11 000 , 17 000
Lamwo,4900 ,3400 , 6900
Lira,17 000 ,13 000 , 23 000
Luuka,3200 ,2400 , 4100
Luwero,20 000 ,17 000 , 24 000
Lwengo,11 000 ,9000 , 14 000
Lyantonde,5100 ,3500 , 6900
Madi Okollo,1800 ,1300 , 2600
Manafwa,1800 ,1400 , 2300
Maracha,1200 ,<1000 , 1700
Masaka,20 000 ,16 000 , 24 000
Masindi,9600 ,6700 , 13 000
Mayuge,11 000 ,8500 , 13 000
Mbale,13 000 ,10 000 , 15 000
Mbarara,32 000 ,27 000 , 38 000
Mitooma,4800 ,3900 , 5800
Mityana,12 000 ,8300 , 15 000
Moroto,1100 ,<1000 , 1300
Moyo,1300 ,1000 , 1700
Mpigi,13 000 ,11 000 , 15 000
Mubende,17 000 ,13 000 , 21 000
Mukono,24 000 ,21 000 , 28 000
Nabilatuk,<100 ,<100 , <200
Nakapiripirit,<1000 ,<1000 , <1000
Nakaseke,8200 ,6500 , 10 000
Nakasongola,5600 ,4300 , 7100
Namayingo,7100 ,6000 , 8400
Namisindwa,1700 ,1400 , 2100
Namutumba,2600 ,2200 , 3200
Napak,<1000 ,<1000 , 1200
Nebbi,4600 ,3300 , 6300
Ngora,2000 ,1400 , 2900
Ntoroko,1800 ,1400 , 2300
Ntungamo,14 000 ,11 000 , 16 000
Nwoya,4400 ,3400 , 5600
Obongi,<500 ,<500 , <1000
Omoro,6500 ,4800 , 8600
Otuke,3400 ,2300 , 4800
Oyam,14 000 ,11 000 , 18 000
Pader,7800 ,5300 , 11 000
Pakwach,3900 ,3000 , 5200
Pallisa,2700 ,2200 , 3300
Rakai,8400 ,6600 , 11 000
Rubanda,2000 ,1200 , 3100
Rubirizi,5600 ,3900 , 7700
Rukiga,2400 ,1700 , 3300
Rukungiri,9700 ,7200 , 13 000
Rwampara,3200 ,2500 , 3900
Serere,4200 ,3100 , 5700
Sheema,9000 ,6500 , 12 000
Sironko,3500 ,2800 , 4200
Soroti,9000 ,7100 , 11 000
Ssembabule,7300 ,5200 , 10 000
Tororo,15 000 ,13 000 , 18 000
Wakiso,130 000 ,120 000 , 150 000
Yumbe,3100 ,2300 , 4200
Zombo,4500 ,3200 , 6100
National,1 100 000 ,1 000 000,1 200 000
