States,2019,2019_lower, 2019_upper
Abim,<500 ,<500 , <1000
Adjumani,<1000 ,<500 , 1100
Agago,1900 ,1300 , 2400
Alebtong,2200 ,1800 , 2700
Amolatar,1500 ,1300 , 1800
Amudat,<200 ,<100 , <200
Amuria,1200 ,<1000 , 1500
Amuru,1100 ,<1000 , 1600
Apac,1900 ,1500 , 2300
Arua,2800 ,2300 , 3400
Budaka,<1000 ,<1000 , 1100
Bududa,<1000 ,<1000 , <1000
Bugiri,1100 ,<1000 , 1500
Bugweri,<1000 ,<500 , <1000
Buhweju,<1000 ,<500 , <1000
Buikwe,4600 ,3500 , 5800
Bukedea,<1000 ,<1000 , 1000
Bukomansimbi,1700 ,1400 , 2100
Bukwo,<200 ,<200 , <500
Bulambuli,<1000 ,<1000 , <1000
Buliisa,<1000 ,<500 , <1000
Bundibugyo,<1000 ,<500 , 1100
Bunyangabu,1800 ,1400 , 2300
Bushenyi,2300 ,1600 , 3000
Busia,2400 ,2000 , 2900
Butaleja,<1000 ,<500 , <1000
Butambala,1200 ,<1000 , 1700
Butebo,<500 ,<200 , <500
Buvuma,<1000 ,<1000 , <1000
Buyende,<1000 ,<1000 , 1400
Dokolo,1900 ,1600 , 2400
Gomba,1600 ,1200 , 2000
Gulu,5000 ,3900 , 6100
Hoima,2900 ,2500 , 3400
Ibanda,2500 ,1700 , 3500
Iganga,1400 ,<1000 , 1900
Isingiro,3500 ,2700 , 4500
Jinja,3100 ,2300 , 4000
Kaabong,<200 ,<200 , <500
Kabale,2200 ,2000 , 2500
Kabarole,5900 ,4800 , 7200
Kaberamaido,<1000 ,<1000 , <1000
Kagadi,2500 ,1800 , 3300
Kakumiro,1600 ,1000 , 2200
Kalaki,<1000 ,<500 , <1000
Kalangala,1200 ,1000 , 1400
Kaliro,<1000 ,<1000 , 1100
Kalungu,3200 ,2300 , 4300
Kampala,11 000 ,9900 , 13 000
Kamuli,2700 ,1900 , 3600
Kamwenge,1500 ,<1000 , 2100
Kanungu,2900 ,2400 , 3300
Kapchorwa,<500 ,<500 , <500
Kapelebyong,<500 ,<500 , <1000
Karenga,<100 ,<100 , <100
Kasese,2400 ,1600 , 3300
Kassanda,2200 ,1700 , 2600
Katakwi,1800 ,1500 , 2200
Kayunga,3700 ,2700 , 4700
Kazo,1300 ,1100 , 1600
Kibaale,<1000 ,<1000 , 1000
Kiboga,1500 ,1000 , 2000
Kibuku,<1000 ,<500 , <1000
Kikuube,1500 ,1100 , 2000
Kiruhura,1600 ,1200 , 2100
Kiryandongo,1500 ,<1000 , 2100
Kisoro,1000 ,<1000 , 1300
Kitagwenda,1300 ,1000 , 1600
Kitgum,1900 ,1300 , 2500
Koboko,<1000 ,<1000 , <1000
Kole,2100 ,1700 , 2700
Kotido,<500 ,<500 , <500
Kumi,1200 ,<1000 , 1500
Kwania,1700 ,1300 , 2200
Kween,<200 ,<200 , <500
Kyankwanzi,1500 ,1200 , 2000
Kyegegwa,2200 ,1600 , 2800
Kyenjojo,4200 ,3500 , 5100
Kyotera,3800 ,3000 , 4600
Lamwo,1400 ,<1000 , 2000
Lira,3900 ,2900 , 5200
Luuka,<1000 ,<1000 , 1200
Luwero,5300 ,4500 , 6200
Lwengo,3500 ,2800 , 4300
Lyantonde,1400 ,<1000 , 1900
Madi Okollo,<1000 ,<500 , <1000
Manafwa,<1000 ,<500 , <1000
Maracha,<500 ,<500 , <1000
Masaka,4300 ,3400 , 5300
Masindi,2200 ,1500 , 3100
Mayuge,2700 ,2100 , 3300
Mbale,3400 ,2700 , 4100
Mbarara,7200 ,6100 , 8400
Mitooma,1600 ,1300 , 1900
Mityana,3500 ,2500 , 4600
Moroto,<500 ,<500 , <500
Moyo,<500 ,<500 , <1000
Mpigi,3600 ,3000 , 4300
Mubende,3600 ,2800 , 4500
Mukono,5700 ,4800 , 6700
Nabilatuk,<100 ,<100 , <100
Nakapiripirit,<500 ,<200 , <500
Nakaseke,2200 ,1700 , 2700
Nakasongola,1400 ,1100 , 1700
Namayingo,1800 ,1500 , 2100
Namisindwa,<1000 ,<500 , <1000
Namutumba,<1000 ,<1000 , <1000
Napak,<500 ,<500 , <500
Nebbi,1500 ,1000 , 2000
Ngora,<1000 ,<500 , <1000
Ntoroko,<500 ,<500 , <1000
Ntungamo,4200 ,3400 , 5000
Nwoya,1200 ,<1000 , 1500
Obongi,<200 ,<100 , <200
Omoro,1800 ,1300 , 2500
Otuke,1000 ,<1000 , 1500
Oyam,3800 ,2900 , 4800
Pader,2100 ,1400 , 2800
Pakwach,1100 ,<1000 , 1500
Pallisa,<1000 ,<1000 , <1000
Rakai,2400 ,1900 , 3100
Rubanda,<1000 ,<500 , <1000
Rubirizi,1600 ,1200 , 2200
Rukiga,<1000 ,<1000 , 1200
Rukungiri,3200 ,2400 , 4300
Rwampara,<1000 ,<1000 , 1200
Serere,1200 ,<1000 , 1600
Sheema,2800 ,2000 , 3800
Sironko,1300 ,1000 , 1600
Soroti,2300 ,1800 , 2900
Ssembabule,2100 ,1500 , 3000
Tororo,4700 ,3900 , 5700
Wakiso,21 000 ,18 000 , 23 000
Yumbe,<1000 ,<1000 , 1000
Zombo,1500 ,1000 , 2000
National,250 000 ,150 000,440 000
