States,2019,2019_lower, 2019_upper
Abim,<500 ,<200 , <500
Adjumani,<500 ,<500 , <1000
Agago,1000 ,<1000 , 1400
Alebtong,1200 ,1000 , 1500
Amolatar,<1000 ,<1000 , <1000
Amudat,<100 ,<100 , <100
Amuria,<1000 ,<500 , <1000
Amuru,<1000 ,<500 , <1000
Apac,<1000 ,<1000 , 1200
Arua,1500 ,1200 , 1800
Budaka,<500 ,<500 , <1000
Bududa,<500 ,<500 , <500
Bugiri,<1000 ,<1000 , <1000
Bugweri,<500 ,<500 , <500
Buhweju,<500 ,<500 , <500
Buikwe,2700 ,2000 , 3500
Bukedea,<500 ,<500 , <1000
Bukomansimbi,<1000 ,<1000 , 1200
Bukwo,<200 ,<100 , <200
Bulambuli,<500 ,<500 , <1000
Buliisa,<500 ,<200 , <500
Bundibugyo,<500 ,<500 , <1000
Bunyangabu,1000 ,<1000 , 1300
Bushenyi,1200 ,<1000 , 1600
Busia,1300 ,1100 , 1600
Butaleja,<500 ,<500 , <1000
Butambala,<1000 ,<500 , <1000
Butebo,<200 ,<100 , <200
Buvuma,<500 ,<500 , <500
Buyende,<500 ,<500 , <1000
Dokolo,1000 ,<1000 , 1300
Gomba,<1000 ,<1000 , 1100
Gulu,2900 ,2300 , 3500
Hoima,1700 ,1400 , 1900
Ibanda,1400 ,1000 , 1900
Iganga,<1000 ,<1000 , 1100
Isingiro,1900 ,1500 , 2400
Jinja,1800 ,1300 , 2400
Kaabong,<200 ,<100 , <200
Kabale,1200 ,1100 , 1400
Kabarole,3400 ,2700 , 4100
Kaberamaido,<500 ,<500 , <500
Kagadi,1400 ,1000 , 1800
Kakumiro,<1000 ,<1000 , 1200
Kalaki,<500 ,<200 , <500
Kalangala,<500 ,<500 , <1000
Kaliro,<500 ,<500 , <1000
Kalungu,1800 ,1300 , 2500
Kampala,7000 ,6100 , 8100
Kamuli,1500 ,1100 , 2000
Kamwenge,<1000 ,<500 , 1100
Kanungu,1500 ,1300 , 1800
Kapchorwa,<200 ,<200 , <500
Kapelebyong,<500 ,<200 , <500
Karenga,<100 ,<100 , <100
Kasese,1400 ,<1000 , 1900
Kassanda,1300 ,1000 , 1500
Katakwi,1000 ,<1000 , 1200
Kayunga,2100 ,1500 , 2700
Kazo,<1000 ,<1000 , <1000
Kibaale,<500 ,<500 , <1000
Kiboga,<1000 ,<1000 , 1200
Kibuku,<500 ,<500 , <500
Kikuube,<1000 ,<1000 , 1000
Kiruhura,<1000 ,<1000 , 1000
Kiryandongo,<1000 ,<1000 , 1100
Kisoro,<1000 ,<500 , <1000
Kitagwenda,<1000 ,<1000 , <1000
Kitgum,1100 ,<1000 , 1500
Koboko,<500 ,<500 , <500
Kole,1200 ,<1000 , 1500
Kotido,<200 ,<100 , <200
Kumi,<1000 ,<500 , <1000
Kwania,<1000 ,<1000 , 1100
Kween,<100 ,<100 , <200
Kyankwanzi,<1000 ,<1000 , 1100
Kyegegwa,1200 ,<1000 , 1500
Kyenjojo,2300 ,1900 , 2800
Kyotera,2000 ,1500 , 2500
Lamwo,<1000 ,<1000 , 1100
Lira,2300 ,1700 , 3000
Luuka,<500 ,<500 , <1000
Luwero,2900 ,2400 , 3400
Lwengo,2000 ,1600 , 2600
Lyantonde,<1000 ,<500 , <1000
Madi Okollo,<500 ,<500 , <500
Manafwa,<500 ,<500 , <500
Maracha,<500 ,<200 , <500
Masaka,2600 ,2000 , 3200
Masindi,1200 ,<1000 , 1700
Mayuge,1400 ,1100 , 1700
Mbale,2100 ,1700 , 2500
Mbarara,2900 ,2400 , 3600
Mitooma,<1000 ,<1000 , 1000
Mityana,2100 ,1500 , 2700
Moroto,<200 ,<100 , <200
Moyo,<500 ,<200 , <500
Mpigi,2100 ,1800 , 2500
Mubende,1900 ,1400 , 2300
Mukono,3400 ,2800 , 3900
Nabilatuk,<100 ,<100 , <100
Nakapiripirit,<100 ,<100 , <100
Nakaseke,1300 ,1000 , 1600
Nakasongola,<1000 ,<500 , <1000
Namayingo,<1000 ,<1000 , <1000
Namisindwa,<500 ,<500 , <500
Namutumba,<500 ,<500 , <1000
Napak,<200 ,<200 , <500
Nebbi,<1000 ,<1000 , 1200
Ngora,<500 ,<500 , <1000
Ntoroko,<500 ,<200 , <500
Ntungamo,2400 ,1900 , 2800
Nwoya,<1000 ,<1000 , <1000
Obongi,<100 ,<100 , <100
Omoro,1000 ,<1000 , 1400
Otuke,<1000 ,<500 , <1000
Oyam,2000 ,1500 , 2700
Pader,1100 ,<1000 , 1600
Pakwach,<1000 ,<500 , <1000
Pallisa,<500 ,<500 , <1000
Rakai,1400 ,1100 , 1800
Rubanda,<500 ,<500 , <1000
Rubirizi,<1000 ,<1000 , 1300
Rukiga,<500 ,<500 , <1000
Rukungiri,1800 ,1300 , 2300
Rwampara,<1000 ,<500 , <1000
Serere,<1000 ,<500 , <1000
Sheema,1600 ,1200 , 2100
Sironko,<1000 ,<1000 , <1000
Soroti,1200 ,<1000 , 1500
Ssembabule,1200 ,<1000 , 1600
Tororo,2500 ,2000 , 3100
Wakiso,11 000 ,9100 , 12 000
Yumbe,<500 ,<500 , <1000
Zombo,<1000 ,<1000 , 1100
National,130 000 ,69 000,230 000
