States,2019,2019_lower, 2019_upper
Abim,1400 ,1100 , 1700
Adjumani,2400 ,1600 , 3400
Agago,5500 ,3900 , 7300
Alebtong,6400 ,5300 , 7600
Amolatar,3800 ,3300 , 4500
Amudat,<500 ,<500 , <500
Amuria,3300 ,2500 , 4100
Amuru,3500 ,2400 , 5100
Apac,5800 ,4700 , 7200
Arua,8200 ,6800 , 10 000
Budaka,2400 ,1800 , 3100
Bududa,1900 ,1500 , 2200
Bugiri,3800 ,2800 , 5000
Bugweri,1800 ,1400 , 2400
Buhweju,1800 ,1400 , 2400
Buikwe,16 000 ,12 000 , 20 000
Bukedea,2200 ,1800 , 2700
Bukomansimbi,4200 ,3400 , 5300
Bukwo,<1000 ,<500 , <1000
Bulambuli,2100 ,1600 , 2600
Buliisa,1800 ,1200 , 2500
Bundibugyo,2600 ,1800 , 3700
Bunyangabu,5300 ,4200 , 6500
Bushenyi,6300 ,4600 , 8500
Busia,7400 ,6300 , 8700
Butaleja,2100 ,1400 , 3000
Butambala,3300 ,2300 , 4700
Butebo,<1000 ,<500 , 1000
Buvuma,2400 ,2000 , 2800
Buyende,3000 ,2000 , 4300
Dokolo,5400 ,4300 , 6800
Gomba,3900 ,3000 , 5000
Gulu,18 000 ,14 000 , 23 000
Hoima,10 000 ,8900 , 12 000
Ibanda,7300 ,5100 , 9700
Iganga,5000 ,3600 , 6700
Isingiro,11 000 ,8300 , 13 000
Jinja,11 000 ,8200 , 14 000
Kaabong,<1000 ,<500 , <1000
Kabale,6000 ,5500 , 6600
Kabarole,19 000 ,15 000 , 23 000
Kaberamaido,2100 ,1700 , 2500
Kagadi,8400 ,6300 , 11 000
Kakumiro,5300 ,3400 , 7500
Kalaki,1500 ,1000 , 2200
Kalangala,4700 ,4000 , 5400
Kaliro,2300 ,1700 , 3200
Kalungu,8200 ,5900 , 11 000
Kampala,71 000 ,63 000 , 79 000
Kamuli,8200 ,5900 , 11 000
Kamwenge,4400 ,2900 , 6500
Kanungu,7800 ,6800 , 9000
Kapchorwa,1100 ,<1000 , 1500
Kapelebyong,1300 ,<1000 , 1800
Karenga,<200 ,<100 , <200
Kasese,8400 ,6000 , 11 000
Kassanda,6900 ,5600 , 8300
Katakwi,4800 ,4000 , 5800
Kayunga,11 000 ,8100 , 14 000
Kazo,3600 ,3000 , 4300
Kibaale,2700 ,2200 , 3400
Kiboga,4400 ,3100 , 6100
Kibuku,1500 ,1300 , 1800
Kikuube,4900 ,3500 , 6600
Kiruhura,4300 ,3200 , 5700
Kiryandongo,5000 ,3500 , 6900
Kisoro,2900 ,2300 , 3700
Kitagwenda,3600 ,2800 , 4500
Kitgum,5700 ,4200 , 7700
Koboko,2100 ,1800 , 2600
Kole,6500 ,5100 , 8200
Kotido,<1000 ,<1000 , 1100
Kumi,3000 ,2200 , 4000
Kwania,5100 ,3900 , 6500
Kween,<1000 ,<500 , <1000
Kyankwanzi,5000 ,3900 , 6300
Kyegegwa,7300 ,5500 , 9300
Kyenjojo,14 000 ,12 000 , 16 000
Kyotera,11 000 ,8300 , 13 000
Lamwo,4000 ,2700 , 5600
Lira,14 000 ,11 000 , 19 000
Luuka,2700 ,2100 , 3400
Luwero,16 000 ,14 000 , 19 000
Lwengo,9700 ,7900 , 12 000
Lyantonde,4000 ,2800 , 5600
Madi Okollo,1500 ,1100 , 2100
Manafwa,1700 ,1400 , 2100
Maracha,1000 ,<1000 , 1500
Masaka,16 000 ,13 000 , 20 000
Masindi,7400 ,5200 , 10 000
Mayuge,8700 ,7000 , 11 000
Mbale,11 000 ,9400 , 13 000
Mbarara,21 000 ,17 000 , 25 000
Mitooma,4100 ,3300 , 4900
Mityana,10 000 ,7300 , 13 000
Moroto,<1000 ,<1000 , <1000
Moyo,1100 ,<1000 , 1400
Mpigi,11 000 ,9200 , 13 000
Mubende,13 000 ,10 000 , 16 000
Mukono,20 000 ,17 000 , 23 000
Nabilatuk,<100 ,<100 , <200
Nakapiripirit,<500 ,<500 , <1000
Nakaseke,6600 ,5300 , 8100
Nakasongola,3900 ,3000 , 5000
Namayingo,5400 ,4600 , 6300
Namisindwa,1600 ,1400 , 2000
Namutumba,2300 ,1900 , 2700
Napak,<1000 ,<1000 , 1000
Nebbi,4100 ,2900 , 5600
Ngora,1700 ,1100 , 2500
Ntoroko,1500 ,1100 , 1900
Ntungamo,12 000 ,9800 , 14 000
Nwoya,3600 ,2800 , 4600
Obongi,<500 ,<500 , <1000
Omoro,5500 ,4000 , 7200
Otuke,2900 ,2000 , 4100
Oyam,11 000 ,8800 , 15 000
Pader,6400 ,4300 , 8900
Pakwach,3300 ,2500 , 4400
Pallisa,2300 ,2000 , 2800
Rakai,7300 ,5800 , 9200
Rubanda,1600 ,1000 , 2600
Rubirizi,4700 ,3300 , 6500
Rukiga,2000 ,1400 , 2800
Rukungiri,8200 ,6200 , 11 000
Rwampara,2700 ,2200 , 3300
Serere,3300 ,2500 , 4500
Sheema,7800 ,5700 , 10 000
Sironko,3400 ,2800 , 4000
Soroti,7200 ,5700 , 8900
Ssembabule,6100 ,4400 , 8500
Tororo,13 000 ,10 000 , 15 000
Wakiso,98 000 ,88 000 , 110 000
Yumbe,2600 ,1900 , 3500
Zombo,3900 ,2800 , 5300
National,880 000 ,830 000,970 000
