States,2019,2019_lower, 2019_upper
Abim,<500 ,<200 , <500
Adjumani,<500 ,<500 , <500
Agago,<1000 ,<500 , <1000
Alebtong,<1000 ,<1000 , 1100
Amolatar,<1000 ,<500 , <1000
Amudat,<100 ,<100 , <100
Amuria,<500 ,<500 , <1000
Amuru,<500 ,<500 , <1000
Apac,<1000 ,<1000 , 1100
Arua,1100 ,<1000 , 1400
Budaka,<500 ,<500 , <500
Bududa,<500 ,<500 , <500
Bugiri,<500 ,<500 , <1000
Bugweri,<500 ,<200 , <500
Buhweju,<500 ,<200 , <500
Buikwe,2200 ,1600 , 2800
Bukedea,<500 ,<500 , <500
Bukomansimbi,<500 ,<500 , <1000
Bukwo,<100 ,<100 , <200
Bulambuli,<500 ,<200 , <500
Buliisa,<500 ,<200 , <500
Bundibugyo,<500 ,<500 , <500
Bunyangabu,<1000 ,<1000 , <1000
Bushenyi,<1000 ,<1000 , 1200
Busia,1100 ,<1000 , 1300
Butaleja,<500 ,<200 , <500
Butambala,<500 ,<500 , <1000
Butebo,<100 ,<100 , <200
Buvuma,<500 ,<500 , <500
Buyende,<500 ,<500 , <1000
Dokolo,<1000 ,<1000 , 1000
Gomba,<500 ,<500 , <1000
Gulu,2800 ,2100 , 3600
Hoima,1400 ,1200 , 1700
Ibanda,<1000 ,<1000 , 1300
Iganga,<1000 ,<500 , <1000
Isingiro,1200 ,<1000 , 1600
Jinja,1600 ,1200 , 2000
Kaabong,<100 ,<100 , <200
Kabale,<1000 ,<1000 , <1000
Kabarole,2600 ,2000 , 3300
Kaberamaido,<500 ,<500 , <500
Kagadi,1100 ,<1000 , 1500
Kakumiro,<1000 ,<500 , 1000
Kalaki,<500 ,<200 , <500
Kalangala,<500 ,<500 , <1000
Kaliro,<500 ,<500 , <500
Kalungu,1000 ,<1000 , 1500
Kampala,10 000 ,8900 , 12 000
Kamuli,1100 ,<1000 , 1500
Kamwenge,<1000 ,<500 , <1000
Kanungu,<1000 ,<1000 , 1200
Kapchorwa,<200 ,<200 , <500
Kapelebyong,<200 ,<200 , <500
Karenga,<100 ,<100 , <100
Kasese,1100 ,<1000 , 1500
Kassanda,<1000 ,<1000 , 1100
Katakwi,<1000 ,<1000 , <1000
Kayunga,1500 ,1100 , 2000
Kazo,<500 ,<500 , <1000
Kibaale,<500 ,<500 , <500
Kiboga,<1000 ,<500 , <1000
Kibuku,<500 ,<200 , <500
Kikuube,<1000 ,<500 , <1000
Kiruhura,<1000 ,<500 , <1000
Kiryandongo,<1000 ,<500 , <1000
Kisoro,<500 ,<500 , <500
Kitagwenda,<500 ,<500 , <1000
Kitgum,<1000 ,<1000 , 1000
Koboko,<500 ,<500 , <500
Kole,<1000 ,<1000 , 1300
Kotido,<200 ,<100 , <200
Kumi,<500 ,<500 , <1000
Kwania,<1000 ,<1000 , 1000
Kween,<100 ,<100 , <200
Kyankwanzi,<1000 ,<500 , <1000
Kyegegwa,<1000 ,<1000 , 1200
Kyenjojo,1800 ,1500 , 2200
Kyotera,1400 ,1000 , 1700
Lamwo,<1000 ,<500 , <1000
Lira,2100 ,1500 , 2900
Luuka,<500 ,<500 , <1000
Luwero,2300 ,1800 , 2700
Lwengo,1200 ,<1000 , 1500
Lyantonde,<1000 ,<500 , <1000
Madi Okollo,<200 ,<200 , <500
Manafwa,<500 ,<200 , <500
Maracha,<200 ,<100 , <200
Masaka,2100 ,1600 , 2700
Masindi,<1000 ,<1000 , 1400
Mayuge,1200 ,<1000 , 1500
Mbale,1500 ,1200 , 1800
Mbarara,3100 ,2500 , 3800
Mitooma,<1000 ,<500 , <1000
Mityana,1300 ,<1000 , 1700
Moroto,<100 ,<100 , <200
Moyo,<200 ,<200 , <200
Mpigi,1400 ,1100 , 1700
Mubende,1700 ,1300 , 2200
Mukono,2700 ,2300 , 3300
Nabilatuk,<100 ,<100 , <100
Nakapiripirit,<100 ,<100 , <100
Nakaseke,<1000 ,<1000 , 1100
Nakasongola,<1000 ,<500 , <1000
Namayingo,<1000 ,<1000 , <1000
Namisindwa,<500 ,<200 , <500
Namutumba,<500 ,<500 , <500
Napak,<100 ,<100 , <200
Nebbi,<1000 ,<500 , <1000
Ngora,<500 ,<200 , <500
Ntoroko,<200 ,<200 , <500
Ntungamo,1400 ,1100 , 1800
Nwoya,<500 ,<500 , <1000
Obongi,<100 ,<100 , <100
Omoro,<1000 ,<1000 , 1000
Otuke,<500 ,<500 , <1000
Oyam,1600 ,1200 , 2200
Pader,<1000 ,<1000 , 1200
Pakwach,<500 ,<500 , <1000
Pallisa,<500 ,<500 , <500
Rakai,<1000 ,<1000 , 1100
Rubanda,<500 ,<200 , <500
Rubirizi,<1000 ,<500 , <1000
Rukiga,<500 ,<200 , <500
Rukungiri,1000 ,<1000 , 1400
Rwampara,<500 ,<500 , <500
Serere,<500 ,<500 , <1000
Sheema,<1000 ,<1000 , 1300
Sironko,<500 ,<500 , <1000
Soroti,1000 ,<1000 , 1300
Ssembabule,<1000 ,<500 , 1000
Tororo,1700 ,1400 , 2100
Wakiso,14 000 ,13 000 , 17 000
Yumbe,<500 ,<500 , <1000
Zombo,<500 ,<500 , <1000
National,120 000 ,66 000,170 000
