States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,73 ,60 , 83,73 ,59 , 84,75 ,60 , 84,74 ,60 , 84,82 ,64 , 93,87 ,69 , 98,82 ,64 , 91,88 ,71 , 99,75 ,60 , 84,73 ,59 , 81
Copperbelt,74 ,65 , 80,71 ,61 , 78,79 ,68 , 88,85 ,72 , 93,91 ,75 , 100,79 ,66 , 86,58 ,49 , 64,59 ,49 , 64,62 ,52 , 68,75 ,62 , 82
Eastern,68 ,53 , 78,69 ,53 , 80,69 ,54 , 79,71 ,55 , 81,80 ,60 , 91,95 ,72 , 100,100 ,82 , 100,100 ,88 , 100,100 ,84 , 100,100 ,82 , 100
Luapula,52 ,44 , 57,63 ,52 , 71,65 ,53 , 72,68 ,57 , 77,60 ,48 , 66,81 ,65 , 91,75 ,60 , 84,89 ,72 , 100,95 ,76 , 100,78 ,62 , 86
Lusaka,66 ,57 , 72,68 ,57 , 75,71 ,60 , 80,78 ,66 , 87,79 ,64 , 87,79 ,65 , 88,84 ,68 , 93,89 ,73 , 99,100 ,92 , 100,99 ,80 , 100
Muchinga,41 ,35 , 45,56 ,46 , 62,67 ,56 , 74,60 ,51 , 67,68 ,55 , 75,77 ,62 , 86,71 ,58 , 79,77 ,62 , 85,79 ,64 , 88,68 ,54 , 75
North-Western,69 ,58 , 84,71 ,58 , 83,81 ,65 , 94,87 ,71 , 100,97 ,77 , 100,100 ,82 , 100,100 ,98 , 100,100 ,100 , 100,100 ,84 , 100,100 ,78 , 100
Northern,54 ,45 , 60,76 ,62 , 85,62 ,51 , 70,87 ,71 , 97,88 ,70 , 98,96 ,75 , 100,99 ,77 , 100,100 ,82 , 100,100 ,84 , 100,99 ,77 , 100
Southern,64 ,55 , 74,69 ,59 , 79,74 ,61 , 83,79 ,67 , 89,85 ,69 , 96,100 ,85 , 100,100 ,89 , 100,100 ,93 , 100,95 ,77 , 100,76 ,62 , 92
Western,74 ,62 , 86,76 ,61 , 86,75 ,61 , 85,72 ,59 , 83,77 ,64 , 89,86 ,70 , 98,96 ,78 , 100,100 ,83 , 100,81 ,65 , 93,95 ,75 , 100
National,67 ,54,75,70 ,56,78,73 ,59,82,77 ,62,87,82 ,66,92,86 ,70,97,85 ,68,95,90 ,73,100,90 ,73,100,86 ,69,96
