States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,9.15 ,8.59 , 9.86,9.98 ,9.35 , 10.78,10.36 ,9.64 , 11.22,10.86 ,10.07 , 11.76,11.07 ,10.18 , 12.02,11.05 ,10.07 , 12.06,10.76 ,9.80 , 11.82,10.48 ,9.52 , 11.61,10.25 ,9.23 , 11.37,9.99 ,8.93 , 11.10,9.40 ,8.35 , 10.48,9.07 ,8.11 , 10.10,8.59 ,7.68 , 9.61,8.33 ,7.41 , 9.28,7.83 ,6.92 , 8.70,7.42 ,6.61 , 8.22,6.86 ,6.11 , 7.67,6.91 ,6.18 , 7.70,6.29 ,5.60 , 7.08,6.30 ,5.62 , 7.07,6.22 ,5.59 , 7.00,5.82 ,5.26 , 6.55,5.82 ,5.22 , 6.52,5.68 ,5.11 , 6.40,5.86 ,5.28 , 6.59,5.65 ,5.09 , 6.37,5.25 ,4.72 , 5.90,4.92 ,4.42 , 5.54,4.65 ,4.15 , 5.26,4.31 ,3.85 , 4.85
Copperbelt,14.22 ,13.42 , 15.27,14.57 ,13.72 , 15.77,14.85 ,13.88 , 16.19,13.85 ,12.83 , 15.21,13.82 ,12.71 , 15.23,12.19 ,11.06 , 13.51,11.48 ,10.40 , 12.80,10.78 ,9.66 , 12.12,10.17 ,9.09 , 11.37,9.81 ,8.72 , 11.00,9.31 ,8.27 , 10.46,9.02 ,7.99 , 10.04,8.77 ,7.85 , 9.74,8.40 ,7.53 , 9.28,7.86 ,7.09 , 8.64,7.46 ,6.77 , 8.25,7.17 ,6.54 , 7.91,7.11 ,6.50 , 7.80,6.28 ,5.77 , 6.83,6.38 ,5.89 , 7.00,6.24 ,5.75 , 6.85,6.46 ,5.94 , 7.09,6.49 ,5.98 , 7.16,6.55 ,5.99 , 7.22,6.50 ,5.95 , 7.18,6.29 ,5.74 , 6.92,6.23 ,5.70 , 6.88,6.17 ,5.62 , 6.83,6.20 ,5.67 , 6.89,5.93 ,5.39 , 6.57
Eastern,11.03 ,10.31 , 11.85,11.26 ,10.48 , 12.18,10.80 ,9.90 , 11.77,10.14 ,9.20 , 11.13,9.75 ,8.76 , 10.81,8.95 ,7.95 , 9.99,8.17 ,7.22 , 9.18,7.79 ,6.84 , 8.81,7.36 ,6.47 , 8.36,6.73 ,5.85 , 7.61,6.48 ,5.62 , 7.31,6.09 ,5.37 , 6.85,5.75 ,5.04 , 6.51,5.53 ,4.86 , 6.23,5.12 ,4.50 , 5.72,4.71 ,4.18 , 5.23,4.45 ,3.95 , 5.00,4.36 ,3.88 , 4.89,4.04 ,3.60 , 4.56,3.66 ,3.26 , 4.18,3.62 ,3.22 , 4.16,3.53 ,3.11 , 4.06,3.29 ,2.90 , 3.78,3.22 ,2.85 , 3.72,2.89 ,2.56 , 3.33,2.54 ,2.24 , 2.93,2.34 ,2.06 , 2.71,2.25 ,1.97 , 2.63,2.08 ,1.81 , 2.43,1.74 ,1.52 , 2.02
Luapula,12.14 ,11.28 , 13.21,12.03 ,11.13 , 13.17,11.23 ,10.22 , 12.41,10.64 ,9.60 , 11.82,10.15 ,8.99 , 11.31,9.58 ,8.49 , 10.76,8.81 ,7.78 , 9.88,8.41 ,7.42 , 9.55,7.91 ,6.97 , 8.99,7.78 ,6.78 , 8.79,7.35 ,6.44 , 8.30,6.92 ,6.11 , 7.84,6.58 ,5.80 , 7.45,6.24 ,5.52 , 6.99,5.86 ,5.13 , 6.57,5.36 ,4.70 , 6.02,4.98 ,4.37 , 5.62,4.77 ,4.21 , 5.40,4.48 ,3.98 , 5.04,4.12 ,3.71 , 4.66,3.97 ,3.56 , 4.49,3.74 ,3.38 , 4.26,3.61 ,3.25 , 4.12,3.45 ,3.08 , 3.93,3.28 ,2.93 , 3.73,3.11 ,2.78 , 3.57,2.94 ,2.63 , 3.36,2.54 ,2.25 , 2.91,2.37 ,2.10 , 2.72,2.03 ,1.79 , 2.32
Lusaka,19.03 ,17.75 , 20.63,19.82 ,18.36 , 21.61,20.11 ,18.44 , 22.08,19.69 ,17.94 , 21.83,18.34 ,16.42 , 20.51,17.15 ,15.19 , 19.28,15.94 ,14.02 , 18.04,14.64 ,12.74 , 16.79,13.74 ,11.93 , 15.84,12.85 ,11.07 , 14.78,11.91 ,10.25 , 13.71,11.15 ,9.64 , 12.76,10.58 ,9.15 , 12.12,9.97 ,8.74 , 11.37,9.24 ,8.11 , 10.51,8.42 ,7.36 , 9.55,8.01 ,7.03 , 9.16,7.59 ,6.62 , 8.65,7.12 ,6.28 , 8.18,6.84 ,6.05 , 7.88,6.56 ,5.77 , 7.62,6.27 ,5.54 , 7.26,5.99 ,5.27 , 6.98,5.68 ,4.98 , 6.60,5.53 ,4.82 , 6.37,5.16 ,4.48 , 6.00,4.48 ,3.92 , 5.23,4.27 ,3.71 , 4.98,4.12 ,3.53 , 4.85,3.70 ,3.18 , 4.34
Muchinga,6.74 ,6.35 , 7.22,7.04 ,6.61 , 7.58,6.85 ,6.34 , 7.41,6.72 ,6.19 , 7.32,6.25 ,5.67 , 6.83,5.66 ,5.06 , 6.23,5.30 ,4.73 , 5.86,5.06 ,4.52 , 5.69,4.81 ,4.28 , 5.38,4.44 ,3.89 , 4.95,4.25 ,3.75 , 4.81,3.97 ,3.50 , 4.48,3.72 ,3.30 , 4.20,3.63 ,3.22 , 4.06,3.40 ,3.02 , 3.77,3.19 ,2.87 , 3.54,3.07 ,2.77 , 3.42,2.88 ,2.59 , 3.24,2.64 ,2.36 , 2.95,2.41 ,2.14 , 2.74,2.29 ,2.00 , 2.64,2.09 ,1.82 , 2.41,1.90 ,1.66 , 2.20,1.82 ,1.59 , 2.10,1.63 ,1.41 , 1.89,1.45 ,1.26 , 1.67,1.24 ,1.07 , 1.43,1.16 ,1.00 , 1.34,1.15 ,0.99 , 1.33,1.01 ,0.88 , 1.17
North-Western,7.31 ,5.05 , 10.24,7.12 ,5.06 , 9.79,6.99 ,5.10 , 9.70,6.54 ,4.62 , 9.10,6.12 ,4.42 , 8.47,5.73 ,4.23 , 7.59,5.14 ,3.91 , 6.86,4.86 ,3.72 , 6.30,4.68 ,3.60 , 6.11,4.34 ,3.38 , 5.60,4.22 ,3.32 , 5.36,3.97 ,3.12 , 5.00,3.82 ,3.09 , 4.83,3.63 ,2.93 , 4.53,3.36 ,2.76 , 4.20,3.19 ,2.59 , 3.94,3.00 ,2.45 , 3.65,2.94 ,2.41 , 3.56,2.77 ,2.25 , 3.40,2.77 ,2.30 , 3.39,2.73 ,2.30 , 3.31,2.63 ,2.19 , 3.19,2.52 ,2.10 , 3.12,2.48 ,2.04 , 3.11,2.25 ,1.80 , 2.86,2.23 ,1.72 , 2.87,1.99 ,1.48 , 2.65,1.75 ,1.18 , 2.46,1.67 ,1.04 , 2.48,1.51 ,0.91 , 2.38
Northern,8.53 ,7.96 , 9.23,8.24 ,7.62 , 9.00,7.52 ,6.81 , 8.30,7.09 ,6.36 , 7.90,6.66 ,5.86 , 7.48,6.04 ,5.31 , 6.84,5.88 ,5.19 , 6.64,5.55 ,4.87 , 6.30,5.27 ,4.64 , 6.00,5.07 ,4.42 , 5.74,4.89 ,4.27 , 5.52,4.63 ,4.07 , 5.25,4.46 ,3.91 , 5.04,4.28 ,3.75 , 4.81,4.02 ,3.51 , 4.54,3.77 ,3.31 , 4.23,3.64 ,3.21 , 4.09,3.35 ,2.93 , 3.78,3.33 ,2.95 , 3.76,3.19 ,2.83 , 3.60,2.89 ,2.61 , 3.26,2.63 ,2.38 , 2.96,2.34 ,2.11 , 2.62,2.29 ,2.06 , 2.57,2.20 ,1.98 , 2.48,2.04 ,1.83 , 2.31,1.82 ,1.64 , 2.06,1.70 ,1.53 , 1.92,1.68 ,1.50 , 1.89,1.45 ,1.30 , 1.64
Southern,16.31 ,12.69 , 20.56,15.61 ,12.77 , 19.78,14.81 ,11.66 , 18.38,13.16 ,10.60 , 16.48,12.59 ,10.16 , 15.52,11.66 ,9.53 , 14.29,10.73 ,8.89 , 13.11,10.48 ,8.72 , 12.58,9.99 ,8.45 , 11.86,9.48 ,8.00 , 11.26,9.12 ,7.77 , 10.81,8.50 ,7.11 , 10.08,8.14 ,6.95 , 9.59,7.83 ,6.69 , 9.12,7.45 ,6.33 , 8.62,6.93 ,5.93 , 8.02,6.58 ,5.62 , 7.68,6.42 ,5.49 , 7.48,5.99 ,5.08 , 7.08,5.76 ,4.82 , 6.81,5.45 ,4.57 , 6.47,5.15 ,4.26 , 6.10,4.72 ,3.82 , 5.66,4.43 ,3.51 , 5.42,4.16 ,3.25 , 5.16,3.83 ,2.98 , 4.94,3.89 ,2.98 , 5.26,3.78 ,2.83 , 5.29,3.51 ,2.49 , 5.13,3.13 ,2.09 , 4.74
Western,8.18 ,6.02 , 10.61,9.66 ,7.45 , 12.17,11.76 ,9.23 , 14.61,11.58 ,9.25 , 14.31,11.67 ,9.54 , 14.56,11.54 ,9.40 , 14.31,11.11 ,9.12 , 13.80,10.83 ,8.84 , 13.35,10.22 ,8.41 , 12.62,9.73 ,8.09 , 12.10,9.26 ,7.69 , 11.45,8.97 ,7.46 , 11.04,8.66 ,7.27 , 10.63,8.37 ,6.99 , 10.18,7.73 ,6.46 , 9.25,7.48 ,6.29 , 8.96,7.21 ,6.15 , 8.68,6.92 ,5.90 , 8.34,6.60 ,5.60 , 8.14,6.53 ,5.50 , 8.13,6.39 ,5.31 , 8.09,6.30 ,5.21 , 8.07,6.25 ,5.08 , 8.09,6.09 ,4.88 , 7.94,5.55 ,4.37 , 7.43,5.16 ,3.94 , 7.08,4.82 ,3.57 , 6.64,4.59 ,3.29 , 6.50,4.16 ,2.88 , 6.18,3.32 ,2.28 , 5.20
