States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,16.71 ,10.41 , 20.18,17.98 ,11.04 , 21.63,18.52 ,11.39 , 22.70,19.32 ,11.82 , 23.19,19.55 ,11.98 , 23.66,19.39 ,11.98 , 23.43,18.57 ,11.35 , 22.46,17.89 ,11.08 , 21.55,17.35 ,10.86 , 21.15,16.77 ,10.50 , 20.54,15.57 ,9.84 , 19.03,14.94 ,9.52 , 18.20,14.05 ,8.86 , 17.08,13.60 ,8.64 , 16.63,12.96 ,8.24 , 15.72,12.74 ,8.17 , 15.44,11.98 ,7.69 , 14.44,11.75 ,7.57 , 14.19,11.39 ,7.28 , 13.67,11.50 ,7.44 , 13.87,11.42 ,7.37 , 13.80,10.62 ,7.06 , 12.77,10.65 ,6.99 , 12.75,10.43 ,6.79 , 12.51,10.95 ,7.07 , 13.26,10.60 ,6.79 , 12.72,9.72 ,6.38 , 11.75,9.44 ,6.20 , 11.38,8.73 ,5.69 , 10.52,8.08 ,5.28 , 9.75
Copperbelt,31.82 ,19.09 , 38.59,32.39 ,19.33 , 39.04,32.33 ,19.76 , 39.23,29.46 ,18.61 , 34.91,28.90 ,18.52 , 33.86,24.54 ,16.37 , 28.82,22.24 ,15.06 , 26.13,20.33 ,13.98 , 23.84,18.80 ,13.02 , 22.27,17.95 ,12.31 , 21.19,16.87 ,11.54 , 19.95,16.21 ,11.03 , 19.22,15.62 ,10.43 , 18.60,14.78 ,9.75 , 17.65,13.97 ,9.15 , 16.73,13.77 ,9.12 , 16.59,13.54 ,8.96 , 16.36,13.40 ,8.61 , 16.40,12.48 ,8.02 , 15.07,12.92 ,8.41 , 15.68,12.79 ,8.19 , 15.55,13.27 ,8.63 , 16.18,13.64 ,8.83 , 16.58,13.94 ,8.95 , 16.83,13.96 ,8.97 , 16.97,13.23 ,8.51 , 16.17,12.72 ,8.39 , 15.45,12.80 ,8.32 , 15.43,12.99 ,8.50 , 15.72,12.70 ,8.28 , 15.40
Eastern,18.06 ,11.24 , 21.81,18.31 ,11.24 , 22.05,17.33 ,10.63 , 21.33,15.99 ,9.70 , 19.45,15.17 ,9.13 , 18.61,13.64 ,8.16 , 17.05,12.40 ,7.50 , 15.52,11.81 ,7.26 , 14.79,11.14 ,6.90 , 13.75,10.09 ,6.21 , 12.39,9.75 ,6.06 , 11.97,9.16 ,5.76 , 11.28,8.64 ,5.35 , 10.54,8.34 ,5.25 , 10.21,7.79 ,4.97 , 9.50,7.32 ,4.75 , 8.88,7.04 ,4.60 , 8.44,7.03 ,4.65 , 8.47,6.65 ,4.38 , 7.98,6.19 ,4.15 , 7.46,6.25 ,4.14 , 7.52,6.07 ,4.03 , 7.31,5.62 ,3.75 , 6.70,5.53 ,3.67 , 6.61,4.97 ,3.30 , 5.97,4.43 ,2.94 , 5.33,4.10 ,2.79 , 4.88,4.07 ,2.77 , 4.84,3.75 ,2.57 , 4.46,3.11 ,2.12 , 3.71
Luapula,23.69 ,14.23 , 28.43,23.20 ,13.92 , 27.72,21.34 ,12.98 , 26.13,19.90 ,12.19 , 24.08,18.72 ,11.37 , 22.77,17.35 ,10.55 , 21.38,15.63 ,9.58 , 19.32,14.67 ,9.09 , 18.02,13.56 ,8.46 , 16.70,13.27 ,8.21 , 16.22,12.39 ,7.75 , 15.09,11.60 ,7.30 , 14.21,11.07 ,6.88 , 13.46,10.53 ,6.57 , 12.86,10.11 ,6.30 , 12.31,9.61 ,6.03 , 11.66,9.19 ,5.74 , 11.10,8.95 ,5.66 , 10.81,8.53 ,5.33 , 10.31,7.82 ,5.11 , 9.36,7.50 ,4.91 , 9.08,7.21 ,4.68 , 8.65,6.98 ,4.55 , 8.39,6.71 ,4.34 , 8.09,6.24 ,4.05 , 7.56,6.08 ,3.90 , 7.39,5.63 ,3.66 , 6.82,5.10 ,3.33 , 6.18,4.86 ,3.18 , 5.86,3.94 ,2.56 , 4.73
Lusaka,31.24 ,17.85 , 38.90,32.53 ,18.46 , 40.40,32.69 ,18.83 , 41.09,31.81 ,18.52 , 39.12,29.20 ,17.43 , 36.11,26.90 ,16.56 , 33.17,24.18 ,15.16 , 29.89,21.51 ,13.88 , 26.50,19.70 ,12.92 , 24.20,18.01 ,11.80 , 22.00,16.32 ,10.77 , 19.82,15.02 ,9.93 , 18.26,14.13 ,9.17 , 17.21,13.13 ,8.49 , 16.03,12.39 ,8.05 , 15.04,11.77 ,7.74 , 14.27,11.47 ,7.62 , 14.00,10.99 ,7.36 , 13.43,10.47 ,6.92 , 12.66,10.05 ,6.68 , 12.21,9.63 ,6.42 , 11.71,9.25 ,6.07 , 11.27,8.94 ,5.87 , 10.87,8.57 ,5.57 , 10.40,8.41 ,5.51 , 10.23,7.85 ,5.17 , 9.55,7.00 ,4.60 , 8.54,6.76 ,4.43 , 8.20,6.76 ,4.46 , 8.20,6.07 ,3.96 , 7.34
Muchinga,12.26 ,7.32 , 15.27,12.88 ,7.57 , 16.07,12.30 ,7.26 , 15.51,11.98 ,7.09 , 14.78,10.97 ,6.56 , 13.54,9.74 ,5.92 , 12.11,8.91 ,5.41 , 11.16,8.40 ,5.17 , 10.27,7.89 ,4.89 , 9.59,7.16 ,4.51 , 8.69,6.83 ,4.31 , 8.27,6.29 ,4.04 , 7.61,5.82 ,3.70 , 6.97,5.64 ,3.66 , 6.80,5.29 ,3.46 , 6.38,5.02 ,3.33 , 6.01,4.89 ,3.25 , 5.84,4.68 ,3.13 , 5.62,4.38 ,2.92 , 5.26,4.10 ,2.77 , 4.98,3.96 ,2.63 , 4.80,3.73 ,2.50 , 4.47,3.46 ,2.35 , 4.17,3.30 ,2.23 , 3.97,2.97 ,1.99 , 3.58,2.63 ,1.76 , 3.17,2.19 ,1.49 , 2.63,2.12 ,1.45 , 2.55,2.12 ,1.43 , 2.56,1.80 ,1.21 , 2.17
North-Western,13.55 ,7.32 , 20.92,12.95 ,7.04 , 19.21,12.62 ,6.87 , 19.07,11.65 ,6.21 , 17.58,10.75 ,5.65 , 15.76,9.95 ,5.39 , 14.02,8.77 ,4.86 , 12.39,8.16 ,4.69 , 11.44,7.80 ,4.41 , 10.80,7.11 ,3.97 , 9.84,6.90 ,3.88 , 9.55,6.46 ,3.66 , 8.89,6.23 ,3.46 , 8.49,5.91 ,3.28 , 7.97,5.63 ,3.16 , 7.43,5.56 ,3.12 , 7.27,5.36 ,3.03 , 6.94,5.29 ,3.11 , 6.96,5.24 ,2.98 , 6.80,5.24 ,3.10 , 6.81,5.17 ,3.08 , 6.67,5.02 ,2.93 , 6.44,4.89 ,2.94 , 6.38,4.87 ,2.85 , 6.39,4.41 ,2.58 , 5.87,4.36 ,2.54 , 5.89,3.90 ,2.17 , 5.35,3.52 ,1.83 , 5.02,3.36 ,1.83 , 5.02,3.03 ,1.60 , 4.72
Northern,15.29 ,9.48 , 18.35,14.62 ,8.96 , 17.41,13.20 ,8.08 , 16.16,12.36 ,7.58 , 15.02,11.50 ,6.95 , 14.00,10.28 ,6.22 , 12.82,10.12 ,6.11 , 12.56,9.51 ,5.83 , 11.81,9.02 ,5.54 , 11.08,8.71 ,5.30 , 10.70,8.40 ,5.14 , 10.29,7.93 ,4.90 , 9.80,7.61 ,4.63 , 9.32,7.28 ,4.51 , 8.99,6.92 ,4.29 , 8.52,6.65 ,4.16 , 8.16,6.55 ,4.08 , 7.92,6.27 ,3.91 , 7.57,6.21 ,3.85 , 7.48,6.00 ,3.79 , 7.18,5.36 ,3.49 , 6.51,5.02 ,3.25 , 5.99,4.32 ,2.81 , 5.15,4.30 ,2.79 , 5.11,4.20 ,2.75 , 5.03,3.93 ,2.56 , 4.69,3.50 ,2.30 , 4.21,3.33 ,2.19 , 4.03,3.30 ,2.18 , 3.96,2.83 ,1.86 , 3.43
Southern,31.32 ,16.65 , 42.53,29.51 ,15.81 , 40.16,27.84 ,15.18 , 38.46,24.43 ,13.53 , 33.18,23.24 ,12.82 , 31.41,21.29 ,12.16 , 28.51,19.09 ,11.03 , 25.55,18.48 ,10.86 , 24.48,17.42 ,10.07 , 22.83,16.34 ,9.47 , 21.42,15.61 ,8.99 , 20.56,14.37 ,8.25 , 19.05,13.68 ,7.60 , 17.94,13.10 ,7.52 , 17.02,12.58 ,7.07 , 16.34,11.75 ,6.61 , 15.18,11.26 ,6.26 , 14.57,11.10 ,6.32 , 14.32,10.47 ,5.93 , 13.64,10.36 ,6.22 , 13.49,9.88 ,5.92 , 13.10,9.43 ,5.63 , 12.38,8.67 ,5.15 , 11.40,8.22 ,4.91 , 10.94,7.75 ,4.49 , 10.58,7.32 ,4.35 , 10.08,7.48 ,4.60 , 10.60,7.51 ,4.59 , 10.95,6.91 ,4.06 , 10.64,5.97 ,3.45 , 10.05
Western,12.57 ,6.28 , 17.62,15.29 ,7.53 , 21.43,18.82 ,9.04 , 26.52,18.51 ,9.28 , 26.29,18.61 ,9.27 , 26.20,18.38 ,9.13 , 26.41,18.18 ,9.34 , 25.84,17.63 ,9.10 , 24.90,16.47 ,8.79 , 22.54,15.56 ,8.42 , 21.34,14.68 ,8.10 , 19.98,14.19 ,7.84 , 19.06,13.76 ,7.73 , 18.27,13.37 ,7.47 , 17.57,12.58 ,7.00 , 16.45,12.39 ,7.07 , 16.12,12.15 ,7.03 , 15.71,11.78 ,6.91 , 15.11,11.88 ,7.27 , 15.32,11.79 ,7.47 , 15.28,11.53 ,7.39 , 14.92,11.42 ,7.21 , 14.70,11.34 ,7.23 , 14.90,11.04 ,6.98 , 14.28,10.06 ,6.25 , 13.16,9.39 ,5.94 , 12.55,8.84 ,5.61 , 12.10,8.73 ,5.47 , 12.38,7.61 ,4.78 , 11.32,6.22 ,3.97 , 9.65
