States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,20.20 ,18.94 , 21.38,22.02 ,20.71 , 23.61,22.77 ,21.28 , 24.27,23.76 ,21.75 , 25.66,24.04 ,22.09 , 26.03,23.81 ,21.72 , 26.34,22.85 ,20.57 , 24.95,22.02 ,19.53 , 24.66,21.35 ,18.93 , 23.58,20.67 ,18.51 , 23.22,19.22 ,16.80 , 21.73,18.47 ,16.20 , 20.97,17.39 ,15.19 , 19.67,16.86 ,14.73 , 19.03,16.09 ,14.08 , 18.03,15.83 ,14.07 , 17.87,14.89 ,13.11 , 16.88,14.62 ,12.93 , 16.42,14.18 ,12.62 , 15.92,14.34 ,12.77 , 16.36,14.24 ,12.74 , 15.85,13.26 ,11.95 , 14.88,13.31 ,11.83 , 14.70,13.03 ,11.78 , 14.63,13.68 ,12.38 , 15.31,13.25 ,11.92 , 14.98,12.14 ,10.84 , 13.64,11.80 ,10.60 , 13.21,10.90 ,9.72 , 12.11,10.09 ,9.11 , 11.34
Copperbelt,31.92 ,29.95 , 33.65,32.54 ,30.55 , 34.78,32.64 ,30.63 , 34.78,29.89 ,27.41 , 32.50,29.41 ,26.97 , 32.16,25.08 ,22.47 , 27.95,23.20 ,20.72 , 25.80,21.31 ,18.58 , 24.22,19.77 ,17.11 , 22.18,18.91 ,16.53 , 21.60,17.81 ,15.38 , 20.31,17.14 ,14.94 , 19.51,16.51 ,14.48 , 18.75,15.61 ,13.68 , 17.59,14.72 ,12.96 , 16.46,14.48 ,13.03 , 16.10,14.18 ,12.79 , 15.78,13.97 ,12.58 , 15.35,12.97 ,11.80 , 14.16,13.38 ,12.24 , 14.75,13.20 ,12.17 , 14.67,13.66 ,12.54 , 15.05,14.00 ,12.83 , 15.33,14.26 ,13.04 , 15.80,14.24 ,13.10 , 15.83,13.46 ,12.27 , 14.86,12.93 ,11.88 , 14.34,13.00 ,11.96 , 14.39,13.15 ,11.95 , 14.48,12.82 ,11.72 , 14.22
Eastern,21.38 ,19.90 , 22.66,22.24 ,20.78 , 24.05,21.42 ,19.77 , 23.08,20.07 ,18.08 , 22.10,19.30 ,17.25 , 21.35,17.52 ,15.33 , 19.94,15.87 ,13.72 , 17.83,15.18 ,12.94 , 17.51,14.36 ,12.25 , 16.27,13.04 ,11.25 , 15.10,12.63 ,10.71 , 14.56,11.89 ,10.20 , 13.80,11.25 ,9.68 , 12.98,10.86 ,9.44 , 12.46,10.15 ,8.82 , 11.49,9.54 ,8.39 , 10.93,9.17 ,8.04 , 10.49,9.17 ,8.08 , 10.30,8.68 ,7.71 , 9.85,8.08 ,7.09 , 9.31,8.18 ,7.27 , 9.38,7.97 ,7.10 , 9.17,7.39 ,6.53 , 8.45,7.27 ,6.46 , 8.41,6.53 ,5.89 , 7.59,5.82 ,5.13 , 6.76,5.37 ,4.77 , 6.20,5.33 ,4.74 , 6.09,4.93 ,4.33 , 5.64,4.10 ,3.64 , 4.71
Luapula,22.26 ,20.58 , 23.73,22.42 ,20.78 , 24.45,20.99 ,19.19 , 22.81,19.91 ,17.79 , 22.13,19.02 ,16.85 , 21.22,17.83 ,15.59 , 20.35,16.10 ,13.98 , 18.14,15.25 ,12.91 , 17.58,14.17 ,12.10 , 16.05,13.96 ,12.14 , 16.04,13.09 ,11.23 , 15.03,12.30 ,10.66 , 14.16,11.78 ,10.26 , 13.58,11.23 ,9.72 , 12.81,10.79 ,9.34 , 12.35,10.25 ,8.93 , 11.76,9.80 ,8.47 , 11.24,9.55 ,8.29 , 10.80,9.11 ,8.02 , 10.28,8.35 ,7.40 , 9.48,8.02 ,7.00 , 9.14,7.71 ,6.88 , 8.79,7.47 ,6.51 , 8.43,7.18 ,6.42 , 8.27,6.68 ,5.97 , 7.61,6.50 ,5.75 , 7.51,6.02 ,5.30 , 6.90,5.46 ,4.84 , 6.22,5.21 ,4.56 , 5.90,4.22 ,3.73 , 4.83
Lusaka,36.44 ,33.98 , 38.69,38.49 ,35.79 , 41.67,39.10 ,36.18 , 42.07,38.39 ,34.46 , 42.06,35.52 ,31.90 , 39.51,32.87 ,29.07 , 37.25,30.05 ,26.07 , 33.91,27.02 ,22.83 , 31.62,24.94 ,20.90 , 28.60,22.98 ,19.54 , 26.72,20.96 ,17.33 , 24.49,19.41 ,16.31 , 22.75,18.36 ,15.61 , 21.42,17.11 ,14.44 , 19.81,16.16 ,14.02 , 18.58,15.36 ,13.48 , 17.78,14.96 ,13.09 , 17.21,14.32 ,12.48 , 16.26,13.65 ,11.99 , 15.66,13.10 ,11.42 , 15.35,12.55 ,11.05 , 14.66,12.05 ,10.56 , 14.01,11.62 ,10.05 , 13.48,11.11 ,9.82 , 13.10,10.86 ,9.55 , 12.81,10.09 ,8.75 , 11.89,8.97 ,7.89 , 10.48,8.66 ,7.64 , 10.04,8.62 ,7.45 , 9.97,7.71 ,6.76 , 8.98
Muchinga,15.70 ,14.75 , 16.54,16.37 ,15.41 , 17.52,15.65 ,14.57 , 16.72,15.21 ,13.89 , 16.55,13.88 ,12.57 , 15.26,12.26 ,10.70 , 13.87,11.31 ,9.86 , 12.73,10.66 ,9.21 , 12.14,10.01 ,8.63 , 11.37,9.08 ,7.87 , 10.47,8.67 ,7.44 , 10.01,8.00 ,6.86 , 9.23,7.41 ,6.40 , 8.57,7.21 ,6.24 , 8.30,6.77 ,5.92 , 7.70,6.45 ,5.71 , 7.38,6.31 ,5.60 , 7.15,6.04 ,5.37 , 6.78,5.68 ,5.06 , 6.47,5.32 ,4.64 , 6.16,5.15 ,4.45 , 5.95,4.86 ,4.23 , 5.66,4.51 ,3.86 , 5.17,4.30 ,3.74 , 5.03,3.87 ,3.38 , 4.53,3.44 ,2.96 , 4.03,2.86 ,2.48 , 3.34,2.78 ,2.42 , 3.24,2.77 ,2.40 , 3.19,2.35 ,2.04 , 2.77
North-Western,14.44 ,9.84 , 20.30,14.27 ,10.64 , 19.82,14.16 ,10.18 , 20.02,13.29 ,9.26 , 18.26,12.45 ,8.68 , 16.82,11.64 ,8.67 , 15.79,10.24 ,7.61 , 13.51,9.59 ,7.15 , 12.70,9.20 ,6.93 , 11.95,8.42 ,6.28 , 10.84,8.19 ,6.35 , 10.68,7.69 ,5.87 , 9.78,7.43 ,5.86 , 9.55,7.06 ,5.66 , 8.95,6.72 ,5.54 , 8.53,6.63 ,5.34 , 8.20,6.39 ,5.21 , 7.79,6.31 ,5.13 , 7.53,6.26 ,5.06 , 7.49,6.26 ,5.15 , 7.43,6.18 ,5.10 , 7.34,5.99 ,5.06 , 7.18,5.83 ,4.83 , 7.21,5.82 ,4.84 , 7.37,5.28 ,4.22 , 6.71,5.23 ,4.02 , 6.79,4.68 ,3.40 , 6.29,4.22 ,2.81 , 5.76,4.03 ,2.48 , 5.68,3.63 ,2.16 , 5.49
Northern,16.56 ,15.39 , 17.61,16.29 ,15.14 , 17.74,14.96 ,13.68 , 16.28,14.22 ,12.73 , 15.79,13.41 ,11.83 , 14.98,12.10 ,10.48 , 13.86,11.85 ,10.29 , 13.32,11.20 ,9.53 , 12.87,10.66 ,9.16 , 12.03,10.33 ,8.99 , 11.83,9.99 ,8.62 , 11.39,9.45 ,8.24 , 10.86,9.09 ,7.92 , 10.39,8.69 ,7.57 , 9.90,8.26 ,7.17 , 9.43,7.94 ,6.95 , 9.14,7.82 ,6.83 , 8.87,7.49 ,6.58 , 8.46,7.42 ,6.54 , 8.33,7.18 ,6.38 , 8.22,6.42 ,5.75 , 7.19,6.02 ,5.45 , 6.79,5.18 ,4.59 , 5.74,5.17 ,4.67 , 5.82,5.05 ,4.57 , 5.66,4.73 ,4.22 , 5.36,4.22 ,3.78 , 4.78,4.02 ,3.62 , 4.50,3.98 ,3.54 , 4.41,3.42 ,3.06 , 3.86
Southern,33.66 ,26.39 , 43.16,32.75 ,26.34 , 41.67,31.38 ,24.42 , 39.63,27.91 ,21.88 , 34.80,26.86 ,21.16 , 33.54,24.80 ,19.60 , 31.15,22.58 ,18.38 , 27.93,22.08 ,18.11 , 27.12,20.97 ,17.38 , 25.65,19.84 ,16.08 , 23.68,19.05 ,15.59 , 23.39,17.65 ,14.48 , 21.27,16.89 ,14.04 , 19.83,16.21 ,13.49 , 19.40,15.59 ,13.18 , 18.21,14.59 ,12.44 , 16.84,13.98 ,11.86 , 16.30,13.80 ,11.48 , 16.43,13.02 ,10.71 , 15.63,12.88 ,10.83 , 15.33,12.29 ,10.04 , 14.68,11.71 ,9.63 , 13.92,10.76 ,8.61 , 13.04,10.19 ,7.98 , 12.60,9.60 ,7.30 , 12.09,9.06 ,7.08 , 11.60,9.25 ,7.05 , 12.48,9.27 ,6.78 , 13.16,8.53 ,5.98 , 12.53,7.35 ,4.90 , 11.37
Western,15.59 ,11.22 , 19.93,18.67 ,14.40 , 23.42,23.02 ,17.98 , 29.28,22.66 ,18.07 , 28.50,22.79 ,18.32 , 28.89,22.58 ,17.78 , 28.71,21.60 ,17.38 , 27.32,20.99 ,16.72 , 26.09,19.67 ,15.85 , 24.96,18.66 ,15.09 , 23.62,17.71 ,14.20 , 22.65,17.12 ,13.73 , 21.50,16.63 ,13.45 , 20.46,16.18 ,13.16 , 19.93,15.24 ,12.59 , 18.62,15.04 ,12.56 , 18.07,14.79 ,12.44 , 17.69,14.37 ,12.11 , 17.34,14.54 ,12.21 , 17.17,14.47 ,12.08 , 17.22,14.20 ,11.63 , 17.18,14.10 ,11.75 , 17.32,14.06 ,11.48 , 17.06,13.75 ,11.13 , 17.12,12.59 ,9.92 , 15.91,11.80 ,8.81 , 15.16,11.16 ,8.36 , 14.64,11.04 ,7.98 , 15.30,9.62 ,6.69 , 13.57,7.85 ,5.34 , 11.91
National,25.24 ,21.34,30.83,26.09 ,22.06,31.86,26.10 ,22.07,31.87,24.81 ,20.98,30.30,23.89 ,20.20,29.17,21.94 ,18.55,26.79,20.30 ,17.16,24.79,19.08 ,16.13,23.30,17.94 ,15.17,21.91,16.94 ,14.32,20.69,15.97 ,13.50,19.50,15.08 ,12.75,18.42,14.40 ,12.17,17.58,13.73 ,11.61,16.77,13.03 ,11.01,15.91,12.54 ,10.60,15.31,12.14 ,10.26,14.82,11.86 ,10.02,14.48,11.33 ,9.58,13.83,11.13 ,9.41,13.59,10.82 ,9.14,13.21,10.52 ,8.89,12.84,10.20 ,8.62,12.45,9.97 ,8.43,12.18,9.66 ,8.16,11.79,9.08 ,7.67,11.08,8.46 ,7.15,10.33,8.27 ,6.99,10.10,7.94 ,6.71,9.70,7.12 ,6.02,8.70
