States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,10.22 ,9.48 , 11.01,11.20 ,10.34 , 12.13,11.66 ,10.78 , 12.63,12.24 ,11.20 , 13.37,12.48 ,11.43 , 13.75,12.46 ,11.35 , 13.91,12.10 ,10.93 , 13.33,11.77 ,10.51 , 13.15,11.49 ,10.25 , 12.75,11.18 ,10.06 , 12.41,10.50 ,9.26 , 11.81,10.12 ,9.00 , 11.19,9.58 ,8.54 , 10.75,9.28 ,8.20 , 10.39,8.73 ,7.67 , 9.76,8.31 ,7.33 , 9.35,7.70 ,6.75 , 8.69,7.74 ,6.87 , 8.64,7.09 ,6.28 , 7.84,7.12 ,6.34 , 7.98,7.03 ,6.22 , 7.81,6.57 ,5.91 , 7.36,6.58 ,5.85 , 7.24,6.43 ,5.75 , 7.16,6.64 ,5.97 , 7.43,6.41 ,5.73 , 7.21,5.94 ,5.31 , 6.59,5.60 ,5.00 , 6.24,5.27 ,4.65 , 5.83,4.89 ,4.33 , 5.51
Copperbelt,15.53 ,14.51 , 16.70,16.04 ,14.92 , 17.26,16.40 ,15.33 , 17.78,15.35 ,14.08 , 17.00,15.33 ,14.06 , 16.99,13.51 ,12.23 , 15.18,12.73 ,11.44 , 14.18,11.93 ,10.55 , 13.45,11.24 ,9.93 , 12.50,10.83 ,9.66 , 12.18,10.27 ,9.07 , 11.56,9.95 ,8.79 , 11.18,9.66 ,8.57 , 10.81,9.24 ,8.19 , 10.31,8.65 ,7.77 , 9.58,8.24 ,7.48 , 9.16,7.94 ,7.16 , 8.85,7.86 ,7.14 , 8.60,6.98 ,6.38 , 7.57,7.11 ,6.48 , 7.81,6.97 ,6.40 , 7.67,7.21 ,6.60 , 7.93,7.26 ,6.62 , 7.89,7.34 ,6.61 , 8.09,7.30 ,6.67 , 8.09,7.04 ,6.36 , 7.81,6.94 ,6.34 , 7.74,6.90 ,6.28 , 7.57,6.94 ,6.27 , 7.67,6.66 ,6.04 , 7.41
Eastern,11.28 ,10.43 , 12.18,11.79 ,10.83 , 12.79,11.49 ,10.52 , 12.53,10.94 ,9.82 , 12.06,10.65 ,9.50 , 11.80,9.85 ,8.68 , 11.15,9.03 ,7.92 , 10.17,8.67 ,7.52 , 9.84,8.22 ,7.16 , 9.27,7.53 ,6.54 , 8.51,7.27 ,6.24 , 8.26,6.84 ,5.98 , 7.65,6.47 ,5.65 , 7.35,6.22 ,5.45 , 7.00,5.76 ,5.06 , 6.45,5.31 ,4.66 , 5.98,5.04 ,4.43 , 5.68,4.95 ,4.41 , 5.56,4.60 ,4.09 , 5.12,4.19 ,3.70 , 4.72,4.15 ,3.68 , 4.76,4.05 ,3.62 , 4.67,3.78 ,3.32 , 4.26,3.71 ,3.25 , 4.27,3.33 ,2.96 , 3.82,2.94 ,2.58 , 3.41,2.70 ,2.39 , 3.14,2.62 ,2.31 , 3.07,2.42 ,2.10 , 2.83,2.02 ,1.76 , 2.35
Luapula,11.90 ,10.94 , 13.01,12.09 ,11.04 , 13.24,11.49 ,10.46 , 12.67,11.05 ,9.88 , 12.33,10.70 ,9.52 , 12.04,10.19 ,9.03 , 11.63,9.42 ,8.28 , 10.63,9.05 ,7.85 , 10.30,8.54 ,7.43 , 9.68,8.43 ,7.40 , 9.52,7.97 ,6.99 , 9.06,7.51 ,6.57 , 8.45,7.15 ,6.33 , 8.15,6.78 ,5.96 , 7.65,6.37 ,5.58 , 7.16,5.85 ,5.08 , 6.62,5.45 ,4.74 , 6.22,5.23 ,4.62 , 5.92,4.92 ,4.37 , 5.50,4.52 ,4.01 , 5.07,4.36 ,3.85 , 4.92,4.12 ,3.68 , 4.69,3.98 ,3.52 , 4.42,3.80 ,3.41 , 4.34,3.61 ,3.25 , 4.06,3.43 ,3.04 , 3.93,3.24 ,2.87 , 3.68,2.81 ,2.49 , 3.18,2.64 ,2.31 , 2.98,2.24 ,1.98 , 2.55
Lusaka,19.20 ,17.77 , 20.76,20.46 ,18.80 , 22.20,21.11 ,19.33 , 22.96,20.97 ,19.01 , 23.25,19.77 ,17.78 , 22.19,18.66 ,16.62 , 21.49,17.43 ,15.22 , 19.74,16.08 ,13.83 , 18.54,15.13 ,12.87 , 17.21,14.19 ,12.29 , 16.28,13.16 ,11.19 , 15.25,12.32 ,10.62 , 13.97,11.71 ,10.15 , 13.54,11.03 ,9.49 , 12.59,10.24 ,8.89 , 11.66,9.37 ,8.18 , 10.77,8.94 ,7.71 , 10.26,8.48 ,7.38 , 9.69,7.98 ,6.98 , 9.14,7.67 ,6.64 , 8.83,7.35 ,6.45 , 8.56,7.04 ,6.20 , 8.21,6.73 ,5.81 , 7.68,6.39 ,5.53 , 7.46,6.23 ,5.44 , 7.23,5.80 ,5.01 , 6.81,5.06 ,4.42 , 5.93,4.84 ,4.22 , 5.55,4.68 ,3.96 , 5.52,4.22 ,3.60 , 4.91
Muchinga,7.92 ,7.41 , 8.48,8.31 ,7.72 , 8.92,8.08 ,7.49 , 8.78,7.93 ,7.22 , 8.70,7.36 ,6.69 , 8.18,6.65 ,5.94 , 7.51,6.21 ,5.52 , 6.96,5.92 ,5.19 , 6.71,5.62 ,4.91 , 6.31,5.17 ,4.57 , 5.88,4.95 ,4.34 , 5.65,4.61 ,4.02 , 5.19,4.31 ,3.81 , 4.96,4.19 ,3.71 , 4.75,3.93 ,3.46 , 4.40,3.69 ,3.29 , 4.18,3.56 ,3.16 , 3.99,3.35 ,2.99 , 3.75,3.09 ,2.76 , 3.45,2.83 ,2.50 , 3.25,2.70 ,2.33 , 3.10,2.48 ,2.16 , 2.90,2.26 ,1.95 , 2.60,2.17 ,1.87 , 2.53,1.95 ,1.70 , 2.27,1.72 ,1.49 , 1.99,1.47 ,1.28 , 1.69,1.39 ,1.20 , 1.59,1.38 ,1.19 , 1.57,1.21 ,1.04 , 1.39
North-Western,7.66 ,5.23 , 10.63,7.63 ,5.64 , 10.58,7.62 ,5.58 , 10.62,7.23 ,5.22 , 9.96,6.85 ,4.90 , 9.18,6.48 ,4.87 , 8.62,5.83 ,4.43 , 7.56,5.54 ,4.23 , 7.15,5.36 ,4.11 , 6.83,4.98 ,3.81 , 6.31,4.85 ,3.82 , 6.22,4.57 ,3.58 , 5.76,4.40 ,3.54 , 5.52,4.18 ,3.37 , 5.24,3.89 ,3.22 , 4.84,3.70 ,3.02 , 4.55,3.49 ,2.87 , 4.23,3.43 ,2.79 , 4.11,3.26 ,2.63 , 3.92,3.25 ,2.67 , 3.90,3.21 ,2.66 , 3.83,3.10 ,2.58 , 3.77,2.97 ,2.47 , 3.69,2.93 ,2.44 , 3.69,2.66 ,2.14 , 3.37,2.63 ,2.05 , 3.42,2.35 ,1.74 , 3.14,2.08 ,1.42 , 2.87,1.99 ,1.23 , 2.82,1.80 ,1.07 , 2.74
Northern,8.50 ,7.84 , 9.29,8.41 ,7.69 , 9.22,7.81 ,7.11 , 8.60,7.49 ,6.68 , 8.38,7.14 ,6.30 , 8.06,6.53 ,5.69 , 7.51,6.41 ,5.59 , 7.24,6.09 ,5.24 , 6.95,5.80 ,5.05 , 6.58,5.61 ,4.88 , 6.36,5.42 ,4.71 , 6.17,5.14 ,4.44 , 5.78,4.95 ,4.37 , 5.68,4.75 ,4.18 , 5.40,4.47 ,3.92 , 5.06,4.20 ,3.66 , 4.76,4.07 ,3.53 , 4.61,3.77 ,3.32 , 4.29,3.75 ,3.30 , 4.20,3.59 ,3.16 , 4.13,3.25 ,2.90 , 3.63,2.97 ,2.68 , 3.36,2.63 ,2.33 , 2.90,2.58 ,2.30 , 2.90,2.49 ,2.24 , 2.80,2.31 ,2.05 , 2.63,2.06 ,1.82 , 2.32,1.93 ,1.73 , 2.18,1.91 ,1.69 , 2.15,1.65 ,1.47 , 1.85
Southern,16.22 ,12.67 , 20.81,15.89 ,12.96 , 19.96,15.33 ,12.12 , 19.08,13.82 ,11.06 , 17.11,13.42 ,10.83 , 16.30,12.54 ,9.95 , 15.42,11.61 ,9.56 , 14.07,11.42 ,9.44 , 13.89,10.93 ,9.07 , 12.91,10.40 ,8.54 , 12.14,10.03 ,8.31 , 11.80,9.36 ,7.74 , 11.06,8.98 ,7.66 , 10.35,8.64 ,7.36 , 10.10,8.22 ,7.01 , 9.46,7.65 ,6.55 , 8.74,7.28 ,6.22 , 8.32,7.10 ,5.92 , 8.27,6.64 ,5.48 , 7.89,6.41 ,5.34 , 7.50,6.06 ,5.00 , 7.19,5.73 ,4.75 , 6.87,5.26 ,4.26 , 6.39,4.94 ,3.96 , 6.17,4.63 ,3.63 , 5.84,4.28 ,3.38 , 5.48,4.35 ,3.35 , 5.88,4.25 ,3.10 , 5.89,3.94 ,2.78 , 5.80,3.50 ,2.40 , 5.36
Western,8.69 ,6.29 , 11.08,10.37 ,7.99 , 12.97,12.74 ,9.93 , 16.03,12.62 ,10.04 , 15.70,12.77 ,10.23 , 15.90,12.74 ,10.17 , 15.73,12.35 ,10.07 , 15.33,12.13 ,9.77 , 14.92,11.51 ,9.30 , 14.16,11.02 ,9.05 , 13.50,10.54 ,8.57 , 13.21,10.18 ,8.37 , 12.54,9.81 ,8.11 , 11.90,9.47 ,7.94 , 11.47,8.75 ,7.29 , 10.46,8.48 ,7.24 , 10.10,8.19 ,7.01 , 9.91,7.87 ,6.57 , 9.47,7.55 ,6.33 , 9.15,7.47 ,6.22 , 9.14,7.31 ,6.01 , 9.12,7.21 ,5.90 , 8.89,7.16 ,5.86 , 8.82,6.97 ,5.69 , 8.69,6.37 ,5.04 , 8.16,5.94 ,4.53 , 7.61,5.56 ,4.15 , 7.34,5.34 ,3.84 , 7.42,4.82 ,3.34 , 6.89,3.87 ,2.61 , 5.93
National,12.93 ,10.81,15.80,13.47 ,11.26,16.45,13.62 ,11.39,16.64,13.12 ,10.97,16.03,12.79 ,10.70,15.63,11.96 ,10.00,14.60,11.24 ,9.40,13.73,10.71 ,8.95,13.08,10.18 ,8.51,12.43,9.69 ,8.10,11.84,9.20 ,7.69,11.23,8.73 ,7.30,10.66,8.35 ,6.98,10.20,7.99 ,6.68,9.76,7.47 ,6.25,9.13,7.00 ,5.85,8.55,6.67 ,5.57,8.14,6.47 ,5.41,7.91,6.02 ,5.03,7.35,5.85 ,4.89,7.14,5.65 ,4.73,6.91,5.47 ,4.57,6.68,5.27 ,4.41,6.44,5.12 ,4.28,6.26,4.94 ,4.13,6.03,4.64 ,3.88,5.67,4.34 ,3.63,5.30,4.16 ,3.48,5.08,3.99 ,3.33,4.87,3.59 ,3.00,4.39
