States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,14.29 ,13.31 , 15.39,15.35 ,14.23 , 16.40,15.63 ,14.28 , 17.06,16.19 ,14.80 , 17.63,16.26 ,14.62 , 17.78,15.99 ,14.51 , 17.45,15.35 ,13.55 , 17.11,14.79 ,13.20 , 16.48,14.34 ,12.66 , 16.12,13.88 ,12.10 , 15.59,12.91 ,11.39 , 14.50,12.40 ,10.64 , 14.04,11.68 ,10.07 , 13.22,11.32 ,9.80 , 12.93,10.81 ,9.46 , 12.29,10.63 ,9.45 , 12.02,10.00 ,8.68 , 11.45,9.82 ,8.66 , 11.19,9.53 ,8.41 , 10.81,9.63 ,8.50 , 10.92,9.57 ,8.55 , 10.68,8.91 ,7.78 , 9.92,8.94 ,8.08 , 10.17,8.75 ,7.76 , 9.70,9.19 ,8.13 , 10.28,8.90 ,7.93 , 9.88,8.15 ,7.25 , 9.14,7.92 ,7.01 , 8.82,7.32 ,6.57 , 8.24,6.78 ,6.12 , 7.61
Copperbelt,24.94 ,23.48 , 26.66,24.84 ,23.15 , 26.59,24.54 ,22.63 , 26.83,22.14 ,20.09 , 24.08,21.63 ,19.47 , 23.91,18.31 ,16.45 , 20.31,16.81 ,14.59 , 18.91,15.44 ,13.45 , 17.44,14.32 ,12.39 , 16.29,13.70 ,11.84 , 15.72,12.90 ,11.20 , 14.74,12.42 ,10.61 , 14.04,11.97 ,10.32 , 13.59,11.31 ,9.78 , 12.79,10.67 ,9.48 , 11.90,10.49 ,9.30 , 11.69,10.28 ,9.15 , 11.42,10.12 ,9.08 , 11.32,9.40 ,8.53 , 10.41,9.70 ,8.83 , 10.64,9.57 ,8.64 , 10.57,9.90 ,8.89 , 11.00,10.14 ,9.21 , 11.35,10.33 ,9.31 , 11.36,10.32 ,9.36 , 11.39,9.76 ,8.85 , 10.78,9.37 ,8.48 , 10.45,9.42 ,8.45 , 10.41,9.53 ,8.74 , 10.56,9.29 ,8.53 , 10.34
Eastern,19.15 ,17.89 , 20.54,18.80 ,17.32 , 20.22,17.28 ,15.74 , 19.05,15.50 ,13.90 , 17.16,14.29 ,12.49 , 15.87,12.56 ,10.96 , 14.09,11.10 ,9.39 , 12.75,10.38 ,8.79 , 11.89,9.67 ,8.17 , 11.17,8.65 ,7.28 , 10.10,8.32 ,7.11 , 9.53,7.78 ,6.51 , 8.98,7.30 ,6.22 , 8.45,7.05 ,6.05 , 8.13,6.59 ,5.74 , 7.55,6.19 ,5.40 , 7.04,5.95 ,5.16 , 6.85,5.95 ,5.21 , 6.84,5.63 ,4.95 , 6.48,5.25 ,4.61 , 6.05,5.31 ,4.65 , 6.14,5.17 ,4.49 , 5.94,4.80 ,4.30 , 5.70,4.72 ,4.13 , 5.38,4.24 ,3.71 , 4.87,3.77 ,3.31 , 4.31,3.48 ,3.03 , 4.03,3.46 ,2.99 , 3.93,3.20 ,2.84 , 3.69,2.66 ,2.35 , 3.07
Luapula,23.66 ,22.14 , 25.43,22.49 ,20.60 , 24.28,20.11 ,18.05 , 22.31,18.24 ,16.34 , 20.25,16.71 ,14.56 , 18.60,15.16 ,13.29 , 17.02,13.37 ,11.43 , 15.27,12.37 ,10.47 , 14.02,11.33 ,9.60 , 13.03,11.00 ,9.39 , 12.62,10.23 ,8.83 , 11.70,9.54 ,8.07 , 10.95,9.08 ,7.80 , 10.38,8.65 ,7.45 , 9.94,8.31 ,7.18 , 9.48,7.90 ,6.91 , 8.99,7.55 ,6.48 , 8.70,7.36 ,6.48 , 8.52,7.02 ,6.21 , 7.99,6.43 ,5.74 , 7.28,6.18 ,5.43 , 7.05,5.94 ,5.14 , 6.70,5.75 ,5.12 , 6.63,5.53 ,4.82 , 6.22,5.14 ,4.47 , 5.83,5.00 ,4.38 , 5.65,4.64 ,4.08 , 5.30,4.21 ,3.63 , 4.73,4.01 ,3.56 , 4.57,3.25 ,2.88 , 3.68
Lusaka,34.50 ,32.18 , 37.00,34.38 ,31.74 , 37.00,33.36 ,30.35 , 36.86,31.34 ,28.40 , 34.50,27.79 ,24.41 , 30.85,24.90 ,21.83 , 28.00,22.23 ,18.97 , 25.57,19.53 ,16.49 , 22.48,17.76 ,14.91 , 20.88,16.12 ,13.34 , 19.02,14.59 ,12.28 , 17.00,13.41 ,11.02 , 15.83,12.60 ,10.50 , 14.70,11.74 ,9.78 , 13.69,11.09 ,9.46 , 12.67,10.54 ,9.18 , 12.10,10.27 ,8.89 , 11.88,9.83 ,8.47 , 11.43,9.36 ,8.09 , 10.88,8.99 ,7.81 , 10.39,8.61 ,7.45 , 9.97,8.27 ,7.10 , 9.54,7.98 ,6.99 , 9.44,7.63 ,6.62 , 8.81,7.45 ,6.44 , 8.65,6.92 ,6.02 , 8.00,6.15 ,5.33 , 7.18,5.94 ,5.08 , 6.86,5.91 ,5.18 , 6.91,5.29 ,4.61 , 6.15
Muchinga,9.74 ,9.01 , 10.51,9.92 ,9.11 , 10.64,9.27 ,8.38 , 10.23,8.87 ,7.96 , 9.79,7.98 ,7.03 , 8.88,7.00 ,6.18 , 7.82,6.40 ,5.41 , 7.38,5.99 ,5.11 , 6.84,5.63 ,4.78 , 6.50,5.10 ,4.24 , 5.84,4.87 ,4.20 , 5.61,4.50 ,3.75 , 5.20,4.17 ,3.55 , 4.89,4.05 ,3.46 , 4.70,3.81 ,3.31 , 4.40,3.63 ,3.19 , 4.14,3.54 ,3.08 , 4.09,3.40 ,2.97 , 3.92,3.19 ,2.80 , 3.68,2.99 ,2.56 , 3.48,2.89 ,2.48 , 3.37,2.73 ,2.32 , 3.16,2.54 ,2.22 , 3.04,2.42 ,2.05 , 2.80,2.18 ,1.85 , 2.53,1.93 ,1.66 , 2.21,1.61 ,1.37 , 1.87,1.56 ,1.32 , 1.79,1.56 ,1.35 , 1.84,1.32 ,1.14 , 1.55
North-Western,13.10 ,8.96 , 18.03,12.21 ,8.65 , 16.71,11.57 ,8.27 , 15.68,10.39 ,7.24 , 14.00,9.33 ,6.83 , 12.94,8.45 ,6.10 , 11.49,7.25 ,5.42 , 9.62,6.64 ,4.98 , 8.70,6.27 ,4.69 , 8.16,5.66 ,4.38 , 7.37,5.46 ,4.07 , 6.99,5.09 ,4.01 , 6.49,4.89 ,3.76 , 6.11,4.64 ,3.71 , 5.96,4.42 ,3.50 , 5.41,4.36 ,3.55 , 5.40,4.20 ,3.41 , 5.16,4.15 ,3.37 , 5.06,4.11 ,3.36 , 4.91,4.11 ,3.32 , 4.96,4.06 ,3.40 , 4.87,3.94 ,3.28 , 4.75,3.83 ,3.17 , 4.68,3.82 ,3.13 , 4.75,3.47 ,2.75 , 4.36,3.43 ,2.63 , 4.45,3.07 ,2.18 , 4.14,2.77 ,1.84 , 3.88,2.65 ,1.68 , 3.87,2.39 ,1.42 , 3.62
Northern,15.81 ,14.78 , 16.96,14.67 ,13.43 , 15.83,12.86 ,11.52 , 14.33,11.70 ,10.43 , 13.04,10.58 ,9.17 , 11.79,9.24 ,8.02 , 10.45,8.84 ,7.52 , 10.10,8.16 ,6.93 , 9.29,7.65 ,6.53 , 8.81,7.30 ,6.25 , 8.38,7.01 ,6.05 , 7.99,6.59 ,5.56 , 7.51,6.29 ,5.40 , 7.22,6.01 ,5.21 , 6.92,5.71 ,4.95 , 6.50,5.49 ,4.82 , 6.24,5.41 ,4.67 , 6.19,5.18 ,4.55 , 5.98,5.13 ,4.50 , 5.84,4.96 ,4.39 , 5.62,4.44 ,3.98 , 5.00,4.16 ,3.64 , 4.65,3.58 ,3.22 , 4.09,3.57 ,3.16 , 3.98,3.49 ,3.09 , 3.91,3.27 ,2.90 , 3.66,2.92 ,2.61 , 3.28,2.78 ,2.45 , 3.10,2.75 ,2.49 , 3.10,2.37 ,2.13 , 2.67
Southern,33.11 ,25.97 , 42.14,30.39 ,23.89 , 37.51,27.81 ,21.93 , 34.73,23.67 ,18.60 , 29.44,21.83 ,17.14 , 27.01,19.51 ,15.13 , 24.28,17.36 ,13.89 , 21.66,16.58 ,13.59 , 20.32,15.51 ,12.44 , 18.71,14.45 ,11.93 , 17.39,13.78 ,11.42 , 16.25,12.67 ,10.44 , 15.20,12.04 ,9.81 , 14.59,11.56 ,9.61 , 13.75,11.12 ,9.10 , 12.96,10.40 ,8.66 , 12.21,9.97 ,8.37 , 11.77,9.84 ,8.39 , 11.76,9.28 ,7.78 , 10.84,9.18 ,7.56 , 10.95,8.76 ,7.33 , 10.41,8.35 ,6.80 , 10.00,7.67 ,6.08 , 9.17,7.27 ,5.64 , 8.98,6.84 ,5.23 , 8.56,6.46 ,4.97 , 8.43,6.59 ,5.13 , 8.98,6.61 ,4.95 , 9.44,6.08 ,4.40 , 9.04,5.24 ,3.55 , 8.08
Western,12.19 ,8.97 , 15.97,14.26 ,10.70 , 17.82,17.18 ,13.48 , 21.04,16.66 ,13.16 , 20.77,16.51 ,13.40 , 20.64,15.96 ,12.92 , 20.36,14.89 ,11.77 , 18.67,14.12 ,11.30 , 17.76,12.91 ,10.37 , 16.34,11.95 ,9.70 , 14.94,11.07 ,8.99 , 13.69,10.70 ,8.80 , 13.52,10.39 ,8.46 , 12.89,10.11 ,8.28 , 12.52,9.52 ,7.84 , 11.55,9.40 ,7.89 , 11.39,9.25 ,7.72 , 11.13,8.98 ,7.52 , 10.82,9.08 ,7.74 , 10.93,9.04 ,7.56 , 10.95,8.87 ,7.32 , 10.88,8.81 ,7.18 , 10.66,8.79 ,7.11 , 11.12,8.59 ,6.87 , 10.77,7.87 ,6.21 , 10.10,7.37 ,5.69 , 9.57,6.98 ,5.15 , 9.25,6.90 ,5.05 , 9.38,6.02 ,4.10 , 8.61,4.91 ,3.40 , 7.19
National,21.98 ,18.62,26.78,21.71 ,18.40,26.45,20.99 ,17.78,25.57,19.31 ,16.36,23.53,18.08 ,15.32,22.03,16.23 ,13.76,19.78,14.77 ,12.51,17.99,13.67 ,11.59,16.66,12.72 ,10.78,15.49,11.90 ,10.08,14.50,11.14 ,9.44,13.57,10.49 ,8.89,12.78,9.98 ,8.45,12.15,9.51 ,8.06,11.59,9.03 ,7.65,11.00,8.69 ,7.36,10.59,8.41 ,7.13,10.25,8.21 ,6.96,10.01,7.85 ,6.65,9.56,7.72 ,6.54,9.40,7.49 ,6.35,9.13,7.29 ,6.18,8.88,7.07 ,5.99,8.61,6.91 ,5.86,8.42,6.70 ,5.68,8.16,6.30 ,5.34,7.68,5.88 ,4.98,7.16,5.75 ,4.87,7.00,5.52 ,4.67,6.72,4.95 ,4.20,6.03
