States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,8.07 ,7.42 , 8.97,8.76 ,7.99 , 9.67,9.06 ,8.21 , 10.10,9.49 ,8.68 , 10.50,9.67 ,8.69 , 10.66,9.65 ,8.68 , 10.76,9.43 ,8.40 , 10.51,9.22 ,8.22 , 10.31,9.03 ,7.99 , 10.23,8.82 ,7.74 , 9.93,8.32 ,7.34 , 9.41,8.04 ,7.03 , 9.20,7.63 ,6.63 , 8.65,7.40 ,6.52 , 8.48,6.94 ,6.09 , 7.85,6.55 ,5.85 , 7.42,6.04 ,5.31 , 6.90,6.10 ,5.33 , 7.04,5.50 ,4.79 , 6.55,5.51 ,4.87 , 6.31,5.43 ,4.78 , 6.26,5.09 ,4.46 , 5.78,5.08 ,4.56 , 5.95,4.96 ,4.37 , 5.62,5.10 ,4.49 , 5.83,4.91 ,4.33 , 5.59,4.57 ,4.04 , 5.31,4.26 ,3.74 , 4.91,4.03 ,3.59 , 4.70,3.74 ,3.30 , 4.37
Copperbelt,12.95 ,12.01 , 14.63,13.14 ,12.01 , 14.63,13.33 ,12.14 , 14.90,12.40 ,11.30 , 13.95,12.34 ,11.11 , 13.92,10.91 ,9.72 , 12.38,10.26 ,9.05 , 11.53,9.66 ,8.62 , 10.98,9.13 ,8.06 , 10.47,8.80 ,7.73 , 10.11,8.37 ,7.35 , 9.53,8.10 ,7.08 , 9.22,7.88 ,6.97 , 8.84,7.56 ,6.70 , 8.57,7.06 ,6.35 , 7.91,6.67 ,6.01 , 7.49,6.40 ,5.73 , 7.14,6.35 ,5.68 , 7.11,5.57 ,5.03 , 6.26,5.65 ,5.12 , 6.24,5.52 ,5.03 , 6.12,5.70 ,5.14 , 6.38,5.71 ,5.20 , 6.51,5.75 ,5.15 , 6.42,5.70 ,5.18 , 6.35,5.53 ,5.01 , 6.17,5.50 ,4.93 , 6.18,5.43 ,4.88 , 6.13,5.45 ,4.99 , 6.22,5.19 ,4.73 , 5.90
Eastern,10.76 ,9.89 , 11.94,10.71 ,9.73 , 11.84,10.09 ,9.07 , 11.34,9.31 ,8.34 , 10.43,8.82 ,7.76 , 9.85,8.02 ,7.03 , 9.09,7.27 ,6.31 , 8.31,6.88 ,6.00 , 7.77,6.48 ,5.63 , 7.47,5.91 ,5.03 , 6.75,5.67 ,4.91 , 6.50,5.32 ,4.62 , 6.15,5.02 ,4.32 , 5.71,4.82 ,4.19 , 5.54,4.46 ,3.90 , 5.08,4.09 ,3.62 , 4.67,3.86 ,3.40 , 4.39,3.76 ,3.31 , 4.42,3.47 ,3.05 , 4.11,3.13 ,2.76 , 3.60,3.07 ,2.69 , 3.62,2.99 ,2.57 , 3.48,2.79 ,2.48 , 3.33,2.73 ,2.37 , 3.15,2.44 ,2.13 , 2.86,2.14 ,1.84 , 2.50,1.96 ,1.69 , 2.32,1.87 ,1.62 , 2.24,1.72 ,1.50 , 2.08,1.44 ,1.25 , 1.74
Luapula,12.39 ,11.31 , 13.96,11.97 ,10.79 , 13.30,10.97 ,9.79 , 12.44,10.21 ,9.04 , 11.54,9.59 ,8.41 , 10.85,8.95 ,7.81 , 10.16,8.18 ,7.09 , 9.38,7.76 ,6.80 , 8.82,7.27 ,6.34 , 8.41,7.12 ,6.11 , 8.17,6.72 ,5.88 , 7.72,6.32 ,5.52 , 7.26,6.00 ,5.21 , 6.90,5.69 ,4.96 , 6.55,5.33 ,4.65 , 6.08,4.86 ,4.28 , 5.54,4.51 ,3.95 , 5.15,4.31 ,3.74 , 5.02,4.04 ,3.53 , 4.65,3.71 ,3.31 , 4.24,3.58 ,3.16 , 4.13,3.37 ,2.96 , 3.90,3.25 ,2.91 , 3.86,3.10 ,2.70 , 3.57,2.96 ,2.60 , 3.40,2.80 ,2.44 , 3.22,2.64 ,2.32 , 3.10,2.27 ,1.98 , 2.67,2.11 ,1.86 , 2.51,1.82 ,1.59 , 2.14
Lusaka,18.87 ,17.14 , 21.21,19.19 ,17.27 , 21.49,19.12 ,17.06 , 21.65,18.40 ,16.35 , 20.92,16.90 ,14.81 , 19.31,15.64 ,13.66 , 18.03,14.44 ,12.38 , 16.75,13.20 ,11.36 , 15.35,12.35 ,10.54 , 14.54,11.52 ,9.69 , 13.46,10.67 ,9.07 , 12.49,9.97 ,8.45 , 11.79,9.45 ,7.98 , 10.95,8.92 ,7.67 , 10.49,8.24 ,7.08 , 9.54,7.46 ,6.47 , 8.74,7.07 ,6.12 , 8.25,6.68 ,5.75 , 8.03,6.26 ,5.42 , 7.59,6.01 ,5.29 , 7.08,5.77 ,5.02 , 6.85,5.51 ,4.73 , 6.50,5.26 ,4.64 , 6.38,4.98 ,4.29 , 5.87,4.84 ,4.20 , 5.69,4.50 ,3.88 , 5.28,3.89 ,3.35 , 4.64,3.70 ,3.21 , 4.51,3.54 ,3.04 , 4.32,3.18 ,2.74 , 3.89
Muchinga,5.40 ,5.03 , 5.88,5.62 ,5.19 , 6.11,5.47 ,5.00 , 6.05,5.37 ,4.90 , 5.89,5.01 ,4.47 , 5.48,4.58 ,4.11 , 5.16,4.31 ,3.79 , 4.77,4.12 ,3.62 , 4.63,3.93 ,3.49 , 4.43,3.65 ,3.17 , 4.12,3.50 ,3.08 , 3.96,3.28 ,2.88 , 3.76,3.09 ,2.71 , 3.49,3.02 ,2.68 , 3.45,2.83 ,2.51 , 3.18,2.65 ,2.38 , 2.96,2.55 ,2.28 , 2.86,2.38 ,2.12 , 2.74,2.17 ,1.93 , 2.53,1.97 ,1.74 , 2.24,1.86 ,1.62 , 2.17,1.68 ,1.45 , 1.97,1.52 ,1.34 , 1.84,1.46 ,1.26 , 1.70,1.30 ,1.12 , 1.53,1.15 ,1.00 , 1.34,0.99 ,0.85 , 1.19,0.92 ,0.79 , 1.08,0.90 ,0.77 , 1.07,0.81 ,0.69 , 0.96
North-Western,6.95 ,4.77 , 9.63,6.60 ,4.57 , 9.20,6.35 ,4.69 , 9.27,5.84 ,4.24 , 8.07,5.37 ,3.96 , 7.53,4.97 ,3.76 , 7.14,4.44 ,3.36 , 5.97,4.17 ,3.18 , 5.62,4.00 ,3.15 , 5.34,3.69 ,2.89 , 4.92,3.59 ,2.83 , 4.62,3.37 ,2.68 , 4.28,3.24 ,2.53 , 4.10,3.07 ,2.46 , 3.93,2.84 ,2.30 , 3.63,2.67 ,2.11 , 3.37,2.50 ,2.02 , 3.17,2.45 ,1.97 , 3.10,2.28 ,1.87 , 2.88,2.28 ,1.88 , 2.90,2.25 ,1.90 , 2.86,2.17 ,1.83 , 2.84,2.07 ,1.73 , 2.65,2.03 ,1.66 , 2.59,1.84 ,1.43 , 2.41,1.82 ,1.40 , 2.47,1.62 ,1.23 , 2.25,1.42 ,0.98 , 2.13,1.36 ,0.86 , 2.15,1.23 ,0.71 , 1.98
Northern,8.56 ,7.83 , 9.59,8.06 ,7.26 , 8.95,7.21 ,6.42 , 8.22,6.68 ,5.92 , 7.61,6.17 ,5.35 , 6.97,5.53 ,4.80 , 6.33,5.34 ,4.60 , 6.14,4.99 ,4.36 , 5.69,4.72 ,4.09 , 5.45,4.51 ,3.86 , 5.21,4.34 ,3.78 , 4.99,4.10 ,3.56 , 4.73,3.94 ,3.40 , 4.52,3.78 ,3.30 , 4.37,3.55 ,3.09 , 4.06,3.32 ,2.93 , 3.81,3.20 ,2.81 , 3.69,2.92 ,2.51 , 3.43,2.91 ,2.54 , 3.38,2.78 ,2.44 , 3.18,2.52 ,2.24 , 2.89,2.29 ,2.01 , 2.64,2.04 ,1.82 , 2.39,1.99 ,1.74 , 2.28,1.91 ,1.68 , 2.18,1.77 ,1.56 , 2.01,1.57 ,1.38 , 1.85,1.47 ,1.29 , 1.71,1.44 ,1.28 , 1.68,1.25 ,1.11 , 1.47
Southern,16.41 ,12.86 , 21.19,15.33 ,12.04 , 19.72,14.27 ,11.21 , 18.06,12.47 ,10.08 , 15.69,11.75 ,9.43 , 14.57,10.75 ,8.52 , 13.49,9.83 ,7.99 , 12.28,9.53 ,7.85 , 11.69,9.05 ,7.52 , 10.91,8.54 ,7.10 , 10.37,8.20 ,6.83 , 9.98,7.64 ,6.45 , 9.06,7.30 ,6.07 , 8.78,7.03 ,5.88 , 8.42,6.67 ,5.56 , 7.82,6.21 ,5.23 , 7.34,5.89 ,5.04 , 7.02,5.73 ,4.89 , 6.91,5.34 ,4.51 , 6.33,5.12 ,4.23 , 6.16,4.84 ,4.05 , 5.75,4.57 ,3.75 , 5.49,4.19 ,3.35 , 5.09,3.93 ,3.09 , 4.94,3.68 ,2.87 , 4.75,3.38 ,2.61 , 4.54,3.43 ,2.66 , 4.73,3.32 ,2.48 , 4.71,3.09 ,2.21 , 4.61,2.77 ,1.86 , 4.25
Western,7.73 ,5.79 , 10.38,9.04 ,6.79 , 11.53,10.88 ,8.43 , 13.30,10.66 ,8.50 , 13.18,10.67 ,8.64 , 13.44,10.46 ,8.60 , 13.20,9.97 ,8.12 , 12.53,9.65 ,7.73 , 12.29,9.04 ,7.45 , 11.52,8.55 ,7.12 , 10.72,8.08 ,6.71 , 10.07,7.85 ,6.54 , 9.70,7.58 ,6.22 , 9.57,7.33 ,6.09 , 9.07,6.77 ,5.69 , 8.31,6.53 ,5.42 , 8.15,6.29 ,5.38 , 7.90,6.03 ,4.99 , 7.66,5.70 ,4.76 , 7.19,5.63 ,4.64 , 7.35,5.51 ,4.47 , 7.53,5.42 ,4.36 , 7.16,5.38 ,4.30 , 7.52,5.23 ,4.12 , 7.20,4.76 ,3.71 , 6.67,4.42 ,3.38 , 6.45,4.10 ,3.05 , 5.92,3.87 ,2.75 , 5.59,3.52 ,2.37 , 5.24,2.79 ,1.94 , 4.61
