States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,5200 ,5000 , 5500,5800 ,5500 , 6100,6100 ,5700 , 6400,6500 ,6100 , 6900,6700 ,6200 , 7100,6700 ,6200 , 7300,6600 ,6000 , 7200,6500 ,5900 , 7100,6500 ,5800 , 7100,6400 ,5800 , 7100,6100 ,5500 , 6800,6000 ,5400 , 6700,5900 ,5200 , 6500,5900 ,5200 , 6500,5800 ,5200 , 6400,5800 ,5300 , 6500,5700 ,5100 , 6300,5800 ,5200 , 6400,5800 ,5200 , 6400,6000 ,5500 , 6700,6200 ,5700 , 6800,6000 ,5500 , 6500,6200 ,5700 , 6800,6300 ,5800 , 6900,6800 ,6300 , 7500,6800 ,6300 , 7500,6500 ,6000 , 7200,6500 ,6000 , 7200,6300 ,5800 , 6900,6000 ,5500 , 6600
Copperbelt,15 000 ,15 000 , 16 000,15 000 ,15 000 , 16 000,16 000 ,15 000 , 16 000,14 000 ,13 000 , 15 000,14 000 ,13 000 , 15 000,12 000 ,11 000 , 13 000,12 000 ,10 000 , 13 000,11 000 ,9700 , 12 000,10 000 ,9200 , 12 000,10 000 ,9000 , 11 000,9900 ,8700 , 11 000,9900 ,8700 , 11 000,9800 ,8700 , 11 000,9500 ,8500 , 10 000,9200 ,8400 , 10 000,9300 ,8500 , 10 000,9300 ,8600 , 10 000,9400 ,8700 , 10 000,9000 ,8400 , 9700,9500 ,8900 , 10 000,9600 ,8900 , 10 000,10 000 ,9500 , 11 000,11 000 ,9900 , 12 000,11 000 ,10 000 , 12 000,11 000 ,11 000 , 12 000,11 000 ,10 000 , 12 000,11 000 ,10 000 , 12 000,11 000 ,10 000 , 12 000,12 000 ,11 000 , 13 000,12 000 ,11 000 , 13 000
Eastern,7500 ,7200 , 7900,7700 ,7300 , 8100,7300 ,6800 , 7800,6800 ,6200 , 7400,6600 ,5900 , 7200,6000 ,5300 , 6600,5400 ,4800 , 6100,5300 ,4600 , 5900,5100 ,4400 , 5700,4700 ,4000 , 5300,4600 ,4000 , 5200,4400 ,3900 , 5000,4300 ,3800 , 4900,4300 ,3800 , 4800,4100 ,3700 , 4600,4000 ,3600 , 4500,3900 ,3500 , 4400,4000 ,3600 , 4500,3900 ,3600 , 4400,3800 ,3400 , 4300,4000 ,3600 , 4500,4000 ,3600 , 4500,3800 ,3400 , 4400,3900 ,3500 , 4500,3600 ,3300 , 4100,3400 ,3000 , 3800,3200 ,2900 , 3700,3300 ,3000 , 3800,3200 ,2800 , 3600,2700 ,2500 , 3100
Luapula,5300 ,5100 , 5600,5300 ,4900 , 5600,4900 ,4500 , 5300,4600 ,4200 , 5000,4400 ,3900 , 4800,4100 ,3600 , 4600,3700 ,3300 , 4200,3600 ,3200 , 4000,3400 ,3000 , 3800,3400 ,3000 , 3800,3200 ,2900 , 3600,3100 ,2700 , 3500,3100 ,2700 , 3400,3000 ,2700 , 3400,3000 ,2600 , 3300,2900 ,2600 , 3200,2800 ,2500 , 3200,2800 ,2500 , 3200,2800 ,2500 , 3100,2600 ,2400 , 2900,2600 ,2400 , 2900,2600 ,2300 , 2900,2600 ,2300 , 2900,2600 ,2300 , 2900,2500 ,2200 , 2800,2500 ,2200 , 2800,2400 ,2200 , 2700,2200 ,2000 , 2500,2200 ,2000 , 2500,1900 ,1700 , 2100
Lusaka,15 000 ,14 000 , 15 000,15 000 ,15 000 , 16 000,16 000 ,15 000 , 17 000,15 000 ,14 000 , 17 000,14 000 ,13 000 , 16 000,13 000 ,12 000 , 15 000,13 000 ,11 000 , 14 000,12 000 ,10 000 , 13 000,11 000 ,9600 , 13 000,11 000 ,9200 , 12 000,10 000 ,8700 , 12 000,9900 ,8500 , 11 000,9800 ,8400 , 11 000,9600 ,8400 , 11 000,9500 ,8400 , 11 000,9500 ,8500 , 11 000,9700 ,8700 , 11 000,9800 ,8700 , 11 000,9800 ,8700 , 11 000,9800 ,8600 , 11 000,9800 ,8700 , 11 000,9800 ,8700 , 11 000,9900 ,8800 , 11 000,9900 ,8800 , 11 000,10 000 ,9000 , 12 000,9800 ,8700 , 11 000,9100 ,8000 , 10 000,9200 ,8100 , 11 000,9500 ,8400 , 11 000,8900 ,7900 , 10 000
Muchinga,1800 ,1800 , 1900,2000 ,1800 , 2100,1900 ,1800 , 2000,1900 ,1700 , 2000,1800 ,1600 , 1900,1600 ,1400 , 1800,1500 ,1400 , 1700,1500 ,1300 , 1700,1500 ,1300 , 1600,1400 ,1200 , 1500,1300 ,1200 , 1500,1300 ,1100 , 1500,1200 ,1100 , 1400,1200 ,1100 , 1400,1200 ,1100 , 1400,1200 ,1100 , 1300,1200 ,1100 , 1400,1200 ,1100 , 1400,1200 ,1100 , 1300,1100 ,1000 , 1300,1200 ,1000 , 1300,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
North-Western,2100 ,1400 , 2800,2000 ,1500 , 2700,2000 ,1400 , 2700,1900 ,1300 , 2600,1800 ,1300 , 2500,1700 ,1300 , 2200,1500 ,1200 , 1900,1400 ,1100 , 1800,1400 ,1100 , 1800,1300 ,1000 , 1700,1300 ,1000 , 1600,1300 ,1000 , 1600,1300 ,1000 , 1600,1200 ,1000 , 1500,1200 ,1000 , 1500,1200 ,1000 , 1500,1200 ,1000 , 1500,1300 ,1000 , 1500,1300 ,1100 , 1500,1300 ,1100 , 1500,1400 ,1100 , 1600,1400 ,1200 , 1600,1400 ,1200 , 1700,1400 ,1200 , 1700,1300 ,1100 , 1600,1400 ,1100 , 1800,1300 ,<1000 , 1700,1200 ,<1000 , 1600,1200 ,<1000 , 1700,1100 ,<1000 , 1700
Northern,3700 ,3500 , 3900,3600 ,3400 , 3800,3300 ,3000 , 3500,3100 ,2800 , 3400,3000 ,2600 , 3300,2700 ,2400 , 3000,2700 ,2400 , 3000,2600 ,2300 , 2900,2500 ,2200 , 2800,2500 ,2200 , 2800,2500 ,2200 , 2800,2400 ,2100 , 2700,2400 ,2100 , 2700,2300 ,2100 , 2600,2300 ,2000 , 2600,2300 ,2000 , 2600,2300 ,2100 , 2600,2300 ,2100 , 2600,2400 ,2100 , 2700,2400 ,2200 , 2700,2200 ,2000 , 2500,2200 ,2000 , 2400,1900 ,1800 , 2100,2000 ,1800 , 2200,2000 ,1900 , 2200,2000 ,1800 , 2200,1800 ,1700 , 2000,1800 ,1600 , 2000,1900 ,1700 , 2100,1700 ,1500 , 1800
Southern,11 000 ,8800 , 14 000,10 000 ,8600 , 13 000,10 000 ,8100 , 13 000,8900 ,7100 , 11 000,8700 ,6900 , 11 000,8100 ,6700 , 10 000,7500 ,6300 , 9200,7500 ,6400 , 9000,7300 ,6300 , 8600,7100 ,6100 , 8300,7000 ,6000 , 8200,6700 ,5800 , 7800,6600 ,5800 , 7600,6600 ,5700 , 7600,6600 ,5700 , 7500,6400 ,5500 , 7300,6400 ,5500 , 7300,6600 ,5600 , 7500,6400 ,5500 , 7400,6600 ,5600 , 7700,6500 ,5500 , 7600,6500 ,5400 , 7600,6200 ,5000 , 7400,6100 ,4800 , 7400,5900 ,4800 , 7500,5800 ,4600 , 7500,6200 ,4800 , 8400,6500 ,4800 , 9000,6200 ,4400 , 9000,5600 ,3800 , 8300
Western,3700 ,2700 , 4700,4400 ,3400 , 5400,5400 ,4300 , 6600,5300 ,4300 , 6600,5300 ,4400 , 6600,5300 ,4300 , 6500,5000 ,4100 , 6100,4800 ,3900 , 5800,4500 ,3700 , 5400,4300 ,3500 , 5200,4000 ,3300 , 4900,3900 ,3300 , 4800,3900 ,3300 , 4700,3800 ,3300 , 4500,3600 ,3100 , 4300,3600 ,3100 , 4300,3600 ,3100 , 4200,3600 ,3100 , 4200,3700 ,3200 , 4300,3700 ,3200 , 4400,3700 ,3100 , 4500,3700 ,3100 , 4500,3800 ,3100 , 4700,3800 ,3100 , 4600,3500 ,2800 , 4400,3400 ,2600 , 4300,3300 ,2500 , 4300,3300 ,2500 , 4500,3000 ,2100 , 4200,2500 ,1800 , 3700
