States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,3000 ,2900 , 3200,3400 ,3200 , 3600,3600 ,3300 , 3800,3800 ,3500 , 4100,3900 ,3600 , 4200,4000 ,3600 , 4300,3900 ,3500 , 4200,3800 ,3400 , 4200,3800 ,3400 , 4100,3700 ,3400 , 4200,3600 ,3200 , 4000,3500 ,3100 , 3900,3400 ,3000 , 3800,3400 ,3000 , 3800,3300 ,3000 , 3700,3400 ,3100 , 3800,3300 ,3000 , 3700,3300 ,3000 , 3700,3300 ,3000 , 3700,3500 ,3100 , 3900,3600 ,3300 , 4000,3500 ,3200 , 3800,3600 ,3200 , 3900,3600 ,3300 , 4000,4000 ,3600 , 4400,4000 ,3600 , 4400,3800 ,3400 , 4200,3800 ,3500 , 4200,3600 ,3300 , 4000,3500 ,3200 , 3900
Copperbelt,8500 ,8000 , 8900,8700 ,8200 , 9300,8800 ,8300 , 9300,8100 ,7500 , 8800,8100 ,7400 , 8800,7000 ,6300 , 7800,6600 ,6000 , 7300,6200 ,5500 , 7000,5900 ,5200 , 6600,5800 ,5200 , 6600,5700 ,5000 , 6400,5600 ,5000 , 6300,5600 ,5000 , 6300,5400 ,4900 , 6100,5300 ,4800 , 5800,5300 ,4900 , 5800,5400 ,4900 , 5900,5400 ,4900 , 5800,5200 ,4800 , 5600,5500 ,5000 , 6000,5500 ,5100 , 6100,5900 ,5400 , 6400,6200 ,5700 , 6700,6400 ,5900 , 7100,6600 ,6100 , 7300,6400 ,5800 , 7000,6200 ,5800 , 6900,6400 ,5900 , 7000,6700 ,6100 , 7300,6700 ,6200 , 7300
Eastern,4000 ,3700 , 4200,4200 ,3900 , 4500,4100 ,3800 , 4400,3900 ,3500 , 4200,3800 ,3400 , 4200,3500 ,3100 , 4000,3200 ,2800 , 3600,3100 ,2700 , 3600,3000 ,2600 , 3400,2800 ,2400 , 3200,2800 ,2400 , 3100,2700 ,2300 , 3000,2600 ,2300 , 3000,2600 ,2300 , 2900,2500 ,2200 , 2800,2400 ,2100 , 2700,2400 ,2100 , 2700,2400 ,2200 , 2700,2400 ,2100 , 2700,2300 ,2000 , 2600,2400 ,2200 , 2700,2400 ,2200 , 2800,2300 ,2100 , 2700,2400 ,2100 , 2700,2200 ,2000 , 2500,2000 ,1800 , 2300,1900 ,1700 , 2300,2000 ,1800 , 2300,1900 ,1700 , 2200,1700 ,1500 , 1900
Luapula,2600 ,2400 , 2800,2700 ,2500 , 2900,2500 ,2300 , 2700,2400 ,2200 , 2700,2400 ,2100 , 2600,2200 ,2000 , 2600,2100 ,1800 , 2300,2000 ,1700 , 2300,1900 ,1600 , 2100,1900 ,1700 , 2100,1800 ,1600 , 2100,1800 ,1500 , 2000,1700 ,1500 , 2000,1700 ,1500 , 1900,1700 ,1500 , 1900,1600 ,1400 , 1800,1600 ,1400 , 1800,1600 ,1400 , 1800,1600 ,1400 , 1700,1500 ,1300 , 1700,1500 ,1300 , 1600,1400 ,1300 , 1600,1400 ,1300 , 1600,1400 ,1300 , 1600,1400 ,1300 , 1600,1400 ,1200 , 1600,1300 ,1200 , 1500,1300 ,1100 , 1400,1200 ,1100 , 1400,1000 ,<1000 , 1200
Lusaka,7700 ,7200 , 8100,8200 ,7700 , 8900,8500 ,7900 , 9100,8500 ,7700 , 9300,8100 ,7300 , 8900,7700 ,6900 , 8700,7300 ,6400 , 8100,6800 ,5800 , 7800,6500 ,5500 , 7300,6300 ,5400 , 7200,6000 ,5100 , 6900,5800 ,5000 , 6600,5700 ,5000 , 6600,5600 ,4900 , 6400,5600 ,4900 , 6300,5600 ,4900 , 6300,5700 ,5000 , 6400,5700 ,5100 , 6500,5700 ,5100 , 6500,5700 ,5100 , 6600,5700 ,5000 , 6600,5700 ,5000 , 6700,5800 ,5000 , 6700,5800 ,5100 , 6700,5900 ,5200 , 6900,5700 ,5000 , 6700,5300 ,4700 , 6200,5400 ,4700 , 6200,5600 ,4900 , 6500,5300 ,4600 , 6100
Muchinga,1200 ,1100 , 1300,1300 ,1200 , 1400,1200 ,1200 , 1300,1200 ,1100 , 1400,1200 ,1100 , 1300,1100 ,<1000 , 1200,1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000
North-Western,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1400,1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Northern,1900 ,1800 , 2000,1900 ,1800 , 2100,1800 ,1600 , 1900,1700 ,1600 , 1900,1700 ,1500 , 1900,1500 ,1300 , 1800,1600 ,1400 , 1700,1500 ,1300 , 1700,1500 ,1300 , 1600,1500 ,1300 , 1700,1500 ,1300 , 1600,1400 ,1300 , 1600,1400 ,1200 , 1600,1400 ,1200 , 1600,1400 ,1200 , 1500,1400 ,1200 , 1600,1400 ,1200 , 1600,1400 ,1200 , 1500,1400 ,1300 , 1600,1400 ,1300 , 1600,1300 ,1200 , 1500,1300 ,1200 , 1400,1100 ,1000 , 1300,1200 ,1100 , 1300,1200 ,1100 , 1300,1200 ,1100 , 1300,1100 ,<1000 , 1200,1100 ,<1000 , 1200,1100 ,<1000 , 1200,<1000 ,<1000 , 1100
Southern,5600 ,4500 , 7200,5500 ,4500 , 6800,5400 ,4200 , 6800,4900 ,3800 , 6100,4800 ,3900 , 5800,4600 ,3700 , 5600,4300 ,3600 , 5100,4300 ,3600 , 5200,4200 ,3600 , 4900,4100 ,3400 , 4700,4000 ,3400 , 4700,3900 ,3300 , 4500,3800 ,3300 , 4400,3800 ,3300 , 4300,3800 ,3300 , 4300,3700 ,3200 , 4200,3700 ,3100 , 4100,3700 ,3200 , 4300,3700 ,3100 , 4300,3800 ,3200 , 4400,3700 ,3100 , 4300,3700 ,3000 , 4300,3500 ,2800 , 4200,3500 ,2800 , 4200,3400 ,2700 , 4300,3300 ,2600 , 4200,3500 ,2800 , 4700,3700 ,2700 , 5100,3500 ,2500 , 5200,3200 ,2100 , 4800
Western,1900 ,1400 , 2400,2300 ,1800 , 2800,2800 ,2200 , 3500,2800 ,2300 , 3500,2800 ,2300 , 3500,2800 ,2300 , 3500,2700 ,2200 , 3300,2600 ,2200 , 3200,2500 ,2000 , 3000,2400 ,2000 , 2900,2300 ,1900 , 2800,2200 ,1900 , 2700,2200 ,1800 , 2600,2200 ,1900 , 2600,2100 ,1800 , 2500,2100 ,1800 , 2500,2100 ,1800 , 2500,2100 ,1800 , 2400,2100 ,1800 , 2500,2200 ,1900 , 2600,2200 ,1800 , 2600,2200 ,1800 , 2700,2200 ,1800 , 2700,2200 ,1800 , 2700,2100 ,1700 , 2600,2000 ,1500 , 2500,2000 ,1500 , 2500,2000 ,1500 , 2700,1800 ,1300 , 2500,1500 ,1100 , 2200
