States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,3600 ,3300 , 3900,4000 ,3700 , 4400,4300 ,4000 , 4700,4600 ,4300 , 5000,4800 ,4500 , 5300,4900 ,4500 , 5500,4900 ,4500 , 5400,4900 ,4400 , 5400,4900 ,4400 , 5400,4900 ,4500 , 5400,4800 ,4200 , 5300,4700 ,4200 , 5200,4600 ,4200 , 5100,4600 ,4100 , 5100,4500 ,4000 , 4900,4400 ,3900 , 4900,4200 ,3700 , 4600,4300 ,3900 , 4800,4100 ,3700 , 4500,4200 ,3800 , 4700,4300 ,3900 , 4800,4200 ,3800 , 4600,4300 ,3900 , 4700,4400 ,4000 , 4800,4700 ,4300 , 5200,4700 ,4300 , 5200,4500 ,4100 , 5000,4400 ,4000 , 4900,4300 ,3900 , 4700,4200 ,3700 , 4600
Copperbelt,9900 ,9200 , 11 000,10 000 ,9600 , 11 000,11 000 ,9900 , 11 000,10 000 ,9200 , 11 000,10 000 ,9300 , 11 000,9100 ,8200 , 10 000,8700 ,7900 , 9600,8300 ,7400 , 9300,8000 ,7100 , 8800,7900 ,7100 , 8700,7600 ,6800 , 8500,7600 ,6700 , 8400,7500 ,6700 , 8300,7400 ,6600 , 8100,7000 ,6400 , 7700,6900 ,6300 , 7500,6800 ,6200 , 7400,6900 ,6300 , 7400,6300 ,5800 , 6700,6500 ,6000 , 7100,6600 ,6100 , 7100,6900 ,6400 , 7600,7200 ,6600 , 7700,7400 ,6800 , 8100,7500 ,6900 , 8300,7400 ,6800 , 8100,7500 ,6900 , 8200,7600 ,7000 , 8200,7800 ,7200 , 8500,7700 ,7100 , 8400
Eastern,4700 ,4400 , 5100,5000 ,4600 , 5400,5000 ,4600 , 5400,4800 ,4400 , 5300,4800 ,4300 , 5300,4500 ,4000 , 5100,4300 ,3800 , 4800,4200 ,3700 , 4800,4100 ,3600 , 4600,3900 ,3400 , 4300,3800 ,3300 , 4300,3700 ,3300 , 4100,3600 ,3200 , 4000,3600 ,3200 , 4000,3400 ,3000 , 3800,3200 ,2900 , 3600,3200 ,2800 , 3500,3200 ,2900 , 3600,3100 ,2800 , 3400,2900 ,2600 , 3200,2900 ,2600 , 3300,2900 ,2700 , 3400,2800 ,2500 , 3200,2900 ,2500 , 3300,2700 ,2400 , 3000,2400 ,2100 , 2700,2300 ,2000 , 2700,2300 ,2000 , 2700,2200 ,1900 , 2500,1900 ,1700 , 2200
Luapula,3200 ,3000 , 3500,3300 ,3000 , 3600,3200 ,2900 , 3500,3100 ,2800 , 3500,3100 ,2800 , 3400,3000 ,2700 , 3400,2800 ,2500 , 3100,2800 ,2400 , 3100,2700 ,2300 , 3000,2700 ,2400 , 3000,2600 ,2300 , 2900,2500 ,2200 , 2800,2500 ,2200 , 2800,2400 ,2200 , 2700,2300 ,2100 , 2600,2200 ,2000 , 2500,2100 ,1900 , 2400,2100 ,1900 , 2300,2000 ,1800 , 2200,1900 ,1700 , 2100,1900 ,1700 , 2100,1800 ,1700 , 2100,1800 ,1600 , 2000,1800 ,1600 , 2100,1800 ,1600 , 2000,1700 ,1600 , 2000,1700 ,1500 , 1900,1500 ,1400 , 1700,1500 ,1300 , 1700,1300 ,1200 , 1500
Lusaka,9000 ,8300 , 9700,9800 ,9100 , 11 000,10 000 ,9600 , 11 000,11 000 ,9600 , 12 000,10 000 ,9300 , 11 000,9900 ,8900 , 11 000,9600 ,8400 , 11 000,9100 ,8000 , 10 000,8900 ,7700 , 10 000,8700 ,7600 , 9800,8400 ,7200 , 9500,8200 ,7200 , 9100,8100 ,7200 , 9200,8000 ,7000 , 8900,7700 ,6900 , 8600,7400 ,6600 , 8300,7400 ,6500 , 8300,7300 ,6400 , 8200,7200 ,6400 , 8100,7200 ,6400 , 8200,7200 ,6400 , 8200,7200 ,6300 , 8200,7100 ,6300 , 8000,7100 ,6300 , 8100,7200 ,6300 , 8200,7000 ,6100 , 8000,6300 ,5600 , 7300,6300 ,5600 , 7200,6400 ,5500 , 7400,6000 ,5200 , 6900
Muchinga,1400 ,1300 , 1500,1500 ,1400 , 1700,1500 ,1400 , 1700,1600 ,1400 , 1700,1500 ,1400 , 1600,1400 ,1200 , 1600,1300 ,1200 , 1500,1300 ,1200 , 1500,1300 ,1100 , 1400,1200 ,1100 , 1400,1200 ,1100 , 1400,1200 ,1000 , 1300,1100 ,1000 , 1300,1100 ,1000 , 1300,1100 ,<1000 , 1200,1100 ,<1000 , 1200,1100 ,<1000 , 1200,1100 ,<1000 , 1200,1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
North-Western,1300 ,<1000 , 1800,1300 ,<1000 , 1800,1400 ,<1000 , 1900,1300 ,<1000 , 1800,1300 ,<1000 , 1700,1200 ,<1000 , 1600,1100 ,<1000 , 1500,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1300,1100 ,<1000 , 1400,1000 ,<1000 , 1300,1000 ,<1000 , 1300,1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,1000 ,<1000 , 1200,1000 ,<1000 , 1200,<1000 ,<1000 , 1200,1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<500 , 1200
Northern,2200 ,2100 , 2400,2300 ,2100 , 2500,2200 ,2000 , 2400,2100 ,1900 , 2400,2100 ,1800 , 2300,2000 ,1700 , 2200,2000 ,1700 , 2200,1900 ,1700 , 2200,1900 ,1700 , 2200,1900 ,1700 , 2100,1900 ,1700 , 2100,1900 ,1600 , 2100,1900 ,1700 , 2100,1800 ,1600 , 2100,1800 ,1600 , 2000,1700 ,1500 , 2000,1800 ,1500 , 2000,1700 ,1500 , 1900,1700 ,1500 , 1900,1700 ,1500 , 1900,1600 ,1500 , 1800,1500 ,1400 , 1700,1400 ,1200 , 1500,1400 ,1300 , 1600,1400 ,1300 , 1600,1400 ,1200 , 1500,1300 ,1100 , 1400,1200 ,1100 , 1400,1300 ,1100 , 1400,1100 ,1000 , 1300
Southern,6600 ,5300 , 8500,6700 ,5500 , 8200,6600 ,5200 , 8100,6100 ,4900 , 7500,6000 ,4900 , 7400,5800 ,4800 , 7000,5500 ,4600 , 6600,5600 ,4700 , 6700,5500 ,4600 , 6400,5400 ,4500 , 6200,5300 ,4500 , 6200,5100 ,4300 , 5900,5100 ,4400 , 5800,5000 ,4400 , 5700,5000 ,4300 , 5600,4800 ,4200 , 5400,4700 ,4100 , 5300,4800 ,4000 , 5400,4600 ,3900 , 5300,4600 ,3900 , 5300,4500 ,3700 , 5200,4500 ,3700 , 5200,4300 ,3500 , 5100,4200 ,3400 , 5100,4100 ,3200 , 5100,3900 ,3100 , 5000,4100 ,3200 , 5500,4200 ,3100 , 5800,4000 ,2900 , 6000,3700 ,2500 , 5600
Western,2200 ,1600 , 2700,2600 ,2000 , 3200,3300 ,2600 , 4100,3300 ,2600 , 4000,3300 ,2700 , 4100,3400 ,2700 , 4200,3300 ,2700 , 4100,3300 ,2700 , 4000,3200 ,2600 , 3800,3100 ,2600 , 3800,3100 ,2500 , 3700,3000 ,2500 , 3600,3000 ,2500 , 3500,2900 ,2500 , 3500,2800 ,2400 , 3300,2800 ,2400 , 3200,2700 ,2400 , 3200,2700 ,2300 , 3100,2600 ,2200 , 3100,2700 ,2200 , 3200,2700 ,2200 , 3300,2700 ,2200 , 3300,2700 ,2300 , 3300,2700 ,2300 , 3400,2600 ,2000 , 3200,2400 ,1900 , 3100,2400 ,1800 , 3000,2300 ,1700 , 3200,2200 ,1500 , 3000,1800 ,1200 , 2600
