States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,2800 ,2600 , 3200,3200 ,2900 , 3500,3400 ,3100 , 3700,3600 ,3300 , 4000,3800 ,3400 , 4100,3900 ,3500 , 4300,3900 ,3500 , 4300,3900 ,3500 , 4300,3900 ,3500 , 4400,3900 ,3500 , 4400,3800 ,3400 , 4300,3800 ,3400 , 4300,3700 ,3300 , 4200,3700 ,3300 , 4200,3600 ,3200 , 4000,3500 ,3200 , 3900,3300 ,3000 , 3800,3500 ,3100 , 4000,3300 ,2900 , 3800,3400 ,3000 , 3800,3400 ,3100 , 3900,3300 ,3000 , 3700,3400 ,3100 , 3900,3500 ,3100 , 3900,3700 ,3300 , 4200,3700 ,3300 , 4100,3600 ,3200 , 4100,3400 ,3100 , 3900,3400 ,3100 , 3900,3300 ,2900 , 3700
Copperbelt,8500 ,7900 , 9600,8700 ,7900 , 9600,8900 ,8100 , 9900,8300 ,7600 , 9300,8400 ,7600 , 9400,7500 ,6700 , 8500,7200 ,6400 , 8000,6900 ,6200 , 7700,6600 ,5900 , 7500,6500 ,5800 , 7400,6300 ,5600 , 7100,6200 ,5500 , 7000,6200 ,5500 , 6800,6100 ,5400 , 6800,5800 ,5200 , 6400,5600 ,5100 , 6200,5500 ,5000 , 6000,5600 ,5100 , 6100,5000 ,4600 , 5500,5200 ,4800 , 5700,5200 ,4700 , 5700,5500 ,5000 , 6000,5600 ,5100 , 6200,5700 ,5200 , 6300,5800 ,5300 , 6400,5700 ,5300 , 6300,5800 ,5300 , 6500,5900 ,5400 , 6500,6000 ,5600 , 6700,5900 ,5400 , 6500
Eastern,4300 ,4000 , 4800,4400 ,4000 , 4800,4200 ,3800 , 4700,4000 ,3600 , 4400,3800 ,3400 , 4300,3600 ,3200 , 4000,3300 ,2900 , 3800,3200 ,2900 , 3600,3100 ,2700 , 3600,2900 ,2500 , 3300,2900 ,2500 , 3300,2800 ,2500 , 3200,2700 ,2400 , 3100,2700 ,2400 , 3100,2600 ,2300 , 2900,2400 ,2200 , 2700,2400 ,2100 , 2700,2400 ,2100 , 2700,2300 ,2000 , 2600,2100 ,1900 , 2400,2100 ,1900 , 2500,2100 ,1900 , 2500,2000 ,1800 , 2400,2100 ,1800 , 2400,1900 ,1700 , 2200,1700 ,1500 , 2000,1600 ,1400 , 1900,1600 ,1400 , 1900,1500 ,1300 , 1800,1300 ,1200 , 1600
Luapula,3200 ,3000 , 3600,3200 ,2900 , 3500,3000 ,2700 , 3300,2800 ,2500 , 3200,2700 ,2400 , 3000,2600 ,2300 , 2900,2400 ,2100 , 2700,2300 ,2100 , 2600,2200 ,2000 , 2500,2200 ,1900 , 2500,2200 ,1900 , 2500,2100 ,1900 , 2400,2100 ,1800 , 2300,2000 ,1800 , 2300,1900 ,1700 , 2200,1800 ,1600 , 2000,1700 ,1500 , 2000,1700 ,1500 , 2000,1700 ,1500 , 1900,1600 ,1400 , 1800,1600 ,1400 , 1800,1500 ,1300 , 1700,1500 ,1400 , 1800,1500 ,1300 , 1700,1500 ,1300 , 1700,1400 ,1300 , 1600,1400 ,1200 , 1600,1200 ,1100 , 1400,1200 ,1100 , 1400,1100 ,<1000 , 1200
Lusaka,8900 ,8100 , 9900,9200 ,8300 , 10 000,9400 ,8400 , 11 000,9300 ,8300 , 10 000,8700 ,7700 , 9800,8300 ,7300 , 9400,7900 ,6900 , 9000,7500 ,6500 , 8600,7300 ,6300 , 8500,7100 ,6000 , 8100,6800 ,5900 , 7800,6600 ,5700 , 7700,6500 ,5600 , 7400,6400 ,5600 , 7400,6200 ,5400 , 7000,5800 ,5200 , 6700,5800 ,5100 , 6600,5700 ,5000 , 6700,5600 ,5000 , 6600,5600 ,5000 , 6500,5600 ,5000 , 6500,5600 ,4900 , 6400,5500 ,4900 , 6600,5500 ,4800 , 6300,5500 ,4900 , 6400,5400 ,4700 , 6200,4800 ,4200 , 5600,4800 ,4200 , 5600,4700 ,4100 , 5600,4400 ,3800 , 5300
Muchinga,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
North-Western,1100 ,<1000 , 1600,1100 ,<1000 , 1500,1100 ,<1000 , 1600,1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Northern,2200 ,2000 , 2400,2100 ,1900 , 2300,1900 ,1700 , 2200,1800 ,1600 , 2100,1700 ,1500 , 1900,1600 ,1400 , 1800,1600 ,1400 , 1800,1500 ,1400 , 1700,1500 ,1300 , 1700,1500 ,1300 , 1700,1500 ,1300 , 1700,1400 ,1300 , 1600,1400 ,1200 , 1600,1400 ,1200 , 1600,1400 ,1200 , 1600,1300 ,1200 , 1500,1300 ,1200 , 1500,1300 ,1100 , 1500,1300 ,1100 , 1500,1300 ,1100 , 1500,1200 ,1100 , 1400,1100 ,1000 , 1300,1100 ,<1000 , 1200,1100 ,<1000 , 1200,1100 ,<1000 , 1200,1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000
Southern,6500 ,5200 , 8300,6200 ,4900 , 7900,5900 ,4800 , 7600,5300 ,4300 , 6700,5100 ,4200 , 6400,4800 ,4000 , 6000,4600 ,3700 , 5600,4600 ,3800 , 5500,4500 ,3700 , 5300,4300 ,3700 , 5100,4300 ,3700 , 5100,4100 ,3600 , 4800,4100 ,3400 , 4800,4100 ,3500 , 4800,4000 ,3400 , 4700,3900 ,3300 , 4500,3800 ,3300 , 4400,3900 ,3400 , 4500,3700 ,3200 , 4300,3700 ,3100 , 4400,3600 ,3100 , 4300,3600 ,3000 , 4300,3400 ,2800 , 4000,3300 ,2700 , 4100,3300 ,2600 , 4200,3100 ,2400 , 4100,3300 ,2600 , 4500,3300 ,2500 , 4700,3200 ,2300 , 4800,3000 ,2000 , 4600
Western,2200 ,1600 , 2900,2600 ,1900 , 3200,3100 ,2400 , 3800,3100 ,2500 , 3800,3100 ,2500 , 3900,3100 ,2600 , 3900,3000 ,2400 , 3600,2900 ,2400 , 3600,2700 ,2300 , 3400,2600 ,2200 , 3300,2500 ,2100 , 3100,2500 ,2100 , 3000,2500 ,2100 , 3000,2400 ,2000 , 2900,2300 ,2000 , 2700,2200 ,1900 , 2700,2200 ,1900 , 2700,2200 ,1800 , 2700,2100 ,1800 , 2600,2100 ,1700 , 2700,2100 ,1700 , 2800,2100 ,1700 , 2700,2100 ,1700 , 2900,2100 ,1700 , 2900,2000 ,1500 , 2700,1900 ,1500 , 2700,1800 ,1400 , 2600,1700 ,1200 , 2400,1600 ,1100 , 2400,1300 ,<1000 , 2100
