States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,926,859,2887,2694,3589,4627,5204,5952,6630,6840
Copperbelt,6024,7043,7600,9866,9752,10 235,10 294,8324,8268,8090
Eastern,1727,2467,2846,4291,4588,5016,5151,3898,4097,4310
Luapula,812,1083,1264,1445,1562,1787,2117,1916,2592,2677
Lusaka,8336,8761,10 157,8717,11 564,16 919,14 184,12 293,11 198,11 288
Muchinga,396,571,658,860,985,1209,989,902,1422,1356
North-Western,575,558,850,1458,1241,1455,1619,1308,1653,1472
Northern,681,697,718,1555,1581,1772,1826,1879,1933,2234
Southern,3391,4621,5094,6030,6470,5940,5604,6397,7463,7521
Western,1312,1558,1624,2221,2889,2943,2848,3596,3886,4494
National,24 180,28 218,33 698,39 137,44 221,51 903,49 836,46 465,49 142,50 282
