States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,36 ,34 , 37,37 ,35 , 39,46 ,44 , 48,44 ,42 , 46,54 ,51 , 56,66 ,64 , 70,70 ,67 , 74,79 ,76 , 84,82 ,78 , 87,91 ,86 , 97
Copperbelt,47 ,46 , 49,52 ,50 , 54,56 ,54 , 58,60 ,57 , 62,69 ,66 , 72,74 ,71 , 78,76 ,73 , 80,78 ,74 , 82,78 ,75 , 82,85 ,82 , 90
Eastern,38 ,36 , 40,50 ,47 , 53,50 ,47 , 53,62 ,59 , 66,71 ,67 , 75,76 ,73 , 82,75 ,72 , 81,80 ,76 , 86,89 ,84 , 95,96 ,91 , 100
Luapula,28 ,27 , 29,31 ,30 , 33,34 ,33 , 36,44 ,42 , 46,45 ,43 , 47,52 ,50 , 55,61 ,58 , 64,61 ,58 , 64,77 ,73 , 81,82 ,79 , 87
Lusaka,42 ,40 , 44,46 ,43 , 48,51 ,48 , 54,54 ,51 , 57,60 ,57 , 64,72 ,68 , 76,72 ,69 , 77,71 ,68 , 75,79 ,75 , 84,82 ,78 , 87
Muchinga,31 ,29 , 32,40 ,38 , 42,44 ,42 , 46,54 ,52 , 58,62 ,59 , 66,77 ,73 , 82,58 ,55 , 62,60 ,57 , 64,83 ,78 , 89,97 ,91 , 100
North-Western,37 ,33 , 42,44 ,40 , 50,45 ,41 , 52,60 ,54 , 67,58 ,52 , 65,69 ,62 , 78,76 ,68 , 86,77 ,68 , 88,83 ,72 , 95,87 ,74 , 100
Northern,30 ,29 , 31,54 ,52 , 57,38 ,36 , 40,51 ,49 , 54,55 ,53 , 59,66 ,64 , 70,68 ,65 , 72,64 ,61 , 68,77 ,74 , 82,86 ,82 , 91
Southern,32 ,30 , 35,44 ,40 , 48,49 ,45 , 53,55 ,51 , 60,61 ,56 , 66,54 ,49 , 58,57 ,52 , 62,64 ,58 , 71,74 ,67 , 83,79 ,72 , 91
Western,31 ,28 , 34,33 ,30 , 37,36 ,33 , 40,49 ,44 , 55,56 ,50 , 62,62 ,55 , 69,62 ,55 , 70,72 ,64 , 82,82 ,72 , 94,90 ,80 , 100
National,38 ,36,41,44 ,42,48,48 ,45,52,54 ,51,58,61 ,57,66,68 ,64,73,69 ,65,75,72 ,68,78,79 ,75,86,86 ,80,93
