States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,37 ,35 , 38,36 ,34 , 38,45 ,43 , 47,43 ,41 , 45,54 ,51 , 56,68 ,65 , 71,70 ,67 , 74,79 ,76 , 84,85 ,81 , 90,92 ,88 , 98
Copperbelt,46 ,44 , 48,51 ,49 , 53,56 ,54 , 58,60 ,58 , 63,70 ,67 , 73,76 ,73 , 79,79 ,76 , 82,81 ,78 , 85,82 ,78 , 86,91 ,87 , 96
Eastern,40 ,38 , 42,49 ,47 , 52,49 ,46 , 52,62 ,59 , 66,71 ,67 , 75,78 ,74 , 83,76 ,73 , 81,85 ,80 , 91,92 ,88 , 99,100 ,95 , 100
Luapula,30 ,29 , 32,34 ,32 , 35,37 ,35 , 38,47 ,44 , 49,48 ,46 , 51,57 ,54 , 60,66 ,63 , 69,67 ,64 , 70,85 ,81 , 90,89 ,85 , 95
Lusaka,42 ,40 , 45,48 ,45 , 50,44 ,42 , 46,48 ,45 , 50,61 ,58 , 65,73 ,69 , 77,74 ,70 , 78,74 ,70 , 78,83 ,79 , 88,85 ,81 , 91
Muchinga,29 ,27 , 30,37 ,35 , 39,41 ,39 , 43,47 ,44 , 49,59 ,56 , 63,74 ,70 , 78,56 ,53 , 60,68 ,65 , 73,80 ,76 , 86,95 ,90 , 100
North-Western,39 ,35 , 44,48 ,43 , 54,49 ,45 , 56,65 ,59 , 73,63 ,57 , 71,74 ,67 , 83,83 ,74 , 93,80 ,72 , 91,87 ,76 , 98,96 ,83 , 100
Northern,31 ,29 , 32,55 ,52 , 57,38 ,36 , 40,52 ,49 , 54,56 ,53 , 58,64 ,61 , 67,65 ,62 , 69,65 ,62 , 69,75 ,71 , 79,90 ,86 , 96
Southern,37 ,34 , 40,47 ,43 , 51,52 ,48 , 57,58 ,54 , 63,64 ,59 , 69,57 ,52 , 61,61 ,56 , 67,70 ,64 , 77,80 ,73 , 89,86 ,78 , 97
Western,31 ,29 , 34,35 ,31 , 38,38 ,34 , 41,54 ,49 , 59,60 ,54 , 66,68 ,62 , 75,69 ,62 , 77,78 ,70 , 88,91 ,81 , 100,100 ,88 , 100
National,39 ,37,42,45 ,43,49,47 ,44,51,53 ,50,57,62 ,59,67,70 ,66,75,72 ,67,77,76 ,71,82,84 ,79,90,90 ,85,97
