States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,34 ,32 , 37,39 ,36 , 41,47 ,44 , 50,44 ,41 , 47,53 ,50 , 57,65 ,61 , 69,70 ,66 , 75,79 ,74 , 85,78 ,73 , 84,89 ,83 , 96
Copperbelt,49 ,47 , 52,53 ,50 , 56,55 ,52 , 58,59 ,56 , 62,66 ,63 , 70,72 ,68 , 76,72 ,68 , 76,72 ,69 , 77,73 ,69 , 77,77 ,74 , 82
Eastern,34 ,31 , 36,50 ,47 , 55,51 ,47 , 55,62 ,58 , 67,71 ,67 , 77,75 ,70 , 81,74 ,69 , 80,73 ,68 , 80,83 ,77 , 90,91 ,84 , 99
Luapula,25 ,23 , 27,28 ,26 , 30,31 ,29 , 33,39 ,37 , 42,40 ,37 , 43,46 ,43 , 49,53 ,50 , 57,52 ,49 , 56,65 ,62 , 70,73 ,69 , 78
Lusaka,40 ,37 , 43,43 ,39 , 46,61 ,56 , 66,63 ,58 , 68,58 ,54 , 63,69 ,64 , 74,70 ,65 , 76,66 ,62 , 71,72 ,68 , 79,77 ,72 , 83
Muchinga,34 ,31 , 37,46 ,43 , 50,49 ,45 , 53,69 ,65 , 75,68 ,64 , 74,83 ,78 , 91,61 ,57 , 67,45 ,42 , 50,88 ,81 , 98,100 ,92 , 100
North-Western,35 ,31 , 41,39 ,35 , 45,39 ,35 , 46,52 ,47 , 60,50 ,45 , 57,61 ,55 , 71,66 ,58 , 76,72 ,63 , 84,78 ,67 , 91,72 ,61 , 85
Northern,29 ,27 , 31,53 ,49 , 57,38 ,35 , 41,51 ,48 , 55,55 ,52 , 59,70 ,66 , 76,72 ,67 , 78,63 ,59 , 68,81 ,76 , 88,79 ,74 , 86
Southern,26 ,23 , 29,39 ,35 , 43,44 ,40 , 49,51 ,47 , 56,56 ,51 , 62,49 ,44 , 54,50 ,45 , 56,56 ,50 , 63,66 ,59 , 75,70 ,62 , 81
Western,30 ,27 , 35,31 ,28 , 36,34 ,30 , 39,43 ,38 , 49,49 ,44 , 57,52 ,46 , 61,51 ,45 , 60,63 ,55 , 74,68 ,59 , 81,77 ,66 , 93
National,37 ,34,40,43 ,40,47,50 ,46,55,55 ,51,61,58 ,54,64,64 ,60,71,66 ,61,72,67 ,61,73,73 ,68,81,79 ,73,87
