States,2016,2016_lower, 2016_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,,,,... ,... , ...,79 ,75 , 84
Copperbelt,0 ,0 , 0,69 ,66 , 72,77 ,74 , 81
Eastern,,,,... ,... , ...,93 ,88 , 100
Luapula,,,,72 ,69 , 76,... ,... , ...
Lusaka,,,,64 ,60 , 67,84 ,79 , 89
Muchinga,,,,55 ,52 , 59,83 ,79 , 89
North-Western,,,,68 ,59 , 77,84 ,73 , 97
Northern,,,,28 ,27 , 30,... ,... , ...
Southern,,,,57 ,52 , 63,80 ,72 , 89
Western,,,,77 ,69 , 87,82 ,73 , 94
National,65 ,61,70,63 ,60,68,82 ,77,88
