States,2016,2016_lower, 2016_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,,,,... ,... , ...,77 ,72 , 83
Copperbelt,0 ,0 , 0,61 ,58 , 65,71 ,68 , 76
Eastern,,,,... ,... , ...,79 ,74 , 87
Luapula,,,,55 ,52 , 58,... ,... , ...
Lusaka,,,,56 ,52 , 61,70 ,65 , 76
Muchinga,,,,60 ,55 , 66,81 ,75 , 90
North-Western,,,,61 ,53 , 71,59 ,50 , 69
Northern,,,,31 ,29 , 33,... ,... , ...
Southern,,,,47 ,42 , 53,65 ,57 , 75
Western,,,,58 ,50 , 69,75 ,64 , 90
National,57 ,53,63,55 ,51,61,71 ,65,78
