States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,79 ,76 , 84,81 ,77 , 85,83 ,79 , 87,85 ,81 , 90,92 ,88 , 98
Copperbelt,81 ,77 , 84,84 ,81 , 88,88 ,84 , 91,90 ,86 , 94,92 ,88 , 96
Eastern,86 ,82 , 92,89 ,85 , 95,91 ,87 , 98,94 ,89 , 100,100 ,95 , 100
Luapula,83 ,80 , 88,86 ,82 , 90,89 ,85 , 94,91 ,87 , 96,93 ,88 , 98
Lusaka,83 ,79 , 88,86 ,81 , 90,89 ,84 , 94,92 ,87 , 98,94 ,89 , 100
Muchinga,87 ,83 , 93,90 ,85 , 96,92 ,87 , 98,93 ,89 , 100,95 ,90 , 100
North-Western,86 ,77 , 96,88 ,79 , 99,91 ,81 , 100,92 ,80 , 100,96 ,83 , 100
Northern,87 ,83 , 92,90 ,86 , 95,92 ,88 , 97,93 ,89 , 99,94 ,90 , 100
Southern,80 ,73 , 86,82 ,75 , 89,84 ,77 , 92,86 ,79 , 96,88 ,79 , 98
Western,81 ,73 , 90,84 ,75 , 93,86 ,77 , 97,91 ,81 , 100,100 ,88 , 100
National,82 ,77,89,85 ,80,91,88 ,82,94,90 ,85,97,93 ,88,100
