States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,1800 ,<1000 , 3200,2200 ,<1000 , 4000,2600 ,1200 , 4700,3100 ,1400 , 5400,3500 ,1600 , 6200,3900 ,1800 , 7000,4400 ,2000 , 7500,4800 ,2200 , 8300,5200 ,2400 , 8900,5500 ,2600 , 9500,5800 ,2700 , 10 000,6000 ,2800 , 10 000,6300 ,2900 , 11 000,6400 ,3000 , 11 000,6700 ,3100 , 11 000,6900 ,3200 , 12 000,7200 ,3400 , 12 000,7600 ,3600 , 13 000,8200 ,3900 , 14 000,8900 ,4300 , 15 000,9700 ,4800 , 16 000,11 000 ,5400 , 17 000,12 000 ,6100 , 19 000,13 000 ,6900 , 21 000,15 000 ,7800 , 23 000,16 000 ,8800 , 25 000,18 000 ,10 000 , 28 000,20 000 ,11 000 , 31 000,22 000 ,13 000 , 34 000,24 000 ,14 000 , 37 000
Copperbelt,3700 ,1500 , 6900,4600 ,1900 , 8500,5300 ,2300 , 9900,6000 ,2600 , 11 000,6600 ,2900 , 12 000,7100 ,3100 , 13 000,7500 ,3400 , 14 000,7800 ,3600 , 14 000,8000 ,3700 , 14 000,8100 ,3800 , 14 000,8200 ,3700 , 14 000,8100 ,3700 , 14 000,8000 ,3600 , 14 000,7900 ,3600 , 13 000,8100 ,3700 , 14 000,8400 ,4000 , 14 000,9000 ,4300 , 15 000,9700 ,4800 , 15 000,11 000 ,5400 , 17 000,12 000 ,6000 , 18 000,13 000 ,6800 , 20 000,14 000 ,7800 , 22 000,16 000 ,8900 , 25 000,18 000 ,10 000 , 27 000,20 000 ,11 000 , 30 000,23 000 ,13 000 , 34 000,25 000 ,14 000 , 37 000,27 000 ,16 000 , 40 000,29 000 ,18 000 , 44 000,32 000 ,20 000 , 47 000
Eastern,2300 ,<1000 , 4300,2800 ,1100 , 5300,3300 ,1300 , 6100,3700 ,1500 , 6900,4100 ,1700 , 7500,4500 ,1900 , 8000,4700 ,2000 , 8400,5000 ,2200 , 8700,5200 ,2300 , 9200,5300 ,2300 , 9500,5400 ,2400 , 9700,5500 ,2400 , 9700,5500 ,2400 , 9700,5500 ,2400 , 9700,5600 ,2500 , 9900,5900 ,2600 , 10 000,6200 ,2800 , 11 000,6700 ,3000 , 11 000,7400 ,3400 , 12 000,8100 ,3900 , 14 000,9000 ,4400 , 15 000,9900 ,5000 , 16 000,11 000 ,5600 , 18 000,12 000 ,6400 , 20 000,13 000 ,7200 , 22 000,15 000 ,8100 , 24 000,16 000 ,9200 , 26 000,18 000 ,10 000 , 28 000,20 000 ,11 000 , 31 000,21 000 ,13 000 , 34 000
Luapula,1800 ,<1000 , 3300,2100 ,<1000 , 3900,2400 ,<1000 , 4400,2700 ,1100 , 4900,2900 ,1200 , 5300,3100 ,1400 , 5600,3200 ,1400 , 5600,3300 ,1500 , 5800,3400 ,1500 , 5900,3400 ,1600 , 6000,3500 ,1600 , 6000,3500 ,1600 , 6000,3500 ,1600 , 6000,3500 ,1600 , 5900,3500 ,1600 , 5900,3500 ,1600 , 5900,3500 ,1600 , 5900,3500 ,1600 , 5900,3600 ,1600 , 6100,3900 ,1800 , 6600,4300 ,2100 , 7100,4800 ,2400 , 7900,5400 ,2700 , 8700,6000 ,3100 , 9500,6600 ,3500 , 10 000,7300 ,4000 , 12 000,8000 ,4500 , 13 000,8800 ,4900 , 14 000,9600 ,5500 , 15 000,10 000 ,6100 , 16 000
Lusaka,5300 ,2200 , 9200,6700 ,2800 , 12 000,8200 ,3400 , 14 000,9700 ,4000 , 17 000,11 000 ,4700 , 19 000,12 000 ,5400 , 21 000,14 000 ,6100 , 23 000,15 000 ,6700 , 25 000,16 000 ,7200 , 27 000,16 000 ,7500 , 28 000,17 000 ,7600 , 29 000,17 000 ,7700 , 30 000,17 000 ,7800 , 30 000,18 000 ,7800 , 30 000,18 000 ,8100 , 31 000,19 000 ,8500 , 32 000,20 000 ,9200 , 34 000,22 000 ,10 000 , 36 000,24 000 ,11 000 , 38 000,26 000 ,13 000 , 41 000,29 000 ,15 000 , 45 000,32 000 ,17 000 , 50 000,36 000 ,19 000 , 56 000,40 000 ,22 000 , 63 000,45 000 ,25 000 , 70 000,50 000 ,28 000 , 77 000,55 000 ,32 000 , 84 000,61 000 ,36 000 , 92 000,67 000 ,41 000 , 100 000,73 000 ,46 000 , 110 000
Muchinga,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1800,1000 ,<500 , 1900,1100 ,<500 , 2000,1100 ,<500 , 2000,1200 ,<1000 , 2100,1300 ,<1000 , 2300,1400 ,<1000 , 2400,1500 ,<1000 , 2600,1600 ,<1000 , 2800,1800 ,<1000 , 3200,2100 ,<1000 , 3600,2300 ,1100 , 4000,2600 ,1300 , 4400,2900 ,1500 , 4900,3300 ,1700 , 5500,3600 ,1900 , 6100,4000 ,2100 , 6700,4300 ,2400 , 7300,4700 ,2600 , 7900,5000 ,2900 , 8500,5400 ,3100 , 8900
North-Western,<1000 ,<500 , 1300,<1000 ,<500 , 1600,<1000 ,<500 , 1900,<1000 ,<500 , 2200,1100 ,<500 , 2400,1200 ,<1000 , 2500,1200 ,<1000 , 2800,1300 ,<1000 , 2900,1400 ,<1000 , 3000,1400 ,<1000 , 3000,1400 ,<1000 , 3100,1500 ,<1000 , 3100,1500 ,<1000 , 3100,1500 ,<1000 , 3100,1500 ,<1000 , 3100,1600 ,<1000 , 3100,1700 ,<1000 , 3200,1800 ,<1000 , 3500,2000 ,<1000 , 3800,2200 ,1100 , 4300,2400 ,1200 , 4600,2700 ,1400 , 5100,3000 ,1600 , 5600,3400 ,1800 , 6300,3700 ,2000 , 6900,4200 ,2200 , 7700,4700 ,2500 , 8500,5200 ,2800 , 9300,5700 ,3100 , 10 000,6200 ,3400 , 11 000
Northern,1200 ,<500 , 2200,1400 ,<1000 , 2600,1600 ,<1000 , 3000,1800 ,<1000 , 3400,2000 ,<1000 , 3700,2100 ,<1000 , 3900,2200 ,<1000 , 4000,2300 ,1000 , 4100,2400 ,1000 , 4300,2400 ,1100 , 4400,2500 ,1100 , 4500,2500 ,1100 , 4500,2500 ,1100 , 4500,2500 ,1100 , 4600,2600 ,1100 , 4600,2600 ,1100 , 4700,2700 ,1200 , 4800,2700 ,1200 , 4900,2900 ,1300 , 5100,3100 ,1400 , 5300,3400 ,1600 , 5900,3800 ,1800 , 6400,4200 ,2000 , 7100,4700 ,2300 , 7800,5200 ,2700 , 8600,5800 ,3000 , 9500,6400 ,3400 , 10 000,7100 ,3900 , 11 000,7800 ,4300 , 12 000,8500 ,4800 , 14 000
Southern,4400 ,1900 , 10 000,5100 ,2400 , 11 000,5800 ,2800 , 12 000,6400 ,3100 , 13 000,6900 ,3400 , 14 000,7300 ,3600 , 14 000,7600 ,3800 , 15 000,8000 ,4000 , 16 000,8200 ,4100 , 16 000,8400 ,4100 , 16 000,8500 ,4200 , 16 000,8500 ,4200 , 16 000,8400 ,4100 , 15 000,8400 ,4100 , 15 000,8500 ,4100 , 15 000,8700 ,4200 , 15 000,9000 ,4300 , 16 000,9400 ,4600 , 16 000,10 000 ,5100 , 18 000,11 000 ,5500 , 19 000,12 000 ,6000 , 21 000,13 000 ,6500 , 23 000,14 000 ,7100 , 25 000,16 000 ,7800 , 27 000,17 000 ,8600 , 30 000,19 000 ,9500 , 32 000,21 000 ,11 000 , 36 000,23 000 ,12 000 , 39 000,25 000 ,14 000 , 42 000,28 000 ,16 000 , 45 000
Western,<1000 ,<500 , 2100,1100 ,<500 , 2500,1400 ,<1000 , 3100,1700 ,<1000 , 3700,2000 ,<1000 , 4200,2300 ,1100 , 4400,2600 ,1200 , 4900,2900 ,1300 , 5300,3200 ,1500 , 5800,3500 ,1600 , 6300,3800 ,1800 , 6800,4000 ,1900 , 7200,4300 ,2100 , 7700,4600 ,2300 , 8100,4900 ,2400 , 8700,5300 ,2700 , 9400,5800 ,3000 , 10 000,6300 ,3200 , 11 000,7100 ,3600 , 12 000,7900 ,4100 , 14 000,8900 ,4600 , 15 000,10 000 ,5300 , 18 000,11 000 ,6000 , 19 000,12 000 ,6700 , 21 000,14 000 ,7400 , 23 000,15 000 ,8200 , 26 000,16 000 ,9000 , 28 000,18 000 ,9800 , 30 000,19 000 ,11 000 , 32 000,20 000 ,12 000 , 34 000
