States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,25 000 ,24 000 , 27 000,31 000 ,30 000 , 33 000,37 000 ,36 000 , 39 000,43 000 ,42 000 , 45 000,49 000 ,48 000 , 51 000,55 000 ,53 000 , 57 000,60 000 ,58 000 , 63 000,65 000 ,63 000 , 68 000,69 000 ,67 000 , 72 000,73 000 ,71 000 , 76 000,76 000 ,74 000 , 79 000,79 000 ,77 000 , 82 000,81 000 ,79 000 , 84 000,83 000 ,81 000 , 86 000,85 000 ,83 000 , 88 000,87 000 ,84 000 , 90 000,89 000 ,86 000 , 92 000,91 000 ,88 000 , 94 000,93 000 ,90 000 , 96 000,96 000 ,93 000 , 100 000,100 000 ,97 000 , 100 000,100 000 ,100 000 , 110 000,110 000 ,110 000 , 110 000,110 000 ,110 000 , 120 000,120 000 ,120 000 , 130 000,130 000 ,120 000 , 130 000,130 000 ,130 000 , 140 000,140 000 ,130 000 , 140 000,140 000 ,130 000 , 150 000,150 000 ,140 000 , 150 000
Copperbelt,64 000 ,62 000 , 68 000,78 000 ,76 000 , 83 000,92 000 ,89 000 , 97 000,100 000 ,100 000 , 110 000,110 000 ,110 000 , 120 000,120 000 ,120 000 , 130 000,130 000 ,130 000 , 140 000,140 000 ,130 000 , 140 000,140 000 ,140 000 , 150 000,140 000 ,140 000 , 150 000,150 000 ,140 000 , 150 000,150 000 ,150 000 , 150 000,150 000 ,150 000 , 150 000,150 000 ,150 000 , 160 000,150 000 ,150 000 , 160 000,160 000 ,150 000 , 160 000,160 000 ,150 000 , 160 000,160 000 ,160 000 , 170 000,170 000 ,160 000 , 170 000,170 000 ,170 000 , 180 000,180 000 ,170 000 , 180 000,180 000 ,180 000 , 190 000,190 000 ,190 000 , 200 000,200 000 ,190 000 , 210 000,210 000 ,200 000 , 210 000,210 000 ,210 000 , 220 000,220 000 ,210 000 , 230 000,230 000 ,220 000 , 240 000,240 000 ,230 000 , 250 000,240 000 ,230 000 , 250 000
Eastern,36 000 ,35 000 , 38 000,43 000 ,42 000 , 45 000,50 000 ,48 000 , 52 000,56 000 ,54 000 , 58 000,61 000 ,59 000 , 64 000,65 000 ,63 000 , 68 000,68 000 ,65 000 , 71 000,70 000 ,68 000 , 73 000,71 000 ,69 000 , 74 000,72 000 ,70 000 , 75 000,73 000 ,71 000 , 76 000,73 000 ,71 000 , 76 000,73 000 ,71 000 , 75 000,73 000 ,70 000 , 75 000,73 000 ,71 000 , 75 000,73 000 ,71 000 , 75 000,73 000 ,71 000 , 76 000,75 000 ,72 000 , 78 000,77 000 ,74 000 , 80 000,78 000 ,76 000 , 82 000,81 000 ,78 000 , 84 000,83 000 ,80 000 , 87 000,85 000 ,82 000 , 89 000,88 000 ,84 000 , 92 000,90 000 ,86 000 , 95 000,92 000 ,88 000 , 97 000,94 000 ,90 000 , 99 000,96 000 ,91 000 , 100 000,97 000 ,93 000 , 100 000,98 000 ,94 000 , 100 000
Luapula,28 000 ,27 000 , 30 000,33 000 ,32 000 , 35 000,37 000 ,36 000 , 39 000,41 000 ,39 000 , 43 000,44 000 ,42 000 , 46 000,46 000 ,45 000 , 49 000,48 000 ,47 000 , 50 000,50 000 ,48 000 , 52 000,50 000 ,49 000 , 53 000,51 000 ,50 000 , 53 000,51 000 ,50 000 , 53 000,52 000 ,50 000 , 53 000,51 000 ,50 000 , 53 000,51 000 ,50 000 , 53 000,51 000 ,49 000 , 52 000,50 000 ,49 000 , 52 000,49 000 ,48 000 , 51 000,49 000 ,47 000 , 51 000,49 000 ,47 000 , 50 000,50 000 ,48 000 , 52 000,51 000 ,50 000 , 53 000,53 000 ,51 000 , 55 000,54 000 ,52 000 , 56 000,56 000 ,54 000 , 58 000,57 000 ,55 000 , 59 000,58 000 ,56 000 , 61 000,59 000 ,57 000 , 62 000,60 000 ,58 000 , 63 000,61 000 ,59 000 , 64 000,62 000 ,60 000 , 65 000
Lusaka,69 000 ,66 000 , 72 000,85 000 ,82 000 , 90 000,100 000 ,98 000 , 110 000,120 000 ,110 000 , 120 000,130 000 ,130 000 , 140 000,150 000 ,140 000 , 150 000,160 000 ,150 000 , 170 000,170 000 ,160 000 , 180 000,180 000 ,170 000 , 180 000,180 000 ,180 000 , 190 000,190 000 ,180 000 , 200 000,190 000 ,190 000 , 200 000,200 000 ,190 000 , 200 000,200 000 ,190 000 , 210 000,200 000 ,190 000 , 210 000,210 000 ,200 000 , 210 000,210 000 ,200 000 , 220 000,220 000 ,210 000 , 230 000,230 000 ,220 000 , 240 000,240 000 ,230 000 , 250 000,250 000 ,240 000 , 260 000,260 000 ,250 000 , 270 000,270 000 ,260 000 , 280 000,280 000 ,270 000 , 290 000,290 000 ,280 000 , 310 000,300 000 ,290 000 , 320 000,310 000 ,300 000 , 330 000,320 000 ,310 000 , 340 000,330 000 ,320 000 , 350 000,340 000 ,330 000 , 360 000
Muchinga,9100 ,8800 , 9400,11 000 ,11 000 , 11 000,13 000 ,12 000 , 13 000,15 000 ,14 000 , 15 000,16 000 ,16 000 , 17 000,17 000 ,17 000 , 18 000,18 000 ,18 000 , 19 000,19 000 ,19 000 , 20 000,20 000 ,19 000 , 20 000,20 000 ,20 000 , 21 000,20 000 ,20 000 , 21 000,21 000 ,20 000 , 21 000,21 000 ,20 000 , 21 000,21 000 ,20 000 , 22 000,21 000 ,21 000 , 22 000,21 000 ,21 000 , 22 000,22 000 ,21 000 , 23 000,22 000 ,22 000 , 23 000,23 000 ,22 000 , 24 000,24 000 ,23 000 , 25 000,24 000 ,24 000 , 25 000,25 000 ,24 000 , 26 000,26 000 ,25 000 , 27 000,26 000 ,25 000 , 27 000,27 000 ,26 000 , 28 000,27 000 ,26 000 , 29 000,28 000 ,26 000 , 29 000,28 000 ,27 000 , 30 000,29 000 ,27 000 , 31 000,29 000 ,27 000 , 31 000
North-Western,9800 ,5600 , 14 000,12 000 ,7300 , 16 000,14 000 ,9000 , 18 000,15 000 ,11 000 , 20 000,17 000 ,12 000 , 21 000,18 000 ,13 000 , 22 000,19 000 ,14 000 , 23 000,19 000 ,15 000 , 24 000,20 000 ,15 000 , 24 000,20 000 ,16 000 , 25 000,20 000 ,16 000 , 25 000,20 000 ,16 000 , 25 000,21 000 ,17 000 , 25 000,21 000 ,17 000 , 24 000,21 000 ,17 000 , 24 000,21 000 ,18 000 , 24 000,21 000 ,18 000 , 24 000,21 000 ,19 000 , 25 000,22 000 ,19 000 , 25 000,23 000 ,20 000 , 26 000,24 000 ,21 000 , 27 000,25 000 ,22 000 , 28 000,26 000 ,23 000 , 29 000,27 000 ,24 000 , 30 000,28 000 ,25 000 , 31 000,29 000 ,26 000 , 33 000,30 000 ,27 000 , 34 000,30 000 ,27 000 , 35 000,31 000 ,27 000 , 36 000,32 000 ,27 000 , 37 000
Northern,19 000 ,18 000 , 20 000,22 000 ,21 000 , 23 000,25 000 ,24 000 , 26 000,27 000 ,26 000 , 29 000,30 000 ,28 000 , 31 000,31 000 ,30 000 , 33 000,33 000 ,32 000 , 34 000,34 000 ,33 000 , 35 000,35 000 ,33 000 , 36 000,35 000 ,34 000 , 37 000,36 000 ,35 000 , 37 000,36 000 ,35 000 , 38 000,36 000 ,35 000 , 38 000,36 000 ,35 000 , 38 000,37 000 ,36 000 , 38 000,37 000 ,36 000 , 38 000,37 000 ,36 000 , 38 000,37 000 ,36 000 , 38 000,37 000 ,36 000 , 39 000,38 000 ,37 000 , 39 000,39 000 ,38 000 , 41 000,41 000 ,39 000 , 42 000,42 000 ,40 000 , 44 000,43 000 ,41 000 , 45 000,44 000 ,43 000 , 47 000,46 000 ,44 000 , 48 000,47 000 ,45 000 , 49 000,48 000 ,46 000 , 50 000,49 000 ,47 000 , 52 000,49 000 ,47 000 , 52 000
Southern,61 000 ,40 000 , 82 000,71 000 ,52 000 , 91 000,80 000 ,62 000 , 98 000,86 000 ,70 000 , 100 000,92 000 ,78 000 , 110 000,97 000 ,83 000 , 110 000,100 000 ,85 000 , 110 000,100 000 ,88 000 , 120 000,110 000 ,91 000 , 120 000,110 000 ,94 000 , 120 000,110 000 ,95 000 , 120 000,110 000 ,95 000 , 120 000,110 000 ,96 000 , 120 000,110 000 ,97 000 , 120 000,110 000 ,98 000 , 120 000,110 000 ,99 000 , 120 000,110 000 ,100 000 , 120 000,110 000 ,100 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 130 000,120 000 ,110 000 , 140 000,130 000 ,120 000 , 140 000,130 000 ,120 000 , 150 000,140 000 ,130 000 , 150 000,140 000 ,130 000 , 150 000,150 000 ,130 000 , 160 000,150 000 ,140 000 , 160 000,160 000 ,140 000 , 170 000,160 000 ,140 000 , 180 000,160 000 ,150 000 , 180 000
Western,14 000 ,9600 , 20 000,19 000 ,13 000 , 25 000,24 000 ,18 000 , 31 000,29 000 ,23 000 , 36 000,34 000 ,27 000 , 41 000,39 000 ,31 000 , 46 000,43 000 ,35 000 , 50 000,46 000 ,39 000 , 53 000,49 000 ,42 000 , 56 000,51 000 ,44 000 , 59 000,53 000 ,46 000 , 60 000,54 000 ,47 000 , 61 000,55 000 ,48 000 , 63 000,56 000 ,49 000 , 63 000,56 000 ,50 000 , 64 000,57 000 ,51 000 , 64 000,58 000 ,52 000 , 65 000,60 000 ,54 000 , 66 000,62 000 ,56 000 , 68 000,64 000 ,58 000 , 70 000,66 000 ,61 000 , 73 000,69 000 ,63 000 , 76 000,71 000 ,65 000 , 78 000,74 000 ,67 000 , 81 000,76 000 ,69 000 , 84 000,78 000 ,70 000 , 87 000,80 000 ,71 000 , 90 000,82 000 ,73 000 , 94 000,84 000 ,74 000 , 97 000,85 000 ,75 000 , 98 000
