States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,7100 ,3600 , 9300,8500 ,4200 , 11 000,9700 ,4800 , 13 000,11 000 ,5300 , 14 000,12 000 ,5800 , 16 000,13 000 ,6200 , 17 000,14 000 ,6500 , 18 000,14 000 ,6700 , 19 000,14 000 ,6800 , 19 000,15 000 ,6900 , 20 000,15 000 ,6900 , 20 000,15 000 ,6900 , 20 000,14 000 ,6900 , 19 000,14 000 ,6800 , 19 000,14 000 ,6800 , 19 000,14 000 ,6900 , 19 000,14 000 ,7000 , 19 000,14 000 ,7200 , 19 000,14 000 ,7400 , 19 000,15 000 ,7700 , 19 000,15 000 ,8100 , 20 000,15 000 ,8300 , 20 000,16 000 ,8700 , 21 000,16 000 ,9000 , 22 000,17 000 ,9600 , 22 000,18 000 ,10 000 , 23 000,18 000 ,10 000 , 24 000,18 000 ,10 000 , 24 000,19 000 ,11 000 , 24 000,18 000 ,10 000 , 24 000
Copperbelt,25 000 ,13 000 , 33 000,31 000 ,15 000 , 40 000,35 000 ,17 000 , 46 000,39 000 ,19 000 , 51 000,42 000 ,21 000 , 55 000,43 000 ,22 000 , 57 000,43 000 ,21 000 , 57 000,42 000 ,21 000 , 56 000,40 000 ,20 000 , 54 000,39 000 ,19 000 , 52 000,37 000 ,18 000 , 49 000,35 000 ,17 000 , 47 000,33 000 ,17 000 , 45 000,32 000 ,16 000 , 43 000,31 000 ,16 000 , 42 000,31 000 ,16 000 , 41 000,30 000 ,16 000 , 40 000,30 000 ,16 000 , 40 000,30 000 ,16 000 , 39 000,30 000 ,17 000 , 40 000,31 000 ,17 000 , 41 000,32 000 ,18 000 , 41 000,33 000 ,19 000 , 43 000,34 000 ,20 000 , 44 000,35 000 ,21 000 , 45 000,36 000 ,21 000 , 47 000,37 000 ,22 000 , 47 000,37 000 ,22 000 , 48 000,38 000 ,22 000 , 49 000,38 000 ,23 000 , 49 000
Eastern,9000 ,4700 , 12 000,10 000 ,5200 , 14 000,11 000 ,5500 , 15 000,11 000 ,5500 , 15 000,12 000 ,5400 , 16 000,11 000 ,5100 , 16 000,11 000 ,5000 , 16 000,11 000 ,4900 , 15 000,11 000 ,4800 , 15 000,10 000 ,4600 , 14 000,9900 ,4500 , 14 000,9600 ,4400 , 13 000,9400 ,4400 , 13 000,9200 ,4300 , 13 000,9100 ,4400 , 12 000,9000 ,4400 , 12 000,9000 ,4500 , 12 000,9200 ,4700 , 12 000,9300 ,4900 , 12 000,9500 ,5100 , 13 000,9700 ,5400 , 13 000,10 000 ,5700 , 13 000,10 000 ,5900 , 13 000,10 000 ,6100 , 14 000,11 000 ,6200 , 14 000,11 000 ,6300 , 14 000,11 000 ,6300 , 14 000,11 000 ,6400 , 14 000,10 000 ,6400 , 14 000,10 000 ,6300 , 13 000
Luapula,8800 ,4500 , 11 000,9700 ,4800 , 13 000,10 000 ,4900 , 14 000,10 000 ,4900 , 14 000,10 000 ,4800 , 15 000,10 000 ,4600 , 14 000,10 000 ,4500 , 14 000,9800 ,4400 , 14 000,9400 ,4300 , 13 000,9100 ,4200 , 13 000,8800 ,4100 , 12 000,8600 ,4000 , 12 000,8400 ,3900 , 12 000,8200 ,3900 , 11 000,8100 ,3900 , 11 000,8000 ,3900 , 11 000,7900 ,4000 , 11 000,7900 ,4100 , 11 000,7900 ,4100 , 11 000,7900 ,4200 , 11 000,7900 ,4400 , 10 000,8000 ,4500 , 11 000,8000 ,4600 , 10 000,8100 ,4700 , 11 000,8100 ,4800 , 11 000,8200 ,4900 , 11 000,8200 ,5000 , 11 000,8200 ,5000 , 11 000,8100 ,5000 , 11 000,7900 ,4800 , 10 000
Lusaka,15 000 ,7300 , 20 000,18 000 ,8700 , 24 000,21 000 ,10 000 , 28 000,24 000 ,11 000 , 32 000,26 000 ,12 000 , 35 000,28 000 ,13 000 , 38 000,28 000 ,13 000 , 39 000,28 000 ,13 000 , 39 000,28 000 ,13 000 , 38 000,27 000 ,13 000 , 37 000,26 000 ,12 000 , 36 000,25 000 ,12 000 , 34 000,24 000 ,11 000 , 33 000,23 000 ,11 000 , 31 000,22 000 ,11 000 , 30 000,22 000 ,11 000 , 30 000,22 000 ,11 000 , 30 000,22 000 ,12 000 , 30 000,22 000 ,12 000 , 30 000,22 000 ,12 000 , 30 000,23 000 ,13 000 , 31 000,23 000 ,14 000 , 31 000,24 000 ,14 000 , 32 000,25 000 ,15 000 , 32 000,25 000 ,15 000 , 33 000,26 000 ,16 000 , 33 000,26 000 ,16 000 , 34 000,26 000 ,16 000 , 34 000,26 000 ,17 000 , 34 000,26 000 ,17 000 , 34 000
Muchinga,2400 ,1100 , 3200,2800 ,1300 , 3700,3100 ,1400 , 4200,3400 ,1500 , 4600,3600 ,1600 , 4900,3700 ,1700 , 5000,3700 ,1600 , 5000,3700 ,1600 , 5000,3600 ,1600 , 4900,3500 ,1600 , 4800,3400 ,1600 , 4700,3300 ,1600 , 4500,3200 ,1500 , 4400,3200 ,1500 , 4300,3200 ,1600 , 4200,3100 ,1600 , 4200,3200 ,1600 , 4200,3200 ,1700 , 4200,3300 ,1800 , 4300,3300 ,1900 , 4400,3400 ,1900 , 4400,3400 ,2000 , 4500,3500 ,2100 , 4500,3500 ,2100 , 4500,3500 ,2100 , 4500,3400 ,2100 , 4400,3400 ,2100 , 4300,3300 ,2000 , 4200,3200 ,2000 , 4100,3100 ,2000 , 4000
North-Western,2900 ,1200 , 5100,3300 ,1400 , 5400,3500 ,1500 , 5700,3700 ,1600 , 5800,3700 ,1600 , 6000,3700 ,1600 , 5900,3600 ,1600 , 5800,3500 ,1600 , 5500,3400 ,1600 , 5400,3300 ,1500 , 5200,3200 ,1500 , 5000,3100 ,1400 , 4900,3000 ,1400 , 4700,3000 ,1400 , 4500,3000 ,1400 , 4400,3000 ,1400 , 4400,3000 ,1500 , 4400,3100 ,1600 , 4500,3200 ,1700 , 4600,3300 ,1700 , 4700,3400 ,1800 , 4900,3500 ,1900 , 5000,3600 ,2000 , 5100,3700 ,2100 , 5300,3700 ,2100 , 5400,3800 ,2200 , 5500,3800 ,2200 , 5500,3800 ,2200 , 5400,3800 ,2200 , 5500,3700 ,2200 , 5500
Northern,5200 ,2700 , 6800,5700 ,2900 , 7600,6000 ,2900 , 8100,6100 ,2900 , 8400,6100 ,2800 , 8400,5900 ,2600 , 8300,5800 ,2600 , 8200,5700 ,2500 , 8100,5600 ,2500 , 7900,5500 ,2500 , 7800,5400 ,2500 , 7600,5400 ,2500 , 7500,5300 ,2500 , 7400,5300 ,2500 , 7300,5300 ,2500 , 7300,5400 ,2600 , 7300,5400 ,2700 , 7400,5500 ,2800 , 7500,5700 ,2900 , 7600,5800 ,3000 , 7700,5900 ,3100 , 7800,6000 ,3200 , 7900,5900 ,3200 , 7800,5900 ,3300 , 7800,5900 ,3300 , 7900,5900 ,3400 , 7800,5800 ,3400 , 7700,5800 ,3400 , 7500,5700 ,3400 , 7500,5600 ,3300 , 7300
Southern,17 000 ,7900 , 26 000,19 000 ,8700 , 28 000,20 000 ,9200 , 29 000,21 000 ,9300 , 29 000,21 000 ,9200 , 31 000,21 000 ,9300 , 31 000,20 000 ,9300 , 31 000,20 000 ,9300 , 30 000,19 000 ,9100 , 29 000,19 000 ,8900 , 28 000,18 000 ,8800 , 27 000,18 000 ,8600 , 26 000,17 000 ,8600 , 26 000,17 000 ,8500 , 26 000,17 000 ,8500 , 25 000,17 000 ,8500 , 25 000,17 000 ,8600 , 25 000,17 000 ,8800 , 25 000,17 000 ,8900 , 25 000,17 000 ,9200 , 26 000,18 000 ,9400 , 26 000,18 000 ,9600 , 26 000,18 000 ,9700 , 26 000,18 000 ,9900 , 26 000,18 000 ,10 000 , 26 000,18 000 ,10 000 , 26 000,18 000 ,10 000 , 25 000,18 000 ,11 000 , 26 000,18 000 ,11 000 , 26 000,18 000 ,11 000 , 27 000
Western,3500 ,1600 , 5700,4300 ,1900 , 6800,5300 ,2200 , 8100,6100 ,2600 , 9200,6600 ,2900 , 10 000,6900 ,3000 , 11 000,7400 ,3200 , 12 000,7800 ,3400 , 12 000,8000 ,3400 , 13 000,8100 ,3500 , 13 000,8100 ,3500 , 13 000,8000 ,3600 , 12 000,8000 ,3700 , 12 000,7900 ,3700 , 12 000,7900 ,3700 , 12 000,7900 ,3700 , 12 000,7900 ,3800 , 12 000,8000 ,3800 , 12 000,8100 ,3900 , 12 000,8300 ,4100 , 12 000,8500 ,4200 , 12 000,8700 ,4400 , 13 000,8900 ,4700 , 13 000,9100 ,5000 , 13 000,9200 ,5100 , 13 000,9300 ,5200 , 13 000,9300 ,5300 , 13 000,9500 ,5500 , 14 000,9400 ,5500 , 14 000,9100 ,5300 , 14 000
