States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,1800 ,1600 , 1900,2200 ,2100 , 2400,2800 ,2500 , 3000,3300 ,3100 , 3600,4000 ,3600 , 4200,4600 ,4300 , 5000,5300 ,4800 , 5700,6000 ,5500 , 6400,6600 ,6100 , 7100,7300 ,6600 , 7800,7900 ,7100 , 8500,8500 ,7600 , 9100,9000 ,8100 , 9700,9500 ,8500 , 10 000,9800 ,8700 , 11 000,9900 ,8800 , 11 000,9900 ,8700 , 11 000,10 000 ,8800 , 11 000,9800 ,8500 , 11 000,9600 ,8400 , 10 000,9400 ,8200 , 10 000,9300 ,8100 , 10 000,9100 ,7900 , 10 000,9000 ,7800 , 9900,9000 ,7800 , 9900,8900 ,7700 , 9800,8800 ,7600 , 9700,8600 ,7400 , 9500,8500 ,7200 , 9400,8500 ,7200 , 9300
Copperbelt,4300 ,3800 , 4800,5500 ,4900 , 6100,6800 ,6200 , 7600,8100 ,7400 , 9000,9500 ,8700 , 10 000,11 000 ,9900 , 12 000,12 000 ,11 000 , 13 000,13 000 ,12 000 , 14 000,14 000 ,13 000 , 15 000,15 000 ,14 000 , 16 000,16 000 ,15 000 , 17 000,17 000 ,15 000 , 18 000,17 000 ,16 000 , 18 000,18 000 ,16 000 , 19 000,18 000 ,16 000 , 19 000,18 000 ,16 000 , 19 000,17 000 ,16 000 , 19 000,17 000 ,16 000 , 18 000,16 000 ,15 000 , 18 000,16 000 ,14 000 , 17 000,15 000 ,14 000 , 17 000,15 000 ,14 000 , 16 000,15 000 ,13 000 , 16 000,14 000 ,13 000 , 16 000,14 000 ,13 000 , 15 000,14 000 ,13 000 , 15 000,14 000 ,13 000 , 15 000,14 000 ,13 000 , 15 000,14 000 ,13 000 , 15 000,14 000 ,12 000 , 15 000
Eastern,2000 ,1800 , 2100,2500 ,2300 , 2700,3100 ,2900 , 3400,3700 ,3400 , 4000,4400 ,4000 , 4700,5000 ,4600 , 5400,5600 ,5100 , 6100,6200 ,5600 , 6700,6700 ,6100 , 7300,7200 ,6500 , 7800,7600 ,6800 , 8200,8000 ,7100 , 8600,8300 ,7400 , 9100,8500 ,7500 , 9300,8600 ,7600 , 9500,8600 ,7500 , 9500,8500 ,7400 , 9300,8400 ,7200 , 9200,8200 ,7000 , 9000,7900 ,6700 , 8700,7600 ,6500 , 8400,7400 ,6300 , 8100,7100 ,6000 , 7900,6900 ,5900 , 7700,6800 ,5700 , 7500,6500 ,5500 , 7300,6300 ,5400 , 7000,6000 ,5200 , 6700,5700 ,5000 , 6400,5400 ,4700 , 6000
Luapula,1500 ,1300 , 1600,1900 ,1700 , 2000,2200 ,2000 , 2500,2600 ,2400 , 2900,3000 ,2700 , 3300,3400 ,3100 , 3700,3800 ,3500 , 4200,4200 ,3800 , 4600,4600 ,4200 , 5000,4900 ,4500 , 5300,5200 ,4700 , 5700,5500 ,5000 , 6000,5700 ,5200 , 6200,5900 ,5300 , 6500,6000 ,5400 , 6500,5900 ,5300 , 6400,5700 ,5100 , 6300,5600 ,5000 , 6200,5400 ,4800 , 6000,5300 ,4700 , 5800,5200 ,4600 , 5700,5000 ,4400 , 5600,4900 ,4200 , 5400,4700 ,4100 , 5200,4600 ,4000 , 5100,4400 ,3800 , 4900,4300 ,3700 , 4700,4000 ,3400 , 4400,3800 ,3200 , 4200,3600 ,3000 , 4000
Lusaka,3700 ,3400 , 4100,4900 ,4400 , 5400,6200 ,5600 , 6900,7600 ,6900 , 8400,9000 ,8200 , 9900,10 000 ,9500 , 11 000,12 000 ,11 000 , 13 000,13 000 ,12 000 , 15 000,15 000 ,13 000 , 16 000,16 000 ,15 000 , 17 000,17 000 ,15 000 , 19 000,18 000 ,16 000 , 20 000,19 000 ,17 000 , 21 000,20 000 ,18 000 , 22 000,20 000 ,18 000 , 22 000,20 000 ,18 000 , 22 000,20 000 ,18 000 , 22 000,19 000 ,17 000 , 21 000,19 000 ,17 000 , 21 000,19 000 ,17 000 , 21 000,19 000 ,17 000 , 21 000,19 000 ,17 000 , 21 000,19 000 ,16 000 , 20 000,18 000 ,16 000 , 20 000,18 000 ,16 000 , 20 000,17 000 ,15 000 , 19 000,17 000 ,15 000 , 19 000,16 000 ,14 000 , 18 000,16 000 ,13 000 , 17 000,15 000 ,13 000 , 17 000
Muchinga,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,1100 ,1000 , 1200,1400 ,1200 , 1500,1600 ,1400 , 1700,1800 ,1600 , 1900,2000 ,1800 , 2100,2100 ,2000 , 2300,2300 ,2100 , 2500,2500 ,2300 , 2700,2600 ,2400 , 2900,2800 ,2500 , 3000,2900 ,2600 , 3100,3000 ,2700 , 3200,3000 ,2700 , 3300,3100 ,2800 , 3300,3100 ,2800 , 3400,3100 ,2800 , 3400,3000 ,2700 , 3300,3000 ,2700 , 3300,3000 ,2600 , 3200,2900 ,2600 , 3100,2800 ,2400 , 3000,2700 ,2400 , 2900,2600 ,2300 , 2800,2500 ,2200 , 2700,2400 ,2100 , 2600,2300 ,2000 , 2500,2200 ,1900 , 2400,2100 ,1800 , 2300
North-Western,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1300,1100 ,<1000 , 1500,1200 ,<1000 , 1700,1400 ,1000 , 1800,1500 ,1200 , 2000,1700 ,1300 , 2200,1800 ,1400 , 2300,1900 ,1500 , 2500,2100 ,1600 , 2700,2200 ,1700 , 2700,2200 ,1800 , 2900,2300 ,1800 , 2800,2300 ,1800 , 2800,2200 ,1800 , 2800,2200 ,1800 , 2800,2100 ,1700 , 2700,2100 ,1700 , 2600,2100 ,1700 , 2600,2100 ,1700 , 2600,2000 ,1700 , 2500,1900 ,1600 , 2400,1900 ,1600 , 2400,1900 ,1600 , 2300,1800 ,1600 , 2300,1800 ,1500 , 2200,1700 ,1500 , 2100,1600 ,1400 , 2100
Northern,<1000 ,<1000 , 1100,1200 ,1100 , 1300,1400 ,1300 , 1600,1700 ,1600 , 1900,2000 ,1800 , 2200,2200 ,2000 , 2400,2500 ,2200 , 2700,2700 ,2500 , 3000,2900 ,2700 , 3200,3100 ,2800 , 3400,3300 ,3000 , 3600,3500 ,3200 , 3800,3600 ,3300 , 4000,3800 ,3400 , 4100,3800 ,3500 , 4200,3800 ,3500 , 4200,3800 ,3400 , 4200,3700 ,3300 , 4100,3700 ,3300 , 4100,3600 ,3200 , 4000,3600 ,3200 , 3900,3500 ,3100 , 3900,3400 ,3100 , 3800,3300 ,3000 , 3700,3300 ,2900 , 3600,3200 ,2800 , 3500,3100 ,2800 , 3400,3000 ,2700 , 3300,2900 ,2600 , 3200,2800 ,2400 , 3000
Southern,3100 ,2000 , 4500,3900 ,2700 , 5400,4700 ,3400 , 6300,5400 ,4100 , 7100,6100 ,4800 , 8000,6900 ,5400 , 8700,7600 ,6100 , 9500,8300 ,6800 , 10 000,8900 ,7400 , 11 000,9500 ,8000 , 12 000,10 000 ,8400 , 12 000,11 000 ,8800 , 12 000,11 000 ,9300 , 13 000,11 000 ,9500 , 13 000,11 000 ,9600 , 13 000,11 000 ,9700 , 13 000,11 000 ,9700 , 13 000,11 000 ,9600 , 13 000,11 000 ,9600 , 13 000,11 000 ,9400 , 13 000,11 000 ,9400 , 12 000,11 000 ,9400 , 12 000,11 000 ,9400 , 12 000,10 000 ,9400 , 12 000,11 000 ,9400 , 12 000,10 000 ,9300 , 12 000,10 000 ,9100 , 12 000,9800 ,8700 , 11 000,9300 ,8200 , 11 000,9100 ,7900 , 11 000
Western,<1000 ,<500 , <1000,<1000 ,<1000 , 1300,1200 ,<1000 , 1600,1500 ,1100 , 2000,1900 ,1400 , 2400,2200 ,1700 , 2800,2600 ,2000 , 3300,3000 ,2400 , 3700,3400 ,2700 , 4200,3800 ,3100 , 4700,4200 ,3400 , 5200,4600 ,3800 , 5600,5000 ,4100 , 6000,5200 ,4400 , 6300,5400 ,4600 , 6500,5500 ,4700 , 6600,5600 ,4800 , 6700,5600 ,4800 , 6700,5500 ,4700 , 6500,5400 ,4600 , 6400,5400 ,4500 , 6400,5300 ,4500 , 6400,5300 ,4500 , 6300,5300 ,4500 , 6200,5300 ,4400 , 6200,5200 ,4400 , 6100,5100 ,4300 , 6000,4900 ,4200 , 5800,4800 ,4000 , 5700,4600 ,3800 , 5500
