States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,2000 ,<500 , 3000,2300 ,<500 , 3500,2600 ,<1000 , 4000,2900 ,<1000 , 4500,3100 ,<1000 , 4800,3300 ,<1000 , 5200,3400 ,<1000 , 5500,3500 ,<1000 , 5700,3600 ,<1000 , 5800,3600 ,<1000 , 5900,3600 ,<1000 , 5900,3600 ,<1000 , 5800,3600 ,<1000 , 5800,3600 ,<1000 , 5800,3600 ,<1000 , 5700,3600 ,<1000 , 5800,3600 ,1000 , 5800,3700 ,1100 , 5900,3800 ,1200 , 6000,4000 ,1300 , 6200,4200 ,1400 , 6400,4300 ,1500 , 6500,4500 ,1700 , 6800,4700 ,1800 , 7000,4900 ,2000 , 7300,5200 ,2200 , 7600,5300 ,2300 , 7700,5400 ,2400 , 7800,5500 ,2500 , 7900,5500 ,2500 , 7900
Copperbelt,9600 ,2300 , 14 000,11 000 ,2600 , 17 000,13 000 ,2900 , 20 000,14 000 ,3100 , 22 000,15 000 ,3300 , 23 000,15 000 ,3600 , 23 000,15 000 ,3500 , 23 000,14 000 ,3500 , 23 000,14 000 ,3300 , 22 000,13 000 ,3200 , 21 000,12 000 ,3100 , 20 000,12 000 ,3100 , 19 000,11 000 ,3000 , 18 000,11 000 ,3000 , 17 000,10 000 ,3000 , 17 000,10 000 ,3100 , 16 000,10 000 ,3200 , 16 000,10 000 ,3500 , 16 000,10 000 ,3700 , 16 000,10 000 ,4000 , 16 000,11 000 ,4400 , 16 000,11 000 ,4800 , 16 000,11 000 ,5200 , 17 000,12 000 ,5500 , 17 000,12 000 ,5800 , 18 000,13 000 ,6100 , 18 000,13 000 ,6200 , 18 000,13 000 ,6300 , 18 000,13 000 ,6500 , 19 000,13 000 ,6500 , 19 000
Eastern,3100 ,<1000 , 4600,3300 ,<1000 , 4900,3300 ,<1000 , 5100,3200 ,<1000 , 5200,3100 ,<1000 , 5000,2900 ,<1000 , 4800,2700 ,<1000 , 4600,2600 ,<1000 , 4500,2400 ,<500 , 4200,2300 ,<500 , 4000,2200 ,<500 , 3800,2100 ,<500 , 3700,2100 ,<500 , 3500,2100 ,<1000 , 3400,2100 ,<1000 , 3400,2100 ,<1000 , 3400,2200 ,<1000 , 3400,2300 ,<1000 , 3500,2400 ,<1000 , 3700,2500 ,<1000 , 3800,2600 ,1100 , 3900,2700 ,1200 , 4000,2800 ,1300 , 4100,3000 ,1400 , 4300,3000 ,1500 , 4300,3100 ,1600 , 4300,3100 ,1700 , 4400,3100 ,1700 , 4400,3100 ,1800 , 4400,3100 ,1800 , 4200
Luapula,3900 ,<1000 , 5900,4100 ,<1000 , 6300,4200 ,<1000 , 6600,4100 ,<1000 , 6600,3900 ,<1000 , 6500,3700 ,<1000 , 6200,3600 ,<1000 , 6100,3400 ,<1000 , 5800,3200 ,<1000 , 5500,3000 ,<1000 , 5200,2900 ,<1000 , 4900,2800 ,<1000 , 4700,2700 ,<1000 , 4500,2700 ,<1000 , 4400,2600 ,<1000 , 4300,2600 ,<1000 , 4200,2600 ,<1000 , 4100,2600 ,<1000 , 4100,2700 ,<1000 , 4100,2700 ,<1000 , 4100,2700 ,1000 , 4100,2700 ,1100 , 4100,2800 ,1200 , 4100,2800 ,1300 , 4200,2900 ,1300 , 4200,2900 ,1400 , 4200,2900 ,1500 , 4200,2900 ,1500 , 4200,2900 ,1500 , 4200,2900 ,1500 , 4000
Lusaka,5100 ,1100 , 7700,5800 ,1200 , 8900,6400 ,1300 , 10 000,7000 ,1400 , 11 000,7300 ,1500 , 12 000,7600 ,1600 , 12 000,7500 ,1600 , 12 000,7200 ,1600 , 12 000,6900 ,1500 , 12 000,6500 ,1500 , 11 000,6100 ,1400 , 10 000,5800 ,1400 , 9800,5500 ,1300 , 9200,5300 ,1400 , 8800,5200 ,1400 , 8500,5200 ,1500 , 8400,5300 ,1600 , 8400,5500 ,1800 , 8600,5700 ,2100 , 8900,6000 ,2300 , 9100,6300 ,2700 , 9500,6600 ,3000 , 9800,6900 ,3400 , 10 000,7200 ,3700 , 10 000,7500 ,4100 , 11 000,7700 ,4400 , 11 000,7900 ,4600 , 11 000,8000 ,4800 , 11 000,8200 ,5000 , 11 000,8200 ,5100 , 11 000
Muchinga,<500 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<200 , 1000,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1000,<1000 ,<200 , 1000,<1000 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200
North-Western,1200 ,<200 , 2300,1300 ,<200 , 2400,1300 ,<500 , 2400,1300 ,<200 , 2400,1300 ,<200 , 2300,1200 ,<200 , 2200,1100 ,<200 , 2000,1100 ,<200 , 1900,1000 ,<200 , 1800,<1000 ,<200 , 1700,<1000 ,<200 , 1600,<1000 ,<200 , 1600,<1000 ,<200 , 1500,<1000 ,<200 , 1500,<1000 ,<200 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,1000 ,<500 , 1600,1100 ,<500 , 1700,1100 ,<500 , 1700,1100 ,<500 , 1800,1200 ,<500 , 1800,1200 ,<1000 , 1800,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1200 ,<1000 , 1900,1200 ,<1000 , 2000,1200 ,<1000 , 1900
Northern,1900 ,<500 , 2800,2000 ,<500 , 3000,1900 ,<500 , 3000,1900 ,<500 , 3000,1700 ,<500 , 2900,1600 ,<500 , 2700,1500 ,<500 , 2600,1400 ,<500 , 2500,1400 ,<500 , 2400,1300 ,<500 , 2300,1300 ,<500 , 2300,1300 ,<500 , 2200,1300 ,<500 , 2100,1300 ,<500 , 2100,1300 ,<500 , 2100,1300 ,<500 , 2200,1400 ,<500 , 2200,1400 ,<500 , 2200,1500 ,<500 , 2300,1500 ,<1000 , 2400,1600 ,<1000 , 2400,1600 ,<1000 , 2500,1600 ,<1000 , 2500,1600 ,<1000 , 2500,1700 ,<1000 , 2500,1700 ,<1000 , 2500,1700 ,<1000 , 2500,1700 ,<1000 , 2400,1700 ,<1000 , 2400,1700 ,<1000 , 2400
Southern,6300 ,1000 , 11 000,6500 ,1100 , 11 000,6600 ,1100 , 11 000,6500 ,1100 , 11 000,6300 ,1000 , 10 000,6200 ,1100 , 10 000,5800 ,<1000 , 9600,5500 ,<1000 , 9400,5200 ,<1000 , 8800,5000 ,<1000 , 8300,4800 ,<1000 , 7800,4700 ,<1000 , 7400,4500 ,<1000 , 7200,4500 ,<1000 , 7200,4500 ,1100 , 7200,4500 ,1200 , 7200,4600 ,1300 , 7100,4700 ,1400 , 7200,4800 ,1500 , 7400,4900 ,1700 , 7600,5000 ,1800 , 7600,5100 ,1900 , 7700,5200 ,2000 , 8000,5300 ,2100 , 8000,5300 ,2300 , 8100,5300 ,2400 , 8100,5400 ,2400 , 8200,5500 ,2500 , 8300,5500 ,2600 , 8400,5500 ,2600 , 8500
Western,1200 ,<200 , 1900,1400 ,<500 , 2200,1600 ,<500 , 2500,1600 ,<500 , 2700,1600 ,<500 , 2700,1500 ,<200 , 2700,1600 ,<200 , 2900,1600 ,<500 , 3000,1600 ,<500 , 3000,1600 ,<500 , 2900,1600 ,<200 , 2800,1600 ,<200 , 2600,1600 ,<500 , 2600,1600 ,<500 , 2600,1600 ,<500 , 2500,1600 ,<500 , 2600,1700 ,<500 , 2700,1700 ,<500 , 2700,1800 ,<500 , 2800,1900 ,<500 , 2900,2000 ,<1000 , 3100,2100 ,<1000 , 3200,2200 ,<1000 , 3400,2300 ,<1000 , 3500,2300 ,<1000 , 3600,2400 ,<1000 , 3700,2400 ,<1000 , 3700,2500 ,1100 , 3800,2500 ,1100 , 3800,2500 ,1200 , 3800
