States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,4 614.25,4 892.5,5 245.75,5331,6069,6548,6209,6749,5810,5636
Copperbelt,7973,7655,8547,9218,9976,8795,6590,6742,7247,8 858.25
Eastern,3076,3 127.88,3 173.19,3 279.5,3665,4276,4724,4948,4639,4383
Luapula,1 681.2,2 091.8,2 209.9,2328,2 055.33,2 775.67,2552,3037,3188,2581
Lusaka,8 590.57,8 814.54,9 331.5,10 131.75,10 110.8,10 231.85,10 986.9,11 773.95,15 043,13 042
Muchinga,694.5,913,1 089.5,973.5,1087,1239,1144,1223,1244,1048
North-Western,919.8,989.2,1 164.6,1286,1 472.33,1 587.67,1897,2166,1633,1539
Northern,1118,1629,1383,1955,1990,2164,2 208.42,2 294.83,2 381.25,2146
Southern,3 996.86,4 475.81,4 954.76,5 433.71,5804,7098,7339,7655,6306,5060
Western,2 830.19,2 983.05,3025,2 980.92,3 292.75,3 712.57,4 150.5,4386,3509,4049
National,35 494.37,37 571.78,40 124.2,42 917.38,45 522.21,48 427.76,47 800.82,50 974.78,51 000.25,48 342.25
