States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,1.93 ,1.23 , 2.88,2.68 ,1.81 , 3.98,3.55 ,2.35 , 5.02,4.54 ,2.99 , 6.33,5.58 ,3.80 , 7.69,6.65 ,4.79 , 8.99,7.71 ,5.71 , 10.20,8.71 ,6.48 , 11.35,9.61 ,7.21 , 12.11,10.35 ,8.09 , 12.71,10.93 ,8.70 , 13.11,11.36 ,9.24 , 13.34,11.58 ,9.66 , 13.24,11.66 ,9.93 , 13.06,11.07 ,9.61 , 12.30,8.15 ,6.87 , 9.03,7.69 ,6.60 , 8.58,8.12 ,7.05 , 9.01,8.11 ,7.20 , 8.93,6.26 ,5.53 , 6.99,4.55 ,3.99 , 5.14,3.19 ,2.71 , 3.63,2.36 ,1.93 , 2.75,1.86 ,1.55 , 2.16,1.64 ,1.39 , 1.95,1.64 ,1.34 , 1.99,1.49 ,1.20 , 1.83,1.44 ,1.19 , 1.78,1.41 ,1.14 , 1.74,1.28 ,1.03 , 1.58
Harare,2.74 ,1.51 , 4.19,3.77 ,2.15 , 5.52,4.98 ,3.02 , 7.07,6.30 ,4.04 , 8.77,7.73 ,5.23 , 10.49,9.23 ,6.64 , 12.22,10.70 ,8.11 , 13.80,12.05 ,9.45 , 14.72,13.18 ,10.78 , 15.71,14.05 ,11.78 , 16.42,14.62 ,12.56 , 16.64,14.95 ,13.14 , 16.62,14.98 ,13.43 , 16.36,14.78 ,13.44 , 16.05,14.22 ,13.04 , 15.51,12.57 ,11.48 , 13.71,11.62 ,10.45 , 12.81,11.36 ,10.08 , 12.53,9.81 ,8.60 , 11.05,8.26 ,7.04 , 9.43,6.44 ,5.32 , 7.53,4.39 ,3.50 , 5.30,3.25 ,2.57 , 4.02,2.73 ,2.08 , 3.45,2.57 ,1.93 , 3.27,2.38 ,1.79 , 3.00,2.25 ,1.74 , 2.83,2.16 ,1.67 , 2.73,1.81 ,1.39 , 2.31,1.60 ,1.26 , 2.00
Manicaland,1.70 ,1.04 , 2.55,2.27 ,1.46 , 3.36,2.93 ,1.92 , 4.21,3.64 ,2.46 , 5.18,4.41 ,3.07 , 6.18,5.23 ,3.75 , 7.09,6.06 ,4.50 , 7.98,6.86 ,5.34 , 8.83,7.57 ,5.94 , 9.46,8.16 ,6.51 , 9.86,8.61 ,7.04 , 10.17,8.92 ,7.46 , 10.35,9.10 ,7.76 , 10.44,9.15 ,7.92 , 10.32,9.09 ,7.93 , 10.10,8.79 ,7.74 , 9.69,8.07 ,7.16 , 8.89,6.51 ,5.66 , 7.17,5.54 ,4.70 , 6.19,4.66 ,3.89 , 5.26,3.68 ,3.01 , 4.23,2.68 ,2.22 , 3.10,1.98 ,1.63 , 2.30,1.55 ,1.25 , 1.83,1.37 ,1.10 , 1.66,1.33 ,1.06 , 1.62,1.23 ,0.97 , 1.49,1.16 ,0.92 , 1.42,1.08 ,0.84 , 1.32,0.94 ,0.75 , 1.16
Mashonaland Central,2.40 ,1.17 , 4.50,3.27 ,1.79 , 5.60,4.22 ,2.46 , 6.78,5.24 ,3.31 , 8.10,6.31 ,4.24 , 9.13,7.39 ,5.16 , 10.16,8.43 ,6.13 , 11.17,9.37 ,7.10 , 11.76,10.14 ,8.00 , 12.43,10.69 ,8.65 , 12.68,11.04 ,9.14 , 12.81,11.18 ,9.35 , 12.74,11.14 ,9.64 , 12.55,10.94 ,9.67 , 12.30,10.62 ,9.43 , 11.82,9.96 ,8.75 , 11.00,8.79 ,7.67 , 9.76,6.96 ,5.91 , 7.97,5.74 ,4.76 , 6.75,4.67 ,3.82 , 5.60,3.60 ,2.92 , 4.35,2.63 ,2.20 , 3.23,1.97 ,1.56 , 2.48,1.55 ,1.22 , 1.95,1.35 ,1.11 , 1.65,1.32 ,1.02 , 1.65,1.27 ,0.99 , 1.68,1.22 ,0.98 , 1.59,1.03 ,0.83 , 1.32,0.95 ,0.78 , 1.21
Mashonaland East,1.66 ,0.89 , 2.89,2.22 ,1.23 , 3.73,2.86 ,1.70 , 4.66,3.56 ,2.14 , 5.56,4.30 ,2.69 , 6.42,5.06 ,3.33 , 7.24,5.82 ,3.95 , 7.95,6.54 ,4.69 , 8.73,7.20 ,5.37 , 9.31,7.78 ,5.97 , 9.87,8.26 ,6.47 , 10.20,8.64 ,7.01 , 10.45,8.91 ,7.45 , 10.57,9.05 ,7.71 , 10.49,9.09 ,7.83 , 10.36,8.76 ,7.68 , 9.89,7.48 ,6.61 , 8.44,6.99 ,6.15 , 7.86,6.12 ,5.31 , 6.85,5.28 ,4.52 , 5.93,4.27 ,3.63 , 4.81,3.14 ,2.68 , 3.59,2.45 ,2.05 , 2.84,2.04 ,1.66 , 2.43,1.89 ,1.53 , 2.30,1.86 ,1.50 , 2.21,1.74 ,1.39 , 2.10,1.76 ,1.38 , 2.16,1.76 ,1.40 , 2.09,1.55 ,1.23 , 1.90
Mashonaland West,0.79 ,0.47 , 1.21,1.22 ,0.79 , 1.87,1.79 ,1.24 , 2.64,2.48 ,1.79 , 3.58,3.25 ,2.36 , 4.61,4.10 ,3.00 , 5.73,4.98 ,3.70 , 6.90,5.90 ,4.40 , 7.87,6.82 ,5.14 , 8.86,7.69 ,5.89 , 9.67,8.47 ,6.57 , 10.47,9.13 ,7.23 , 10.97,9.63 ,7.84 , 11.29,9.93 ,8.31 , 11.41,10.08 ,8.67 , 11.30,9.88 ,8.65 , 10.85,8.93 ,8.00 , 9.71,7.41 ,6.70 , 8.09,6.27 ,5.52 , 6.96,5.30 ,4.57 , 6.02,4.16 ,3.47 , 4.84,3.02 ,2.56 , 3.55,2.24 ,1.85 , 2.67,1.75 ,1.44 , 2.14,1.54 ,1.26 , 1.92,1.50 ,1.23 , 1.89,1.37 ,1.09 , 1.74,1.32 ,1.06 , 1.71,1.27 ,1.04 , 1.68,1.01 ,0.84 , 1.28
Masvingo,2.10 ,1.25 , 3.47,2.68 ,1.60 , 4.17,3.31 ,2.04 , 4.99,3.97 ,2.46 , 5.85,4.65 ,2.95 , 6.69,5.33 ,3.56 , 7.57,6.00 ,4.18 , 8.23,6.62 ,4.72 , 8.67,7.16 ,5.23 , 9.05,7.64 ,5.73 , 9.30,8.02 ,6.23 , 9.60,8.30 ,6.63 , 9.65,8.45 ,7.00 , 9.64,8.48 ,7.19 , 9.61,8.41 ,7.30 , 9.40,8.10 ,7.13 , 9.01,7.35 ,6.53 , 8.22,5.60 ,4.97 , 6.39,4.56 ,3.99 , 5.31,3.80 ,3.30 , 4.48,3.03 ,2.64 , 3.65,2.37 ,2.05 , 2.80,1.80 ,1.53 , 2.14,1.43 ,1.22 , 1.74,1.27 ,1.07 , 1.53,1.28 ,1.05 , 1.52,1.13 ,0.92 , 1.35,1.17 ,0.95 , 1.43,1.09 ,0.87 , 1.33,1.03 ,0.83 , 1.28
Matabeleland North,2.69 ,1.60 , 4.31,3.49 ,2.12 , 5.36,4.34 ,2.74 , 6.53,5.23 ,3.41 , 7.61,6.07 ,4.13 , 8.63,6.90 ,4.82 , 9.55,7.68 ,5.51 , 10.26,8.41 ,6.22 , 10.90,9.05 ,6.90 , 11.40,9.61 ,7.52 , 11.73,10.07 ,8.04 , 12.03,10.41 ,8.50 , 12.15,10.62 ,8.87 , 12.16,10.71 ,9.04 , 12.04,10.68 ,9.26 , 11.89,10.28 ,9.12 , 11.35,9.35 ,8.35 , 10.24,7.48 ,6.61 , 8.30,6.28 ,5.46 , 7.01,5.26 ,4.48 , 5.95,4.28 ,3.66 , 4.92,3.26 ,2.77 , 3.74,2.50 ,2.10 , 2.94,2.03 ,1.71 , 2.40,1.82 ,1.51 , 2.19,1.85 ,1.51 , 2.25,1.73 ,1.40 , 2.11,1.68 ,1.36 , 2.06,1.58 ,1.28 , 1.95,1.48 ,1.19 , 1.85
Matabeleland South,1.01 ,0.61 , 1.53,1.49 ,0.99 , 2.20,2.10 ,1.43 , 3.12,2.83 ,1.98 , 4.05,3.64 ,2.54 , 5.11,4.54 ,3.26 , 6.21,5.49 ,3.99 , 7.46,6.46 ,4.75 , 8.58,7.41 ,5.57 , 9.74,8.29 ,6.25 , 10.78,9.07 ,6.99 , 11.62,9.73 ,7.58 , 12.08,10.24 ,8.19 , 12.27,10.61 ,8.68 , 12.37,10.82 ,9.05 , 12.34,10.73 ,9.17 , 12.01,10.37 ,9.02 , 11.48,7.76 ,6.82 , 8.62,6.44 ,5.59 , 7.24,5.54 ,4.78 , 6.23,4.54 ,3.93 , 5.16,3.54 ,3.05 , 3.99,2.77 ,2.32 , 3.15,2.28 ,1.92 , 2.62,2.08 ,1.73 , 2.42,2.10 ,1.76 , 2.49,1.92 ,1.61 , 2.28,1.96 ,1.64 , 2.34,1.99 ,1.58 , 2.43,1.83 ,1.50 , 2.25
Midlands,1.91 ,1.32 , 2.66,2.51 ,1.75 , 3.42,3.17 ,2.25 , 4.25,3.88 ,2.85 , 5.18,4.62 ,3.46 , 6.04,5.38 ,4.09 , 7.00,6.14 ,4.71 , 7.80,6.86 ,5.33 , 8.53,7.50 ,5.98 , 9.19,8.06 ,6.52 , 9.75,8.49 ,6.93 , 10.02,8.79 ,7.26 , 10.22,8.96 ,7.55 , 10.35,9.01 ,7.80 , 10.22,8.95 ,7.89 , 10.10,8.53 ,7.63 , 9.59,7.29 ,6.56 , 8.19,6.11 ,5.47 , 6.87,5.07 ,4.44 , 5.75,4.17 ,3.54 , 4.71,3.33 ,2.79 , 3.82,2.56 ,2.18 , 2.93,1.99 ,1.65 , 2.31,1.63 ,1.35 , 1.92,1.49 ,1.24 , 1.79,1.53 ,1.26 , 1.83,1.43 ,1.17 , 1.72,1.42 ,1.15 , 1.70,1.37 ,1.10 , 1.64,1.26 ,1.02 , 1.52
