States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,2.99 ,1.82 , 5.11,4.01 ,2.47 , 6.84,5.15 ,3.25 , 8.15,6.37 ,4.08 , 9.56,7.59 ,5.05 , 11.11,8.77 ,6.28 , 12.54,9.84 ,7.22 , 13.48,10.76 ,8.21 , 14.39,11.49 ,9.09 , 14.71,11.98 ,9.54 , 14.86,12.26 ,9.84 , 14.48,12.36 ,10.27 , 14.24,12.25 ,10.44 , 13.95,12.00 ,10.33 , 13.44,11.19 ,9.71 , 12.34,8.47 ,7.25 , 9.42,8.68 ,7.45 , 9.65,8.92 ,7.83 , 9.84,7.48 ,6.56 , 8.28,5.79 ,5.02 , 6.54,4.48 ,3.88 , 5.15,3.47 ,2.96 , 3.96,2.81 ,2.37 , 3.27,2.42 ,2.00 , 2.84,2.10 ,1.74 , 2.52,1.65 ,1.38 , 1.99,1.58 ,1.32 , 1.91,1.66 ,1.38 , 1.99,1.77 ,1.44 , 2.16,1.48 ,1.20 , 1.81
Harare,3.73 ,2.07 , 5.86,4.97 ,2.97 , 7.66,6.34 ,3.95 , 9.58,7.79 ,5.07 , 11.57,9.25 ,6.35 , 13.07,10.68 ,7.53 , 14.84,11.98 ,8.93 , 15.90,13.04 ,10.33 , 16.99,13.81 ,11.28 , 17.41,14.25 ,11.77 , 17.03,14.38 ,12.36 , 16.65,14.28 ,12.46 , 16.09,13.93 ,12.34 , 15.44,13.39 ,12.00 , 14.86,12.61 ,11.37 , 13.95,10.99 ,9.73 , 12.23,9.91 ,8.62 , 11.11,9.41 ,8.10 , 10.53,8.44 ,7.08 , 9.58,6.94 ,5.72 , 8.03,5.58 ,4.47 , 6.57,4.48 ,3.60 , 5.36,3.79 ,3.03 , 4.55,3.23 ,2.54 , 3.87,2.54 ,2.02 , 3.00,2.24 ,1.77 , 2.70,2.17 ,1.72 , 2.62,1.97 ,1.57 , 2.44,1.69 ,1.35 , 2.09,1.41 ,1.15 , 1.73
Manicaland,2.33 ,1.37 , 3.79,3.04 ,1.91 , 4.98,3.82 ,2.46 , 5.95,4.63 ,3.08 , 7.02,5.46 ,3.82 , 8.02,6.29 ,4.59 , 8.86,7.08 ,5.27 , 9.48,7.77 ,5.99 , 9.86,8.33 ,6.65 , 10.24,8.71 ,7.14 , 10.36,8.93 ,7.43 , 10.40,8.99 ,7.64 , 10.34,8.92 ,7.70 , 10.06,8.74 ,7.63 , 9.80,8.46 ,7.39 , 9.45,8.00 ,6.96 , 8.90,7.30 ,6.40 , 8.17,5.88 ,5.07 , 6.62,4.95 ,4.18 , 5.60,4.07 ,3.39 , 4.64,3.26 ,2.72 , 3.75,2.61 ,2.18 , 3.03,2.10 ,1.75 , 2.46,1.76 ,1.45 , 2.04,1.48 ,1.21 , 1.78,1.22 ,0.99 , 1.48,1.20 ,0.98 , 1.47,1.10 ,0.90 , 1.35,1.08 ,0.84 , 1.34,0.89 ,0.73 , 1.12
Mashonaland Central,3.09 ,1.36 , 5.89,4.09 ,1.96 , 7.19,5.16 ,2.76 , 8.73,6.26 ,3.70 , 9.98,7.35 ,4.60 , 10.81,8.40 ,5.66 , 11.62,9.35 ,6.81 , 12.12,10.13 ,7.70 , 12.60,10.70 ,8.46 , 12.82,11.02 ,9.04 , 12.85,11.11 ,9.42 , 12.68,11.00 ,9.56 , 12.53,10.71 ,9.40 , 12.12,10.30 ,9.05 , 11.61,9.80 ,8.48 , 11.02,9.07 ,7.75 , 10.26,8.07 ,6.77 , 9.27,6.36 ,5.20 , 7.46,5.24 ,4.22 , 6.20,4.20 ,3.38 , 5.06,3.27 ,2.67 , 3.98,2.54 ,2.09 , 3.12,2.01 ,1.65 , 2.52,1.70 ,1.37 , 2.13,1.51 ,1.22 , 1.87,1.27 ,1.01 , 1.58,1.18 ,0.93 , 1.53,1.11 ,0.89 , 1.44,1.04 ,0.85 , 1.33,0.86 ,0.70 , 1.10
Mashonaland East,2.18 ,1.12 , 3.98,2.83 ,1.51 , 4.99,3.54 ,1.98 , 5.89,4.28 ,2.58 , 6.77,5.03 ,3.20 , 7.58,5.75 ,3.79 , 8.29,6.43 ,4.34 , 8.90,7.04 ,4.91 , 9.43,7.55 ,5.45 , 9.75,7.95 ,5.98 , 9.89,8.23 ,6.49 , 9.95,8.41 ,6.84 , 9.87,8.47 ,7.11 , 9.70,8.42 ,7.30 , 9.54,8.29 ,7.28 , 9.26,7.92 ,7.00 , 8.83,6.96 ,6.15 , 7.77,6.25 ,5.39 , 7.00,5.44 ,4.61 , 6.16,4.63 ,3.94 , 5.24,3.87 ,3.23 , 4.41,3.16 ,2.63 , 3.63,2.72 ,2.23 , 3.15,2.41 ,1.98 , 2.82,2.08 ,1.72 , 2.43,1.82 ,1.48 , 2.16,1.80 ,1.44 , 2.15,1.89 ,1.50 , 2.24,1.79 ,1.44 , 2.12,1.70 ,1.36 , 2.02
Mashonaland West,1.02 ,0.55 , 1.67,1.54 ,0.92 , 2.45,2.22 ,1.45 , 3.39,3.03 ,2.08 , 4.46,3.94 ,2.73 , 5.70,4.90 ,3.52 , 7.01,5.89 ,4.28 , 8.31,6.88 ,5.08 , 9.46,7.80 ,5.89 , 10.34,8.60 ,6.65 , 11.10,9.25 ,7.42 , 11.50,9.72 ,8.01 , 11.81,9.99 ,8.46 , 11.82,10.02 ,8.73 , 11.63,9.92 ,8.83 , 11.13,9.55 ,8.64 , 10.51,8.69 ,7.90 , 9.44,7.18 ,6.47 , 7.89,6.06 ,5.32 , 6.76,5.05 ,4.34 , 5.71,4.06 ,3.45 , 4.67,3.18 ,2.69 , 3.75,2.54 ,2.11 , 3.02,2.13 ,1.73 , 2.54,1.82 ,1.49 , 2.24,1.50 ,1.25 , 1.84,1.38 ,1.13 , 1.70,1.28 ,1.03 , 1.58,1.33 ,1.04 , 1.68,1.06 ,0.87 , 1.33
Masvingo,2.94 ,1.61 , 5.02,3.67 ,2.12 , 6.13,4.41 ,2.72 , 7.02,5.15 ,3.27 , 7.83,5.85 ,3.84 , 8.48,6.51 ,4.38 , 9.02,7.09 ,4.93 , 9.39,7.57 ,5.45 , 9.62,7.92 ,5.89 , 9.76,8.17 ,6.33 , 9.72,8.30 ,6.71 , 9.61,8.33 ,6.92 , 9.44,8.23 ,7.02 , 9.32,8.04 ,6.92 , 8.99,7.77 ,6.82 , 8.70,7.33 ,6.49 , 8.17,6.58 ,5.87 , 7.33,5.08 ,4.45 , 5.72,4.11 ,3.59 , 4.72,3.35 ,2.90 , 3.91,2.67 ,2.29 , 3.15,2.17 ,1.86 , 2.57,1.71 ,1.44 , 2.05,1.45 ,1.20 , 1.74,1.31 ,1.08 , 1.55,1.06 ,0.88 , 1.28,1.09 ,0.90 , 1.30,1.06 ,0.88 , 1.26,0.98 ,0.81 , 1.17,0.97 ,0.78 , 1.16
Matabeleland North,3.39 ,1.87 , 5.40,4.29 ,2.49 , 6.60,5.21 ,3.19 , 7.71,6.13 ,3.91 , 8.75,6.95 ,4.66 , 9.58,7.69 ,5.36 , 10.18,8.33 ,6.05 , 10.80,8.87 ,6.66 , 11.16,9.28 ,7.20 , 11.27,9.58 ,7.67 , 11.35,9.76 ,8.03 , 11.43,9.82 ,8.27 , 11.24,9.77 ,8.45 , 11.05,9.61 ,8.55 , 10.79,9.37 ,8.30 , 10.42,8.88 ,7.96 , 9.79,8.14 ,7.28 , 9.00,6.40 ,5.72 , 7.18,5.33 ,4.66 , 6.02,4.37 ,3.77 , 5.00,3.58 ,3.07 , 4.03,2.87 ,2.46 , 3.31,2.31 ,1.96 , 2.71,2.02 ,1.70 , 2.39,1.84 ,1.54 , 2.20,1.63 ,1.35 , 1.99,1.59 ,1.32 , 1.94,1.53 ,1.26 , 1.88,1.47 ,1.17 , 1.81,1.33 ,1.10 , 1.67
Matabeleland South,1.44 ,0.80 , 2.33,2.04 ,1.20 , 3.12,2.78 ,1.76 , 4.05,3.66 ,2.35 , 5.04,4.61 ,3.07 , 6.36,5.64 ,3.79 , 7.64,6.70 ,4.71 , 8.97,7.74 ,5.66 , 10.22,8.71 ,6.60 , 11.21,9.54 ,7.47 , 12.09,10.21 ,8.23 , 12.62,10.69 ,8.83 , 12.83,11.00 ,9.21 , 12.87,11.13 ,9.49 , 12.78,11.11 ,9.62 , 12.50,10.82 ,9.58 , 12.03,10.32 ,9.29 , 11.39,8.07 ,7.14 , 8.97,6.75 ,5.94 , 7.55,5.74 ,5.04 , 6.52,4.70 ,4.11 , 5.35,3.82 ,3.37 , 4.39,3.18 ,2.78 , 3.67,2.81 ,2.41 , 3.22,2.51 ,2.12 , 2.94,2.20 ,1.84 , 2.62,2.20 ,1.86 , 2.61,2.05 ,1.74 , 2.47,2.00 ,1.70 , 2.40,1.86 ,1.58 , 2.25
Midlands,2.69 ,1.72 , 3.91,3.45 ,2.28 , 4.87,4.24 ,2.88 , 5.86,5.05 ,3.48 , 6.77,5.85 ,4.12 , 7.64,6.62 ,4.83 , 8.44,7.31 ,5.52 , 9.16,7.90 ,6.20 , 9.76,8.37 ,6.77 , 10.12,8.70 ,7.23 , 10.33,8.87 ,7.61 , 10.54,8.90 ,7.73 , 10.28,8.80 ,7.74 , 10.08,8.59 ,7.63 , 9.72,8.30 ,7.41 , 9.35,7.77 ,6.99 , 8.66,6.78 ,6.08 , 7.57,5.41 ,4.75 , 6.11,4.40 ,3.79 , 5.03,3.53 ,3.01 , 4.09,2.92 ,2.53 , 3.37,2.39 ,2.07 , 2.75,1.97 ,1.70 , 2.30,1.75 ,1.49 , 2.05,1.60 ,1.35 , 1.89,1.41 ,1.18 , 1.70,1.41 ,1.17 , 1.69,1.42 ,1.18 , 1.71,1.35 ,1.11 , 1.63,1.27 ,1.05 , 1.53
