States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,3500 ,1600 , 6600,5300 ,2500 , 9700,7600 ,4000 , 14 000,11 000 ,5600 , 18 000,14 000 ,8000 , 23 000,18 000 ,11 000 , 29 000,23 000 ,14 000 , 34 000,27 000 ,18 000 , 39 000,32 000 ,22 000 , 44 000,36 000 ,26 000 , 48 000,39 000 ,29 000 , 51 000,42 000 ,32 000 , 53 000,44 000 ,35 000 , 54 000,46 000 ,37 000 , 55 000,48 000 ,39 000 , 56 000,48 000 ,40 000 , 54 000,48 000 ,40 000 , 53 000,47 000 ,40 000 , 53 000,47 000 ,40 000 , 53 000,46 000 ,40 000 , 51 000,45 000 ,39 000 , 49 000,42 000 ,37 000 , 46 000,39 000 ,34 000 , 42 000,36 000 ,31 000 , 39 000,32 000 ,28 000 , 35 000,29 000 ,25 000 , 31 000,25 000 ,23 000 , 28 000,23 000 ,20 000 , 25 000,21 000 ,19 000 , 23 000,19 000 ,17 000 , 21 000
Harare,14 000 ,6200 , 26 000,22 000 ,9900 , 37 000,32 000 ,15 000 , 52 000,44 000 ,23 000 , 70 000,59 000 ,32 000 , 89 000,76 000 ,44 000 , 110 000,93 000 ,58 000 , 130 000,110 000 ,73 000 , 150 000,130 000 ,88 000 , 160 000,140 000 ,100 000 , 180 000,150 000 ,120 000 , 190 000,160 000 ,130 000 , 190 000,170 000 ,140 000 , 200 000,170 000 ,150 000 , 200 000,170 000 ,150 000 , 200 000,170 000 ,150 000 , 190 000,170 000 ,150 000 , 190 000,170 000 ,150 000 , 180 000,170 000 ,150 000 , 180 000,170 000 ,150 000 , 180 000,160 000 ,150 000 , 170 000,160 000 ,140 000 , 170 000,150 000 ,140 000 , 160 000,140 000 ,130 000 , 150 000,130 000 ,120 000 , 150 000,120 000 ,110 000 , 140 000,120 000 ,100 000 , 130 000,110 000 ,92 000 , 120 000,99 000 ,84 000 , 110 000,91 000 ,77 000 , 100 000
Manicaland,7200 ,3100 , 14 000,11 000 ,5200 , 21 000,16 000 ,7800 , 29 000,22 000 ,11 000 , 37 000,29 000 ,16 000 , 48 000,38 000 ,22 000 , 60 000,48 000 ,28 000 , 72 000,58 000 ,36 000 , 83 000,68 000 ,45 000 , 93 000,77 000 ,54 000 , 100 000,86 000 ,63 000 , 110 000,94 000 ,71 000 , 120 000,100 000 ,79 000 , 120 000,110 000 ,85 000 , 130 000,110 000 ,89 000 , 130 000,110 000 ,93 000 , 130 000,110 000 ,96 000 , 130 000,110 000 ,98 000 , 130 000,110 000 ,98 000 , 130 000,110 000 ,98 000 , 130 000,110 000 ,97 000 , 120 000,110 000 ,94 000 , 120 000,100 000 ,89 000 , 110 000,96 000 ,84 000 , 110 000,89 000 ,77 000 , 99 000,81 000 ,71 000 , 91 000,74 000 ,64 000 , 84 000,68 000 ,57 000 , 77 000,61 000 ,52 000 , 71 000,56 000 ,47 000 , 65 000
Mashonaland Central,4300 ,1200 , 9900,6600 ,2000 , 14 000,9900 ,3300 , 20 000,14 000 ,5500 , 27 000,19 000 ,8500 , 34 000,26 000 ,12 000 , 42 000,32 000 ,18 000 , 49 000,39 000 ,24 000 , 57 000,46 000 ,30 000 , 64 000,53 000 ,36 000 , 70 000,59 000 ,42 000 , 75 000,64 000 ,48 000 , 78 000,69 000 ,53 000 , 82 000,72 000 ,59 000 , 84 000,75 000 ,62 000 , 86 000,77 000 ,66 000 , 87 000,78 000 ,68 000 , 87 000,79 000 ,69 000 , 87 000,78 000 ,68 000 , 85 000,77 000 ,68 000 , 84 000,75 000 ,67 000 , 82 000,72 000 ,64 000 , 79 000,67 000 ,59 000 , 73 000,62 000 ,54 000 , 69 000,56 000 ,50 000 , 63 000,51 000 ,45 000 , 57 000,45 000 ,40 000 , 52 000,41 000 ,35 000 , 46 000,36 000 ,31 000 , 42 000,32 000 ,27 000 , 37 000
Mashonaland East,6200 ,2600 , 14 000,9300 ,4000 , 19 000,14 000 ,6200 , 27 000,19 000 ,9100 , 36 000,26 000 ,13 000 , 46 000,34 000 ,18 000 , 57 000,43 000 ,24 000 , 68 000,53 000 ,31 000 , 79 000,63 000 ,38 000 , 90 000,73 000 ,46 000 , 100 000,83 000 ,56 000 , 110 000,92 000 ,64 000 , 120 000,100 000 ,72 000 , 130 000,110 000 ,79 000 , 130 000,110 000 ,86 000 , 140 000,120 000 ,92 000 , 140 000,120 000 ,98 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 140 000,120 000 ,100 000 , 130 000,120 000 ,100 000 , 130 000,110 000 ,98 000 , 120 000,110 000 ,94 000 , 120 000,100 000 ,87 000 , 110 000,94 000 ,82 000 , 110 000,89 000 ,76 000 , 100 000,86 000 ,73 000 , 97 000,84 000 ,71 000 , 95 000,82 000 ,68 000 , 94 000
Mashonaland West,1800 ,<1000 , 3600,3100 ,1200 , 5800,5000 ,2200 , 9000,7900 ,3700 , 14 000,12 000 ,5800 , 21 000,17 000 ,9300 , 29 000,24 000 ,14 000 , 39 000,33 000 ,20 000 , 50 000,43 000 ,27 000 , 62 000,53 000 ,35 000 , 73 000,63 000 ,43 000 , 85 000,73 000 ,52 000 , 95 000,82 000 ,61 000 , 110 000,90 000 ,69 000 , 110 000,97 000 ,76 000 , 120 000,100 000 ,83 000 , 120 000,110 000 ,87 000 , 120 000,110 000 ,91 000 , 120 000,110 000 ,93 000 , 120 000,110 000 ,94 000 , 120 000,110 000 ,93 000 , 120 000,100 000 ,90 000 , 110 000,98 000 ,85 000 , 110 000,91 000 ,80 000 , 100 000,84 000 ,75 000 , 94 000,77 000 ,69 000 , 87 000,71 000 ,63 000 , 80 000,65 000 ,58 000 , 74 000,60 000 ,53 000 , 69 000,55 000 ,48 000 , 63 000
Masvingo,9900 ,4100 , 20 000,14 000 ,6200 , 27 000,20 000 ,9400 , 36 000,27 000 ,13 000 , 47 000,35 000 ,17 000 , 60 000,44 000 ,23 000 , 71 000,53 000 ,30 000 , 81 000,62 000 ,37 000 , 91 000,70 000 ,44 000 , 98 000,77 000 ,51 000 , 100 000,83 000 ,57 000 , 110 000,88 000 ,63 000 , 110 000,92 000 ,68 000 , 110 000,95 000 ,72 000 , 110 000,96 000 ,75 000 , 110 000,97 000 ,78 000 , 110 000,98 000 ,80 000 , 110 000,97 000 ,81 000 , 110 000,95 000 ,80 000 , 110 000,93 000 ,79 000 , 100 000,91 000 ,78 000 , 100 000,86 000 ,73 000 , 96 000,81 000 ,70 000 , 90 000,75 000 ,64 000 , 85 000,70 000 ,60 000 , 79 000,65 000 ,56 000 , 74 000,61 000 ,52 000 , 70 000,57 000 ,49 000 , 66 000,53 000 ,45 000 , 62 000,49 000 ,42 000 , 58 000
Matabeleland North,4900 ,1800 , 10 000,7400 ,3100 , 14 000,11 000 ,4900 , 20 000,15 000 ,7200 , 27 000,20 000 ,10 000 , 33 000,25 000 ,14 000 , 39 000,31 000 ,18 000 , 46 000,37 000 ,23 000 , 52 000,43 000 ,28 000 , 58 000,48 000 ,33 000 , 64 000,53 000 ,38 000 , 67 000,57 000 ,42 000 , 71 000,60 000 ,46 000 , 73 000,62 000 ,49 000 , 74 000,64 000 ,51 000 , 74 000,64 000 ,52 000 , 73 000,65 000 ,53 000 , 73 000,64 000 ,54 000 , 71 000,63 000 ,53 000 , 70 000,61 000 ,52 000 , 67 000,58 000 ,50 000 , 64 000,54 000 ,47 000 , 60 000,50 000 ,44 000 , 55 000,46 000 ,40 000 , 51 000,42 000 ,36 000 , 47 000,39 000 ,33 000 , 44 000,36 000 ,31 000 , 41 000,34 000 ,29 000 , 39 000,32 000 ,27 000 , 37 000,30 000 ,25 000 , 35 000
Matabeleland South,1600 ,<1000 , 3000,2500 ,<1000 , 4300,3700 ,1600 , 6500,5500 ,2600 , 9400,7900 ,3900 , 13 000,11 000 ,5500 , 17 000,15 000 ,7700 , 23 000,19 000 ,11 000 , 28 000,24 000 ,15 000 , 35 000,30 000 ,19 000 , 41 000,35 000 ,24 000 , 46 000,41 000 ,28 000 , 52 000,46 000 ,33 000 , 58 000,50 000 ,38 000 , 62 000,54 000 ,41 000 , 65 000,57 000 ,45 000 , 68 000,59 000 ,48 000 , 69 000,61 000 ,50 000 , 70 000,61 000 ,51 000 , 69 000,61 000 ,52 000 , 69 000,60 000 ,51 000 , 66 000,58 000 ,50 000 , 64 000,55 000 ,48 000 , 61 000,52 000 ,45 000 , 57 000,48 000 ,42 000 , 53 000,45 000 ,39 000 , 50 000,42 000 ,37 000 , 46 000,39 000 ,34 000 , 43 000,36 000 ,32 000 , 41 000,34 000 ,30 000 , 39 000
Midlands,8600 ,4100 , 15 000,13 000 ,6400 , 21 000,18 000 ,9500 , 28 000,25 000 ,14 000 , 38 000,33 000 ,19 000 , 48 000,42 000 ,25 000 , 61 000,52 000 ,31 000 , 72 000,61 000 ,38 000 , 83 000,71 000 ,47 000 , 93 000,80 000 ,55 000 , 100 000,88 000 ,63 000 , 110 000,94 000 ,71 000 , 120 000,99 000 ,77 000 , 120 000,100 000 ,82 000 , 120 000,110 000 ,86 000 , 120 000,110 000 ,88 000 , 120 000,110 000 ,90 000 , 120 000,100 000 ,89 000 , 120 000,100 000 ,88 000 , 120 000,100 000 ,87 000 , 110 000,96 000 ,84 000 , 110 000,91 000 ,79 000 , 100 000,85 000 ,75 000 , 96 000,80 000 ,70 000 , 89 000,74 000 ,65 000 , 84 000,69 000 ,60 000 , 78 000,65 000 ,57 000 , 74 000,61 000 ,53 000 , 73 000,58 000 ,50 000 , 70 000,56 000 ,48 000 , 68 000
