States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,<1000 ,<500 , 1300,1100 ,<1000 , 1700,1500 ,<1000 , 2200,1900 ,1200 , 2700,2400 ,1500 , 3400,3000 ,2000 , 4000,3500 ,2500 , 4700,4000 ,2900 , 5200,4400 ,3300 , 5500,4700 ,3700 , 5800,4900 ,4000 , 6000,5100 ,4200 , 6000,5100 ,4300 , 5900,5100 ,4300 , 5700,4800 ,4100 , 5300,3500 ,3000 , 3900,3500 ,3000 , 3900,3700 ,3200 , 4100,3400 ,3000 , 3700,2700 ,2400 , 2900,2000 ,1700 , 2200,1400 ,1200 , 1600,1200 ,<1000 , 1300,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Harare,3300 ,1500 , 5400,4800 ,2300 , 7500,6500 ,3400 , 9900,8500 ,4800 , 12 000,11 000 ,6500 , 14 000,13 000 ,8500 , 17 000,15 000 ,11 000 , 19 000,17 000 ,13 000 , 21 000,18 000 ,15 000 , 22 000,19 000 ,16 000 , 23 000,20 000 ,17 000 , 23 000,20 000 ,18 000 , 23 000,20 000 ,19 000 , 23 000,20 000 ,18 000 , 22 000,19 000 ,18 000 , 21 000,17 000 ,15 000 , 19 000,16 000 ,14 000 , 17 000,15 000 ,14 000 , 17 000,14 000 ,12 000 , 16 000,12 000 ,9900 , 13 000,9200 ,7600 , 11 000,6700 ,5400 , 8000,5400 ,4300 , 6600,4700 ,3800 , 5700,4000 ,3200 , 4900,3700 ,2900 , 4500,3500 ,2700 , 4300,3200 ,2500 , 4000,2800 ,2200 , 3500,2400 ,1900 , 3000
Manicaland,1000 ,<1000 , 1800,1500 ,<1000 , 2500,2100 ,1200 , 3300,2700 ,1600 , 4200,3500 ,2200 , 5100,4300 ,2900 , 6200,5200 ,3600 , 7200,6100 ,4300 , 7900,6800 ,5200 , 8600,7500 ,5900 , 9100,8000 ,6500 , 9400,8400 ,6900 , 9700,8600 ,7300 , 9700,8600 ,7400 , 9700,8600 ,7500 , 9500,8300 ,7300 , 9200,7600 ,6700 , 8400,6100 ,5200 , 6800,5100 ,4300 , 5800,4300 ,3600 , 4900,3400 ,2800 , 3900,2500 ,2100 , 2900,2000 ,1700 , 2400,1800 ,1400 , 2000,1600 ,1300 , 1900,1500 ,1200 , 1700,1500 ,1200 , 1800,1400 ,1100 , 1700,1400 ,1100 , 1800,1200 ,<1000 , 1500
Mashonaland Central,<1000 ,<500 , 1700,1200 ,<500 , 2300,1700 ,<1000 , 3000,2200 ,1100 , 3700,2800 ,1500 , 4400,3400 ,2100 , 4900,4000 ,2700 , 5400,4600 ,3300 , 5900,5100 ,3900 , 6300,5500 ,4300 , 6500,5700 ,4700 , 6600,5800 ,4900 , 6600,5800 ,5100 , 6500,5800 ,5100 , 6500,5600 ,5000 , 6200,5300 ,4600 , 5900,4700 ,4100 , 5300,3600 ,3000 , 4200,2900 ,2400 , 3500,2400 ,1900 , 2800,1800 ,1500 , 2200,1400 ,1100 , 1600,1100 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000
Mashonaland East,1000 ,<500 , 2000,1500 ,<1000 , 2700,2000 ,<1000 , 3500,2600 ,1300 , 4300,3400 ,1800 , 5300,4100 ,2400 , 6200,5000 ,3000 , 7200,5800 ,3800 , 8100,6600 ,4500 , 8900,7300 ,5200 , 9500,7900 ,5900 , 9900,8400 ,6600 , 10 000,8700 ,7100 , 10 000,8900 ,7500 , 10 000,9000 ,7800 , 10 000,8700 ,7600 , 9700,7500 ,6600 , 8400,6900 ,6100 , 7800,6100 ,5200 , 6800,5200 ,4400 , 5900,4200 ,3600 , 4800,3300 ,2800 , 3700,2800 ,2400 , 3200,2500 ,2100 , 2800,2300 ,1900 , 2600,2100 ,1700 , 2500,2100 ,1700 , 2500,2300 ,1800 , 2700,2300 ,1900 , 2700,2200 ,1700 , 2600
Mashonaland West,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1500,1300 ,<1000 , 2100,1900 ,1100 , 2900,2600 ,1600 , 3900,3400 ,2200 , 4900,4300 ,2900 , 6000,5200 ,3700 , 7000,6100 ,4400 , 7900,6900 ,5200 , 8700,7600 ,5900 , 9200,8100 ,6500 , 9500,8400 ,7000 , 9700,8600 ,7400 , 9700,8500 ,7400 , 9200,7700 ,6900 , 8400,6300 ,5700 , 6900,5300 ,4700 , 5900,4500 ,3800 , 5000,3500 ,2900 , 4000,2600 ,2200 , 3100,2100 ,1800 , 2500,1800 ,1500 , 2200,1600 ,1300 , 2000,1500 ,1200 , 1800,1500 ,1200 , 1800,1500 ,1200 , 1900,1600 ,1300 , 2100,1300 ,1000 , 1600
Masvingo,1100 ,<1000 , 2100,1500 ,<1000 , 2700,2100 ,1100 , 3400,2600 ,1400 , 4200,3200 ,1800 , 4800,3800 ,2400 , 5500,4500 ,3000 , 6100,5000 ,3500 , 6600,5600 ,4000 , 7000,6000 ,4400 , 7300,6300 ,4800 , 7400,6500 ,5200 , 7500,6500 ,5400 , 7400,6500 ,5500 , 7300,6500 ,5500 , 7100,6200 ,5500 , 6900,5600 ,5000 , 6300,4200 ,3700 , 4800,3400 ,3000 , 3900,2800 ,2400 , 3300,2300 ,1900 , 2700,1800 ,1600 , 2100,1500 ,1300 , 1800,1400 ,1100 , 1600,1300 ,1100 , 1500,1200 ,<1000 , 1400,1200 ,<1000 , 1400,1300 ,1100 , 1500,1300 ,1000 , 1500,1200 ,<1000 , 1400
Matabeleland North,<1000 ,<500 , 1200,<1000 ,<500 , 1700,1300 ,<1000 , 2000,1600 ,<1000 , 2600,2000 ,1200 , 3100,2400 ,1600 , 3600,2900 ,1900 , 3900,3200 ,2300 , 4200,3600 ,2600 , 4500,3900 ,3000 , 4700,4100 ,3300 , 4900,4200 ,3500 , 4900,4300 ,3600 , 4900,4300 ,3700 , 4900,4300 ,3700 , 4800,4100 ,3600 , 4500,3700 ,3300 , 4100,2900 ,2500 , 3200,2400 ,2100 , 2700,2000 ,1700 , 2200,1600 ,1400 , 1800,1300 ,1100 , 1500,1100 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000
Matabeleland South,<500 ,<200 , <500,<500 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1200,1100 ,<1000 , 1700,1500 ,<1000 , 2200,1900 ,1200 , 2700,2400 ,1600 , 3300,2800 ,2000 , 3800,3300 ,2400 , 4300,3700 ,2700 , 4700,4000 ,3100 , 4900,4300 ,3400 , 5100,4400 ,3600 , 5100,4500 ,3800 , 5100,4400 ,3800 , 5000,4300 ,3700 , 4700,3100 ,2700 , 3500,2600 ,2300 , 2900,2200 ,1900 , 2500,1800 ,1600 , 2100,1500 ,1300 , 1700,1300 ,1100 , 1400,1100 ,<1000 , 1300,1100 ,<1000 , 1200,1000 ,<1000 , 1200,1000 ,<1000 , 1200,1100 ,<1000 , 1300,1100 ,<1000 , 1400,1000 ,<1000 , 1300
Midlands,1200 ,<1000 , 1800,1700 ,<1000 , 2400,2300 ,1300 , 3200,2900 ,1700 , 4100,3700 ,2300 , 5000,4500 ,3000 , 5900,5300 ,3700 , 6800,6000 ,4400 , 7600,6700 ,5100 , 8300,7300 ,5800 , 8800,7700 ,6300 , 9000,7900 ,6600 , 9200,7900 ,6700 , 9100,7900 ,6800 , 9000,7700 ,6800 , 8700,7300 ,6500 , 8200,6100 ,5500 , 6800,4800 ,4300 , 5400,3900 ,3500 , 4400,3200 ,2800 , 3700,2600 ,2300 , 3000,2100 ,1800 , 2500,1900 ,1600 , 2200,1700 ,1500 , 2000,1600 ,1400 , 1900,1600 ,1300 , 1900,1600 ,1400 , 1900,1700 ,1400 , 2000,1700 ,1400 , 2100,1600 ,1300 , 2000
National,11 000 ,8500,13 000,15 000 ,12 000,19 000,21 000 ,17 000,25 000,27 000 ,22 000,33 000,35 000 ,28 000,42 000,42 000 ,34 000,52 000,50 000 ,41 000,62 000,58 000 ,47 000,71 000,65 000 ,53 000,80 000,71 000 ,57 000,87 000,75 000 ,61 000,92 000,78 000 ,63 000,96 000,80 000 ,64 000,98 000,80 000 ,65 000,98 000,79 000 ,64 000,97 000,73 000 ,59 000,90 000,66 000 ,54 000,81 000,57 000 ,46 000,70 000,49 000 ,39 000,60 000,41 000 ,33 000,50 000,32 000 ,26 000,40 000,25 000 ,20 000,30 000,20 000 ,16 000,25 000,18 000 ,14 000,22 000,16 000 ,13 000,20 000,15 000 ,12 000,19 000,15 000 ,12 000,18 000,15 000 ,12 000,18 000,15 000 ,12 000,18 000,13 000 ,11 000,16 000
