States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,1500 ,<1000 , 2400,2000 ,1300 , 3200,2700 ,1800 , 4100,3400 ,2200 , 5000,4200 ,2800 , 5900,4900 ,3500 , 6800,5700 ,4100 , 7500,6300 ,4700 , 8200,6900 ,5300 , 8600,7300 ,5800 , 8900,7600 ,6100 , 8900,7800 ,6400 , 8900,7800 ,6600 , 8800,7700 ,6700 , 8700,7300 ,6300 , 8100,5400 ,4600 , 6000,5300 ,4600 , 5900,5600 ,4900 , 6100,5100 ,4500 , 5600,4000 ,3500 , 4500,3000 ,2600 , 3400,2300 ,2000 , 2500,1800 ,1500 , 2000,1500 ,1200 , 1700,1300 ,1100 , 1600,1200 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1400,1200 ,<1000 , 1500,1000 ,<1000 , 1300
Harare,6400 ,3500 , 9900,8800 ,5100 , 13 000,11 000 ,7000 , 17 000,14 000 ,9200 , 21 000,17 000 ,12 000 , 24 000,21 000 ,15 000 , 27 000,24 000 ,18 000 , 30 000,26 000 ,21 000 , 33 000,28 000 ,23 000 , 34 000,30 000 ,25 000 , 35 000,31 000 ,26 000 , 35 000,31 000 ,27 000 , 34 000,30 000 ,27 000 , 33 000,30 000 ,27 000 , 32 000,28 000 ,25 000 , 31 000,25 000 ,22 000 , 27 000,23 000 ,20 000 , 25 000,22 000 ,19 000 , 24 000,19 000 ,16 000 , 22 000,16 000 ,14 000 , 19 000,13 000 ,11 000 , 15 000,9700 ,7800 , 12 000,7800 ,6200 , 9500,6700 ,5300 , 8200,5900 ,4700 , 7100,5400 ,4300 , 6700,5200 ,4100 , 6500,4900 ,3900 , 6200,4300 ,3400 , 5300,3700 ,3000 , 4700
Manicaland,2300 ,1400 , 3500,3100 ,2000 , 4800,4000 ,2600 , 5900,5000 ,3300 , 7200,6100 ,4100 , 8500,7200 ,5200 , 9700,8400 ,6300 , 11 000,9500 ,7300 , 12 000,11 000 ,8300 , 13 000,11 000 ,9200 , 13 000,12 000 ,10 000 , 14 000,12 000 ,10 000 , 14 000,13 000 ,11 000 , 14 000,13 000 ,11 000 , 14 000,13 000 ,11 000 , 14 000,12 000 ,11 000 , 13 000,11 000 ,9900 , 12 000,9200 ,8000 , 10 000,8000 ,6800 , 9000,6800 ,5600 , 7700,5500 ,4600 , 6300,4300 ,3600 , 5000,3400 ,2800 , 4000,2900 ,2300 , 3300,2500 ,2100 , 3000,2300 ,1900 , 2800,2300 ,1900 , 2700,2200 ,1800 , 2600,2100 ,1700 , 2600,1800 ,1500 , 2300
Mashonaland Central,1800 ,<1000 , 3300,2400 ,1200 , 4200,3100 ,1700 , 5200,3900 ,2400 , 6000,4800 ,3100 , 6900,5600 ,3900 , 7700,6400 ,4700 , 8400,7200 ,5500 , 8900,7800 ,6200 , 9300,8300 ,6700 , 9600,8500 ,7100 , 9700,8600 ,7400 , 9800,8600 ,7500 , 9700,8500 ,7400 , 9500,8200 ,7200 , 9100,7800 ,6700 , 8600,7000 ,6000 , 7900,5600 ,4700 , 6500,4700 ,3900 , 5600,3900 ,3100 , 4700,3100 ,2600 , 3800,2400 ,2000 , 2900,1900 ,1500 , 2300,1600 ,1300 , 2000,1400 ,1200 , 1800,1300 ,1100 , 1700,1300 ,1000 , 1700,1300 ,1000 , 1700,1200 ,<1000 , 1500,1000 ,<1000 , 1300
Mashonaland East,2200 ,1200 , 3900,3000 ,1700 , 5000,3900 ,2300 , 6200,4900 ,3000 , 7500,5900 ,3800 , 8700,7100 ,4600 , 9900,8200 ,5500 , 11 000,9200 ,6400 , 12 000,10 000 ,7500 , 13 000,11 000 ,8500 , 14 000,12 000 ,9400 , 14 000,12 000 ,10 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 14 000,11 000 ,9700 , 12 000,10 000 ,9100 , 12 000,9200 ,8100 , 10 000,8100 ,7000 , 9100,6800 ,5800 , 7700,5400 ,4600 , 6200,4600 ,3800 , 5300,4000 ,3300 , 4800,3700 ,3000 , 4400,3500 ,2800 , 4200,3500 ,2800 , 4200,3700 ,2900 , 4500,3700 ,3000 , 4400,3500 ,2800 , 4200
Mashonaland West,<1000 ,<1000 , 1400,1500 ,<1000 , 2200,2200 ,1500 , 3300,3100 ,2100 , 4500,4100 ,2900 , 5900,5200 ,3800 , 7400,6400 ,4700 , 8800,7700 ,5800 , 10 000,8900 ,6800 , 11 000,10 000 ,7900 , 13 000,11 000 ,8900 , 14 000,12 000 ,9700 , 14 000,13 000 ,10 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 14 000,12 000 ,11 000 , 13 000,9800 ,9000 , 11 000,8400 ,7500 , 9300,7200 ,6300 , 8200,5900 ,5000 , 6800,4600 ,3900 , 5400,3600 ,3000 , 4300,3000 ,2500 , 3600,2700 ,2200 , 3300,2500 ,2100 , 3100,2300 ,1900 , 2900,2300 ,1900 , 2900,2300 ,1900 , 3000,1900 ,1600 , 2400
Masvingo,2400 ,1400 , 4100,3000 ,1800 , 4900,3800 ,2300 , 5800,4600 ,2900 , 6800,5300 ,3500 , 7600,6100 ,4100 , 8400,6900 ,4800 , 9100,7600 ,5400 , 9700,8200 ,6100 , 10 000,8700 ,6700 , 10 000,9100 ,7200 , 11 000,9400 ,7700 , 11 000,9600 ,8100 , 11 000,9700 ,8300 , 11 000,9600 ,8400 , 11 000,9400 ,8300 , 10 000,8700 ,7700 , 9600,6800 ,6000 , 7700,5700 ,5000 , 6500,4800 ,4200 , 5600,4000 ,3400 , 4700,3200 ,2800 , 3800,2600 ,2200 , 3100,2200 ,1800 , 2600,2000 ,1700 , 2400,1900 ,1600 , 2200,1800 ,1500 , 2200,1900 ,1600 , 2300,1800 ,1500 , 2200,1800 ,1500 , 2200
Matabeleland North,1500 ,<1000 , 2400,2000 ,1200 , 3000,2500 ,1600 , 3700,3100 ,2000 , 4300,3600 ,2500 , 5000,4100 ,2900 , 5600,4600 ,3300 , 6100,5100 ,3800 , 6500,5400 ,4200 , 6700,5700 ,4600 , 6900,6000 ,4900 , 7000,6200 ,5100 , 7100,6300 ,5300 , 7000,6300 ,5500 , 7000,6300 ,5500 , 6900,6000 ,5400 , 6600,5600 ,5100 , 6100,4500 ,4000 , 5000,3900 ,3400 , 4300,3300 ,2800 , 3700,2700 ,2400 , 3100,2200 ,1900 , 2500,1800 ,1500 , 2100,1500 ,1300 , 1800,1400 ,1200 , 1700,1400 ,1200 , 1700,1400 ,1100 , 1700,1400 ,1100 , 1700,1300 ,1100 , 1600,1300 ,1000 , 1600
Matabeleland South,<1000 ,<500 , <1000,<1000 ,<1000 , 1300,1200 ,<1000 , 1800,1600 ,1100 , 2300,2100 ,1400 , 3000,2700 ,1800 , 3600,3300 ,2400 , 4400,3900 ,2900 , 5200,4600 ,3400 , 5900,5100 ,4000 , 6600,5600 ,4500 , 7000,6000 ,4800 , 7200,6300 ,5200 , 7400,6500 ,5500 , 7500,6600 ,5700 , 7500,6500 ,5800 , 7300,6400 ,5700 , 7000,4900 ,4400 , 5500,4200 ,3700 , 4700,3600 ,3200 , 4100,3100 ,2700 , 3500,2500 ,2200 , 2800,2100 ,1800 , 2300,1800 ,1600 , 2100,1700 ,1400 , 1900,1600 ,1300 , 1900,1600 ,1300 , 1900,1600 ,1300 , 1900,1600 ,1300 , 1900,1500 ,1300 , 1800
Midlands,2500 ,1700 , 3600,3300 ,2200 , 4600,4200 ,2900 , 5700,5200 ,3700 , 6900,6200 ,4500 , 8100,7200 ,5500 , 9300,8300 ,6400 , 10 000,9200 ,7300 , 11 000,10 000 ,8200 , 12 000,11 000 ,8900 , 13 000,11 000 ,9400 , 13 000,12 000 ,9800 , 13 000,12 000 ,10 000 , 13 000,12 000 ,10 000 , 13 000,11 000 ,10 000 , 13 000,11 000 ,9800 , 12 000,9400 ,8400 , 10 000,7700 ,6900 , 8700,6400 ,5600 , 7300,5300 ,4600 , 6100,4400 ,3800 , 5100,3600 ,3200 , 4200,3000 ,2600 , 3500,2700 ,2300 , 3200,2600 ,2200 , 3000,2500 ,2100 , 3000,2500 ,2100 , 3000,2600 ,2200 , 3200,2600 ,2100 , 3100,2500 ,2100 , 3000
