States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,<1000 ,<500 , <1000,<1000 ,<1000 , 1200,1100 ,<1000 , 1600,1500 ,<1000 , 2000,1800 ,1200 , 2500,2200 ,1600 , 3000,2600 ,1900 , 3400,2900 ,2200 , 3800,3200 ,2400 , 4100,3500 ,2700 , 4300,3700 ,3000 , 4500,3900 ,3100 , 4500,3900 ,3300 , 4500,4000 ,3400 , 4400,3700 ,3300 , 4200,2800 ,2300 , 3100,2600 ,2200 , 2900,2800 ,2400 , 3100,2800 ,2500 , 3100,2200 ,1900 , 2400,1600 ,1400 , 1800,1100 ,<1000 , 1300,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Harare,2700 ,1500 , 4100,3800 ,2100 , 5500,5000 ,3100 , 7200,6400 ,4100 , 9000,8000 ,5400 , 11 000,9600 ,6900 , 13 000,11 000 ,8500 , 14 000,13 000 ,10 000 , 16 000,14 000 ,11 000 , 17 000,15 000 ,13 000 , 17 000,16 000 ,13 000 , 18 000,16 000 ,14 000 , 18 000,16 000 ,14 000 , 17 000,16 000 ,14 000 , 17 000,15 000 ,14 000 , 16 000,13 000 ,12 000 , 15 000,12 000 ,11 000 , 14 000,12 000 ,11 000 , 13 000,11 000 ,9200 , 12 000,9000 ,7600 , 10 000,7100 ,5900 , 8300,4900 ,3900 , 5900,3700 ,2900 , 4600,3100 ,2400 , 4000,3000 ,2300 , 3800,2800 ,2100 , 3600,2700 ,2100 , 3400,2600 ,2000 , 3300,2200 ,1700 , 2900,2000 ,1600 , 2500
Manicaland,<1000 ,<1000 , 1500,1300 ,<1000 , 2000,1800 ,1200 , 2500,2200 ,1500 , 3200,2800 ,1900 , 3900,3300 ,2400 , 4500,3900 ,2900 , 5200,4500 ,3500 , 5900,5100 ,4000 , 6400,5600 ,4500 , 6800,6000 ,4900 , 7100,6300 ,5200 , 7300,6500 ,5500 , 7400,6600 ,5700 , 7400,6600 ,5800 , 7300,6500 ,5700 , 7100,6000 ,5300 , 6600,4900 ,4300 , 5400,4300 ,3600 , 4800,3700 ,3100 , 4200,3000 ,2500 , 3500,2300 ,1900 , 2600,1700 ,1400 , 2000,1400 ,1100 , 1600,1200 ,1000 , 1500,1200 ,<1000 , 1500,1200 ,<1000 , 1400,1100 ,<1000 , 1400,1100 ,<1000 , 1300,<1000 ,<1000 , 1200
Mashonaland Central,<1000 ,<500 , 1400,1100 ,<1000 , 1800,1400 ,<1000 , 2300,1800 ,1100 , 2800,2200 ,1500 , 3200,2600 ,1800 , 3600,3100 ,2200 , 4100,3500 ,2600 , 4400,3800 ,3000 , 4700,4100 ,3300 , 4900,4300 ,3600 , 5000,4400 ,3700 , 5000,4400 ,3800 , 5000,4400 ,3900 , 5000,4300 ,3800 , 4800,4100 ,3600 , 4500,3700 ,3200 , 4100,3000 ,2500 , 3400,2500 ,2100 , 3000,2100 ,1700 , 2500,1700 ,1300 , 2000,1200 ,1000 , 1500,<1000 ,<1000 , 1200,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Mashonaland East,<1000 ,<1000 , 1700,1300 ,<1000 , 2200,1700 ,1000 , 2800,2200 ,1300 , 3500,2800 ,1700 , 4100,3300 ,2200 , 4800,3900 ,2700 , 5300,4500 ,3200 , 6000,5000 ,3800 , 6500,5500 ,4300 , 7000,6000 ,4700 , 7400,6300 ,5100 , 7600,6600 ,5500 , 7800,6800 ,5800 , 7900,6900 ,5900 , 7800,6700 ,5900 , 7600,5800 ,5100 , 6600,5500 ,4900 , 6200,4900 ,4300 , 5500,4300 ,3700 , 4900,3600 ,3100 , 4100,2700 ,2300 , 3100,2200 ,1800 , 2600,1900 ,1500 , 2200,1800 ,1500 , 2200,1800 ,1500 , 2200,1700 ,1400 , 2100,1800 ,1400 , 2200,1900 ,1500 , 2200,1700 ,1300 , 2100
Mashonaland West,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1400,1400 ,<1000 , 2000,1800 ,1300 , 2600,2400 ,1700 , 3300,3000 ,2200 , 4100,3600 ,2700 , 4700,4200 ,3200 , 5400,4800 ,3700 , 6000,5300 ,4100 , 6600,5800 ,4600 , 7000,6200 ,5100 , 7300,6500 ,5400 , 7400,6600 ,5700 , 7400,6500 ,5700 , 7200,6000 ,5400 , 6500,5100 ,4600 , 5500,4400 ,3800 , 4800,3800 ,3300 , 4300,3100 ,2600 , 3600,2300 ,1900 , 2700,1700 ,1400 , 2100,1400 ,1100 , 1700,1300 ,1000 , 1600,1300 ,1000 , 1600,1200 ,<1000 , 1500,1200 ,<1000 , 1500,1200 ,<1000 , 1500,<1000 ,<1000 , 1200
Masvingo,<1000 ,<1000 , 1700,1300 ,<1000 , 2000,1700 ,1000 , 2500,2000 ,1300 , 3000,2400 ,1500 , 3500,2800 ,1900 , 4000,3200 ,2200 , 4400,3600 ,2600 , 4700,4000 ,2900 , 5000,4300 ,3200 , 5200,4600 ,3600 , 5500,4800 ,3800 , 5600,5000 ,4100 , 5700,5100 ,4300 , 5700,5100 ,4400 , 5700,5000 ,4400 , 5600,4700 ,4100 , 5200,3600 ,3200 , 4200,3100 ,2700 , 3600,2600 ,2300 , 3100,2200 ,1900 , 2600,1700 ,1500 , 2100,1400 ,1200 , 1600,1100 ,<1000 , 1400,1000 ,<1000 , 1200,1100 ,<1000 , 1300,<1000 ,<1000 , 1100,1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200
Matabeleland North,<1000 ,<500 , 1100,<1000 ,<1000 , 1400,1200 ,<1000 , 1700,1400 ,<1000 , 2100,1700 ,1200 , 2400,2000 ,1400 , 2700,2200 ,1600 , 3000,2500 ,1800 , 3200,2700 ,2100 , 3400,2900 ,2300 , 3600,3100 ,2500 , 3700,3200 ,2600 , 3800,3300 ,2800 , 3800,3400 ,2800 , 3800,3400 ,2900 , 3800,3300 ,2900 , 3600,3000 ,2700 , 3300,2500 ,2200 , 2700,2100 ,1800 , 2400,1800 ,1500 , 2100,1500 ,1300 , 1800,1200 ,1000 , 1400,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Matabeleland South,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1300,1200 ,<1000 , 1700,1500 ,1100 , 2100,1800 ,1300 , 2400,2100 ,1600 , 2800,2400 ,1800 , 3200,2700 ,2100 , 3400,2900 ,2300 , 3600,3100 ,2500 , 3700,3200 ,2700 , 3800,3300 ,2800 , 3800,3300 ,2800 , 3700,3300 ,2800 , 3600,2500 ,2200 , 2700,2100 ,1800 , 2300,1800 ,1600 , 2100,1500 ,1300 , 1800,1200 ,1100 , 1400,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Midlands,1100 ,<1000 , 1500,1400 ,<1000 , 1900,1800 ,1300 , 2500,2300 ,1700 , 3100,2800 ,2100 , 3600,3300 ,2500 , 4300,3800 ,2900 , 4900,4400 ,3400 , 5400,4800 ,3900 , 5900,5300 ,4300 , 6400,5600 ,4600 , 6600,5800 ,4800 , 6800,6000 ,5000 , 6900,6100 ,5200 , 6900,6000 ,5300 , 6800,5800 ,5200 , 6500,5000 ,4500 , 5600,4200 ,3800 , 4700,3500 ,3100 , 4000,3000 ,2500 , 3300,2400 ,2000 , 2800,1900 ,1600 , 2200,1600 ,1300 , 1800,1300 ,1100 , 1600,1300 ,1000 , 1500,1300 ,1100 , 1600,1300 ,1100 , 1600,1300 ,1100 , 1600,1300 ,1100 , 1600,1300 ,1000 , 1500
