States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,<1000 ,<1000 , 1500,1200 ,<1000 , 2100,1600 ,<1000 , 2500,2000 ,1300 , 2900,2400 ,1600 , 3400,2700 ,2000 , 3900,3100 ,2300 , 4300,3400 ,2600 , 4600,3700 ,2900 , 4700,3800 ,3000 , 4700,3900 ,3100 , 4600,3900 ,3300 , 4500,3900 ,3300 , 4400,3800 ,3300 , 4200,3500 ,3100 , 3900,2700 ,2300 , 3000,2700 ,2300 , 3000,2800 ,2500 , 3100,2400 ,2100 , 2600,1900 ,1600 , 2100,1400 ,1200 , 1700,1100 ,<1000 , 1300,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000
Harare,3700 ,2100 , 5800,5000 ,3000 , 7700,6400 ,4000 , 9700,7900 ,5200 , 12 000,9500 ,6500 , 13 000,11 000 ,7800 , 15 000,12 000 ,9200 , 16 000,14 000 ,11 000 , 18 000,14 000 ,12 000 , 18 000,15 000 ,12 000 , 18 000,15 000 ,13 000 , 17 000,15 000 ,13 000 , 17 000,14 000 ,13 000 , 16 000,14 000 ,12 000 , 15 000,13 000 ,12 000 , 14 000,11 000 ,10 000 , 13 000,10 000 ,8900 , 11 000,9700 ,8400 , 11 000,8800 ,7400 , 10 000,7300 ,6000 , 8400,5900 ,4700 , 7000,4800 ,3900 , 5800,4100 ,3300 , 5000,3600 ,2800 , 4300,2800 ,2300 , 3400,2600 ,2000 , 3100,2500 ,2000 , 3000,2300 ,1800 , 2900,2000 ,1600 , 2500,1700 ,1400 , 2100
Manicaland,1300 ,<1000 , 2100,1800 ,1100 , 2900,2200 ,1400 , 3500,2800 ,1800 , 4200,3300 ,2300 , 4900,3900 ,2800 , 5500,4500 ,3300 , 6000,5000 ,3800 , 6300,5400 ,4300 , 6700,5800 ,4700 , 6900,6000 ,5000 , 7000,6100 ,5200 , 7000,6100 ,5300 , 6900,6000 ,5300 , 6800,5900 ,5200 , 6600,5600 ,4900 , 6300,5200 ,4600 , 5800,4300 ,3700 , 4800,3700 ,3100 , 4200,3100 ,2600 , 3500,2500 ,2100 , 2900,2100 ,1700 , 2400,1700 ,1400 , 2000,1500 ,1200 , 1700,1300 ,1000 , 1500,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1000 ,<1000 , 1300,1000 ,<1000 , 1300,<1000 ,<1000 , 1100
Mashonaland Central,<1000 ,<500 , 1900,1300 ,<1000 , 2400,1700 ,<1000 , 2900,2100 ,1300 , 3400,2500 ,1600 , 3700,3000 ,2000 , 4100,3400 ,2400 , 4300,3700 ,2800 , 4600,4000 ,3100 , 4800,4100 ,3400 , 4800,4200 ,3600 , 4800,4200 ,3700 , 4800,4200 ,3700 , 4700,4000 ,3500 , 4600,3900 ,3400 , 4400,3600 ,3100 , 4100,3300 ,2800 , 3800,2600 ,2200 , 3100,2200 ,1800 , 2600,1800 ,1500 , 2200,1400 ,1200 , 1700,1100 ,<1000 , 1400,<1000 ,<1000 , 1200,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000
Mashonaland East,1300 ,<1000 , 2300,1700 ,<1000 , 2900,2100 ,1200 , 3600,2700 ,1600 , 4200,3200 ,2000 , 4800,3700 ,2500 , 5400,4300 ,2900 , 5900,4800 ,3300 , 6400,5200 ,3800 , 6700,5600 ,4200 , 6900,5800 ,4600 , 7000,6000 ,4900 , 7100,6100 ,5200 , 7000,6200 ,5400 , 7000,6100 ,5400 , 6900,5900 ,5300 , 6600,5300 ,4700 , 5900,4800 ,4200 , 5400,4300 ,3600 , 4900,3700 ,3200 , 4200,3200 ,2600 , 3600,2700 ,2200 , 3100,2400 ,1900 , 2700,2100 ,1800 , 2500,1900 ,1600 , 2200,1700 ,1400 , 2000,1800 ,1400 , 2100,1900 ,1500 , 2200,1900 ,1500 , 2200,1800 ,1400 , 2100
Mashonaland West,<1000 ,<500 , <1000,<1000 ,<500 , 1300,1200 ,<1000 , 1800,1700 ,1200 , 2500,2200 ,1500 , 3200,2800 ,2000 , 4100,3500 ,2500 , 4900,4100 ,3000 , 5700,4700 ,3600 , 6300,5300 ,4100 , 6800,5700 ,4600 , 7100,6100 ,5000 , 7400,6300 ,5300 , 7400,6400 ,5500 , 7400,6300 ,5600 , 7100,6200 ,5600 , 6800,5700 ,5200 , 6200,4800 ,4300 , 5200,4100 ,3600 , 4600,3500 ,3000 , 3900,2800 ,2400 , 3300,2300 ,1900 , 2700,1900 ,1600 , 2200,1600 ,1300 , 1900,1400 ,1200 , 1800,1200 ,1000 , 1500,1200 ,<1000 , 1400,1100 ,<1000 , 1300,1200 ,<1000 , 1500,<1000 ,<1000 , 1200
Masvingo,1400 ,<1000 , 2300,1700 ,1000 , 2900,2100 ,1300 , 3400,2500 ,1600 , 3900,2900 ,1900 , 4200,3300 ,2200 , 4600,3700 ,2600 , 4900,4000 ,2900 , 5100,4200 ,3100 , 5200,4400 ,3400 , 5200,4500 ,3700 , 5300,4600 ,3800 , 5200,4600 ,3900 , 5200,4600 ,3900 , 5100,4500 ,4000 , 5000,4300 ,3800 , 4800,4000 ,3600 , 4400,3200 ,2800 , 3600,2600 ,2300 , 3000,2200 ,1900 , 2600,1800 ,1500 , 2100,1500 ,1300 , 1800,1200 ,1000 , 1500,1100 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000
Matabeleland North,<1000 ,<500 , 1300,1100 ,<1000 , 1700,1400 ,<1000 , 2000,1700 ,1100 , 2400,1900 ,1300 , 2600,2200 ,1500 , 2900,2400 ,1700 , 3100,2600 ,1900 , 3200,2700 ,2100 , 3300,2800 ,2300 , 3400,2900 ,2400 , 3400,2900 ,2500 , 3400,2900 ,2600 , 3300,2900 ,2600 , 3300,2900 ,2500 , 3200,2800 ,2500 , 3000,2600 ,2300 , 2800,2000 ,1800 , 2300,1700 ,1500 , 2000,1500 ,1300 , 1700,1200 ,1000 , 1400,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000
Matabeleland South,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1300,1200 ,<1000 , 1600,1500 ,<1000 , 2000,1800 ,1300 , 2400,2100 ,1600 , 2800,2400 ,1800 , 3100,2700 ,2100 , 3400,2900 ,2400 , 3600,3100 ,2600 , 3700,3200 ,2700 , 3700,3300 ,2800 , 3700,3300 ,2800 , 3700,3200 ,2800 , 3600,3100 ,2800 , 3400,2500 ,2200 , 2700,2100 ,1800 , 2300,1800 ,1600 , 2100,1500 ,1300 , 1700,1300 ,1100 , 1400,1100 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000
Midlands,1500 ,<1000 , 2100,1900 ,1300 , 2700,2400 ,1600 , 3300,2900 ,2000 , 3900,3400 ,2400 , 4500,3900 ,2900 , 5000,4400 ,3300 , 5600,4900 ,3800 , 6000,5200 ,4200 , 6300,5500 ,4600 , 6500,5600 ,4800 , 6700,5700 ,4900 , 6600,5600 ,5000 , 6500,5500 ,4900 , 6200,5300 ,4800 , 6000,5000 ,4500 , 5600,4400 ,3900 , 4900,3500 ,3100 , 4000,2900 ,2500 , 3300,2300 ,2000 , 2700,2000 ,1700 , 2300,1700 ,1500 , 2000,1500 ,1300 , 1700,1400 ,1200 , 1600,1300 ,1100 , 1500,1200 ,<1000 , 1400,1200 ,1000 , 1500,1300 ,1100 , 1500,1300 ,1000 , 1500,1200 ,1000 , 1500
