States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,46.62 ,35.50 , 62.24,48.94 ,38.05 , 64.81,46.86 ,37.54 , 60.04,43.46 ,33.91 , 55.10,37.70 ,29.35 , 46.83,32.28 ,24.63 , 39.36,27.63 ,21.06 , 33.10,23.96 ,18.50 , 28.50,21.42 ,17.29 , 24.87,20.18 ,17.07 , 22.78,17.61 ,15.22 , 19.57,16.26 ,14.33 , 17.94,15.61 ,13.93 , 17.29,14.89 ,13.31 , 16.47,13.83 ,12.33 , 15.37,12.74 ,11.28 , 14.23,12.15 ,10.58 , 13.65,11.78 ,10.08 , 13.28,11.98 ,10.37 , 13.76,11.74 ,10.12 , 13.70,10.93 ,9.40 , 12.87,9.88 ,8.42 , 11.40,8.85 ,7.39 , 10.22,8.18 ,6.56 , 9.75,7.36 ,5.69 , 8.92,6.55 ,4.84 , 8.16,5.98 ,4.28 , 7.80,5.81 ,4.11 , 7.72,5.29 ,3.62 , 7.25,5.35 ,3.55 , 7.50
Harare,70.42 ,56.05 , 88.83,73.37 ,60.67 , 89.17,67.77 ,56.24 , 82.83,55.85 ,47.17 , 67.77,45.58 ,38.37 , 55.70,35.41 ,29.66 , 42.23,27.95 ,22.90 , 33.12,22.10 ,18.41 , 26.20,18.65 ,15.72 , 21.84,15.98 ,13.66 , 18.34,13.62 ,11.88 , 15.49,12.48 ,11.11 , 14.03,11.38 ,10.23 , 12.66,10.44 ,9.41 , 11.71,9.95 ,8.97 , 11.27,9.23 ,8.28 , 10.52,8.56 ,7.61 , 9.78,8.02 ,7.08 , 9.20,7.71 ,6.67 , 8.91,7.36 ,6.26 , 8.48,7.18 ,5.98 , 8.39,6.50 ,5.33 , 7.65,5.92 ,4.84 , 7.14,5.47 ,4.45 , 6.69,5.00 ,3.90 , 6.25,4.59 ,3.44 , 5.90,4.22 ,3.09 , 5.35,3.68 ,2.63 , 4.80,3.20 ,2.22 , 4.25,3.13 ,2.12 , 4.26
Manicaland,40.20 ,31.25 , 51.21,43.44 ,34.72 , 54.67,42.38 ,34.34 , 51.55,41.53 ,33.85 , 50.31,37.83 ,30.36 , 45.66,33.26 ,26.55 , 39.65,29.18 ,23.35 , 34.86,25.14 ,19.86 , 29.59,22.08 ,17.57 , 25.72,19.25 ,15.80 , 22.31,16.82 ,14.17 , 19.11,15.21 ,13.09 , 17.36,13.56 ,11.99 , 15.31,12.17 ,10.79 , 13.76,11.21 ,9.87 , 12.71,10.19 ,8.87 , 11.56,9.45 ,8.22 , 10.77,8.79 ,7.59 , 10.07,8.44 ,7.16 , 9.74,7.82 ,6.66 , 9.05,7.91 ,6.67 , 9.28,7.19 ,5.99 , 8.54,6.56 ,5.32 , 7.87,6.08 ,4.87 , 7.59,5.57 ,4.42 , 7.23,5.09 ,3.87 , 6.81,4.53 ,3.31 , 6.33,4.05 ,2.82 , 6.05,3.51 ,2.32 , 5.55,3.54 ,2.31 , 5.67
Mashonaland Central,60.37 ,46.56 , 76.58,61.16 ,48.12 , 74.73,56.67 ,44.29 , 71.50,50.62 ,39.62 , 65.45,42.71 ,32.79 , 55.21,35.18 ,27.22 , 45.16,28.59 ,22.36 , 35.67,24.04 ,19.09 , 28.76,20.23 ,16.34 , 24.10,17.43 ,14.44 , 20.79,15.74 ,13.50 , 18.58,14.08 ,12.25 , 16.48,12.99 ,11.24 , 15.16,12.09 ,10.32 , 13.93,11.41 ,9.67 , 13.36,10.99 ,9.26 , 12.96,10.26 ,8.60 , 12.15,9.71 ,8.13 , 11.52,9.03 ,7.61 , 10.85,8.41 ,7.12 , 10.33,7.74 ,6.39 , 9.86,6.92 ,5.64 , 8.70,6.16 ,4.85 , 7.79,5.62 ,4.27 , 7.14,4.95 ,3.61 , 6.49,4.32 ,3.00 , 5.90,3.56 ,2.35 , 4.97,2.85 ,1.94 , 4.02,2.53 ,1.76 , 3.60,2.48 ,1.67 , 3.71
Mashonaland East,35.26 ,24.44 , 48.25,38.37 ,28.11 , 49.15,38.32 ,30.25 , 49.06,37.23 ,30.20 , 46.67,35.00 ,28.62 , 43.16,32.46 ,26.71 , 40.64,29.73 ,24.11 , 36.59,26.35 ,21.11 , 31.82,23.43 ,19.09 , 27.67,21.70 ,18.11 , 25.15,19.83 ,16.73 , 22.62,18.35 ,15.69 , 20.73,17.11 ,14.89 , 19.27,15.83 ,13.88 , 17.59,14.86 ,13.15 , 16.56,13.88 ,12.41 , 15.67,13.28 ,11.76 , 14.97,12.27 ,10.77 , 13.95,11.89 ,10.41 , 13.49,11.72 ,10.26 , 13.37,11.04 ,9.51 , 12.80,10.15 ,8.68 , 11.81,9.36 ,7.98 , 11.04,8.80 ,7.49 , 10.56,8.21 ,6.74 , 10.03,7.66 ,6.16 , 9.59,7.32 ,5.75 , 9.37,7.08 ,5.51 , 9.11,6.29 ,4.75 , 8.38,6.13 ,4.46 , 8.74
Mashonaland West,28.52 ,21.83 , 40.64,37.70 ,29.55 , 51.23,46.29 ,37.08 , 60.32,52.56 ,43.55 , 66.42,53.26 ,45.25 , 65.45,47.48 ,40.11 , 55.97,41.61 ,34.22 , 48.42,34.41 ,28.23 , 39.82,29.73 ,24.36 , 34.24,24.04 ,19.65 , 28.28,19.93 ,16.76 , 23.03,16.82 ,14.36 , 19.81,14.47 ,12.75 , 16.81,12.70 ,11.30 , 14.49,11.50 ,10.17 , 13.01,10.96 ,9.70 , 12.43,10.15 ,8.98 , 11.57,9.56 ,8.40 , 10.97,9.39 ,8.18 , 10.86,9.03 ,7.77 , 10.49,8.51 ,7.23 , 10.02,7.57 ,6.23 , 8.85,6.73 ,5.45 , 7.99,6.14 ,4.94 , 7.47,5.51 ,4.38 , 6.88,4.91 ,3.84 , 6.28,4.30 ,3.29 , 5.58,3.59 ,2.69 , 4.72,2.85 ,2.20 , 3.74,2.86 ,2.17 , 3.82
Masvingo,42.84 ,29.95 , 56.01,41.24 ,30.27 , 52.07,39.10 ,30.02 , 47.45,36.67 ,29.31 , 43.92,32.12 ,25.99 , 38.72,28.33 ,22.78 , 34.08,25.83 ,20.91 , 30.75,22.00 ,18.35 , 26.10,20.95 ,17.64 , 24.52,19.18 ,16.43 , 22.38,17.18 ,15.03 , 19.77,15.86 ,13.82 , 18.00,14.77 ,12.86 , 16.74,13.98 ,12.30 , 15.89,13.02 ,11.45 , 14.87,12.38 ,10.93 , 14.27,11.79 ,10.35 , 13.72,11.37 ,10.01 , 13.35,10.94 ,9.61 , 12.96,10.46 ,9.09 , 12.38,10.19 ,8.77 , 12.00,9.32 ,7.95 , 10.98,8.53 ,7.27 , 10.05,8.02 ,6.76 , 9.39,7.37 ,6.01 , 8.79,6.78 ,5.39 , 8.22,6.45 ,4.98 , 7.89,5.74 ,4.26 , 7.08,5.06 ,3.61 , 6.47,4.77 ,3.35 , 6.35
Matabeleland North,54.77 ,40.36 , 73.82,54.17 ,41.74 , 70.72,52.22 ,40.41 , 66.52,48.01 ,38.05 , 60.18,42.93 ,34.80 , 52.64,38.90 ,31.21 , 47.05,34.99 ,28.54 , 41.78,31.56 ,26.38 , 37.07,29.35 ,25.29 , 34.34,25.57 ,22.16 , 29.44,23.93 ,21.17 , 27.33,21.82 ,19.43 , 24.46,20.76 ,18.52 , 23.05,19.54 ,17.40 , 21.75,18.67 ,16.65 , 21.00,17.43 ,15.54 , 19.70,16.93 ,15.13 , 19.58,16.45 ,14.72 , 19.19,15.96 ,14.24 , 18.58,15.56 ,13.80 , 18.25,14.87 ,12.86 , 17.49,13.53 ,11.65 , 16.16,12.32 ,10.34 , 14.91,11.51 ,9.32 , 14.10,10.59 ,8.26 , 13.13,9.74 ,7.34 , 12.32,8.87 ,6.53 , 11.44,8.18 ,6.01 , 11.00,7.15 ,5.13 , 10.06,7.07 ,5.02 , 10.12
Matabeleland South,33.82 ,25.78 , 43.97,42.57 ,33.29 , 53.37,50.45 ,39.52 , 64.02,55.14 ,41.83 , 71.89,56.16 ,42.84 , 75.15,52.69 ,40.69 , 69.57,47.50 ,36.90 , 61.58,40.57 ,32.35 , 50.92,35.55 ,28.59 , 42.71,31.32 ,25.18 , 36.53,28.66 ,23.63 , 32.56,26.01 ,22.10 , 29.11,24.52 ,21.49 , 27.14,22.63 ,19.91 , 24.69,21.69 ,19.37 , 23.69,20.48 ,18.11 , 22.47,19.59 ,17.11 , 21.60,19.09 ,16.82 , 21.39,18.62 ,16.47 , 20.89,18.54 ,16.15 , 20.83,18.36 ,15.57 , 20.93,17.18 ,14.61 , 19.56,16.16 ,13.89 , 18.34,15.67 ,13.55 , 17.63,14.93 ,12.67 , 17.10,14.24 ,11.87 , 16.63,13.37 ,10.83 , 15.85,12.23 ,9.86 , 14.61,10.47 ,8.21 , 12.85,9.75 ,7.29 , 12.61
Midlands,42.44 ,35.06 , 49.82,42.78 ,36.08 , 51.09,41.20 ,34.41 , 49.30,38.40 ,32.32 , 46.03,35.10 ,29.39 , 42.66,30.74 ,25.25 , 37.60,27.16 ,22.32 , 33.24,24.74 ,20.43 , 29.94,22.16 ,18.61 , 26.57,20.11 ,17.10 , 23.74,18.23 ,15.86 , 21.35,16.59 ,14.60 , 19.05,15.44 ,13.79 , 17.63,14.62 ,12.94 , 16.56,13.77 ,12.25 , 15.63,12.80 ,11.29 , 14.61,12.27 ,10.73 , 14.06,11.80 ,10.27 , 13.57,11.41 ,9.83 , 13.02,11.30 ,9.81 , 12.85,10.95 ,9.56 , 12.60,10.30 ,8.90 , 11.88,9.73 ,8.32 , 11.22,9.46 ,7.93 , 10.89,9.10 ,7.51 , 10.58,8.73 ,7.03 , 10.38,8.40 ,6.51 , 10.04,8.10 ,5.98 , 9.86,7.38 ,5.09 , 9.29,7.55 ,4.86 , 9.74
