States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,25.96 ,19.94 , 35.31,27.30 ,21.00 , 36.14,26.30 ,20.85 , 33.83,24.65 ,19.48 , 30.65,21.73 ,17.19 , 26.12,19.10 ,14.87 , 22.48,16.84 ,13.13 , 19.33,15.04 ,12.18 , 17.28,13.79 ,11.42 , 15.67,13.08 ,11.10 , 14.65,11.66 ,10.26 , 12.91,10.83 ,9.62 , 11.87,10.25 ,9.14 , 11.27,9.76 ,8.82 , 10.82,9.03 ,8.12 , 10.10,8.37 ,7.39 , 9.41,8.11 ,7.22 , 9.21,7.88 ,6.97 , 9.00,8.12 ,7.11 , 9.29,7.55 ,6.52 , 8.88,6.95 ,5.95 , 8.26,6.41 ,5.46 , 7.43,5.62 ,4.70 , 6.51,5.14 ,4.18 , 6.04,4.69 ,3.64 , 5.63,4.27 ,3.22 , 5.27,3.88 ,2.81 , 4.92,3.70 ,2.61 , 4.87,3.32 ,2.27 , 4.59,3.36 ,2.24 , 4.89
Harare,37.61 ,29.70 , 47.42,38.83 ,31.74 , 49.18,35.75 ,29.36 , 45.25,29.71 ,24.95 , 37.08,24.87 ,20.76 , 30.27,20.22 ,17.16 , 23.94,16.84 ,14.05 , 19.85,14.13 ,11.93 , 16.37,12.52 ,10.79 , 14.37,11.04 ,9.70 , 12.52,9.68 ,8.63 , 10.89,8.90 ,7.98 , 9.91,8.09 ,7.27 , 9.01,7.40 ,6.61 , 8.24,6.98 ,6.27 , 7.86,6.47 ,5.76 , 7.27,6.07 ,5.33 , 6.90,5.69 ,4.96 , 6.48,5.43 ,4.66 , 6.19,5.03 ,4.29 , 5.79,4.76 ,4.01 , 5.61,4.32 ,3.62 , 5.17,3.75 ,3.15 , 4.55,3.55 ,2.88 , 4.33,3.30 ,2.62 , 4.17,3.02 ,2.29 , 3.87,2.78 ,2.04 , 3.58,2.39 ,1.73 , 3.15,2.07 ,1.43 , 2.74,1.96 ,1.35 , 2.67
Manicaland,20.08 ,15.82 , 25.23,21.75 ,17.41 , 26.97,21.38 ,17.47 , 25.65,21.10 ,17.39 , 25.54,19.64 ,16.04 , 23.48,17.88 ,14.56 , 21.19,16.31 ,13.42 , 19.20,14.68 ,12.05 , 17.02,13.44 ,11.18 , 15.47,12.11 ,10.24 , 13.91,10.91 ,9.44 , 12.22,10.05 ,8.75 , 11.20,9.13 ,8.08 , 10.12,8.31 ,7.36 , 9.29,7.70 ,6.82 , 8.56,7.02 ,6.18 , 7.93,6.61 ,5.81 , 7.46,6.21 ,5.40 , 7.08,5.93 ,5.07 , 6.75,5.40 ,4.61 , 6.22,5.30 ,4.46 , 6.08,4.73 ,3.96 , 5.57,3.87 ,3.16 , 4.62,3.54 ,2.83 , 4.33,3.22 ,2.54 , 4.14,2.93 ,2.22 , 3.89,2.59 ,1.90 , 3.61,2.30 ,1.60 , 3.44,1.99 ,1.33 , 3.10,2.01 ,1.30 , 3.20
Mashonaland Central,30.49 ,23.70 , 38.24,30.77 ,24.22 , 37.31,28.58 ,22.75 , 34.88,25.80 ,20.72 , 32.46,22.33 ,17.91 , 28.06,19.22 ,15.58 , 23.69,16.51 ,13.55 , 19.72,14.63 ,12.22 , 17.08,12.98 ,11.07 , 14.92,11.58 ,9.97 , 13.26,10.63 ,9.25 , 12.08,9.67 ,8.38 , 11.03,8.93 ,7.82 , 10.13,8.28 ,7.24 , 9.47,7.77 ,6.75 , 8.96,7.33 ,6.29 , 8.46,6.97 ,6.01 , 8.21,6.61 ,5.62 , 7.75,6.13 ,5.24 , 7.22,5.67 ,4.82 , 6.91,5.03 ,4.19 , 6.28,4.10 ,3.31 , 5.22,3.46 ,2.76 , 4.43,3.13 ,2.40 , 4.00,2.79 ,2.05 , 3.67,2.42 ,1.71 , 3.28,2.00 ,1.39 , 2.78,1.62 ,1.16 , 2.23,1.45 ,1.03 , 2.01,1.44 ,1.01 , 2.09
Mashonaland East,18.14 ,12.59 , 24.79,19.77 ,14.51 , 24.86,19.84 ,16.01 , 24.86,19.41 ,16.10 , 23.88,18.46 ,15.31 , 22.12,17.37 ,14.44 , 21.15,16.21 ,13.49 , 19.29,14.74 ,12.31 , 17.49,13.45 ,11.42 , 15.56,12.68 ,10.85 , 14.48,11.81 ,10.36 , 13.30,11.09 ,9.69 , 12.40,10.47 ,9.27 , 11.63,9.77 ,8.67 , 10.82,9.23 ,8.16 , 10.18,8.70 ,7.73 , 9.63,8.44 ,7.47 , 9.48,7.99 ,7.08 , 8.99,7.83 ,6.89 , 8.91,7.71 ,6.71 , 8.80,7.17 ,6.14 , 8.32,6.46 ,5.53 , 7.54,5.75 ,4.89 , 6.78,5.37 ,4.63 , 6.34,4.99 ,4.18 , 6.00,4.64 ,3.82 , 5.78,4.39 ,3.50 , 5.68,4.17 ,3.23 , 5.45,3.79 ,2.84 , 5.05,3.54 ,2.60 , 5.03
Mashonaland West,14.69 ,11.37 , 20.67,19.42 ,15.23 , 25.44,23.79 ,18.87 , 30.74,26.93 ,22.15 , 33.82,27.29 ,23.17 , 33.24,24.73 ,20.95 , 29.04,22.23 ,18.65 , 26.09,19.12 ,15.90 , 21.98,17.13 ,14.17 , 19.26,14.62 ,12.40 , 16.28,12.75 ,10.98 , 14.28,11.24 ,9.92 , 12.62,10.03 ,8.91 , 11.29,8.96 ,8.09 , 10.15,8.26 ,7.44 , 9.29,7.89 ,7.05 , 8.88,7.45 ,6.66 , 8.40,7.12 ,6.29 , 8.07,6.91 ,6.03 , 7.98,6.63 ,5.84 , 7.68,6.14 ,5.28 , 7.24,5.13 ,4.28 , 6.24,4.15 ,3.45 , 5.12,3.73 ,3.05 , 4.63,3.38 ,2.72 , 4.33,2.95 ,2.34 , 3.82,2.53 ,1.96 , 3.24,2.08 ,1.58 , 2.68,1.80 ,1.40 , 2.43,1.69 ,1.28 , 2.19
Masvingo,20.14 ,14.20 , 25.90,19.60 ,14.76 , 24.44,18.81 ,14.81 , 22.78,17.89 ,14.36 , 21.17,16.06 ,13.20 , 19.01,14.64 ,12.07 , 17.20,13.76 ,11.60 , 16.03,12.22 ,10.45 , 14.13,11.89 ,10.19 , 13.74,11.37 ,9.97 , 13.00,10.64 ,9.41 , 12.16,10.14 ,8.97 , 11.46,9.69 ,8.62 , 11.06,9.34 ,8.39 , 10.54,8.85 ,7.99 , 9.93,8.48 ,7.60 , 9.52,8.11 ,7.25 , 9.07,7.72 ,6.85 , 8.72,7.26 ,6.37 , 8.30,6.87 ,6.01 , 8.01,6.30 ,5.41 , 7.46,5.65 ,4.85 , 6.68,4.64 ,3.98 , 5.49,4.30 ,3.67 , 5.08,3.92 ,3.20 , 4.73,3.57 ,2.81 , 4.44,3.37 ,2.62 , 4.17,2.99 ,2.26 , 3.78,2.67 ,1.95 , 3.44,2.56 ,1.82 , 3.42
Matabeleland North,25.63 ,19.40 , 33.87,25.49 ,19.96 , 32.30,24.76 ,19.86 , 30.25,23.11 ,18.82 , 28.09,20.87 ,17.16 , 25.03,19.25 ,16.02 , 22.71,17.70 ,14.88 , 20.55,16.33 ,13.91 , 18.59,15.44 ,13.37 , 17.60,14.13 ,12.37 , 15.94,13.63 ,12.15 , 15.22,12.84 ,11.56 , 14.27,12.48 ,11.30 , 13.84,11.97 ,10.78 , 13.26,11.63 ,10.41 , 12.87,11.00 ,9.75 , 12.23,10.93 ,9.76 , 12.31,10.64 ,9.44 , 12.22,10.37 ,9.21 , 11.91,10.13 ,8.93 , 11.67,9.33 ,8.13 , 11.03,8.05 ,6.90 , 9.72,7.06 ,5.90 , 8.66,6.59 ,5.39 , 8.08,5.93 ,4.75 , 7.49,5.70 ,4.38 , 7.37,5.13 ,3.83 , 6.89,4.70 ,3.40 , 6.43,3.89 ,2.79 , 5.44,4.03 ,2.79 , 5.85
Matabeleland South,17.02 ,12.89 , 22.06,21.34 ,16.74 , 26.53,25.14 ,20.07 , 32.26,27.35 ,20.88 , 35.62,27.79 ,21.34 , 35.54,26.37 ,20.94 , 33.90,24.30 ,19.46 , 30.26,21.50 ,17.67 , 26.26,19.53 ,16.32 , 22.89,17.74 ,14.95 , 20.10,16.58 ,14.35 , 18.53,15.37 ,13.39 , 16.92,14.63 ,12.97 , 15.89,13.66 ,12.33 , 14.86,13.16 ,11.95 , 14.29,12.51 ,11.38 , 13.66,12.22 ,11.10 , 13.54,11.99 ,10.78 , 13.35,11.61 ,10.31 , 12.91,11.58 ,10.28 , 13.01,11.08 ,9.70 , 12.43,9.80 ,8.49 , 11.05,8.78 ,7.68 , 9.98,8.52 ,7.45 , 9.68,8.14 ,6.97 , 9.32,7.69 ,6.36 , 9.09,7.16 ,5.96 , 8.51,6.54 ,5.38 , 7.91,5.70 ,4.52 , 7.09,5.33 ,4.07 , 6.82
Midlands,21.01 ,17.34 , 25.04,21.28 ,17.97 , 25.62,20.64 ,17.39 , 24.72,19.45 ,16.29 , 23.20,18.06 ,15.25 , 21.65,16.28 ,13.82 , 19.53,14.84 ,12.65 , 17.82,13.89 ,11.70 , 16.44,12.82 ,10.90 , 14.96,12.02 ,10.51 , 13.99,11.22 ,9.89 , 12.82,10.46 ,9.32 , 11.90,9.88 ,8.94 , 11.23,9.42 ,8.46 , 10.58,8.95 ,8.01 , 10.05,8.34 ,7.43 , 9.42,8.07 ,7.16 , 9.09,7.75 ,6.87 , 8.78,7.42 ,6.55 , 8.41,7.19 ,6.34 , 8.10,6.64 ,5.83 , 7.48,6.02 ,5.18 , 6.89,5.44 ,4.64 , 6.23,5.30 ,4.45 , 6.14,5.14 ,4.19 , 6.04,5.02 ,3.97 , 6.03,4.74 ,3.67 , 5.70,4.68 ,3.42 , 5.72,4.16 ,2.94 , 5.22,4.27 ,2.83 , 5.49
