States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,44.23 ,32.62 , 58.38,47.77 ,37.50 , 63.26,46.76 ,37.24 , 60.60,44.26 ,34.52 , 56.16,39.15 ,29.79 , 48.42,34.02 ,25.89 , 41.97,29.44 ,22.46 , 35.14,25.80 ,20.74 , 30.90,23.22 ,18.39 , 26.74,22.04 ,18.32 , 25.23,19.30 ,16.94 , 21.76,17.89 ,15.81 , 19.73,17.24 ,15.07 , 19.04,16.46 ,14.66 , 18.30,15.29 ,13.50 , 16.92,14.09 ,12.30 , 15.75,13.45 ,11.55 , 15.22,13.04 ,10.98 , 14.81,13.27 ,11.30 , 15.14,13.01 ,10.98 , 14.80,12.11 ,10.34 , 14.27,10.94 ,9.46 , 12.69,9.80 ,8.17 , 11.23,9.06 ,7.37 , 10.83,8.15 ,6.27 , 9.87,7.26 ,5.38 , 9.02,6.63 ,4.84 , 8.71,6.43 ,4.51 , 8.57,5.86 ,3.97 , 8.14,5.93 ,4.07 , 8.53
Harare,72.37 ,57.83 , 91.55,77.46 ,64.36 , 94.89,73.07 ,60.01 , 89.16,61.42 ,51.80 , 75.01,51.08 ,42.31 , 62.46,40.27 ,33.76 , 48.55,32.12 ,26.12 , 38.11,25.67 ,20.97 , 30.46,21.82 ,18.43 , 25.66,18.82 ,15.98 , 21.49,16.10 ,13.86 , 18.47,14.80 ,13.20 , 16.69,13.55 ,12.08 , 15.13,12.44 ,11.08 , 13.90,11.87 ,10.68 , 13.46,11.02 ,9.59 , 12.51,10.22 ,8.93 , 11.71,9.58 ,8.28 , 11.04,9.20 ,7.97 , 10.65,8.79 ,7.46 , 10.27,8.58 ,7.03 , 10.24,7.75 ,6.38 , 9.17,7.06 ,5.77 , 8.61,6.52 ,5.20 , 8.14,5.97 ,4.68 , 7.51,5.48 ,4.08 , 6.87,5.04 ,3.67 , 6.51,4.39 ,3.15 , 5.77,3.82 ,2.66 , 5.15,3.74 ,2.52 , 5.14
Manicaland,40.68 ,31.70 , 51.98,45.21 ,36.57 , 56.71,45.08 ,36.21 , 55.38,45.08 ,36.31 , 54.52,41.86 ,33.89 , 51.01,37.36 ,29.61 , 45.54,33.14 ,26.58 , 39.95,28.85 ,22.95 , 34.23,25.52 ,20.27 , 29.97,22.40 ,18.28 , 26.45,19.64 ,16.39 , 22.71,17.81 ,15.33 , 20.31,15.92 ,14.03 , 18.01,14.30 ,12.64 , 16.18,13.17 ,11.63 , 14.88,11.96 ,10.52 , 13.78,11.09 ,9.48 , 12.61,10.32 ,8.79 , 11.88,9.91 ,8.44 , 11.47,9.19 ,7.64 , 10.68,9.29 ,7.81 , 11.03,8.42 ,6.94 , 9.96,7.68 ,6.15 , 9.27,7.13 ,5.69 , 8.96,6.53 ,5.14 , 8.34,5.97 ,4.49 , 8.06,5.31 ,3.84 , 7.48,4.75 ,3.36 , 7.19,4.11 ,2.77 , 6.57,4.15 ,2.69 , 6.65
Mashonaland Central,59.67 ,45.51 , 76.65,62.21 ,48.72 , 75.45,58.93 ,44.93 , 74.30,53.74 ,41.35 , 69.42,46.23 ,35.93 , 60.64,38.65 ,29.89 , 49.36,31.75 ,24.15 , 39.48,26.99 ,21.61 , 33.17,22.86 ,18.56 , 27.52,19.83 ,16.37 , 23.85,17.96 ,15.09 , 21.04,16.12 ,13.77 , 18.99,14.92 ,12.78 , 17.36,13.88 ,11.90 , 16.15,13.10 ,11.16 , 15.48,12.62 ,10.59 , 14.90,11.78 ,9.94 , 13.93,11.15 ,9.35 , 13.45,10.37 ,8.69 , 12.51,9.66 ,8.08 , 11.64,8.89 ,7.25 , 11.17,7.92 ,6.45 , 9.91,7.06 ,5.49 , 8.85,6.44 ,4.87 , 8.28,5.67 ,4.12 , 7.30,4.95 ,3.39 , 6.82,4.08 ,2.73 , 5.83,3.27 ,2.22 , 4.75,2.91 ,2.02 , 4.07,2.85 ,1.94 , 4.28
Mashonaland East,35.24 ,23.79 , 47.73,39.46 ,29.38 , 50.29,40.29 ,31.44 , 51.45,39.95 ,32.46 , 51.46,38.31 ,31.50 , 48.30,36.06 ,29.26 , 45.08,33.38 ,27.02 , 41.29,29.90 ,23.93 , 36.01,26.77 ,21.73 , 31.66,24.97 ,20.64 , 29.27,22.89 ,19.19 , 26.62,21.25 ,17.91 , 24.19,19.87 ,17.04 , 22.44,18.39 ,16.18 , 20.64,17.26 ,15.19 , 19.58,16.13 ,14.13 , 18.12,15.43 ,13.50 , 17.54,14.25 ,12.30 , 16.25,13.81 ,11.90 , 16.02,13.61 ,11.82 , 15.67,12.83 ,11.00 , 15.16,11.78 ,10.09 , 13.79,10.86 ,9.03 , 12.58,10.22 ,8.69 , 12.21,9.53 ,7.82 , 11.68,8.90 ,7.07 , 11.07,8.50 ,6.63 , 11.03,8.22 ,6.41 , 10.51,7.30 ,5.50 , 9.84,7.12 ,5.09 , 10.23
Mashonaland West,27.83 ,21.07 , 39.98,37.90 ,29.31 , 49.93,47.60 ,38.07 , 62.38,55.20 ,44.98 , 69.42,57.06 ,47.21 , 70.85,51.65 ,42.60 , 61.69,45.77 ,38.11 , 53.62,38.25 ,31.43 , 44.44,33.29 ,26.69 , 38.39,27.10 ,22.30 , 32.45,22.55 ,18.97 , 26.23,19.09 ,16.27 , 22.38,16.47 ,14.51 , 19.25,14.46 ,12.63 , 16.83,13.09 ,11.52 , 15.04,12.48 ,10.99 , 14.33,11.56 ,10.04 , 13.28,10.88 ,9.40 , 12.46,10.70 ,9.09 , 12.45,10.28 ,8.85 , 12.06,9.70 ,8.20 , 11.56,8.60 ,7.12 , 10.20,7.65 ,6.29 , 9.14,6.99 ,5.72 , 8.55,6.27 ,5.09 , 7.84,5.58 ,4.37 , 7.07,4.89 ,3.80 , 6.32,4.09 ,3.05 , 5.35,3.24 ,2.55 , 4.35,3.26 ,2.42 , 4.27
Masvingo,43.17 ,29.58 , 57.02,42.73 ,31.75 , 53.19,41.39 ,31.94 , 50.23,39.61 ,31.08 , 47.54,35.37 ,28.25 , 43.32,31.66 ,25.02 , 38.30,29.18 ,23.84 , 35.30,25.12 ,20.90 , 29.99,24.08 ,20.16 , 28.45,22.20 ,19.18 , 26.05,19.95 ,17.12 , 23.24,18.48 ,16.03 , 21.37,17.27 ,14.94 , 19.75,16.35 ,14.26 , 18.59,15.22 ,13.24 , 17.44,14.48 ,12.86 , 16.44,13.78 ,12.06 , 15.71,13.30 ,11.76 , 15.39,12.79 ,11.08 , 15.04,12.24 ,10.55 , 14.17,11.92 ,10.18 , 14.20,10.87 ,9.24 , 12.84,9.95 ,8.38 , 11.74,9.36 ,7.83 , 11.11,8.61 ,7.01 , 10.23,7.93 ,6.27 , 9.67,7.53 ,5.81 , 9.35,6.71 ,4.93 , 8.55,5.92 ,4.22 , 7.62,5.57 ,3.88 , 7.52
Matabeleland North,56.35 ,41.81 , 77.97,57.29 ,44.38 , 74.59,56.42 ,44.87 , 73.20,52.94 ,42.00 , 65.53,48.25 ,37.80 , 59.46,44.37 ,35.53 , 54.37,40.34 ,33.31 , 48.73,36.77 ,31.14 , 43.56,34.43 ,29.36 , 40.51,30.21 ,26.08 , 35.13,28.36 ,24.72 , 32.23,25.95 ,22.86 , 29.47,24.76 ,22.01 , 27.55,23.30 ,20.61 , 26.47,22.26 ,19.89 , 25.18,20.78 ,18.53 , 23.85,20.18 ,17.84 , 23.28,19.62 ,17.28 , 22.87,19.03 ,16.49 , 22.40,18.56 ,16.15 , 21.83,17.74 ,15.20 , 21.16,16.09 ,14.07 , 19.28,14.66 ,12.32 , 17.73,13.70 ,11.09 , 17.01,12.61 ,10.01 , 15.64,11.60 ,8.80 , 14.84,10.56 ,7.88 , 13.81,9.75 ,7.01 , 12.89,8.52 ,6.03 , 11.97,8.43 ,5.93 , 12.08
Matabeleland South,31.79 ,23.87 , 41.99,41.24 ,32.10 , 52.01,50.03 ,39.29 , 63.75,55.89 ,42.18 , 72.64,58.10 ,43.22 , 75.90,55.36 ,41.29 , 72.28,50.47 ,39.18 , 65.53,43.58 ,34.69 , 55.00,38.46 ,30.39 , 46.63,34.13 ,27.16 , 39.66,31.35 ,26.13 , 35.97,28.54 ,24.05 , 32.16,27.00 ,23.47 , 30.12,24.92 ,21.88 , 27.72,23.89 ,21.12 , 26.43,22.55 ,20.10 , 25.10,21.58 ,19.13 , 24.01,21.03 ,18.29 , 23.32,20.51 ,17.85 , 23.14,20.43 ,17.54 , 23.03,20.23 ,16.92 , 23.35,18.91 ,16.13 , 21.41,17.80 ,15.23 , 20.24,17.26 ,14.77 , 19.65,16.45 ,13.96 , 19.27,15.68 ,12.59 , 18.37,14.73 ,11.86 , 17.47,13.48 ,11.01 , 16.43,11.54 ,9.00 , 14.18,10.75 ,7.93 , 14.02
Midlands,42.78 ,35.13 , 50.63,44.35 ,37.37 , 52.35,43.65 ,37.08 , 51.55,41.52 ,34.76 , 50.54,38.69 ,32.29 , 47.41,34.39 ,28.01 , 42.64,30.72 ,25.05 , 37.68,28.28 ,23.28 , 34.22,25.50 ,21.09 , 31.10,23.30 ,19.74 , 27.68,21.19 ,17.98 , 24.61,19.35 ,16.92 , 22.51,18.06 ,15.91 , 20.57,17.10 ,15.12 , 19.36,16.10 ,14.23 , 18.18,14.96 ,13.15 , 17.15,14.34 ,12.35 , 16.57,13.79 ,11.93 , 15.76,13.33 ,11.49 , 15.50,13.19 ,11.36 , 15.16,12.80 ,11.08 , 14.72,12.04 ,10.35 , 13.81,11.38 ,9.53 , 13.22,11.06 ,9.17 , 12.87,10.65 ,8.68 , 12.68,10.22 ,8.16 , 12.35,9.84 ,7.49 , 11.85,9.49 ,7.06 , 11.65,8.65 ,6.14 , 10.78,8.85 ,5.73 , 11.42
