States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,5000 ,3200 , 7200,7300 ,5100 , 10 000,10 000 ,7400 , 13 000,13 000 ,9800 , 17 000,17 000 ,12 000 , 21 000,20 000 ,15 000 , 25 000,24 000 ,18 000 , 29 000,27 000 ,21 000 , 33 000,31 000 ,24 000 , 37 000,34 000 ,26 000 , 40 000,37 000 ,28 000 , 44 000,39 000 ,30 000 , 47 000,41 000 ,32 000 , 49 000,43 000 ,33 000 , 51 000,44 000 ,35 000 , 52 000,44 000 ,35 000 , 52 000,44 000 ,36 000 , 52 000,44 000 ,35 000 , 51 000,43 000 ,34 000 , 50 000,42 000 ,34 000 , 49 000,41 000 ,33 000 , 48 000,40 000 ,33 000 , 47 000,40 000 ,32 000 , 46 000,40 000 ,32 000 , 46 000,39 000 ,32 000 , 45 000,39 000 ,31 000 , 44 000,39 000 ,32 000 , 45 000,39 000 ,32 000 , 45 000,40 000 ,32 000 , 45 000,40 000 ,32 000 , 46 000
Harare,18 000 ,11 000 , 27 000,26 000 ,17 000 , 37 000,36 000 ,25 000 , 49 000,47 000 ,34 000 , 62 000,59 000 ,44 000 , 75 000,72 000 ,54 000 , 89 000,85 000 ,67 000 , 100 000,97 000 ,78 000 , 120 000,110 000 ,89 000 , 130 000,120 000 ,98 000 , 140 000,130 000 ,110 000 , 160 000,140 000 ,110 000 , 160 000,150 000 ,120 000 , 170 000,150 000 ,120 000 , 180 000,150 000 ,120 000 , 180 000,150 000 ,120 000 , 180 000,150 000 ,120 000 , 170 000,150 000 ,120 000 , 170 000,140 000 ,110 000 , 170 000,130 000 ,110 000 , 160 000,130 000 ,100 000 , 150 000,120 000 ,99 000 , 140 000,120 000 ,93 000 , 140 000,110 000 ,89 000 , 130 000,100 000 ,85 000 , 120 000,100 000 ,81 000 , 120 000,96 000 ,78 000 , 110 000,93 000 ,75 000 , 110 000,91 000 ,73 000 , 110 000,89 000 ,71 000 , 100 000
Manicaland,8200 ,5000 , 12 000,12 000 ,7700 , 16 000,17 000 ,11 000 , 22 000,22 000 ,16 000 , 28 000,28 000 ,20 000 , 35 000,34 000 ,25 000 , 43 000,42 000 ,32 000 , 51 000,49 000 ,37 000 , 60 000,57 000 ,43 000 , 69 000,64 000 ,49 000 , 78 000,70 000 ,55 000 , 85 000,77 000 ,60 000 , 92 000,82 000 ,65 000 , 98 000,87 000 ,68 000 , 100 000,90 000 ,70 000 , 110 000,92 000 ,73 000 , 110 000,94 000 ,74 000 , 110 000,95 000 ,73 000 , 110 000,95 000 ,73 000 , 110 000,94 000 ,73 000 , 110 000,94 000 ,72 000 , 110 000,93 000 ,72 000 , 110 000,92 000 ,71 000 , 110 000,92 000 ,70 000 , 110 000,91 000 ,69 000 , 110 000,90 000 ,67 000 , 110 000,90 000 ,67 000 , 100 000,89 000 ,67 000 , 100 000,89 000 ,67 000 , 100 000,89 000 ,68 000 , 100 000
Mashonaland Central,6400 ,2700 , 12 000,9700 ,4700 , 17 000,14 000 ,7900 , 22 000,18 000 ,12 000 , 28 000,23 000 ,16 000 , 34 000,28 000 ,21 000 , 39 000,34 000 ,26 000 , 45 000,40 000 ,31 000 , 51 000,45 000 ,36 000 , 58 000,50 000 ,39 000 , 63 000,55 000 ,43 000 , 67 000,59 000 ,46 000 , 71 000,63 000 ,50 000 , 74 000,65 000 ,53 000 , 77 000,67 000 ,54 000 , 79 000,68 000 ,55 000 , 81 000,69 000 ,54 000 , 81 000,68 000 ,54 000 , 81 000,67 000 ,52 000 , 80 000,65 000 ,51 000 , 78 000,63 000 ,49 000 , 76 000,62 000 ,48 000 , 74 000,61 000 ,47 000 , 72 000,59 000 ,46 000 , 70 000,58 000 ,45 000 , 69 000,58 000 ,45 000 , 68 000,57 000 ,45 000 , 68 000,57 000 ,45 000 , 68 000,57 000 ,45 000 , 68 000,57 000 ,45 000 , 68 000
Mashonaland East,8500 ,4500 , 15 000,12 000 ,7000 , 20 000,17 000 ,10 000 , 27 000,23 000 ,15 000 , 35 000,29 000 ,19 000 , 43 000,36 000 ,25 000 , 51 000,44 000 ,31 000 , 61 000,51 000 ,37 000 , 69 000,58 000 ,43 000 , 77 000,65 000 ,49 000 , 86 000,72 000 ,55 000 , 93 000,79 000 ,60 000 , 99 000,84 000 ,65 000 , 100 000,89 000 ,69 000 , 110 000,93 000 ,73 000 , 110 000,95 000 ,76 000 , 110 000,97 000 ,77 000 , 120 000,98 000 ,78 000 , 120 000,99 000 ,78 000 , 120 000,99 000 ,79 000 , 120 000,100 000 ,80 000 , 120 000,100 000 ,80 000 , 120 000,100 000 ,81 000 , 120 000,100 000 ,83 000 , 120 000,100 000 ,85 000 , 120 000,110 000 ,87 000 , 120 000,110 000 ,88 000 , 120 000,110 000 ,89 000 , 130 000,110 000 ,92 000 , 130 000,120 000 ,94 000 , 130 000
Mashonaland West,3600 ,2000 , 5500,6100 ,3700 , 9000,9700 ,6500 , 14 000,15 000 ,11 000 , 20 000,21 000 ,16 000 , 27 000,28 000 ,21 000 , 36 000,36 000 ,28 000 , 45 000,44 000 ,34 000 , 55 000,53 000 ,41 000 , 65 000,61 000 ,48 000 , 73 000,69 000 ,55 000 , 83 000,77 000 ,61 000 , 91 000,84 000 ,66 000 , 99 000,90 000 ,72 000 , 110 000,96 000 ,76 000 , 110 000,100 000 ,80 000 , 120 000,100 000 ,83 000 , 120 000,110 000 ,84 000 , 130 000,110 000 ,86 000 , 130 000,110 000 ,86 000 , 130 000,110 000 ,86 000 , 130 000,110 000 ,86 000 , 130 000,110 000 ,86 000 , 130 000,110 000 ,86 000 , 130 000,110 000 ,85 000 , 130 000,110 000 ,85 000 , 130 000,110 000 ,85 000 , 130 000,110 000 ,85 000 , 130 000,110 000 ,85 000 , 130 000,110 000 ,85 000 , 130 000
Masvingo,9000 ,5500 , 15 000,13 000 ,7900 , 20 000,17 000 ,11 000 , 25 000,21 000 ,14 000 , 31 000,26 000 ,18 000 , 37 000,31 000 ,22 000 , 44 000,36 000 ,26 000 , 49 000,40 000 ,29 000 , 54 000,45 000 ,32 000 , 59 000,50 000 ,37 000 , 64 000,54 000 ,41 000 , 69 000,59 000 ,44 000 , 74 000,63 000 ,47 000 , 77 000,66 000 ,51 000 , 79 000,69 000 ,53 000 , 83 000,71 000 ,55 000 , 86 000,73 000 ,56 000 , 87 000,74 000 ,57 000 , 88 000,75 000 ,57 000 , 89 000,76 000 ,58 000 , 90 000,77 000 ,59 000 , 91 000,78 000 ,60 000 , 92 000,80 000 ,63 000 , 94 000,82 000 ,65 000 , 96 000,84 000 ,66 000 , 98 000,86 000 ,68 000 , 100 000,87 000 ,69 000 , 100 000,89 000 ,70 000 , 100 000,90 000 ,71 000 , 100 000,91 000 ,72 000 , 100 000
Matabeleland North,6600 ,3900 , 10 000,9500 ,6000 , 14 000,13 000 ,8600 , 19 000,17 000 ,12 000 , 24 000,21 000 ,15 000 , 29 000,25 000 ,19 000 , 33 000,29 000 ,22 000 , 38 000,33 000 ,25 000 , 42 000,36 000 ,28 000 , 46 000,40 000 ,31 000 , 50 000,43 000 ,33 000 , 54 000,46 000 ,36 000 , 57 000,48 000 ,38 000 , 59 000,51 000 ,40 000 , 62 000,52 000 ,42 000 , 63 000,53 000 ,43 000 , 63 000,53 000 ,44 000 , 63 000,53 000 ,44 000 , 63 000,53 000 ,43 000 , 62 000,52 000 ,42 000 , 61 000,52 000 ,41 000 , 61 000,53 000 ,41 000 , 60 000,54 000 ,42 000 , 62 000,55 000 ,44 000 , 63 000,57 000 ,46 000 , 64 000,58 000 ,47 000 , 66 000,60 000 ,49 000 , 68 000,62 000 ,50 000 , 69 000,64 000 ,51 000 , 71 000,65 000 ,52 000 , 74 000
Matabeleland South,2000 ,1300 , 3100,3300 ,2200 , 4600,5000 ,3500 , 6900,7200 ,5300 , 9600,10 000 ,7700 , 13 000,13 000 ,10 000 , 17 000,17 000 ,13 000 , 21 000,21 000 ,17 000 , 26 000,26 000 ,20 000 , 31 000,30 000 ,24 000 , 35 000,34 000 ,27 000 , 40 000,38 000 ,30 000 , 45 000,41 000 ,33 000 , 49 000,45 000 ,36 000 , 53 000,47 000 ,38 000 , 57 000,50 000 ,39 000 , 59 000,52 000 ,41 000 , 61 000,54 000 ,42 000 , 64 000,55 000 ,43 000 , 65 000,56 000 ,44 000 , 66 000,57 000 ,44 000 , 67 000,58 000 ,45 000 , 68 000,59 000 ,46 000 , 69 000,60 000 ,47 000 , 69 000,61 000 ,48 000 , 69 000,61 000 ,49 000 , 70 000,62 000 ,50 000 , 70 000,63 000 ,51 000 , 71 000,64 000 ,52 000 , 73 000,65 000 ,53 000 , 74 000
Midlands,8700 ,5900 , 11 000,13 000 ,9000 , 16 000,17 000 ,13 000 , 22 000,22 000 ,17 000 , 28 000,28 000 ,22 000 , 34 000,34 000 ,27 000 , 41 000,40 000 ,32 000 , 48 000,46 000 ,37 000 , 55 000,52 000 ,41 000 , 62 000,57 000 ,46 000 , 68 000,63 000 ,50 000 , 75 000,68 000 ,54 000 , 81 000,73 000 ,58 000 , 87 000,77 000 ,61 000 , 92 000,80 000 ,63 000 , 96 000,82 000 ,64 000 , 99 000,83 000 ,65 000 , 100 000,83 000 ,65 000 , 100 000,83 000 ,64 000 , 100 000,83 000 ,64 000 , 100 000,82 000 ,63 000 , 99 000,83 000 ,63 000 , 98 000,83 000 ,64 000 , 99 000,85 000 ,66 000 , 99 000,86 000 ,67 000 , 100 000,88 000 ,69 000 , 100 000,90 000 ,70 000 , 100 000,92 000 ,72 000 , 100 000,94 000 ,74 000 , 110 000,97 000 ,76 000 , 110 000
