States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,4500 ,2300 , 6200,4600 ,2500 , 6200,4400 ,2400 , 5700,4100 ,2200 , 5300,3600 ,2000 , 4700,3200 ,1700 , 4100,2900 ,1500 , 3600,2600 ,1400 , 3200,2400 ,1200 , 2900,2300 ,1200 , 2800,2000 ,1100 , 2500,1900 ,1000 , 2200,1800 ,<1000 , 2200,1800 ,<1000 , 2100,1600 ,<1000 , 2000,1500 ,<1000 , 1900,1400 ,<1000 , 1800,1400 ,<1000 , 1700,1400 ,<1000 , 1800,1400 ,<1000 , 1700,1300 ,<1000 , 1600,1100 ,<1000 , 1500,1000 ,<1000 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Harare,27 000 ,15 000 , 36 000,27 000 ,16 000 , 35 000,24 000 ,15 000 , 31 000,20 000 ,13 000 , 25 000,17 000 ,10 000 , 20 000,13 000 ,8400 , 16 000,11 000 ,7000 , 14 000,8800 ,5600 , 11 000,7700 ,4700 , 9700,6900 ,4100 , 8500,6000 ,3500 , 7200,5600 ,3300 , 6900,5200 ,3000 , 6300,4800 ,2800 , 5800,4600 ,2600 , 5600,4300 ,2400 , 5200,3900 ,2300 , 4800,3600 ,2100 , 4500,3400 ,2000 , 4200,3200 ,1900 , 4000,3100 ,1800 , 4000,2700 ,1500 , 3600,2500 ,1300 , 3300,2300 ,1200 , 3200,2100 ,1000 , 3000,1900 ,<1000 , 2900,1800 ,<1000 , 2600,1600 ,<1000 , 2300,1400 ,<1000 , 2100,1400 ,<1000 , 2100
Manicaland,7300 ,3700 , 9800,8000 ,4100 , 11 000,8000 ,4300 , 10 000,8000 ,4300 , 10 000,7600 ,4300 , 9700,6900 ,4100 , 8900,6400 ,3800 , 8000,5800 ,3500 , 7200,5300 ,3200 , 6600,4900 ,2900 , 6000,4400 ,2600 , 5400,4200 ,2500 , 5100,3800 ,2200 , 4600,3500 ,2000 , 4300,3300 ,1900 , 4000,3100 ,1700 , 3800,2900 ,1600 , 3600,2700 ,1600 , 3400,2600 ,1500 , 3300,2400 ,1400 , 3100,2400 ,1400 , 3100,2200 ,1300 , 2800,2000 ,1100 , 2600,1900 ,1000 , 2600,1700 ,<1000 , 2500,1600 ,<1000 , 2400,1500 ,<1000 , 2200,1300 ,<1000 , 2100,1200 ,<1000 , 1900,1200 ,<1000 , 2100
Mashonaland Central,6900 ,3600 , 9300,6900 ,3600 , 9200,6300 ,3500 , 8700,5600 ,3200 , 7800,4800 ,2800 , 6500,4100 ,2400 , 5300,3500 ,2100 , 4600,3100 ,1900 , 4000,2800 ,1700 , 3600,2600 ,1500 , 3200,2400 ,1400 , 3000,2300 ,1300 , 2800,2200 ,1200 , 2700,2100 ,1100 , 2600,2000 ,1100 , 2600,2000 ,1100 , 2500,1900 ,1000 , 2400,1800 ,<1000 , 2300,1700 ,<1000 , 2200,1600 ,<1000 , 2100,1500 ,<1000 , 2000,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1100 ,<1000 , 1600,1000 ,<1000 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Mashonaland East,7300 ,3500 , 10 000,7900 ,4000 , 11 000,8000 ,4300 , 10 000,7900 ,4300 , 10 000,7600 ,4200 , 9600,7200 ,4200 , 9100,6800 ,3900 , 8500,6300 ,3600 , 7800,5800 ,3400 , 7200,5700 ,3300 , 7000,5400 ,3100 , 6600,5200 ,3100 , 6400,5000 ,2900 , 6200,4800 ,2800 , 5900,4700 ,2600 , 5800,4500 ,2600 , 5500,4400 ,2500 , 5500,4200 ,2300 , 5300,4200 ,2300 , 5300,4200 ,2400 , 5300,4000 ,2300 , 5100,3700 ,2200 , 4700,3400 ,1900 , 4400,3300 ,1800 , 4200,3100 ,1600 , 4000,2900 ,1500 , 3800,2800 ,1400 , 3700,2700 ,1400 , 3700,2400 ,1200 , 3400,2400 ,1200 , 3500
Mashonaland West,5300 ,2500 , 8200,7100 ,3600 , 10 000,8800 ,4400 , 12 000,10 000 ,5300 , 14 000,10 000 ,5500 , 13 000,9400 ,5500 , 12 000,8500 ,5200 , 10 000,7200 ,4500 , 8900,6500 ,3800 , 7800,5500 ,3200 , 6600,4800 ,2800 , 5800,4200 ,2400 , 5100,3800 ,2100 , 4600,3400 ,1900 , 4100,3200 ,1800 , 3900,3100 ,1700 , 3800,3000 ,1600 , 3600,2800 ,1500 , 3500,2800 ,1500 , 3400,2700 ,1500 , 3400,2600 ,1400 , 3200,2300 ,1300 , 2900,2100 ,1100 , 2600,1900 ,<1000 , 2400,1700 ,<1000 , 2200,1500 ,<1000 , 2000,1300 ,<1000 , 1800,1100 ,<1000 , 1600,<1000 ,<500 , 1300,<1000 ,<500 , 1300
Masvingo,6100 ,3200 , 8300,6000 ,3300 , 7800,5900 ,3200 , 7500,5800 ,3300 , 7200,5400 ,3100 , 6700,5100 ,3000 , 6300,4900 ,2900 , 6100,4400 ,2600 , 5500,4400 ,2600 , 5400,4300 ,2400 , 5200,4000 ,2300 , 4800,3800 ,2200 , 4600,3700 ,2100 , 4400,3600 ,2000 , 4300,3400 ,1900 , 4100,3300 ,1900 , 4000,3100 ,1800 , 3800,3000 ,1800 , 3700,2900 ,1600 , 3600,2800 ,1600 , 3400,2700 ,1500 , 3300,2400 ,1400 , 3000,2200 ,1200 , 2800,2000 ,1100 , 2600,1800 ,1000 , 2400,1700 ,<1000 , 2400,1600 ,<1000 , 2300,1500 ,<1000 , 2100,1400 ,<1000 , 2000,1300 ,<1000 , 2000
Matabeleland North,4500 ,2600 , 6300,4500 ,2600 , 5900,4400 ,2500 , 5700,4200 ,2400 , 5300,3900 ,2300 , 4900,3700 ,2200 , 4700,3600 ,2200 , 4300,3400 ,2000 , 4100,3400 ,2000 , 4000,3100 ,1900 , 3700,3000 ,1900 , 3600,2900 ,1800 , 3400,2900 ,1800 , 3400,2800 ,1700 , 3300,2700 ,1700 , 3300,2600 ,1600 , 3100,2600 ,1600 , 3200,2600 ,1500 , 3200,2500 ,1500 , 3100,2500 ,1500 , 3200,2400 ,1400 , 3100,2200 ,1300 , 2900,2000 ,1200 , 2600,1900 ,1100 , 2500,1700 ,1000 , 2300,1500 ,<1000 , 2100,1400 ,<1000 , 2000,1300 ,<1000 , 1900,1100 ,<1000 , 1700,1100 ,<1000 , 1700
Matabeleland South,2600 ,1300 , 3700,3300 ,1700 , 4600,3900 ,2100 , 5400,4300 ,2300 , 5900,4400 ,2200 , 6100,4300 ,2300 , 5700,4000 ,2200 , 5200,3600 ,2100 , 4600,3300 ,1900 , 4200,3100 ,1800 , 3800,3000 ,1800 , 3700,2900 ,1700 , 3500,2800 ,1600 , 3400,2700 ,1500 , 3200,2700 ,1500 , 3200,2600 ,1400 , 3100,2500 ,1400 , 3100,2500 ,1400 , 3100,2500 ,1400 , 3000,2500 ,1400 , 3100,2500 ,1400 , 3000,2300 ,1300 , 2900,2200 ,1200 , 2800,2200 ,1200 , 2700,2100 ,1200 , 2600,2000 ,1100 , 2600,1900 ,1100 , 2500,1700 ,<1000 , 2300,1500 ,<1000 , 2100,1400 ,<1000 , 2000
Midlands,7600 ,3900 , 9900,7700 ,4100 , 10 000,7600 ,4200 , 9800,7200 ,4200 , 9400,6900 ,4100 , 8700,6300 ,3800 , 7900,5800 ,3500 , 7300,5600 ,3300 , 7100,5300 ,3000 , 6600,5000 ,2900 , 6100,4800 ,2700 , 5800,4500 ,2500 , 5400,4300 ,2500 , 5200,4100 ,2400 , 5100,4000 ,2300 , 4800,3700 ,2100 , 4500,3600 ,2000 , 4300,3400 ,2000 , 4200,3300 ,1900 , 4100,3200 ,1900 , 4000,3100 ,1800 , 3900,3000 ,1700 , 3700,2800 ,1600 , 3500,2800 ,1600 , 3500,2800 ,1500 , 3500,2700 ,1400 , 3500,2600 ,1400 , 3400,2600 ,1300 , 3400,2400 ,1200 , 3200,2500 ,1300 , 3400
