States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,1100 ,<1000 , 1400,1300 ,1000 , 1600,1500 ,1200 , 1800,1600 ,1300 , 2000,1600 ,1400 , 2000,1700 ,1400 , 2000,1700 ,1400 , 2000,1700 ,1400 , 2000,1700 ,1300 , 1900,1600 ,1300 , 1900,1500 ,1200 , 1700,1400 ,1100 , 1600,1200 ,1000 , 1400,1100 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Harare,4700 ,3500 , 5900,5300 ,4400 , 6500,5600 ,4800 , 6700,5600 ,4800 , 6600,5800 ,5000 , 6800,6000 ,5300 , 6900,6100 ,5200 , 6900,6000 ,5200 , 6900,6000 ,5000 , 6900,5600 ,4700 , 6500,5100 ,4200 , 6000,4600 ,3800 , 5500,4100 ,3300 , 4900,3600 ,2900 , 4400,3300 ,2600 , 4000,2900 ,2300 , 3600,2800 ,2200 , 3500,2600 ,1900 , 3200,2400 ,1700 , 3000,2000 ,1400 , 2600,1700 ,1000 , 2300,1600 ,<1000 , 2200,1100 ,<1000 , 1700,1200 ,<1000 , 1700,1200 ,<1000 , 1700,1000 ,<1000 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<500 ,<500 , <1000
Manicaland,2300 ,1700 , 2900,2700 ,2200 , 3400,3000 ,2400 , 3700,3200 ,2600 , 3800,3400 ,2800 , 4100,3600 ,3000 , 4300,3800 ,3200 , 4500,3900 ,3200 , 4600,4000 ,3300 , 4600,3900 ,3200 , 4600,3700 ,3100 , 4400,3500 ,2900 , 4200,3300 ,2700 , 4000,3100 ,2500 , 3600,2900 ,2300 , 3400,2600 ,2100 , 3100,2600 ,2000 , 3100,2500 ,1900 , 2900,2400 ,1800 , 2900,2100 ,1500 , 2600,2000 ,1400 , 2500,1800 ,1200 , 2200,1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Mashonaland Central,1800 ,1200 , 2400,2100 ,1600 , 2700,2300 ,1900 , 2800,2400 ,2100 , 2900,2500 ,2200 , 3000,2600 ,2200 , 3000,2700 ,2300 , 3100,2700 ,2200 , 3100,2700 ,2200 , 3100,2600 ,2100 , 3000,2400 ,2000 , 2900,2300 ,1800 , 2700,2100 ,1700 , 2600,2000 ,1500 , 2400,1800 ,1400 , 2200,1600 ,1300 , 2000,1600 ,1300 , 2000,1600 ,1200 , 1900,1500 ,1100 , 1800,1400 ,1000 , 1700,1100 ,<1000 , 1400,<1000 ,<500 , 1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Mashonaland East,2100 ,1400 , 3100,2600 ,1900 , 3600,3000 ,2200 , 3900,3300 ,2600 , 4200,3500 ,2900 , 4400,3700 ,3000 , 4500,3800 ,3200 , 4600,3800 ,3200 , 4600,3800 ,3200 , 4400,3700 ,3200 , 4400,3600 ,3100 , 4200,3500 ,2900 , 4000,3400 ,2800 , 3900,3100 ,2600 , 3600,2900 ,2500 , 3400,2800 ,2200 , 3200,2700 ,2200 , 3200,2700 ,2200 , 3200,2700 ,2200 , 3200,2600 ,2100 , 3200,2400 ,1800 , 2900,2000 ,1500 , 2600,1600 ,1100 , 2100,1500 ,<1000 , 2100,1400 ,<1000 , 1900,1400 ,<1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1300 ,<1000 , 1800,1000 ,<1000 , 1600
Mashonaland West,1300 ,<1000 , 1800,1900 ,1500 , 2500,2500 ,2000 , 3200,3100 ,2600 , 3900,3500 ,3000 , 4200,3800 ,3200 , 4500,4000 ,3400 , 4600,4000 ,3500 , 4700,4100 ,3500 , 4600,4000 ,3400 , 4600,3900 ,3300 , 4400,3700 ,3100 , 4200,3500 ,3000 , 4000,3200 ,2600 , 3800,3000 ,2500 , 3600,2900 ,2200 , 3300,2800 ,2100 , 3200,2700 ,2000 , 3200,2600 ,1900 , 3100,2500 ,1800 , 3000,2200 ,1600 , 2800,1600 ,<1000 , 2200,<1000 ,<1000 , 1600,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1200,<1000 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1100,<500 ,<500 , <1000
Masvingo,2100 ,1400 , 2800,2300 ,1700 , 3000,2400 ,1800 , 3100,2500 ,2000 , 3100,2500 ,2000 , 3000,2500 ,2000 , 3000,2600 ,2100 , 3100,2500 ,2000 , 2900,2500 ,2000 , 2900,2600 ,2100 , 3000,2600 ,2100 , 3100,2600 ,2200 , 3100,2600 ,2200 , 3100,2600 ,2200 , 3100,2600 ,2200 , 3100,2600 ,2100 , 3000,2600 ,2100 , 3000,2400 ,2000 , 2800,2200 ,1800 , 2700,2200 ,1700 , 2600,1700 ,1300 , 2100,1600 ,1100 , 2000,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000
Matabeleland North,1600 ,1100 , 2100,1800 ,1400 , 2300,2000 ,1600 , 2500,2100 ,1800 , 2700,2100 ,1700 , 2600,2100 ,1700 , 2500,2000 ,1700 , 2400,1900 ,1600 , 2300,1800 ,1500 , 2200,1800 ,1500 , 2100,1800 ,1500 , 2100,1800 ,1500 , 2100,1700 ,1500 , 2000,1700 ,1400 , 2000,1600 ,1400 , 1900,1600 ,1300 , 1800,1600 ,1300 , 1900,1500 ,1200 , 1800,1500 ,1200 , 1700,1400 ,1200 , 1700,1200 ,<1000 , 1400,<1000 ,<1000 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000
Matabeleland South,<1000 ,<1000 , <1000,<1000 ,<1000 , 1200,1200 ,<1000 , 1500,1500 ,1200 , 1900,1700 ,1400 , 2100,1900 ,1600 , 2300,2000 ,1700 , 2400,2100 ,1800 , 2500,2100 ,1800 , 2500,2100 ,1800 , 2500,2100 ,1700 , 2400,2000 ,1600 , 2300,1900 ,1600 , 2200,1800 ,1500 , 2100,1700 ,1400 , 1900,1600 ,1300 , 1900,1600 ,1300 , 1900,1600 ,1300 , 1800,1500 ,1200 , 1800,1500 ,1200 , 1700,1300 ,<1000 , 1600,<1000 ,<1000 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Midlands,2300 ,1800 , 2700,2600 ,2200 , 3100,2800 ,2400 , 3300,3000 ,2600 , 3500,3000 ,2600 , 3600,3100 ,2700 , 3700,3200 ,2700 , 3700,3200 ,2700 , 3800,3100 ,2600 , 3700,3100 ,2600 , 3700,3100 ,2500 , 3600,3000 ,2500 , 3600,2900 ,2400 , 3400,2800 ,2300 , 3400,2700 ,2200 , 3200,2500 ,2000 , 3000,2500 ,2000 , 2900,2400 ,1900 , 2800,2300 ,1800 , 2700,2100 ,1600 , 2500,1700 ,1200 , 2000,1300 ,<1000 , 1600,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,1000 ,<1000 , 1400,<1000 ,<1000 , 1200,1000 ,<1000 , 1500,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300
