States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,6000 ,4500 , 7900,6400 ,5100 , 8200,6200 ,5000 , 7800,5700 ,4500 , 7000,5000 ,3800 , 6100,4300 ,3400 , 5200,3700 ,3000 , 4400,3300 ,2800 , 3800,3000 ,2600 , 3400,2900 ,2500 , 3300,2600 ,2200 , 2900,2400 ,2200 , 2700,2300 ,2100 , 2600,2200 ,2000 , 2500,2100 ,1800 , 2300,1900 ,1700 , 2200,1900 ,1600 , 2200,1800 ,1500 , 2100,1900 ,1600 , 2200,1900 ,1600 , 2200,1800 ,1500 , 2100,1700 ,1400 , 1900,1500 ,1200 , 1800,1400 ,1100 , 1700,1300 ,1000 , 1600,1200 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1400,<1000 ,<1000 , 1400,1000 ,<1000 , 1500
Harare,30 000 ,24 000 , 37 000,31 000 ,26 000 , 37 000,28 000 ,23 000 , 34 000,23 000 ,19 000 , 28 000,18 000 ,15 000 , 22 000,14 000 ,12 000 , 17 000,11 000 ,9200 , 14 000,9200 ,7700 , 11 000,8000 ,6900 , 9400,7100 ,6200 , 8200,6200 ,5400 , 7000,5800 ,5200 , 6500,5400 ,4900 , 6000,5100 ,4600 , 5700,5000 ,4400 , 5600,4700 ,4200 , 5300,4400 ,3900 , 5000,4200 ,3700 , 4900,4100 ,3600 , 4800,4000 ,3400 , 4700,4000 ,3300 , 4800,3700 ,3100 , 4400,3500 ,2800 , 4100,3300 ,2600 , 4000,3100 ,2400 , 3800,2900 ,2200 , 3600,2700 ,2000 , 3400,2400 ,1700 , 3100,2100 ,1500 , 2800,2100 ,1500 , 2900
Manicaland,9100 ,7300 , 11 000,10 000 ,8400 , 12 000,10 000 ,8300 , 12 000,10 000 ,8300 , 12 000,9400 ,7700 , 11 000,8400 ,6800 , 10 000,7600 ,6100 , 8900,6700 ,5400 , 7900,6100 ,5000 , 7000,5600 ,4700 , 6500,5000 ,4200 , 5800,4700 ,4200 , 5300,4300 ,3900 , 4900,4000 ,3600 , 4500,3800 ,3300 , 4200,3500 ,3100 , 4000,3300 ,2900 , 3800,3200 ,2700 , 3700,3100 ,2700 , 3700,3000 ,2500 , 3400,3100 ,2600 , 3600,2900 ,2400 , 3400,2700 ,2200 , 3300,2600 ,2100 , 3300,2400 ,2000 , 3200,2300 ,1800 , 3100,2100 ,1500 , 2900,1900 ,1400 , 2900,1700 ,1200 , 2800,1800 ,1200 , 2900
Mashonaland Central,7500 ,6000 , 9100,7600 ,6200 , 9200,7100 ,5400 , 9300,6300 ,4800 , 8600,5400 ,4200 , 7100,4500 ,3500 , 5800,3800 ,3000 , 4700,3300 ,2700 , 4000,2900 ,2400 , 3400,2600 ,2200 , 3000,2400 ,2100 , 2800,2200 ,2000 , 2500,2100 ,1900 , 2400,2000 ,1800 , 2300,2000 ,1700 , 2300,2000 ,1700 , 2300,1900 ,1600 , 2200,1800 ,1600 , 2100,1800 ,1500 , 2100,1700 ,1400 , 2000,1600 ,1300 , 1900,1500 ,1200 , 1800,1400 ,1100 , 1700,1300 ,<1000 , 1600,1200 ,<1000 , 1500,1100 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , 1000
Mashonaland East,8100 ,5700 , 11 000,9100 ,7200 , 11 000,9300 ,7500 , 11 000,9200 ,7700 , 11 000,8900 ,7400 , 11 000,8400 ,6800 , 10 000,7900 ,6500 , 9600,7200 ,5800 , 8600,6600 ,5400 , 7800,6300 ,5300 , 7400,5900 ,5200 , 6800,5700 ,4900 , 6500,5400 ,4800 , 6100,5200 ,4600 , 5700,5000 ,4400 , 5600,4800 ,4300 , 5400,4700 ,4200 , 5400,4500 ,4000 , 5200,4500 ,3900 , 5200,4600 ,4000 , 5200,4400 ,3800 , 5100,4200 ,3600 , 4800,4000 ,3400 , 4600,3800 ,3300 , 4600,3700 ,3100 , 4400,3500 ,2800 , 4300,3500 ,2700 , 4300,3400 ,2700 , 4300,3100 ,2300 , 4200,3100 ,2300 , 4300
Mashonaland West,5900 ,4500 , 8300,8100 ,6400 , 11 000,10 000 ,8300 , 13 000,12 000 ,9800 , 15 000,12 000 ,10 000 , 14 000,11 000 ,9000 , 13 000,9500 ,8000 , 11 000,8000 ,6700 , 9200,7100 ,5800 , 8100,5900 ,4900 , 6900,5000 ,4200 , 5900,4400 ,3900 , 5200,3900 ,3500 , 4600,3500 ,3100 , 4100,3300 ,2900 , 3700,3200 ,2900 , 3600,3100 ,2700 , 3500,3000 ,2600 , 3300,3000 ,2600 , 3400,3000 ,2600 , 3400,2900 ,2500 , 3400,2700 ,2300 , 3100,2400 ,2000 , 2900,2300 ,1900 , 2800,2100 ,1700 , 2600,1900 ,1500 , 2400,1700 ,1400 , 2200,1500 ,1100 , 1900,1200 ,<1000 , 1600,1200 ,<1000 , 1600
Masvingo,7400 ,5300 , 9400,7400 ,5800 , 9000,7200 ,5800 , 8500,7000 ,5700 , 8300,6300 ,5100 , 7600,5700 ,4800 , 6900,5400 ,4600 , 6500,4800 ,4100 , 5600,4800 ,4200 , 5600,4600 ,4100 , 5300,4300 ,3800 , 4900,4100 ,3700 , 4600,4000 ,3600 , 4400,3900 ,3500 , 4300,3700 ,3300 , 4200,3600 ,3300 , 4000,3500 ,3100 , 4000,3500 ,3100 , 3900,3400 ,3000 , 3900,3300 ,2900 , 3800,3300 ,2900 , 3800,3100 ,2700 , 3600,2900 ,2500 , 3400,2800 ,2400 , 3300,2600 ,2200 , 3100,2500 ,2000 , 3100,2400 ,1900 , 3000,2200 ,1700 , 2900,2000 ,1500 , 2700,2000 ,1400 , 2600
Matabeleland North,4900 ,3800 , 6400,5000 ,3900 , 6100,4900 ,3900 , 6000,4500 ,3600 , 5300,4200 ,3400 , 4900,3900 ,3200 , 4500,3600 ,3000 , 4200,3400 ,2900 , 3900,3300 ,2900 , 3800,3000 ,2600 , 3300,2900 ,2600 , 3200,2700 ,2500 , 3100,2700 ,2400 , 3000,2600 ,2400 , 2900,2600 ,2300 , 2900,2500 ,2200 , 2800,2500 ,2200 , 2800,2500 ,2200 , 2900,2500 ,2200 , 2900,2500 ,2200 , 2900,2500 ,2100 , 3000,2300 ,2000 , 2800,2200 ,1900 , 2600,2100 ,1700 , 2600,2000 ,1600 , 2400,1800 ,1400 , 2300,1700 ,1300 , 2200,1600 ,1200 , 2100,1500 ,1100 , 2000,1500 ,1100 , 2100
Matabeleland South,3100 ,2300 , 4000,4000 ,3200 , 5000,4800 ,3800 , 6200,5300 ,4000 , 6800,5500 ,4200 , 7000,5200 ,4000 , 6500,4700 ,3800 , 5800,4100 ,3300 , 4900,3700 ,3000 , 4300,3300 ,2800 , 3800,3100 ,2700 , 3500,2900 ,2600 , 3300,2800 ,2500 , 3100,2700 ,2400 , 2900,2600 ,2300 , 2900,2500 ,2300 , 2800,2500 ,2200 , 2800,2500 ,2200 , 2800,2500 ,2200 , 2800,2500 ,2200 , 2900,2600 ,2200 , 3000,2500 ,2200 , 2900,2400 ,2100 , 2700,2400 ,2100 , 2700,2300 ,2000 , 2600,2300 ,1800 , 2700,2200 ,1800 , 2600,2000 ,1700 , 2500,1800 ,1400 , 2200,1700 ,1300 , 2200
Midlands,9100 ,7500 , 11 000,9400 ,8000 , 11 000,9200 ,7900 , 11 000,8800 ,7500 , 10 000,8200 ,6900 , 9800,7400 ,6200 , 8800,6700 ,5700 , 7900,6400 ,5400 , 7400,5900 ,5100 , 6900,5600 ,4900 , 6300,5200 ,4600 , 5900,4900 ,4400 , 5500,4700 ,4200 , 5100,4500 ,4000 , 4900,4300 ,3900 , 4800,4100 ,3600 , 4500,3900 ,3500 , 4400,3800 ,3400 , 4300,3700 ,3300 , 4200,3700 ,3300 , 4200,3700 ,3200 , 4200,3600 ,3100 , 4100,3500 ,3000 , 4000,3600 ,3000 , 4100,3600 ,3000 , 4200,3600 ,2900 , 4300,3600 ,2800 , 4300,3600 ,2700 , 4300,3400 ,2400 , 4200,3600 ,2400 , 4700
