States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,7000 ,5300 , 9100,7500 ,5900 , 9400,7400 ,5900 , 9400,7000 ,5500 , 8600,6200 ,5000 , 7400,5500 ,4300 , 6600,4900 ,4000 , 5600,4400 ,3800 , 5000,4100 ,3500 , 4600,3900 ,3400 , 4400,3500 ,3200 , 3900,3300 ,3000 , 3600,3100 ,2800 , 3400,3000 ,2700 , 3300,2800 ,2500 , 3100,2600 ,2300 , 2900,2500 ,2200 , 2800,2400 ,2100 , 2800,2500 ,2200 , 2900,2400 ,2000 , 2800,2200 ,1900 , 2600,2100 ,1800 , 2500,1800 ,1500 , 2200,1700 ,1400 , 2000,1600 ,1200 , 1900,1400 ,1100 , 1800,1300 ,<1000 , 1700,1300 ,<1000 , 1700,1200 ,<1000 , 1600,1200 ,<1000 , 1700
Harare,34 000 ,28 000 , 42 000,36 000 ,30 000 , 43 000,33 000 ,28 000 , 40 000,27 000 ,23 000 , 33 000,23 000 ,19 000 , 27 000,18 000 ,16 000 , 22 000,15 000 ,13 000 , 18 000,13 000 ,11 000 , 15 000,12 000 ,10 000 , 13 000,10 000 ,9300 , 12 000,9200 ,8400 , 10 000,8600 ,7900 , 9600,7900 ,7200 , 8600,7300 ,6700 , 8100,7000 ,6300 , 7800,6500 ,5800 , 7300,6200 ,5400 , 6900,5800 ,5100 , 6600,5600 ,4900 , 6400,5300 ,4500 , 6100,5100 ,4300 , 6000,4800 ,3900 , 5600,4200 ,3500 , 5100,4100 ,3300 , 4900,3800 ,3100 , 4700,3600 ,2700 , 4400,3300 ,2500 , 4200,2900 ,2100 , 3700,2600 ,1800 , 3400,2500 ,1800 , 3400
Manicaland,11 000 ,8500 , 13 000,12 000 ,9900 , 15 000,12 000 ,9800 , 14 000,12 000 ,10 000 , 14 000,11 000 ,9600 , 14 000,11 000 ,8800 , 13 000,9800 ,8000 , 12 000,9000 ,7400 , 10 000,8400 ,7000 , 9500,7700 ,6600 , 8800,7100 ,6100 , 7900,6600 ,5900 , 7400,6100 ,5500 , 6800,5700 ,5100 , 6300,5300 ,4800 , 5900,4900 ,4400 , 5600,4700 ,4200 , 5300,4500 ,4000 , 5200,4400 ,3800 , 5100,4100 ,3500 , 4800,4200 ,3600 , 4800,3900 ,3200 , 4600,3300 ,2700 , 4000,3100 ,2500 , 3900,2900 ,2300 , 3800,2700 ,2100 , 3700,2500 ,1900 , 3500,2300 ,1600 , 3400,2000 ,1400 , 3200,2100 ,1300 , 3400
Mashonaland Central,8900 ,7000 , 11 000,9200 ,7500 , 11 000,8700 ,6900 , 11 000,8000 ,6400 , 10 000,7100 ,5700 , 9000,6200 ,5000 , 7700,5400 ,4400 , 6500,4900 ,4100 , 5700,4400 ,3800 , 5100,4000 ,3600 , 4600,3800 ,3400 , 4300,3500 ,3100 , 4000,3300 ,3000 , 3700,3100 ,2800 , 3600,3000 ,2700 , 3400,2900 ,2600 , 3400,2800 ,2400 , 3200,2700 ,2400 , 3200,2600 ,2200 , 3100,2500 ,2100 , 2900,2200 ,1900 , 2700,1900 ,1600 , 2400,1700 ,1300 , 2100,1600 ,1200 , 2000,1400 ,1100 , 1800,1300 ,<1000 , 1700,1100 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200
Mashonaland East,9700 ,6700 , 13 000,11 000 ,8600 , 14 000,11 000 ,9200 , 14 000,12 000 ,9700 , 14 000,11 000 ,9500 , 14 000,11 000 ,8900 , 13 000,10 000 ,8600 , 12 000,9600 ,7900 , 11 000,8900 ,7600 , 10 000,8600 ,7300 , 9800,8100 ,7100 , 9100,7800 ,6800 , 8800,7400 ,6600 , 8300,7000 ,6400 , 7800,6800 ,6100 , 7500,6500 ,5800 , 7200,6400 ,5600 , 7200,6100 ,5400 , 6900,6100 ,5300 , 7000,6100 ,5300 , 7100,5900 ,5100 , 6800,5500 ,4800 , 6300,5000 ,4300 , 5800,4800 ,4200 , 5700,4600 ,3900 , 5500,4400 ,3600 , 5500,4300 ,3400 , 5400,4200 ,3200 , 5400,3900 ,3000 , 5200,3800 ,2800 , 5200
Mashonaland West,6800 ,5200 , 9500,9400 ,7400 , 12 000,12 000 ,9600 , 15 000,14 000 ,11 000 , 17 000,14 000 ,12 000 , 17 000,13 000 ,11 000 , 15 000,12 000 ,10 000 , 14 000,10 000 ,8900 , 12 000,9400 ,8000 , 11 000,8200 ,7100 , 9300,7200 ,6300 , 8200,6400 ,5800 , 7300,5800 ,5300 , 6600,5300 ,4800 , 5900,4900 ,4500 , 5500,4800 ,4400 , 5300,4600 ,4100 , 5100,4500 ,4000 , 5000,4400 ,3900 , 5100,4400 ,3900 , 5000,4100 ,3600 , 4800,3600 ,3100 , 4300,3000 ,2600 , 3600,2800 ,2300 , 3400,2600 ,2200 , 3300,2400 ,1900 , 3000,2100 ,1700 , 2600,1800 ,1400 , 2300,1600 ,1200 , 2100,1500 ,1200 , 2000
Masvingo,8800 ,6300 , 11 000,8900 ,6800 , 11 000,8700 ,7000 , 10 000,8500 ,7000 , 10 000,7800 ,6400 , 9200,7300 ,6100 , 8500,7000 ,6000 , 8100,6300 ,5500 , 7200,6200 ,5500 , 7200,6100 ,5400 , 6900,5800 ,5200 , 6500,5600 ,5100 , 6200,5400 ,4900 , 6000,5300 ,4800 , 5900,5100 ,4700 , 5700,5000 ,4600 , 5600,4900 ,4500 , 5500,4800 ,4300 , 5400,4700 ,4100 , 5400,4500 ,4000 , 5200,4300 ,3800 , 5000,4000 ,3500 , 4700,3500 ,3000 , 4000,3300 ,2800 , 3900,3100 ,2600 , 3700,2900 ,2300 , 3500,2800 ,2200 , 3500,2600 ,1900 , 3300,2400 ,1700 , 3000,2300 ,1600 , 3100
Matabeleland North,6000 ,4600 , 7800,6200 ,5000 , 7700,6100 ,5000 , 7500,5900 ,4900 , 6900,5400 ,4600 , 6400,5100 ,4300 , 5900,4800 ,4100 , 5500,4500 ,3900 , 5100,4300 ,3900 , 4900,4000 ,3600 , 4500,3900 ,3600 , 4300,3700 ,3400 , 4200,3700 ,3400 , 4000,3600 ,3200 , 3900,3500 ,3200 , 3900,3400 ,3000 , 3700,3400 ,3000 , 3800,3400 ,3000 , 3800,3400 ,3000 , 3800,3300 ,2900 , 3900,3200 ,2700 , 3800,2900 ,2500 , 3400,2600 ,2200 , 3200,2500 ,2000 , 3100,2300 ,1800 , 2800,2200 ,1800 , 2900,2100 ,1600 , 2700,2000 ,1500 , 2700,1700 ,1200 , 2400,1800 ,1300 , 2600
Matabeleland South,3500 ,2700 , 4600,4600 ,3700 , 5800,5700 ,4600 , 7300,6300 ,4900 , 8200,6600 ,5100 , 8300,6300 ,5000 , 7900,5900 ,4800 , 7200,5300 ,4400 , 6300,4900 ,4100 , 5600,4500 ,3900 , 5000,4300 ,3800 , 4700,4000 ,3600 , 4500,3900 ,3500 , 4200,3700 ,3300 , 4000,3600 ,3300 , 3900,3400 ,3100 , 3700,3400 ,3000 , 3700,3400 ,3000 , 3700,3300 ,2900 , 3700,3400 ,2900 , 3800,3300 ,2800 , 3700,3000 ,2600 , 3400,2800 ,2400 , 3200,2700 ,2400 , 3200,2700 ,2300 , 3100,2600 ,2100 , 3100,2500 ,2000 , 3000,2300 ,1900 , 2800,2100 ,1600 , 2500,2000 ,1500 , 2500
Midlands,11 000 ,8800 , 12 000,11 000 ,9400 , 13 000,11 000 ,9500 , 13 000,11 000 ,9200 , 13 000,10 000 ,8500 , 12 000,9300 ,7800 , 11 000,8600 ,7300 , 10 000,8200 ,7000 , 9600,7700 ,6700 , 8900,7400 ,6500 , 8300,7000 ,6200 , 7800,6600 ,5900 , 7300,6300 ,5700 , 6900,6100 ,5500 , 6600,5800 ,5200 , 6400,5500 ,4900 , 6000,5300 ,4700 , 5900,5200 ,4600 , 5800,5000 ,4500 , 5600,4900 ,4400 , 5500,4700 ,4100 , 5300,4400 ,3800 , 5000,4100 ,3500 , 4700,4200 ,3500 , 4800,4200 ,3400 , 4900,4200 ,3400 , 5000,4200 ,3200 , 4900,4200 ,3200 , 5100,3900 ,2800 , 4800,4200 ,2800 , 5400
