States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,2800 ,1600 , 3900,2900 ,1600 , 4000,2800 ,1600 , 3800,2600 ,1500 , 3500,2300 ,1400 , 3100,2100 ,1300 , 2700,1900 ,1200 , 2400,1700 ,1100 , 2100,1600 ,<1000 , 1900,1500 ,<1000 , 1900,1400 ,<1000 , 1700,1300 ,<1000 , 1600,1200 ,<1000 , 1500,1200 ,<1000 , 1500,1100 ,<1000 , 1400,1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Harare,16 000 ,10 000 , 21 000,16 000 ,11 000 , 21 000,15 000 ,10 000 , 19 000,12 000 ,8500 , 15 000,10 000 ,7200 , 13 000,8200 ,5900 , 10 000,6700 ,4800 , 8700,5600 ,4100 , 7300,4900 ,3600 , 6200,4400 ,3100 , 5500,3900 ,2700 , 4800,3700 ,2500 , 4500,3400 ,2200 , 4300,3200 ,2100 , 3900,3000 ,1900 , 3800,2800 ,1700 , 3500,2600 ,1600 , 3300,2400 ,1500 , 3000,2300 ,1300 , 2800,2100 ,1300 , 2700,2000 ,1200 , 2700,1800 ,1100 , 2500,1700 ,<1000 , 2400,1600 ,<1000 , 2200,1400 ,<1000 , 2100,1300 ,<1000 , 2000,1200 ,<1000 , 1900,1100 ,<1000 , 1700,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500
Manicaland,4700 ,2700 , 6400,5200 ,3100 , 7000,5200 ,3100 , 7200,5300 ,3200 , 6800,5100 ,3200 , 6600,4700 ,2900 , 5900,4300 ,2800 , 5400,3900 ,2500 , 4900,3600 ,2300 , 4600,3300 ,2100 , 4200,3000 ,1900 , 3700,2900 ,1900 , 3600,2700 ,1600 , 3200,2400 ,1500 , 3000,2300 ,1400 , 2900,2100 ,1400 , 2600,2000 ,1200 , 2500,1900 ,1200 , 2300,1800 ,1100 , 2300,1700 ,1000 , 2200,1700 ,1000 , 2200,1600 ,<1000 , 2000,1400 ,<1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1200 ,<1000 , 1700,1100 ,<1000 , 1600,<1000 ,<1000 , 1500,<1000 ,<500 , 1400,<1000 ,<1000 , 1500
Mashonaland Central,3900 ,2300 , 5400,3900 ,2400 , 5400,3600 ,2300 , 5000,3300 ,2200 , 4700,2900 ,1800 , 3900,2500 ,1600 , 3400,2100 ,1300 , 2800,1900 ,1300 , 2500,1700 ,1100 , 2200,1600 ,1000 , 2000,1500 ,<1000 , 1900,1400 ,<1000 , 1800,1400 ,<1000 , 1700,1300 ,<1000 , 1600,1300 ,<1000 , 1600,1200 ,<1000 , 1600,1200 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Mashonaland East,4100 ,2300 , 5900,4600 ,2600 , 6300,4700 ,2700 , 6200,4700 ,2900 , 6200,4600 ,3000 , 6000,4400 ,3000 , 5700,4200 ,2700 , 5300,3900 ,2600 , 5000,3600 ,2400 , 4600,3500 ,2300 , 4400,3400 ,2200 , 4200,3300 ,2100 , 4100,3200 ,2000 , 3900,3000 ,1900 , 3800,3000 ,1900 , 3700,2800 ,1800 , 3600,2800 ,1800 , 3600,2700 ,1700 , 3400,2600 ,1600 , 3300,2600 ,1600 , 3400,2500 ,1600 , 3200,2400 ,1500 , 3000,2200 ,1300 , 2900,2100 ,1300 , 2700,2000 ,1200 , 2600,1800 ,1100 , 2500,1800 ,1100 , 2400,1700 ,1000 , 2400,1500 ,<1000 , 2200,1500 ,<1000 , 2200
Mashonaland West,3300 ,1800 , 5000,4500 ,2500 , 6500,5600 ,3200 , 8100,6500 ,3800 , 8900,6700 ,4100 , 9000,6100 ,3900 , 7900,5500 ,3600 , 6900,4700 ,3300 , 5900,4300 ,2900 , 5200,3600 ,2500 , 4400,3100 ,2100 , 3900,2800 ,1800 , 3500,2500 ,1600 , 3100,2300 ,1500 , 2800,2100 ,1400 , 2600,2100 ,1400 , 2600,2000 ,1300 , 2500,1900 ,1200 , 2400,1900 ,1200 , 2400,1800 ,1200 , 2300,1700 ,1100 , 2200,1600 ,1000 , 2000,1400 ,<1000 , 1800,1300 ,<1000 , 1700,1200 ,<1000 , 1600,1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Masvingo,3900 ,2100 , 5400,3900 ,2200 , 5200,3900 ,2200 , 5100,3800 ,2300 , 4900,3600 ,2300 , 4500,3400 ,2300 , 4300,3300 ,2100 , 4000,3000 ,2000 , 3700,3000 ,2000 , 3600,2900 ,2000 , 3500,2700 ,1800 , 3300,2600 ,1800 , 3200,2500 ,1600 , 3100,2400 ,1600 , 2900,2300 ,1500 , 2800,2200 ,1500 , 2700,2100 ,1400 , 2600,2100 ,1400 , 2500,2000 ,1300 , 2500,1900 ,1200 , 2400,1800 ,1200 , 2300,1700 ,1100 , 2200,1500 ,<1000 , 2000,1400 ,<1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1200 ,<1000 , 1700,1100 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500
Matabeleland North,2700 ,1600 , 3800,2700 ,1700 , 3700,2700 ,1700 , 3700,2600 ,1600 , 3300,2400 ,1600 , 3100,2400 ,1600 , 3000,2200 ,1500 , 2800,2200 ,1500 , 2600,2100 ,1400 , 2500,2000 ,1400 , 2400,2000 ,1400 , 2300,1900 ,1300 , 2200,1900 ,1300 , 2200,1800 ,1200 , 2100,1800 ,1200 , 2100,1700 ,1100 , 2000,1700 ,1100 , 2000,1700 ,1100 , 2000,1700 ,1000 , 2100,1600 ,1100 , 2100,1600 ,<1000 , 2000,1500 ,<1000 , 1900,1300 ,<1000 , 1700,1200 ,<1000 , 1600,1100 ,<1000 , 1500,1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1200
Matabeleland South,1600 ,<1000 , 2300,2000 ,1200 , 2900,2500 ,1400 , 3500,2700 ,1600 , 3900,2900 ,1700 , 4000,2800 ,1600 , 3700,2600 ,1600 , 3400,2300 ,1400 , 3000,2200 ,1300 , 2700,2000 ,1300 , 2500,1900 ,1200 , 2400,1900 ,1200 , 2300,1800 ,1200 , 2200,1700 ,1200 , 2100,1700 ,1200 , 2100,1700 ,1100 , 2000,1600 ,1100 , 2000,1600 ,1100 , 2000,1600 ,1100 , 2000,1600 ,1100 , 2000,1600 ,1100 , 2000,1500 ,1000 , 1900,1500 ,<1000 , 1800,1400 ,<1000 , 1800,1400 ,<1000 , 1800,1300 ,<1000 , 1700,1200 ,<1000 , 1600,1200 ,<1000 , 1600,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400
Midlands,4800 ,2900 , 6500,4900 ,2900 , 6600,4900 ,3000 , 6600,4700 ,2900 , 6300,4500 ,2800 , 5900,4200 ,2700 , 5400,3900 ,2400 , 5000,3800 ,2400 , 4800,3600 ,2300 , 4400,3400 ,2200 , 4200,3200 ,2100 , 4000,3000 ,2000 , 3700,2900 ,1900 , 3600,2800 ,1800 , 3400,2700 ,1800 , 3300,2500 ,1700 , 3100,2400 ,1600 , 2900,2400 ,1500 , 2800,2300 ,1400 , 2800,2200 ,1400 , 2800,2200 ,1300 , 2700,2000 ,1200 , 2600,2000 ,1200 , 2500,1900 ,1200 , 2400,1900 ,1200 , 2500,1900 ,1100 , 2400,1800 ,1000 , 2400,1800 ,1000 , 2400,1700 ,<1000 , 2300,1800 ,<1000 , 2400
