States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulawayo,25 217,33 940,39 599,47 238,53 705,57 913,58 129,63 590,57 587,64 455
Harare,43 906,59 094,68 937,82 247,93 506,101 070,119 723,137 432,128 814,151 234
Manicaland,34 076,45 863,53 510,63 832,72 570,84 018,92 026,104 172,95 217,115 886
Mashonaland Central,24 503,32 979,38 478,45 900,52 184,59 746,69 523,74 102,71 131,86 358
Mashonaland East,38 656,52 028,60 702,72 412,82 325,88 711,90 395,110 928,107 041,127 656
Mashonaland West,39 736,53 482,62 399,74 436,84 626,94 777,106 630,124 419,103 968,133 454
Masvingo,36 997,49 795,58 097,69 304,78 792,82 292,92 493,101 404,102 223,117 904
Matabeleland North,23 260,31 306,36 525,43 572,49 537,55 424,58 917,66 913,64 125,75 448
Matabeleland South,24 778,33 350,38 910,46 416,52 770,59 599,66 407,78 379,81 355,87 893
Midlands,39 250,52 826,61 634,73 523,83 588,92 980,100 355,116 823,112 869,129 078
National,330 379,444 663,518 791,618 880,703 603,776 530,854 598,978 162,924 330,1 089 366
