States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulawayo,2110,2567,3009,2973,3534,6010,5980,4811,2428,2630
Harare,3333,4054,4751,4695,5581,5234,6774,7669,5356,6149
Manicaland,3974,4834,5665,5598,6655,6430,7073,7233,6032,6819
Mashonaland Central,2148,2612,3061,3025,3596,4759,5338,5530,4352,5162
Mashonaland East,3901,4744,5561,5495,6532,6782,6996,7645,6256,7155
Mashonaland West,3795,4615,5409,5345,6354,7262,7759,8503,5799,7172
Masvingo,4209,5119,6000,5929,7048,7112,7799,7868,6856,7673
Matabeleland North,2672,3250,3810,3765,4475,5012,5123,5078,4089,4801
Matabeleland South,2674,3252,3811,3766,4477,5030,5170,5328,4896,4932
Midlands,4066,4946,5797,5728,6809,7362,8147,8454,6366,7332
National,32 882,39 993,46 874,46 319,55 061,60 993,66 159,68 119,52 430,59 825
