States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulawayo,16 116,22 601,26 011,28 485,34 330,37 150,37 617,39 788,36 651,40 814
Harare,28 060,39 352,45 288,49 596,59 432,62 677,74 558,86 479,81 911,94 606
Manicaland,21 778,30 541,35 148,38 491,46 926,53 682,59 788,65 726,61 692,72 264
Mashonaland Central,15 660,21 962,25 274,27 678,32 189,36 884,43 681,45 475,45 893,52 469
Mashonaland East,24 705,34 647,39 872,43 665,51 691,56 326,56 937,70 558,68 768,79 367
Mashonaland West,25 395,35 615,40 987,44 886,53 470,59 734,68 419,77 334,65 531,80 713
Masvingo,23 645,33 160,38 161,41 791,52 373,53 203,60 655,66 589,67 438,75 350
Matabeleland North,14 865,20 847,23 991,26 274,31 428,34 771,37 104,41 217,39 749,46 274
Matabeleland South,15 836,22 209,25 558,27 989,34 198,37 112,42 122,50 162,52 831,55 210
Midlands,25 084,35 178,40 484,44 335,53 537,59 192,63 866,73 384,72 563,80 100
National,211 144,296 112,340 774,373 190,449 574,490 731,544 747,616 712,593 027,677 167
