States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulawayo,9101,11 339,13 588,18 753,19 375,20 763,20 512,23 802,20 936,23 641
Harare,15 846,19 742,23 649,32 651,34 074,38 393,45 165,50 953,46 903,56 628
Manicaland,12 298,15 322,18 362,25 341,25 644,30 336,32 238,38 446,33 525,43 622
Mashonaland Central,8843,11 017,13 204,18 222,19 995,22 862,25 842,28 627,25 238,33 889
Mashonaland East,13 951,17 381,20 830,28 747,30 634,32 385,33 458,40 370,38 273,48 289
Mashonaland West,14 341,17 867,21 412,29 550,31 156,35 043,38 211,47 085,38 437,52 741
Masvingo,13 352,16 635,19 936,27 513,26 419,29 089,31 838,34 815,34 785,42 554
Matabeleland North,8395,10 459,12 534,17 298,18 109,20 653,21 813,25 696,24 376,29 174
Matabeleland South,8942,11 141,13 352,18 427,18 572,22 487,24 285,28 217,28 524,32 683
Midlands,14 166,17 648,21 150,29 188,30 051,33 788,36 489,43 439,40 306,48 978
National,119 235,148 551,178 017,245 690,254 029,285 799,309 851,361 450,331 303,412 199
