States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,59 ,51 , 67,70 ,61 , 81
Harare,... ,... , ...,68 ,58 , 79
Manicaland,... ,... , ...,77 ,67 , 89
Mashonaland Central,... ,... , ...,... ,... , ...
Mashonaland East,... ,... , ...,... ,... , ...
Mashonaland West,... ,... , ...,... ,... , ...
Masvingo,... ,... , ...,78 ,69 , 89
Matabeleland North,... ,... , ...,... ,... , ...
Matabeleland South,... ,... , ...,... ,... , ...
Midlands,... ,... , ...,66 ,57 , 74
National,... ,...,...,73 ,64,84
